ticker,tradedate,open,high,low,close,value,volume,boardid
AMEZ,2014-06-09,5.742,5.987,5.74,5.826,35364.9,6100,TQBR
AMEZ,2014-06-10,5.75,5.75,5.599,5.599,85563.9,15200,TQBR
AMEZ,2014-06-11,5.775,5.818,5.758,5.812,86818.2,15000,TQBR
AMEZ,2014-06-16,5.6,5.961,5.568,5.958,71526.6,12100,TQBR
AMEZ,2014-06-17,5.801,5.964,5.678,5.964,24895.4,4300,TQBR
AMEZ,2014-06-18,5.802,5.945,5.749,5.945,125835.3,21800,TQBR
AMEZ,2014-06-19,5.9,5.9,5.3,5.514,1146825.4,211800,TQBR
AMEZ,2014-06-20,5.561,5.645,5.101,5.235,523391.8,100100,TQBR
AMEZ,2014-06-23,5.221,5.228,5.15,5.16,126470.6,24500,TQBR
AMEZ,2014-06-24,5.031,5.4,5.03,5.4,297292.6,56400,TQBR
AMEZ,2014-06-25,5.604,5.949,5.21,5.699,65503.5,11900,TQBR
AMEZ,2014-06-26,5.575,6.0,5.575,6.0,473887.7,80600,TQBR
AMEZ,2014-06-27,5.873,6.45,5.7,6.45,446963.0,73400,TQBR
AMEZ,2014-06-30,6.497,6.939,5.756,6.401,4418307.4,682800,TQBR
AMEZ,2014-07-01,6.4,6.4,5.763,5.9,621568.9,103900,TQBR
AMEZ,2014-07-02,5.87,5.881,5.6,5.6,116744.5,20200,TQBR
AMEZ,2014-07-03,5.61,5.658,5.366,5.38,1701959.1,311600,TQBR
AMEZ,2014-07-04,5.458,5.53,5.301,5.53,117161.1,21600,TQBR
AMEZ,2014-07-07,5.494,5.499,5.494,5.499,51686.4,9400,TQBR
AMEZ,2014-07-08,5.499,5.719,5.384,5.719,163701.1,29600,TQBR
AMEZ,2014-07-09,5.485,5.75,5.4,5.75,87298.2,15500,TQBR
AMEZ,2014-07-10,5.759,5.88,5.502,5.85,65257.3,11400,TQBR
AMEZ,2014-07-11,5.6,5.9,5.557,5.9,33330.3,5800,TQBR
AMEZ,2014-07-14,5.562,5.798,5.562,5.798,1136.0,200,TQBR
AMEZ,2014-07-15,5.898,6.0,5.5,5.5,153499.2,26700,TQBR
AMEZ,2014-07-16,5.6,5.735,5.513,5.735,32330.4,5800,TQBR
AMEZ,2014-07-17,5.531,5.895,5.5,5.55,199832.9,35500,TQBR
AMEZ,2014-07-18,5.518,5.518,5.402,5.501,42043.5,7700,TQBR
AMEZ,2014-07-21,5.403,5.999,5.3,5.8,498639.1,90400,TQBR
AMEZ,2014-07-22,5.525,6.094,5.499,6.094,548633.0,92700,TQBR
AMEZ,2014-07-23,5.989,6.14,5.621,5.985,719684.7,121400,TQBR
AMEZ,2014-07-24,5.998,6.249,5.5,6.15,871491.2,147600,TQBR
AMEZ,2014-07-25,6.248,6.3,6.0,6.195,192557.3,31200,TQBR
AMEZ,2014-07-28,5.825,6.1,5.751,6.1,405885.5,68900,TQBR
AMEZ,2014-07-29,6.245,6.3,5.854,6.2,645518.2,106200,TQBR
AMEZ,2014-07-30,6.011,6.94,6.011,6.248,337079.0,53600,TQBR
AMEZ,2014-07-31,6.477,7.295,6.121,6.55,13169810.6,1934500,TQBR
AMEZ,2014-08-01,6.411,6.45,6.003,6.071,1956404.3,317100,TQBR
AMEZ,2014-08-04,6.005,6.198,5.9,5.911,914615.4,152500,TQBR
AMEZ,2014-08-05,5.945,5.945,5.75,5.84,72314.5,12300,TQBR
AMEZ,2014-08-06,5.839,5.945,5.5,5.52,1390322.0,250900,TQBR
AMEZ,2014-08-07,5.52,5.897,5.403,5.403,4088923.6,737800,TQBR
AMEZ,2014-08-08,5.38,5.72,5.38,5.714,739959.6,132000,TQBR
AMEZ,2014-08-11,5.748,5.749,5.6,5.741,29787.799999999992,5300,TQBR
AMEZ,2014-08-12,5.51,5.745,5.506,5.676,65950.20000000001,11800,TQBR
AMEZ,2014-08-13,5.746,5.746,5.6,5.6,48854.5,8600,TQBR
AMEZ,2014-08-14,5.746,5.944,5.5,5.709,355961.10000000003,63600,TQBR
AMEZ,2014-08-15,5.639,5.932,5.629,5.895,64438.40000000001,11200,TQBR
AMEZ,2014-08-18,5.898,5.958,5.61,5.957,138662.7,23900,TQBR
AMEZ,2014-08-19,5.906,5.936,5.906,5.936,2962.0,500,TQBR
AMEZ,2014-08-20,5.955,5.956,5.871,5.95,9426.9,1600,TQBR
AMEZ,2014-08-21,5.957,5.958,5.5,5.936,2047833.9000000001,362700,TQBR
AMEZ,2014-08-22,5.932,6.384,5.932,6.149,216479.69999999998,35400,TQBR
AMEZ,2014-08-25,6.117,6.4,6.1,6.232,592842.1999999998,95100,TQBR
AMEZ,2014-08-26,6.245,6.386,6.1,6.198,196770.89999999997,32100,TQBR
AMEZ,2014-08-27,6.243,6.388,5.93,6.085,260425.6,42800,TQBR
AMEZ,2014-08-28,6.078,6.648,5.93,6.296,2741734.6,427800,TQBR
AMEZ,2014-08-29,6.296,6.95,6.12,6.16,38414168.4,5740400,TQBR
AMEZ,2014-09-01,6.324,6.324,6.03,6.1,322874.8,53100,TQBR
AMEZ,2014-09-02,6.042,6.084,6.03,6.04,111675.4,18500,TQBR
AMEZ,2014-09-03,6.109,6.248,6.012,6.1,103531.4,16900,TQBR
AMEZ,2014-09-04,6.123,6.123,5.999,6.082,162023.9,26800,TQBR
AMEZ,2014-09-05,6.037,6.08,6.0,6.05,128913.3,21400,TQBR
AMEZ,2014-09-08,6.048,6.1,5.82,6.1,212677.4,35400,TQBR
AMEZ,2014-09-09,6.143,6.15,6.143,6.15,30748.6,5000,TQBR
AMEZ,2014-09-10,6.247,6.25,6.247,6.25,366206.0,58600,TQBR
AMEZ,2014-09-11,6.35,6.35,6.056,6.056,311692.9,50400,TQBR
AMEZ,2014-09-12,6.248,6.315,6.063,6.126,1557465.5,248600,TQBR
AMEZ,2014-09-15,6.121,6.14,6.052,6.14,316109.6,51700,TQBR
AMEZ,2014-09-17,6.002,6.247,5.801,6.037,150620.1,25500,TQBR
AMEZ,2014-09-18,5.862,5.899,5.862,5.899,61345.9,10400,TQBR
AMEZ,2014-09-19,5.831,5.998,5.712,5.76,511627.6,89000,TQBR
AMEZ,2014-09-22,5.979,5.979,5.875,5.9,70023.3,11900,TQBR
AMEZ,2014-09-23,5.85,6.096,5.85,6.096,58660.7,10000,TQBR
