ticker,tradedate,open,high,low,close,value,volume,boardid
BELU,2017-08-01 00:00:00,640.0,842.0,630.0,679.0,200858.0,276,TQBR
BELU,2017-08-02 00:00:00,670.0,670.0,618.0,652.0,47115.0,73,TQBR
BELU,2017-08-03 00:00:00,680.0,680.0,628.0,650.0,33135.0,51,TQBR
BELU,2017-08-04 00:00:00,648.0,648.0,646.0,646.0,1294.0,2,TQBR
BELU,2017-08-07 00:00:00,620.0,633.0,615.0,633.0,3102.0,5,TQBR
BELU,2017-08-08 00:00:00,614.0,628.0,606.0,628.0,70966.0,116,TQBR
BELU,2017-08-09 00:00:00,616.0,621.0,600.0,617.0,3316821.0,5523,TQBR
BELU,2017-08-10 00:00:00,617.0,617.0,600.0,600.0,105068.0,174,TQBR
BELU,2017-08-11 00:00:00,651.0,651.0,621.0,625.0,679442.0,1090,TQBR
BELU,2017-08-14 00:00:00,631.0,631.0,611.0,615.0,8718.0,14,TQBR
BELU,2017-08-15 00:00:00,637.0,637.0,637.0,637.0,637.0,1,TQBR
BELU,2017-08-16 00:00:00,610.0,630.0,600.0,614.0,12049803.0,20081,TQBR
BELU,2017-08-17 00:00:00,602.0,618.0,600.0,612.0,6661608.0,11101,TQBR
BELU,2017-08-18 00:00:00,606.0,606.0,604.0,604.0,15716.0,26,TQBR
BELU,2017-08-21 00:00:00,603.0,603.0,600.0,602.0,3001286.0,5002,TQBR
BELU,2017-08-22 00:00:00,601.0,608.0,600.0,608.0,19233.0,32,TQBR
BELU,2017-08-23 00:00:00,608.0,608.0,601.0,608.0,9664.0,16,TQBR
BELU,2017-08-24 00:00:00,601.0,603.0,600.0,600.0,3015643.0,5026,TQBR
BELU,2017-08-25 00:00:00,601.0,608.0,600.0,605.0,3022460.0,5034,TQBR
BELU,2017-08-28 00:00:00,602.0,609.0,602.0,602.0,3622.0,6,TQBR
BELU,2017-08-29 00:00:00,609.0,644.0,602.0,602.0,17006.0,28,TQBR
BELU,2017-08-30 00:00:00,602.0,611.0,600.0,610.0,10840548.0,18060,TQBR
BELU,2017-08-31 00:00:00,603.0,618.0,602.0,610.0,36135.0,59,TQBR
BELU,2017-09-01 00:00:00,604.0,619.0,602.0,602.0,29156.0,48,TQBR
BELU,2017-09-04 00:00:00,609.0,614.0,603.0,610.0,29894.0,49,TQBR
BELU,2017-09-05 00:00:00,613.0,616.0,605.0,605.0,59620.0,97,TQBR
BELU,2017-09-06 00:00:00,603.0,618.0,602.0,618.0,12238.0,20,TQBR
BELU,2017-09-08 00:00:00,604.0,604.0,602.0,603.0,49986.0,83,TQBR
BELU,2017-09-11 00:00:00,603.0,603.0,603.0,603.0,31959.0,53,TQBR
BELU,2017-09-12 00:00:00,614.0,614.0,602.0,602.0,6637.0,11,TQBR
BELU,2017-09-13 00:00:00,611.0,611.0,605.0,605.0,1216.0,2,TQBR
BELU,2017-09-14 00:00:00,603.0,603.0,603.0,603.0,603000.0,1000,TQBR
BELU,2017-09-15 00:00:00,603.0,649.0,603.0,648.0,178517.0,282,TQBR
BELU,2017-09-18 00:00:00,610.0,647.0,603.0,629.0,3068646.0,5085,TQBR
BELU,2017-09-19 00:00:00,618.0,625.0,616.0,625.0,5574.0,9,TQBR
BELU,2017-09-20 00:00:00,616.0,624.0,606.0,606.0,6709.0,11,TQBR
BELU,2017-09-21 00:00:00,612.0,638.0,606.0,620.0,70245.0,113,TQBR
BELU,2017-09-22 00:00:00,620.0,630.0,600.0,607.0,12744965.0,21186,TQBR
BELU,2017-09-25 00:00:00,605.0,628.0,605.0,624.0,62566.0,101,TQBR
BELU,2017-09-26 00:00:00,626.0,629.0,600.0,620.0,7092932.0,11727,TQBR
BELU,2017-09-27 00:00:00,628.0,628.0,615.0,618.0,32613.0,53,TQBR
BELU,2017-09-28 00:00:00,615.0,639.0,605.0,605.0,16807080.0,27718,TQBR
BELU,2017-09-29 00:00:00,611.0,619.0,610.0,615.0,12225.0,20,TQBR
BELU,2017-10-02 00:00:00,622.0,625.0,606.0,618.0,171402.0,277,TQBR
BELU,2017-10-03 00:00:00,610.0,617.0,610.0,611.0,639886.0,1039,TQBR
BELU,2017-10-04 00:00:00,613.0,619.0,613.0,619.0,1232.0,2,TQBR
BELU,2017-10-05 00:00:00,618.0,619.0,618.0,619.0,16698.0,27,TQBR
BELU,2017-10-06 00:00:00,623.0,626.0,623.0,626.0,371214.0,594,TQBR
BELU,2017-10-09 00:00:00,620.0,635.0,620.0,628.0,432857.0,683,TQBR
BELU,2017-10-10 00:00:00,632.0,632.0,629.0,629.0,1893.0,3,TQBR
BELU,2017-10-11 00:00:00,634.0,662.0,634.0,650.0,475656.0,740,TQBR
BELU,2017-10-12 00:00:00,644.0,646.0,605.0,620.0,6147241.0,10132,TQBR
BELU,2017-10-13 00:00:00,629.0,630.0,629.0,630.0,18269.0,29,TQBR
BELU,2017-10-16 00:00:00,632.0,632.0,632.0,632.0,1264.0,2,TQBR
BELU,2017-10-17 00:00:00,640.0,640.0,625.0,625.0,633585.0,1013,TQBR
BELU,2017-10-18 00:00:00,631.0,649.0,630.0,649.0,14159.0,22,TQBR
BELU,2017-10-19 00:00:00,640.0,640.0,635.0,635.0,33030.0,52,TQBR
BELU,2017-10-20 00:00:00,666.0,666.0,641.0,641.0,10474.0,16,TQBR
BELU,2017-10-23 00:00:00,641.0,643.0,640.0,643.0,49310.0,77,TQBR
BELU,2017-10-24 00:00:00,643.0,643.0,636.0,636.0,13496.0,21,TQBR
BELU,2017-10-25 00:00:00,651.0,651.0,639.0,639.0,3215.0,5,TQBR
BELU,2017-10-26 00:00:00,637.0,640.0,630.0,639.0,46003.0,72,TQBR
BELU,2017-10-27 00:00:00,682.0,682.0,630.0,637.0,40532.0,64,TQBR
BELU,2017-10-30 00:00:00,629.0,635.0,625.0,631.0,114458.0,182,TQBR
BELU,2017-10-31 00:00:00,639.0,639.0,639.0,639.0,3195.0,5,TQBR
BELU,2017-11-01 00:00:00,626.0,626.0,625.0,625.0,3754.0,6,TQBR
BELU,2017-11-02 00:00:00,625.0,625.0,625.0,625.0,625.0,1,TQBR
BELU,2017-11-07 00:00:00,625.0,625.0,625.0,625.0,95000.0,152,TQBR
BELU,2017-11-08 00:00:00,625.0,650.0,625.0,650.0,89200.0,140,TQBR
BELU,2017-11-09 00:00:00,645.0,645.0,628.0,628.0,1273.0,2,TQBR
BELU,2017-11-10 00:00:00,648.0,648.0,625.0,640.0,171220.0,270,TQBR
BELU,2017-11-13 00:00:00,636.0,638.0,636.0,638.0,6366.0,10,TQBR
BELU,2017-11-14 00:00:00,645.0,650.0,645.0,650.0,364081.0,561,TQBR
BELU,2017-11-15 00:00:00,650.0,650.0,640.0,640.0,38340.0,59,TQBR
BELU,2017-11-16 00:00:00,640.0,640.0,630.0,630.0,46502.0,73,TQBR
BELU,2017-11-17 00:00:00,649.0,650.0,640.0,640.0,28298.0,44,TQBR
BELU,2017-11-20 00:00:00,648.0,658.0,648.0,658.0,96734.0,148,TQBR
BELU,2017-11-21 00:00:00,650.0,650.0,650.0,650.0,650.0,1,TQBR
BELU,2017-11-22 00:00:00,650.0,650.0,650.0,650.0,42250.0,65,TQBR
BELU,2017-11-23 00:00:00,650.0,656.0,650.0,656.0,26656.0,41,TQBR
BELU,2017-11-24 00:00:00,650.0,650.0,631.0,641.0,409336.0,631,TQBR
BELU,2017-11-27 00:00:00,648.0,648.0,648.0,648.0,648.0,1,TQBR
BELU,2017-11-28 00:00:00,649.0,649.0,640.0,648.0,42897.0,67,TQBR
BELU,2017-11-30 00:00:00,640.0,641.0,630.0,630.0,790803.0,1254,TQBR
BELU,2017-12-01 00:00:00,636.0,636.0,633.0,635.0,60933.0,96,TQBR
BELU,2017-12-04 00:00:00,630.0,636.0,630.0,636.0,2192406.0,3480,TQBR
BELU,2017-12-13 00:00:00,641.0,641.0,638.0,638.0,4475.0,7,TQBR
BELU,2017-12-14 00:00:00,640.0,641.0,640.0,641.0,22411.0,35,TQBR
BELU,2017-12-15 00:00:00,640.0,640.0,630.0,630.0,406711.0,639,TQBR
BELU,2017-12-18 00:00:00,630.0,640.0,630.0,630.0,732882.0,1161,TQBR
BELU,2017-12-19 00:00:00,630.0,631.0,629.0,630.0,3942567.0,6258,TQBR
BELU,2017-12-20 00:00:00,631.0,631.0,630.0,630.0,1008016.0,1600,TQBR
BELU,2017-12-21 00:00:00,630.0,631.0,630.0,631.0,675375.0,1072,TQBR
BELU,2017-12-22 00:00:00,630.0,630.0,630.0,630.0,31500.0,50,TQBR
BELU,2017-12-25 00:00:00,641.0,642.0,640.0,642.0,1923.0,3,TQBR
BELU,2017-12-27 00:00:00,653.0,653.0,653.0,653.0,653.0,1,TQBR
BELU,2017-12-28 00:00:00,644.0,644.0,640.0,642.0,3852.0,6,TQBR
BELU,2017-12-29 00:00:00,645.0,645.0,645.0,645.0,645.0,1,TQBR
BELU,2018-01-03 00:00:00,651.0,676.0,640.0,651.0,58374.0,89,TQBR
BELU,2018-01-04 00:00:00,650.0,650.0,649.0,649.0,1948.0,3,TQBR
BELU,2018-01-09 00:00:00,639.0,639.0,601.0,635.0,12083.0,19,TQBR
BELU,2018-01-10 00:00:00,635.0,636.0,620.0,636.0,464668.0,749,TQBR
BELU,2018-01-11 00:00:00,630.0,636.0,620.0,632.0,1145901.0,1837,TQBR
BELU,2018-01-12 00:00:00,625.0,630.0,600.0,620.0,7795985.0,12562,TQBR
BELU,2018-01-15 00:00:00,625.0,625.0,620.0,620.0,515471.0,831,TQBR
BELU,2018-01-16 00:00:00,620.0,630.0,620.0,630.0,483703.0,772,TQBR
BELU,2018-01-17 00:00:00,631.0,638.0,631.0,632.0,5708.0,9,TQBR
BELU,2018-01-18 00:00:00,622.0,645.0,622.0,630.0,13334.0,21,TQBR
BELU,2018-01-22 00:00:00,630.0,630.0,630.0,630.0,5670.0,9,TQBR
BELU,2018-01-23 00:00:00,630.0,630.0,630.0,630.0,31500.0,50,TQBR
BELU,2018-01-24 00:00:00,630.0,630.0,630.0,630.0,42840.0,68,TQBR
BELU,2018-01-25 00:00:00,630.0,645.0,630.0,637.0,286459.0,449,TQBR
BELU,2018-01-26 00:00:00,637.0,637.0,630.0,630.0,52640.0,83,TQBR
BELU,2018-01-29 00:00:00,630.0,639.0,630.0,638.0,32777.0,52,TQBR
BELU,2018-01-30 00:00:00,632.0,632.0,630.0,631.0,44129.0,70,TQBR
BELU,2018-01-31 00:00:00,630.0,636.0,617.0,635.0,519798.0,820,TQBR
BELU,2018-02-01 00:00:00,638.0,638.0,633.0,635.0,52026.0,82,TQBR
BELU,2018-02-02 00:00:00,636.0,636.0,635.0,635.0,226745.0,357,TQBR
BELU,2018-02-06 00:00:00,631.0,638.0,631.0,631.0,86747.0,136,TQBR
BELU,2018-02-08 00:00:00,636.0,637.0,632.0,632.0,1905.0,3,TQBR
BELU,2018-02-13 00:00:00,635.0,635.0,635.0,635.0,635.0,1,TQBR
BELU,2018-02-14 00:00:00,638.0,638.0,638.0,638.0,1276.0,2,TQBR
BELU,2018-02-19 00:00:00,635.0,635.0,630.0,630.0,7939515.0,12602,TQBR
BELU,2018-02-20 00:00:00,638.0,649.0,638.0,645.0,64973.0,101,TQBR
