ticker,tradedate,open,high,low,close,value,volume,boardid
CARM,2023-07-03 00:00:00,3.15,3.318,3.15,3.318,3372166523.95,1033508900,TQBR
CARM,2023-07-04 00:00:00,3.4405,3.523,2.8875,3.024,1672752841.25,532654500,TQBR
CARM,2023-07-05 00:00:00,3.023,3.025,2.888,2.89,306541926.35,104841900,TQBR
CARM,2023-07-06 00:00:00,2.89,2.9,2.6815,2.7,288548212.05,105392900,TQBR
CARM,2023-07-07 00:00:00,2.6995,2.8665,2.6865,2.805,346207507.0,123229700,TQBR
CARM,2023-07-10 00:00:00,2.8,3.0,2.6,2.8,134526950.0,47103400,TQBR
CARM,2023-07-11 00:00:00,2.803,2.8695,2.8,2.801,70574571.6,25014500,TQBR
CARM,2023-07-12 00:00:00,2.8035,2.8355,2.8005,2.805,42814896.8,15251400,TQBR
CARM,2023-07-13 00:00:00,2.8005,2.822,2.712,2.77,41229447.35,14812500,TQBR
CARM,2023-07-14 00:00:00,2.78,2.7855,2.722,2.743,65036560.5,23732800,TQBR
CARM,2023-07-17 00:00:00,2.743,2.75,2.666,2.7085,51880699.95,19146800,TQBR
CARM,2023-07-18 00:00:00,2.714,2.759,2.681,2.735,76179705.0,28095200,TQBR
CARM,2023-07-19 00:00:00,2.718,2.749,2.7,2.728,41900141.35,15412000,TQBR
CARM,2023-07-20 00:00:00,2.73,2.75,2.715,2.7215,40174568.75,14701600,TQBR
CARM,2023-07-21 00:00:00,2.7215,2.739,2.707,2.7245,22192479.75,8148400,TQBR
CARM,2023-07-24 00:00:00,2.7245,2.7745,2.7245,2.7565,43510047.6,15817300,TQBR
CARM,2023-07-25 00:00:00,2.774,2.8995,2.7635,2.8995,177674616.85,62250800,TQBR
CARM,2023-07-26 00:00:00,2.92,2.98,2.831,2.882,105099642.5,36183300,TQBR
CARM,2023-07-27 00:00:00,2.8925,2.9295,2.8615,2.907,36393009.75,12567200,TQBR
CARM,2023-07-28 00:00:00,2.907,2.907,2.841,2.867,37642462.9,13093700,TQBR
CARM,2023-07-31 00:00:00,2.91,2.92,2.881,2.902,53961293.9,18565800,TQBR
CARM,2023-08-01 00:00:00,2.9195,2.92,2.8715,2.88,34882835.3,12045100,TQBR
CARM,2023-08-02 00:00:00,2.921,2.9695,2.872,2.938,108198860.35,36933700,TQBR
CARM,2023-08-03 00:00:00,2.949,2.978,2.905,2.955,69219124.25,23391500,TQBR
CARM,2023-08-04 00:00:00,2.95,2.9815,2.7605,2.8495,102488184.25,35267000,TQBR
CARM,2023-08-07 00:00:00,2.9865,2.99,2.892,2.907,98698039.95,33602800,TQBR
CARM,2023-08-08 00:00:00,2.907,2.929,2.82,2.89,50142031.05,17399900,TQBR
CARM,2023-08-09 00:00:00,2.924,2.933,2.8805,2.9025,29020080.6,9975400,TQBR
CARM,2023-08-10 00:00:00,2.929,2.9395,2.8825,2.888,32562272.15,11233000,TQBR
CARM,2023-08-11 00:00:00,2.89,2.9375,2.89,2.9005,35914770.3,12311800,TQBR
CARM,2023-08-14 00:00:00,2.9005,2.9295,2.85,2.869,55172781.9,19038300,TQBR
CARM,2023-08-15 00:00:00,2.86,2.95,2.766,2.884,38853064.95,13548500,TQBR
CARM,2023-08-16 00:00:00,2.884,2.91,2.79,2.825,37910259.5,13349400,TQBR
CARM,2023-08-17 00:00:00,2.8435,2.88,2.8,2.84,33225071.95,11694900,TQBR
CARM,2023-08-18 00:00:00,2.86,2.949,2.813,2.933,54900211.7,18970100,TQBR
CARM,2023-08-21 00:00:00,2.995,2.995,2.917,2.925,121041217.6,41207000,TQBR
CARM,2023-08-22 00:00:00,2.93,2.9415,2.85,2.8805,47029970.65,16195800,TQBR
