ticker,tradedate,open,high,low,close,value,volume,boardid
CHGZ,2014-06-18,25.6,25.6,25.6,25.6,102400,4000,TQBR
CHGZ,2014-07-07,26.0,26.0,26.0,26.0,130000,5000,TQBR
CHGZ,2014-07-08,26.0,26.0,26.0,26.0,130000,5000,TQBR
CHGZ,2014-07-11,24.0,24.0,24.0,24.0,96000,4000,TQBR
CHGZ,2014-07-14,22.1,22.1,22.1,22.1,950300,43000,TQBR
CHGZ,2014-07-23,22.0,26.0,22.0,26.0,100000,4000,TQBR
CHGZ,2014-07-31,26.9,27.0,26.9,27.0,53900,2000,TQBR
CHGZ,2014-08-04,28.0,28.0,28.0,28.0,112000,4000,TQBR
CHGZ,2014-08-13,26.0,26.0,26.0,26.0,26000,1000,TQBR
CHGZ,2014-08-14,27.0,27.0,27.0,27.0,81000,3000,TQBR
CHGZ,2014-08-28,28.0,28.0,28.0,28.0,56000,2000,TQBR
CHGZ,2014-08-29,28.0,28.0,28.0,28.0,196000,7000,TQBR
CHGZ,2014-09-03,28.0,28.0,28.0,28.0,28000,1000,TQBR
CHGZ,2014-09-30,20.071,25.0,17.0,25.0,188362,9000,TQBR
CHGZ,2014-10-03,24.9,25.0,24.9,25.0,149900,6000,TQBR
CHGZ,2014-10-13,20.7,25.0,20.7,25.0,120600,5000,TQBR
CHGZ,2014-10-23,27.0,27.0,27.0,27.0,135000,5000,TQBR
CHGZ,2014-10-24,27.0,27.0,27.0,27.0,135000,5000,TQBR
CHGZ,2014-11-05,27.0,27.0,27.0,27.0,135000,5000,TQBR
CHGZ,2014-11-13,25.0,25.0,25.0,25.0,125000,5000,TQBR
CHGZ,2014-11-14,27.0,27.0,27.0,27.0,891000,33000,TQBR
CHGZ,2014-11-19,29.2,29.2,29.2,29.2,233600,8000,TQBR
CHGZ,2014-11-28,26.3,26.3,26.3,26.3,26300,1000,TQBR
CHGZ,2014-12-25,21.3,21.3,21.3,21.3,21300,1000,TQBR
CHGZ,2014-12-26,26.0,26.0,26.0,26.0,26000,1000,TQBR
CHGZ,2015-01-16,33.0,33.0,33.0,33.0,33000,1000,TQBR
CHGZ,2015-02-03,24.2,29.7,20.6,25.0,200500,8000,TQBR
CHGZ,2015-02-04,21.0,27.0,21.0,27.0,48000,2000,TQBR
CHGZ,2015-02-06,27.0,27.0,27.0,27.0,54000,2000,TQBR
CHGZ,2015-03-16,28.0,28.0,28.0,28.0,84000,3000,TQBR
CHGZ,2015-04-17,34.0,34.0,34.0,34.0,136000,4000,TQBR
CHGZ,2015-04-20,39.0,39.0,39.0,39.0,39000,1000,TQBR
CHGZ,2015-05-27,25.8,37.9,25.8,37.9,509600,16000,TQBR
CHGZ,2015-06-02,25.4,25.4,25.4,25.4,203200,8000,TQBR
CHGZ,2015-06-03,26.0,26.2,26.0,26.2,234200,9000,TQBR
CHGZ,2015-06-09,24.3,24.3,24.2,24.2,96900,4000,TQBR
CHGZ,2015-06-10,23.9,30.0,23.9,30.0,101700,4000,TQBR
CHGZ,2015-06-11,34.9,34.9,25.9,26.0,182600,6000,TQBR
CHGZ,2015-06-16,31.6,31.6,31.6,31.6,94800,3000,TQBR
CHGZ,2015-06-17,26.2,27.1,26.2,27.1,79500,3000,TQBR
CHGZ,2015-07-01,26.0,26.0,26.0,26.0,1014000,39000,TQBR
CHGZ,2015-07-06,26.0,26.0,26.0,26.0,468000,18000,TQBR
CHGZ,2015-07-28,25.5,26.0,25.5,26.0,154900,6000,TQBR
CHGZ,2015-07-31,26.1,26.1,26.1,26.1,26100,1000,TQBR
CHGZ,2015-08-19,26.0,26.0,26.0,26.0,208000,8000,TQBR
CHGZ,2015-08-26,26.0,28.3,26.0,28.3,1943500,69000,TQBR
CHGZ,2015-09-23,31.0,31.0,31.0,31.0,31000,1000,TQBR
CHGZ,2015-09-24,28.9,29.0,28.9,29.0,115900,4000,TQBR
CHGZ,2015-09-28,25.6,32.6,25.6,32.6,116400,4000,TQBR
CHGZ,2015-09-30,25.9,29.8,25.9,25.9,437800,16000,TQBR
CHGZ,2015-10-01,31.8,31.8,26.8,31.4,360000,12000,TQBR
CHGZ,2015-10-02,26.9,29.4,26.9,26.9,332800,12000,TQBR
CHGZ,2015-10-05,34.8,34.8,27.2,34.8,290400,9000,TQBR
CHGZ,2015-10-06,27.2,30.9,27.2,27.4,396600,14000,TQBR
CHGZ,2015-10-14,26.8,26.8,26.8,26.8,26800,1000,TQBR
CHGZ,2015-10-26,28.0,30.8,28.0,30.8,238000,8000,TQBR
CHGZ,2015-10-28,28.5,28.5,28.5,28.5,28500,1000,TQBR
CHGZ,2015-10-29,33.1,33.1,28.1,28.1,183700,6000,TQBR
CHGZ,2015-11-02,28.1,28.1,28.1,28.1,28100,1000,TQBR
CHGZ,2015-11-05,30.0,30.0,30.0,30.0,30000,1000,TQBR
CHGZ,2015-11-09,28.1,32.9,28.1,28.1,572300,19000,TQBR
CHGZ,2015-11-10,31.4,31.4,28.1,28.1,839600,28000,TQBR
CHGZ,2015-11-11,28.6,31.8,28.6,28.9,600000,20000,TQBR
CHGZ,2015-11-12,31.8,31.8,28.6,31.8,612400,20000,TQBR
