ticker,tradedate,open,high,low,close,value,volume,boardid
CHMF,2014-06-09 00:00:00,297.0,305.0,295.0,296.5,544321251.0,1814130,TQBR
CHMF,2014-06-10 00:00:00,297.5,297.5,291.1,293.4,282784084.0,963070,TQBR
CHMF,2014-06-11 00:00:00,293.2,296.7,290.0,292.5,238429396.0,816920,TQBR
CHMF,2014-06-16 00:00:00,290.1,290.9,282.7,285.4,681333222.0,2377230,TQBR
CHMF,2014-06-17 00:00:00,285.4,291.2,284.6,286.5,404236588.0,1404850,TQBR
CHMF,2014-06-18 00:00:00,288.3,293.9,286.1,291.9,435311851.0,1498790,TQBR
CHMF,2014-06-19 00:00:00,295.0,298.0,291.3,294.0,569066201.0,1929690,TQBR
CHMF,2014-06-20 00:00:00,290.0,290.3,285.3,286.2,450111601.0,1563870,TQBR
CHMF,2014-06-23 00:00:00,287.0,290.0,284.1,285.1,239797945.0,835640,TQBR
CHMF,2014-06-24 00:00:00,285.4,293.3,285.4,291.8,437417166.0,1505130,TQBR
CHMF,2014-06-25 00:00:00,289.8,292.8,284.3,284.5,365559650.0,1271190,TQBR
CHMF,2014-06-26 00:00:00,285.9,286.2,278.3,280.1,448115962.0,1590760,TQBR
CHMF,2014-06-27 00:00:00,280.1,283.0,276.8,280.6,301984845.0,1078620,TQBR
CHMF,2014-06-30 00:00:00,281.2,282.9,276.2,279.0,238092848.0,852750,TQBR
CHMF,2014-07-01 00:00:00,279.7,279.7,277.1,278.7,264702596.0,951730,TQBR
CHMF,2014-07-02 00:00:00,279.0,287.3,279.0,285.7,490468112.0,1723250,TQBR
CHMF,2014-07-03 00:00:00,286.4,289.3,285.2,288.7,413798981.0,1438480,TQBR
CHMF,2014-07-04 00:00:00,289.0,290.9,282.7,283.4,351108832.0,1222690,TQBR
CHMF,2014-07-07 00:00:00,283.4,290.7,282.9,289.5,301133257.0,1047450,TQBR
CHMF,2014-07-08 00:00:00,290.0,295.5,289.6,293.0,603101734.0,2052550,TQBR
CHMF,2014-07-09 00:00:00,293.0,297.5,289.1,291.4,580195649.0,1979230,TQBR
CHMF,2014-07-10 00:00:00,293.0,294.1,285.2,287.8,588356341.0,2038120,TQBR
CHMF,2014-07-11 00:00:00,288.8,292.1,286.0,290.9,548423605.0,1896240,TQBR
CHMF,2014-07-14 00:00:00,291.2,294.6,289.4,293.5,321972813.0,1101820,TQBR
CHMF,2014-07-15 00:00:00,294.6,302.0,291.5,298.2,672182127.0,2268850,TQBR
CHMF,2014-07-16 00:00:00,298.5,305.0,297.6,304.5,589677938.0,1947310,TQBR
CHMF,2014-07-17 00:00:00,302.1,304.5,296.5,303.9,629237752.0,2094060,TQBR
CHMF,2014-07-18 00:00:00,299.0,303.2,296.5,302.0,728243910.0,2427550,TQBR
CHMF,2014-07-21 00:00:00,304.0,309.0,303.0,303.9,991456354.0,3236280,TQBR
CHMF,2014-07-22 00:00:00,305.8,313.4,305.1,311.7,978744100.0,3155140,TQBR
CHMF,2014-07-23 00:00:00,311.7,317.0,307.1,310.0,800058067.0,2555900,TQBR
CHMF,2014-07-24 00:00:00,308.8,312.3,306.2,310.5,373202476.0,1208490,TQBR
CHMF,2014-07-25 00:00:00,310.0,312.7,307.2,310.1,377338382.0,1218340,TQBR
CHMF,2014-07-28 00:00:00,307.6,309.5,304.6,307.9,309720048.0,1007900,TQBR
CHMF,2014-07-29 00:00:00,308.0,321.5,308.0,320.0,812532928.0,2571130,TQBR
CHMF,2014-07-30 00:00:00,317.0,333.8,316.1,331.3,1130026289.0,3445340,TQBR
CHMF,2014-07-31 00:00:00,330.3,346.2,330.3,343.0,1328494372.0,3895730,TQBR
CHMF,2014-08-01 00:00:00,343.1,347.9,337.4,344.9,822418560.0,2403520,TQBR
CHMF,2014-08-04 00:00:00,348.9,349.6,339.1,343.1,474403999.0,1383010,TQBR
CHMF,2014-08-05 00:00:00,343.6,344.8,331.3,333.1,698367013.0,2083260,TQBR
CHMF,2014-08-06 00:00:00,331.7,335.0,326.3,328.3,742217594.0,2250870,TQBR
CHMF,2014-08-07 00:00:00,326.4,333.8,325.5,330.7,719692205.0,2181600,TQBR
CHMF,2014-08-08 00:00:00,330.8,337.0,327.2,334.1,746645234.0,2238850,TQBR
CHMF,2014-08-11 00:00:00,342.2,343.9,333.0,339.0,768708378.0,2270670,TQBR
CHMF,2014-08-12 00:00:00,337.5,338.8,332.6,334.9,391492322.0,1164600,TQBR
CHMF,2014-08-13 00:00:00,333.8,341.7,333.3,340.8,585741227.0,1731730,TQBR
CHMF,2014-08-14 00:00:00,339.1,345.0,336.6,338.8,536124097.0,1573690,TQBR
CHMF,2014-08-15 00:00:00,340.0,344.8,337.5,341.3,373599196.0,1094630,TQBR
CHMF,2014-08-18 00:00:00,341.4,344.4,338.5,343.0,276622555.0,808560,TQBR
CHMF,2014-08-19 00:00:00,343.8,354.1,342.0,353.0,730929262.0,2102870,TQBR
CHMF,2014-08-20 00:00:00,353.9,362.5,350.2,362.2,617764770.0,1734500,TQBR
CHMF,2014-08-21 00:00:00,363.5,370.2,360.5,364.1,718248504.0,1967470,TQBR
CHMF,2014-08-22 00:00:00,363.1,364.8,355.4,360.4,483073826.0,1345850,TQBR
CHMF,2014-08-25 00:00:00,361.0,363.0,357.5,359.7,213446678.0,592180,TQBR
CHMF,2014-08-26 00:00:00,360.4,365.5,358.1,364.8,416134269.0,1147290,TQBR
CHMF,2014-08-27 00:00:00,365.5,367.2,358.7,359.4,447664171.0,1235990,TQBR
CHMF,2014-08-28 00:00:00,359.3,359.9,351.2,355.6,688997306.0,1942360,TQBR
CHMF,2014-08-29 00:00:00,356.6,359.5,352.2,359.5,363667115.0,1022820,TQBR
CHMF,2014-09-01 00:00:00,362.2,364.5,354.6,358.0,484743908.0,1349900,TQBR
