ticker,tradedate,open,high,low,close,value,volume,boardid
CHMK,2014-06-09,737,740,712,726,59242,82,TQBR
CHMK,2014-06-10,726,757,726,757,43622,59,TQBR
CHMK,2014-06-11,730,740,711,740,164515,228,TQBR
CHMK,2014-06-16,721,723,695,723,318511,454,TQBR
CHMK,2014-06-17,702,736,700,719,169295,237,TQBR
CHMK,2014-06-18,703,719,702,719,4936,7,TQBR
CHMK,2014-06-19,739,739,658,704,53905,76,TQBR
CHMK,2014-06-20,716,717,680,711,181581,258,TQBR
CHMK,2014-06-23,739,739,701,707,52367,73,TQBR
CHMK,2014-06-24,724,726,724,725,17412,24,TQBR
CHMK,2014-06-25,708,716,680,699,80460,116,TQBR
CHMK,2014-06-26,699,777,699,731,188063,255,TQBR
CHMK,2014-06-27,693,734,687,726,47957,67,TQBR
CHMK,2014-06-30,726,726,699,721,141448,200,TQBR
CHMK,2014-07-01,716,716,690,712,58864,84,TQBR
CHMK,2014-07-02,697,733,697,716,110168,154,TQBR
CHMK,2014-07-03,725,725,712,716,20781,29,TQBR
CHMK,2014-07-04,701,720,680,715,264313,378,TQBR
CHMK,2014-07-07,708,709,696,709,211956,303,TQBR
CHMK,2014-07-08,708,709,691,705,37294,53,TQBR
CHMK,2014-07-09,702,705,690,702,68743,98,TQBR
CHMK,2014-07-10,692,704,643,649,296735,447,TQBR
CHMK,2014-07-11,651,655,642,652,97307,150,TQBR
CHMK,2014-07-14,690,691,663,666,96530,141,TQBR
CHMK,2014-07-15,666,682,641,672,347122,526,TQBR
CHMK,2014-07-16,675,688,662,662,193663,289,TQBR
CHMK,2014-07-17,662,687,645,662,154261,236,TQBR
CHMK,2014-07-18,659,683,640,647,87375,134,TQBR
CHMK,2014-07-21,648,649,629,636,125303,198,TQBR
CHMK,2014-07-22,680,680,608,633,131525,211,TQBR
CHMK,2014-07-23,637,637,618,626,80421,128,TQBR
CHMK,2014-07-24,636,642,626,626,10151,16,TQBR
CHMK,2014-07-25,636,638,635,635,50875,80,TQBR
CHMK,2014-07-28,645,646,621,621,77602,121,TQBR
CHMK,2014-07-29,639,639,609,622,180800,291,TQBR
CHMK,2014-07-30,617,619,610,619,117600,192,TQBR
CHMK,2014-07-31,640,653,620,620,45737,72,TQBR
CHMK,2014-08-01,636,649,605,649,66467,103,TQBR
CHMK,2014-08-04,650,702,650,674,254369,377,TQBR
CHMK,2014-08-05,672,672,625,628,101067,157,TQBR
CHMK,2014-08-06,624,625,600,607,188608,310,TQBR
CHMK,2014-08-07,601,631,594,600,104000,173,TQBR
CHMK,2014-08-08,638,643,618,642,6978,11,TQBR
CHMK,2014-08-11,639,647,625,625,255602,406,TQBR
CHMK,2014-08-12,633,647,630,630,13412,21,TQBR
CHMK,2014-08-13,639,652,636,636,35905,56,TQBR
CHMK,2014-08-14,644,644,636,637,19793,31,TQBR
CHMK,2014-08-15,650,651,650,651,66400,102,TQBR
CHMK,2014-08-18,651,651,625,625,23349,37,TQBR
CHMK,2014-08-19,635,638,630,630,37440,59,TQBR
CHMK,2014-08-20,619,650,619,650,239983,377,TQBR
CHMK,2014-08-21,651,699,631,650,167405,253,TQBR
CHMK,2014-08-22,650,650,650,650,14300,22,TQBR
CHMK,2014-08-26,625,631,625,630,3146,5,TQBR
CHMK,2014-08-27,644,644,628,629,20125,32,TQBR
CHMK,2014-08-28,625,630,623,629,35692,57,TQBR
CHMK,2014-08-29,623,623,614,614,21687,35,TQBR
CHMK,2014-09-01,625,630,614,614,16296,26,TQBR
CHMK,2014-09-02,630,630,624,624,86858,138,TQBR
CHMK,2014-09-03,623,623,581,623,231801,376,TQBR
CHMK,2014-09-04,629,629,629,629,9435,15,TQBR
CHMK,2014-09-05,629,629,629,629,1258,2,TQBR
CHMK,2014-09-08,632,632,631,631,4423,7,TQBR
CHMK,2014-09-09,620,631,602,610,129632,207,TQBR
CHMK,2014-09-10,629,853,629,853,1558307,1906,TQBR
CHMK,2014-09-11,1007,1193,1000,1193,5247712,4462,TQBR
CHMK,2014-09-12,1297,1668,1193,1604,13973973,9471,TQBR
CHMK,2014-09-15,1602,1970,1600,1700,8275930,4717,TQBR
CHMK,2014-09-16,1744,1744,1423,1430,2941911,1951,TQBR
CHMK,2014-09-17,1415,1487,1200,1254,2814732,2209,TQBR
CHMK,2014-09-18,1298,1298,1205,1261,384484,308,TQBR
CHMK,2014-09-19,1297,1490,1100,1137,2470376,1987,TQBR
CHMK,2014-09-22,1130,1192,1053,1068,1241578,1114,TQBR
CHMK,2014-09-23,1034,1298,995,1251,4100278,3434,TQBR
CHMK,2014-09-24,1263,1388,1204,1214,1410349,1116,TQBR
CHMK,2014-09-25,1204,1249,1131,1148,422872,363,TQBR
CHMK,2014-09-26,1169,1169,1030,1068,538674,505,TQBR
CHMK,2014-09-29,1088,1157,1000,1043,606718,581,TQBR
CHMK,2014-09-30,1005,1139,1002,1059,250035,239,TQBR
CHMK,2014-10-01,1010,1110,987,987,906844,886,TQBR
CHMK,2014-10-02,1022,1380,1022,1380,4126679,3270,TQBR
CHMK,2014-10-03,1426,1863,1393,1639,12472121,7835,TQBR
CHMK,2014-10-06,1602,1698,1413,1449,3779494,2438,TQBR
CHMK,2014-10-07,1410,1490,1340,1450,1859348,1334,TQBR
CHMK,2014-10-08,1414,1468,1357,1419,393678,280,TQBR
CHMK,2014-10-09,1440,1489,1370,1396,592955,421,TQBR
CHMK,2014-10-10,1331,1390,1258,1315,554184,423,TQBR
CHMK,2014-10-13,1255,1389,1240,1389,667384,508,TQBR
CHMK,2014-10-14,1385,1471,1320,1353,215646,156,TQBR
CHMK,2014-10-15,1378,1394,1288,1290,283309,215,TQBR
CHMK,2014-10-16,1300,1372,1254,1290,360283,277,TQBR
CHMK,2014-10-17,1325,1325,1256,1304,114478,89,TQBR
CHMK,2014-10-20,1323,1325,1252,1286,89890,70,TQBR
CHMK,2014-10-21,1289,1750,1258,1550,3047049,2021,TQBR
CHMK,2014-10-22,1508,1600,1400,1420,421432,295,TQBR
CHMK,2014-10-23,1430,1588,1381,1455,1381604,946,TQBR
CHMK,2014-10-24,1429,1475,1404,1435,149145,104,TQBR
CHMK,2014-10-27,1400,1439,1334,1402,923497,664,TQBR
