ticker,tradedate,open,high,low,close,value,volume,boardid
CNTLP,2014-06-09,5.91,5.91,5.7,5.851,155156.8,27200,TQBR
CNTLP,2014-06-10,5.915,5.916,5.52,5.8,131818.6,23000,TQBR
CNTLP,2014-06-11,5.78,5.78,5.7,5.769,28759.1,5000,TQBR
CNTLP,2014-06-16,5.8,5.844,5.735,5.844,31706.0,5500,TQBR
CNTLP,2014-06-17,5.7,5.993,5.67,5.781,297278.5,51900,TQBR
CNTLP,2014-06-18,5.775,5.989,5.7,5.973,276843.9,47700,TQBR
CNTLP,2014-06-19,5.74,5.901,5.735,5.751,120730.7,20800,TQBR
CNTLP,2014-06-20,5.769,5.895,5.764,5.872,371022.7,63700,TQBR
CNTLP,2014-06-23,5.5,5.6,5.2,5.398,506174.0,94100,TQBR
CNTLP,2014-06-24,5.496,5.496,5.25,5.311,386898.0,73500,TQBR
CNTLP,2014-06-25,5.15,5.307,5.15,5.287,77156.2,14800,TQBR
CNTLP,2014-06-26,5.4,5.4,5.15,5.351,5260.0,1000,TQBR
CNTLP,2014-06-27,5.435,5.443,5.31,5.443,32008.9,5900,TQBR
CNTLP,2014-06-30,5.293,5.425,5.289,5.379,20739.1,3900,TQBR
CNTLP,2014-07-01,5.151,5.498,5.105,5.339,53920.4,10200,TQBR
CNTLP,2014-07-02,5.153,5.397,5.153,5.397,2613.3,500,TQBR
CNTLP,2014-07-03,5.363,5.363,5.15,5.15,6242.4,1200,TQBR
CNTLP,2014-07-04,5.064,5.273,5.064,5.273,12079.9,2300,TQBR
CNTLP,2014-07-07,5.139,5.436,5.139,5.294,14050.0,2700,TQBR
CNTLP,2014-07-08,5.228,5.399,5.228,5.322,14734.7,2800,TQBR
CNTLP,2014-07-09,5.253,5.253,5.248,5.248,1575.0,300,TQBR
CNTLP,2014-07-10,5.276,5.276,5.189,5.189,38177.0,7300,TQBR
CNTLP,2014-07-11,5.225,5.397,5.183,5.397,33905.9,6500,TQBR
CNTLP,2014-07-15,5.345,5.378,5.2,5.2,15658.9,3000,TQBR
CNTLP,2014-07-16,5.299,5.453,5.236,5.281,32751.9,6200,TQBR
CNTLP,2014-07-17,5.132,5.2,5.132,5.2,8759.9,1700,TQBR
CNTLP,2014-07-18,5.288,5.29,5.15,5.2,109182.7,20900,TQBR
CNTLP,2014-07-21,5.29,5.29,5.29,5.29,529.0,100,TQBR
CNTLP,2014-07-22,5.127,5.242,5.007,5.242,25900.2,5100,TQBR
CNTLP,2014-07-23,5.157,5.157,5.15,5.15,629335.7,122200,TQBR
CNTLP,2014-07-25,5.151,5.29,5.04,5.043,99283.7,19600,TQBR
CNTLP,2014-07-28,5.021,5.151,5.011,5.02,77936.5,15500,TQBR
CNTLP,2014-07-29,5.011,5.155,5.007,5.01,14042.3,2800,TQBR
CNTLP,2014-07-30,5.013,5.069,5.006,5.06,38104.1,7600,TQBR
CNTLP,2014-07-31,5.045,5.048,4.929,5.048,156523.3,31700,TQBR
CNTLP,2014-08-01,5.19,5.19,5.0,5.049,3524.2,700,TQBR
CNTLP,2014-08-04,5.0,5.0,4.913,4.977,42385.1,8600,TQBR
CNTLP,2014-08-05,4.993,4.993,4.804,4.977,64172.8,13300,TQBR
CNTLP,2014-08-07,4.993,5.003,4.55,4.9,26495.9,5500,TQBR
CNTLP,2014-08-08,5.041,5.049,5.016,5.049,8548.3,1700,TQBR
CNTLP,2014-08-11,5.0,5.0,4.995,4.995,2498.8999999999996,500,TQBR
CNTLP,2014-08-13,4.989,4.989,4.985,4.985,15455.1,3100,TQBR
CNTLP,2014-08-14,4.997,5.498,4.997,5.011,73668.8,14600,TQBR
CNTLP,2014-08-20,4.895,5.132,4.8,5.132,60828.8,12600,TQBR
CNTLP,2014-08-21,4.882,5.48,4.88,5.299,99906.6,18900,TQBR
CNTLP,2014-08-22,5.0,5.0,5.0,5.0,500.0,100,TQBR
CNTLP,2014-08-25,5.039,5.353,5.039,5.353,2048.8,400,TQBR
CNTLP,2014-09-03,5.352,5.352,5.352,5.352,535.2,100,TQBR
CNTLP,2014-09-04,4.976,4.976,4.973,4.974,77091.3,15500,TQBR
CNTLP,2014-09-05,5.238,5.238,5.238,5.238,523.8,100,TQBR
CNTLP,2014-09-17,4.913,5.396,4.869,5.001,48215.3,9800,TQBR
CNTLP,2014-09-19,4.914,4.927,4.914,4.926,17729.1,3600,TQBR
CNTLP,2014-09-23,4.926,5.25,4.91,4.937,13342.5,2700,TQBR
CNTLP,2014-09-25,4.94,4.94,4.94,4.94,49400.0,10000,TQBR
CNTLP,2014-09-26,4.911,4.911,4.903,4.904,83398.4,17000,TQBR
CNTLP,2014-09-29,4.921,4.921,4.899,4.899,8828.1,1800,TQBR
CNTLP,2014-09-30,4.898,4.898,4.888,4.888,7825.3,1600,TQBR
CNTLP,2014-10-02,5.22,5.22,5.22,5.22,522.0,100,TQBR
CNTLP,2014-10-03,5.0,5.0,5.0,5.0,1500.0,300,TQBR
CNTLP,2014-10-06,4.9,4.9,4.87,4.87,129175.0,26500,TQBR
CNTLP,2014-10-07,4.87,4.87,4.86,4.86,10217.0,2100,TQBR
CNTLP,2014-10-08,4.97,4.97,4.97,4.97,497.0,100,TQBR
CNTLP,2014-10-09,4.99,4.99,4.99,4.99,499.0,100,TQBR
CNTLP,2014-10-10,5.19,5.19,5.19,5.19,519.0,100,TQBR
CNTLP,2014-10-13,5.14,5.14,5.14,5.14,514.0,100,TQBR
CNTLP,2014-10-14,4.87,5.2,4.87,4.99,382789.0,75700,TQBR
CNTLP,2014-10-15,5.11,5.11,5.11,5.11,511.0,100,TQBR
CNTLP,2014-10-16,4.99,4.99,4.99,4.99,499.0,100,TQBR
CNTLP,2014-10-17,5.15,5.16,4.91,4.91,53201.0,10600,TQBR
CNTLP,2014-10-20,5.12,5.12,5.12,5.12,512.0,100,TQBR
CNTLP,2014-10-21,5.05,5.05,5.05,5.05,47470.0,9400,TQBR
CNTLP,2014-10-22,5.12,5.25,5.12,5.25,262142.0,50000,TQBR
CNTLP,2014-10-24,4.92,5.0,4.85,5.0,30165.0,6100,TQBR
CNTLP,2014-10-27,5.02,5.02,5.02,5.02,2510.0,500,TQBR
CNTLP,2014-10-29,5.2,5.2,5.2,5.2,76960.0,14800,TQBR
CNTLP,2014-10-30,5.1,5.1,5.1,5.1,1020.0,200,TQBR
CNTLP,2014-10-31,5.1,5.1,5.08,5.09,171066.0,33600,TQBR
CNTLP,2014-11-03,4.74,5.2,4.74,5.2,994.0,200,TQBR
CNTLP,2014-11-05,5.09,5.09,5.09,5.09,1527.0,300,TQBR
CNTLP,2014-11-06,5.09,5.18,5.09,5.1,285110.0,56000,TQBR
CNTLP,2014-11-07,5.0,5.0,4.87,4.87,176953.0,35400,TQBR
CNTLP,2014-11-12,5.13,5.13,5.13,5.13,513.0,100,TQBR
CNTLP,2014-11-13,5.16,5.16,5.16,5.16,516.0,100,TQBR
CNTLP,2014-11-14,5.17,5.17,5.17,5.17,517.0,100,TQBR
CNTLP,2014-11-17,5.01,5.01,5.01,5.01,15030.0,3000,TQBR
CNTLP,2014-11-19,5.19,5.19,5.19,5.19,519.0,100,TQBR
CNTLP,2014-11-20,5.19,5.19,5.19,5.19,519.0,100,TQBR
CNTLP,2014-11-21,5.2,5.2,5.1,5.1,7150.0,1400,TQBR
CNTLP,2014-11-24,5.2,5.37,5.2,5.33,5274.0,1000,TQBR
CNTLP,2014-11-25,5.35,5.37,5.11,5.25,29909.0,5600,TQBR
CNTLP,2014-11-27,5.49,5.49,5.49,5.49,549.0,100,TQBR
CNTLP,2014-11-28,5.4,5.54,5.4,5.54,5509.0,1000,TQBR
CNTLP,2014-12-01,5.04,5.09,5.03,5.09,12582.0,2500,TQBR
CNTLP,2014-12-03,5.44,5.5,5.44,5.5,10945.0,2000,TQBR
CNTLP,2014-12-05,5.12,5.12,5.08,5.08,6110.0,1200,TQBR
CNTLP,2014-12-09,5.08,5.08,5.03,5.03,60462.0,12000,TQBR
CNTLP,2014-12-10,5.39,5.39,5.03,5.03,7151.0,1400,TQBR
CNTLP,2014-12-11,5.0,5.13,4.99,5.0,62008.0,12400,TQBR
CNTLP,2014-12-12,5.0,5.0,5.0,5.0,17000.0,3400,TQBR
CNTLP,2014-12-16,4.82,4.82,4.26,4.26,74136.0,17000,TQBR
CNTLP,2014-12-17,4.4,4.95,4.3,4.92,10096.0,2300,TQBR
CNTLP,2014-12-18,4.82,4.98,4.79,4.98,57315.0,11900,TQBR
CNTLP,2014-12-19,5.05,5.13,5.0,5.13,7518.0,1500,TQBR
CNTLP,2014-12-22,4.99,5.1,4.99,5.1,287512.0,57600,TQBR
CNTLP,2014-12-23,4.99,4.99,4.4,4.4,57364.0,12400,TQBR
CNTLP,2014-12-24,4.89,4.89,4.89,4.89,489.0,100,TQBR
CNTLP,2014-12-25,4.81,5.1,4.81,5.1,389727.0,77800,TQBR
CNTLP,2014-12-26,5.1,5.3,5.1,5.3,145671.0,28000,TQBR
CNTLP,2014-12-29,5.26,5.26,5.26,5.26,2630.0,500,TQBR
CNTLP,2014-12-30,5.01,5.01,5.0,5.0,5002.0,1000,TQBR
CNTLP,2015-01-05,5.0,5.0,5.0,5.0,500.0,100,TQBR
CNTLP,2015-01-08,4.84,4.94,4.28,4.94,54951.0,12600,TQBR
CNTLP,2015-01-09,5.33,5.35,5.29,5.29,6940.0,1300,TQBR
CNTLP,2015-01-13,5.33,5.33,5.0,5.0,3566.0,700,TQBR
CNTLP,2015-01-14,5.0,5.0,5.0,5.0,500.0,100,TQBR
CNTLP,2015-01-15,5.37,5.37,5.37,5.37,1074.0,200,TQBR
CNTLP,2015-01-19,5.29,5.29,5.29,5.29,4232.0,800,TQBR
CNTLP,2015-01-26,4.83,4.83,4.7,4.7,3817.0,800,TQBR
CNTLP,2015-01-27,4.81,4.86,4.8,4.86,1927.0,400,TQBR
CNTLP,2015-01-29,4.99,5.0,4.99,5.0,36999.0,7400,TQBR
CNTLP,2015-01-30,5.0,5.0,5.0,5.0,55500.0,11100,TQBR
CNTLP,2015-02-02,4.9,5.0,4.9,4.9,3480.0,700,TQBR
CNTLP,2015-02-03,5.1,5.1,5.1,5.1,510.0,100,TQBR
CNTLP,2015-02-04,5.17,5.28,5.15,5.28,31656.0,6000,TQBR
CNTLP,2015-02-05,5.1,5.1,5.0,5.0,7040.0,1400,TQBR
CNTLP,2015-02-06,5.1,5.1,4.91,5.0,23621.0,4700,TQBR
CNTLP,2015-02-09,5.1,5.1,5.0,5.1,211160.0,41500,TQBR
CNTLP,2015-02-10,4.97,4.97,4.61,4.74,34309.0,7100,TQBR
CNTLP,2015-02-11,5.07,5.73,5.01,5.14,155229.0,29500,TQBR
CNTLP,2015-02-12,5.4,5.4,5.25,5.25,5833.0,1100,TQBR
CNTLP,2015-02-13,5.39,5.6,5.39,5.55,20451.0,3700,TQBR
CNTLP,2015-02-16,5.39,6.0,5.39,5.9,526808.0,91100,TQBR
CNTLP,2015-02-17,5.95,6.24,5.5,5.55,263081.0,44100,TQBR
CNTLP,2015-02-18,5.8,5.81,5.5,5.5,54288.0,9800,TQBR
CNTLP,2015-02-20,5.69,5.71,5.52,5.62,8354.0,1500,TQBR
CNTLP,2015-02-24,5.32,5.58,5.13,5.58,15424.0,2900,TQBR
CNTLP,2015-02-25,5.72,5.72,5.33,5.33,1105.0,200,TQBR
CNTLP,2015-02-26,5.6,5.6,5.6,5.6,1120.0,200,TQBR
CNTLP,2015-02-27,5.4,5.58,5.35,5.58,3259.0,600,TQBR
CNTLP,2015-03-02,5.6,5.6,5.27,5.48,14172.0,2600,TQBR
CNTLP,2015-03-03,5.31,5.31,5.31,5.31,531.0,100,TQBR
CNTLP,2015-03-04,5.49,5.72,5.38,5.72,118808.0,21600,TQBR
CNTLP,2015-03-05,5.53,5.78,5.11,5.4,20953.0,3900,TQBR
CNTLP,2015-03-06,5.68,5.8,5.68,5.8,10864.0,1900,TQBR
CNTLP,2015-03-10,5.65,5.65,5.5,5.64,3907.0,700,TQBR
CNTLP,2015-03-11,5.61,5.64,5.61,5.64,14067.0,2500,TQBR
CNTLP,2015-03-13,5.79,5.85,5.5,5.5,40998.0,7400,TQBR
CNTLP,2015-03-17,5.5,5.51,5.5,5.51,1101.0,200,TQBR
CNTLP,2015-03-20,5.73,5.78,5.51,5.51,5151.0,900,TQBR
CNTLP,2015-03-24,5.77,5.95,5.7,5.75,141044.0,24600,TQBR
CNTLP,2015-03-25,5.75,6.0,5.75,5.8,68759.0,11800,TQBR
CNTLP,2015-03-26,5.9,5.9,5.76,5.76,4046.0,700,TQBR
CNTLP,2015-03-27,5.58,5.87,5.58,5.87,1145.0,200,TQBR
CNTLP,2015-03-30,5.88,6.0,5.81,5.81,143475.0,24200,TQBR
CNTLP,2015-03-31,5.9,6.2,5.9,5.9,28475.0,4800,TQBR
CNTLP,2015-04-01,5.9,6.0,5.85,6.0,21276.0,3600,TQBR
CNTLP,2015-04-02,5.51,5.89,5.04,5.57,673611.0,123300,TQBR
CNTLP,2015-04-03,5.35,5.83,5.1,5.83,36496.0,6700,TQBR
CNTLP,2015-04-06,5.5,5.88,5.5,5.88,179888.0,32700,TQBR
CNTLP,2015-04-07,5.87,5.87,5.53,5.85,73045.0,13100,TQBR
CNTLP,2015-04-08,5.52,5.61,5.5,5.61,26435.0,4800,TQBR
CNTLP,2015-04-09,5.61,5.85,5.6,5.85,2266.0,400,TQBR
CNTLP,2015-04-10,5.42,5.81,5.42,5.81,110097.0,20300,TQBR
CNTLP,2015-04-13,5.85,5.85,5.6,5.6,6205.0,1100,TQBR
CNTLP,2015-04-14,5.78,5.78,5.78,5.78,578.0,100,TQBR
CNTLP,2015-04-15,5.85,5.85,5.56,5.56,1141.0,200,TQBR
CNTLP,2015-04-16,5.78,5.78,5.78,5.78,578.0,100,TQBR
CNTLP,2015-04-21,5.87,5.87,5.62,5.62,10825.0,1900,TQBR
CNTLP,2015-04-22,5.52,5.75,5.46,5.75,219635.0,39800,TQBR
CNTLP,2015-04-24,5.43,5.77,5.43,5.55,3897.0,700,TQBR
CNTLP,2015-04-27,5.79,5.79,5.47,5.47,6683.0,1200,TQBR
CNTLP,2015-04-28,5.48,5.77,5.48,5.6,5047.0,900,TQBR
CNTLP,2015-04-29,5.83,5.83,5.83,5.83,1166.0,200,TQBR
CNTLP,2015-04-30,5.79,7.92,5.79,6.91,1711386.0,249100,TQBR
CNTLP,2015-05-05,7.27,7.85,5.91,6.45,438145.0,68500,TQBR
CNTLP,2015-05-06,6.17,6.42,6.17,6.37,62074.0,10000,TQBR
CNTLP,2015-05-07,6.56,6.84,6.45,6.5,48297.0,7400,TQBR
CNTLP,2015-05-08,6.84,6.84,6.35,6.56,24109.0,3700,TQBR
CNTLP,2015-05-12,6.49,6.51,6.0,6.12,55984.0,9100,TQBR
CNTLP,2015-05-13,6.43,6.43,6.2,6.2,7565.0,1200,TQBR
CNTLP,2015-05-14,6.5,6.5,6.06,6.14,23721.0,3900,TQBR
CNTLP,2015-05-15,6.2,6.25,6.19,6.25,2483.0,400,TQBR
CNTLP,2015-05-18,6.44,6.44,6.44,6.44,644.0,100,TQBR
CNTLP,2015-05-19,6.5,6.5,5.85,6.08,249287.0,41900,TQBR
CNTLP,2015-05-20,6.47,6.47,6.16,6.16,34323.0,5500,TQBR
CNTLP,2015-05-21,6.2,6.24,6.14,6.24,4338.0,700,TQBR
CNTLP,2015-05-22,6.37,6.37,6.0,6.1,61842.0,10200,TQBR
CNTLP,2015-05-25,6.14,6.14,6.14,6.14,3070.0,500,TQBR
CNTLP,2015-05-26,6.17,6.2,5.95,6.2,17016.0,2800,TQBR
CNTLP,2015-05-27,6.44,6.44,6.44,6.44,644.0,100,TQBR
CNTLP,2015-05-28,6.26,6.26,6.26,6.26,626.0,100,TQBR
CNTLP,2015-05-29,6.31,6.31,6.02,6.05,127237.0,21100,TQBR
CNTLP,2015-06-01,6.48,6.48,6.02,6.02,88035.0,14600,TQBR
CNTLP,2015-06-02,6.23,6.23,6.19,6.19,1242.0,200,TQBR
CNTLP,2015-06-03,6.08,6.09,6.04,6.04,6060.0,1000,TQBR
CNTLP,2015-06-04,6.09,6.09,6.06,6.06,2429.0,400,TQBR
CNTLP,2015-06-05,6.43,6.43,6.06,6.06,6703.0,1100,TQBR
CNTLP,2015-06-08,6.29,6.31,5.94,6.12,499393.0,83000,TQBR
CNTLP,2015-06-09,6.21,6.38,6.15,6.16,34350.0,5500,TQBR
CNTLP,2015-06-10,6.15,6.35,6.15,6.35,6866.0,1100,TQBR
CNTLP,2015-06-11,6.37,6.37,6.2,6.34,17467.0,2800,TQBR
CNTLP,2015-06-15,6.35,6.38,5.74,6.13,716739.0,117200,TQBR
CNTLP,2015-06-16,6.16,6.21,6.1,6.14,19105.0,3100,TQBR
CNTLP,2015-06-17,6.29,6.29,6.29,6.29,629.0,100,TQBR
CNTLP,2015-06-18,6.16,6.42,6.15,6.33,17109.0,2700,TQBR
CNTLP,2015-06-19,6.38,6.38,6.25,6.25,1888.0,300,TQBR
CNTLP,2015-06-22,6.45,6.59,6.45,6.5,50437.0,7700,TQBR
CNTLP,2015-06-23,6.45,6.5,6.43,6.43,13631.0,2100,TQBR
CNTLP,2015-06-24,6.5,6.51,6.5,6.51,1301.0,200,TQBR
CNTLP,2015-06-25,6.57,6.8,6.55,6.67,81089.0,12000,TQBR
CNTLP,2015-06-26,6.57,6.59,6.43,6.43,7215.0,1100,TQBR
CNTLP,2015-06-29,6.49,6.64,6.49,6.6,11198.0,1700,TQBR
CNTLP,2015-06-30,6.58,6.58,6.58,6.58,19740.0,3000,TQBR
CNTLP,2015-07-01,6.41,6.69,6.41,6.67,34390.0,5200,TQBR
CNTLP,2015-07-02,6.02,6.34,6.02,6.1,53243.0,8700,TQBR
CNTLP,2015-07-03,6.14,6.14,5.75,5.75,29222.0,4900,TQBR
CNTLP,2015-07-06,5.87,5.87,5.85,5.85,6440.0,1100,TQBR
CNTLP,2015-07-07,5.78,5.79,5.62,5.62,28183.0,4900,TQBR
CNTLP,2015-07-08,5.61,5.61,5.59,5.6,46420.0,8300,TQBR
CNTLP,2015-07-09,5.68,5.98,5.68,5.91,7507.0,1300,TQBR
CNTLP,2015-07-10,5.8,5.84,5.77,5.8,11623.0,2000,TQBR
CNTLP,2015-07-13,5.85,5.93,5.85,5.9,25296.0,4300,TQBR
CNTLP,2015-07-14,5.96,6.03,5.94,5.94,7763.0,1300,TQBR
CNTLP,2015-07-15,6.04,6.04,6.04,6.04,604.0,100,TQBR
CNTLP,2015-07-16,6.1,6.1,5.66,6.0,70026.0,11500,TQBR
CNTLP,2015-07-17,6.01,6.01,6.01,6.01,601.0,100,TQBR
CNTLP,2015-07-20,6.14,6.14,5.71,5.71,12231.0,2100,TQBR
CNTLP,2015-07-21,6.02,6.09,5.92,6.09,52879.0,8800,TQBR
CNTLP,2015-07-22,6.09,6.09,6.09,6.09,12180.0,2000,TQBR
CNTLP,2015-07-23,6.19,7.7,6.15,6.61,2440203.0,345900,TQBR
CNTLP,2015-07-24,6.61,6.61,6.27,6.39,384257.0,59900,TQBR
CNTLP,2015-07-27,6.35,6.4,6.0,6.05,392790.0,64900,TQBR
CNTLP,2015-07-28,5.95,6.29,5.95,6.29,63606.0,10400,TQBR
CNTLP,2015-07-29,6.32,6.32,6.15,6.2,57372.0,9200,TQBR
CNTLP,2015-07-30,6.3,6.3,6.15,6.25,236575.0,37600,TQBR
CNTLP,2015-07-31,6.29,6.47,6.29,6.38,42337.0,6600,TQBR
CNTLP,2015-08-03,6.47,7.56,6.47,6.58,420538.0,60100,TQBR
CNTLP,2015-08-04,6.84,7.44,6.84,7.12,92941.0,13100,TQBR
CNTLP,2015-08-05,7.13,7.3,7.02,7.05,42580.0,6000,TQBR
CNTLP,2015-08-06,7.03,7.41,7.03,7.23,57879.0,8000,TQBR
CNTLP,2015-08-07,7.34,7.56,7.0,7.51,515408.0,70100,TQBR
CNTLP,2015-08-10,7.75,8.05,7.53,7.94,383880.0,49300,TQBR
CNTLP,2015-08-11,8.47,8.73,7.65,8.6,585177.0,70400,TQBR
CNTLP,2015-08-12,8.89,9.79,8.3,9.35,1072369.0,116800,TQBR
CNTLP,2015-08-13,9.54,9.87,9.01,9.87,764199.0,81700,TQBR
CNTLP,2015-08-14,9.95,11.35,9.6,11.34,1316772.0,125700,TQBR
CNTLP,2015-08-17,11.2,12.8,11.03,12.35,3621235.0,301000,TQBR
