ticker,tradedate,open,high,low,close,value,volume,boardid
DZRD,2014-06-11,888.7,889.0,801.0,801.0,10588.8,13,TQBR
DZRD,2014-06-17,900.0,914.7,900.0,914.7,16229.4,18,TQBR
DZRD,2014-06-20,975.0,975.0,975.0,975.0,975.0,1,TQBR
DZRD,2014-06-25,900.1,900.1,900.0,900.0,5400.1,6,TQBR
DZRD,2014-06-27,900.0,900.0,900.0,900.0,900.0,1,TQBR
DZRD,2014-06-30,901.0,971.0,900.0,900.0,16557.8,18,TQBR
DZRD,2014-07-01,850.0,850.0,850.0,850.0,3400.0,4,TQBR
DZRD,2014-07-03,820.0,820.0,820.0,820.0,8200.0,10,TQBR
DZRD,2014-07-04,977.3,988.0,977.3,988.0,21689.0,22,TQBR
DZRD,2014-07-17,850.0,850.0,850.0,850.0,850.0,1,TQBR
DZRD,2014-07-18,987.9,988.0,987.9,988.0,2963.9,3,TQBR
DZRD,2014-07-21,820.0,820.0,820.0,820.0,4100.0,5,TQBR
DZRD,2014-07-22,820.0,820.0,820.0,820.0,1640.0,2,TQBR
DZRD,2014-07-29,870.0,870.0,870.0,870.0,870.0,1,TQBR
DZRD,2014-07-31,987.9,1019.0,940.5,1019.0,7992.3,8,TQBR
DZRD,2014-08-01,940.1,940.1,940.1,940.1,940.1,1,TQBR
DZRD,2014-08-06,975.0,975.0,975.0,975.0,975.0,1,TQBR
DZRD,2014-08-07,980.0,1019.0,980.0,1019.0,40339.9,40,TQBR
DZRD,2014-08-08,1019.0,1019.0,1019.0,1019.0,2038.0,2,TQBR
DZRD,2014-08-11,955.0,955.0,955.0,955.0,955.0,1,TQBR
DZRD,2014-08-12,999.0,999.0,999.0,999.0,1998.0,2,TQBR
DZRD,2014-08-18,1019.0,1028.0,1002.0,1002.0,8189.0,8,TQBR
DZRD,2014-08-20,1028.0,1029.4,1028.0,1029.4,5141.4,5,TQBR
DZRD,2014-08-28,1077.7,1078.0,1077.7,1078.0,8623.7,8,TQBR
DZRD,2014-08-29,1088.7,1088.7,1088.7,1088.7,1088.7,1,TQBR
DZRD,2014-09-03,1030.0,1030.0,1030.0,1030.0,1030.0,1,TQBR
DZRD,2014-09-09,1070.0,1070.0,1070.0,1070.0,16050.0,15,TQBR
DZRD,2014-09-11,1089.0,1089.0,1088.7,1089.0,27224.7,25,TQBR
DZRD,2014-09-12,1148.7,1149.0,1148.0,1149.0,10337.8,9,TQBR
DZRD,2014-09-15,1100.0,1100.0,1050.0,1050.0,5450.0,5,TQBR
DZRD,2014-09-16,1050.0,1050.0,1050.0,1050.0,1050.0,1,TQBR
DZRD,2014-09-17,1100.0,1100.0,1100.0,1100.0,4400.0,4,TQBR
DZRD,2014-09-25,1100.0,1100.0,1100.0,1100.0,1100.0,1,TQBR
DZRD,2014-09-26,901.0,940.0,854.0,940.0,16757.0,19,TQBR
DZRD,2014-10-02,731.0,731.0,731.0,731.0,731.0,1,TQBR
DZRD,2014-10-03,939.0,939.0,939.0,939.0,939.0,1,TQBR
DZRD,2014-10-06,765.0,900.0,728.0,820.0,39234.0,50,TQBR
DZRD,2014-10-07,820.0,890.0,820.0,890.0,17990.0,21,TQBR
DZRD,2014-10-10,890.0,890.0,890.0,890.0,5340.0,6,TQBR
