ticker,tradedate,open,high,low,close,value,volume,boardid
ENPG,2020-02-20,755.1,1000.0,755.1,814.0,4738171.3,5552,TQBR
ENPG,2020-02-21,849.9,873.8,799.0,800.0,4739039.3,5769,TQBR
ENPG,2020-02-25,799.9,799.9,760.0,763.2,2190671.9,2812,TQBR
ENPG,2020-02-26,765.1,765.1,731.3,755.0,3845026.5,5149,TQBR
ENPG,2020-02-27,740.5,758.9,736.3,736.3,1472132.1,1967,TQBR
ENPG,2020-02-28,725.0,743.9,693.1,721.0,3448134.4,4766,TQBR
ENPG,2020-03-02,739.6,739.7,716.2,731.0,3181306.3,4377,TQBR
ENPG,2020-03-03,779.0,779.0,722.3,739.7,1494711.3,2004,TQBR
ENPG,2020-03-04,740.0,745.0,723.7,736.0,586116.7,799,TQBR
ENPG,2020-03-05,731.2,747.9,719.0,720.3,1154658.9,1597,TQBR
ENPG,2020-03-06,724.0,724.0,655.8,679.9,3565450.7,5244,TQBR
ENPG,2020-03-10,607.6,668.0,590.5,636.0,4067032.8,6515,TQBR
ENPG,2020-03-11,640.0,669.0,620.0,641.4,685704.8,1074,TQBR
ENPG,2020-03-12,610.1,640.0,525.0,582.0,5225867.0,9107,TQBR
ENPG,2020-03-13,570.0,629.0,518.3,589.9,2842659.8,4936,TQBR
ENPG,2020-03-16,580.0,589.9,531.4,566.6,1770462.3,3107,TQBR
ENPG,2020-03-17,565.0,593.9,541.0,566.3,2723051.4,4909,TQBR
ENPG,2020-03-18,535.2,584.6,529.9,540.8,4077430.5,7489,TQBR
ENPG,2020-03-19,549.8,550.0,526.1,542.3,1462894.5,2722,TQBR
ENPG,2020-03-20,544.9,579.9,544.9,564.6,10320499.8,18319,TQBR
ENPG,2020-03-23,590.0,590.0,527.1,560.2,5707197.8,10228,TQBR
ENPG,2020-03-24,578.9,582.0,557.6,580.0,8195936.2,14447,TQBR
ENPG,2020-03-25,589.0,668.9,538.0,590.0,25662992.3,43429,TQBR
ENPG,2020-03-26,620.0,620.0,560.0,581.7,5192071.0,8881,TQBR
ENPG,2020-03-27,571.0,577.0,560.0,561.7,8424391.0,14788,TQBR
ENPG,2020-03-30,564.0,564.0,548.6,553.0,10072630.6,18208,TQBR
ENPG,2020-03-31,556.0,556.0,545.6,552.2,14300681.7,25988,TQBR
ENPG,2020-04-01,550.0,552.1,548.0,551.9,18449894.8,33513,TQBR
ENPG,2020-04-02,557.0,557.0,530.0,550.5,14524358.7,26439,TQBR
ENPG,2020-04-03,549.1,551.5,545.9,548.0,34040065.7,62079,TQBR
ENPG,2020-04-06,548.2,553.1,548.2,550.7,22710633.4,41318,TQBR
ENPG,2020-04-07,551.9,558.9,551.0,555.7,30699752.3,55287,TQBR
ENPG,2020-04-08,559.9,569.9,553.5,568.8,21752419.6,39116,TQBR
ENPG,2020-04-09,569.8,569.8,554.5,559.7,24517938.0,43993,TQBR
ENPG,2020-04-10,564.8,565.0,551.0,553.8,9556153.8,17097,TQBR
ENPG,2020-04-13,554.0,554.0,549.0,549.5,25859469.6,46972,TQBR
ENPG,2020-04-14,552.8,562.7,549.0,557.0,13815492.9,24969,TQBR
ENPG,2020-04-15,557.0,561.9,545.0,561.0,44200852.9,80063,TQBR
ENPG,2020-04-16,558.6,572.6,556.3,572.1,20504124.0,36359,TQBR
ENPG,2020-04-17,573.0,573.0,559.4,572.0,19031476.0,33685,TQBR
ENPG,2020-04-20,569.8,571.2,565.1,568.9,3470542.0,6109,TQBR
ENPG,2020-04-21,565.2,565.3,552.0,553.9,8240945.4,14806,TQBR
ENPG,2020-04-22,556.0,579.2,554.1,577.0,12354354.9,21777,TQBR
ENPG,2020-04-23,578.0,599.0,576.8,597.4,22964446.6,39003,TQBR
ENPG,2020-04-24,596.7,629.7,596.7,618.8,28523031.2,46545,TQBR
ENPG,2020-04-27,624.9,679.0,615.9,660.0,31736144.2,49044,TQBR
ENPG,2020-04-28,664.9,670.2,635.2,636.0,7423612.4,11460,TQBR
ENPG,2020-04-29,635.1,645.0,621.2,628.5,7196594.5,11366,TQBR
ENPG,2020-04-30,626.6,638.0,620.0,620.0,11386152.8,18188,TQBR
ENPG,2020-05-04,644.5,669.5,625.0,655.0,31520230.5,48823,TQBR
ENPG,2020-05-05,664.5,664.5,648.0,648.0,4349782.5,6689,TQBR
ENPG,2020-05-06,650.5,650.5,643.5,644.0,1389220.0,2150,TQBR
ENPG,2020-05-07,643.0,644.5,630.0,637.0,6960521.0,10882,TQBR
ENPG,2020-05-08,630.5,637.0,630.0,630.0,1581378.0,2501,TQBR
ENPG,2020-05-12,631.0,632.0,620.5,620.5,2392453.0,3813,TQBR
ENPG,2020-05-13,620.0,622.5,608.0,615.0,14329208.5,23331,TQBR
ENPG,2020-05-14,610.5,616.5,604.5,607.0,8644418.5,14182,TQBR
ENPG,2020-05-15,608.0,608.5,598.0,604.5,8586245.0,14266,TQBR
ENPG,2020-05-18,600.5,610.0,600.5,605.0,5635849.5,9304,TQBR
ENPG,2020-05-19,613.0,613.0,597.5,600.0,4429596.0,7363,TQBR
ENPG,2020-05-20,615.0,620.0,597.5,605.0,19020958.5,31064,TQBR
ENPG,2020-05-21,609.5,609.5,599.0,601.0,3070235.5,5091,TQBR
ENPG,2020-05-22,598.0,600.5,587.0,594.0,31923031.5,53714,TQBR
ENPG,2020-05-25,604.5,619.0,595.5,616.0,24292489.0,39723,TQBR
ENPG,2020-05-26,617.0,623.0,612.0,612.0,24323663.0,39333,TQBR
ENPG,2020-05-27,610.5,613.5,607.5,612.5,70945707.0,116099,TQBR
ENPG,2020-05-28,614.0,621.0,612.5,620.0,13805307.5,22436,TQBR
ENPG,2020-05-29,619.5,621.0,615.0,618.0,29744984.5,48116,TQBR
ENPG,2020-06-01,615.0,622.0,613.5,622.0,17066105.5,27574,TQBR
ENPG,2020-06-02,622.0,630.0,621.5,626.5,11891772.0,19019,TQBR
ENPG,2020-06-03,625.0,629.0,621.0,622.5,8793395.5,14042,TQBR
ENPG,2020-06-04,620.5,621.5,580.0,593.0,75867607.5,125388,TQBR
ENPG,2020-06-05,599.5,611.0,599.5,609.0,5271835.5,8688,TQBR
ENPG,2020-06-08,611.0,616.5,609.5,611.0,4324191.5,7047,TQBR
ENPG,2020-06-09,610.0,620.0,599.0,618.0,24044949.5,39166,TQBR
ENPG,2020-06-10,619.5,621.0,613.0,621.0,13032379.5,21047,TQBR
ENPG,2020-06-11,615.5,615.5,598.0,603.0,8707182.0,14335,TQBR
