ticker,tradedate,open,high,low,close,value,volume,boardid
ETLN,2020-02-03,149.2,150.0,145.88,146.0,17501625.2,118040,TQBR
ETLN,2020-02-04,150.0,150.0,145.3,145.46,23063643.0,157920,TQBR
ETLN,2020-02-05,145.86,145.86,142.1,143.0,12361716.0,86060,TQBR
ETLN,2020-02-06,143.6,143.6,95.0,143.0,6521035.2,45920,TQBR
ETLN,2020-02-07,143.0,143.0,140.26,142.92,9358514.8,66210,TQBR
ETLN,2020-02-10,145.0,145.0,140.38,141.38,3160338.4,22270,TQBR
ETLN,2020-02-11,141.9,142.42,139.26,139.26,5652160.4,40150,TQBR
ETLN,2020-02-12,140.38,142.02,139.9,142.0,15594817.8,110420,TQBR
ETLN,2020-02-13,141.22,143.32,140.92,142.7,3185240.4,22390,TQBR
ETLN,2020-02-14,143.72,143.72,140.98,143.0,14437118.2,101860,TQBR
ETLN,2020-02-17,143.0,143.5,139.02,139.96,36519370.2,259270,TQBR
ETLN,2020-02-18,139.88,140.2,139.48,139.48,17728612.6,126720,TQBR
ETLN,2020-02-19,139.38,140.8,139.0,140.16,19071708.4,136050,TQBR
ETLN,2020-02-20,140.5,140.82,139.52,140.02,23036164.6,164040,TQBR
ETLN,2020-02-21,140.5,140.8,139.52,139.8,19470813.8,139000,TQBR
ETLN,2020-02-25,139.0,140.0,138.0,138.1,21144259.2,152140,TQBR
ETLN,2020-02-26,140.42,140.42,134.4,134.58,25435746.8,187990,TQBR
ETLN,2020-02-27,135.74,135.74,131.08,131.22,22280279.0,166950,TQBR
ETLN,2020-02-28,131.02,131.22,124.04,125.0,18242594.8,144010,TQBR
ETLN,2020-03-02,125.46,131.0,122.9,123.48,32923791.6,263230,TQBR
ETLN,2020-03-03,125.0,130.5,121.7,124.0,27504123.6,224160,TQBR
ETLN,2020-03-04,123.02,123.7,120.3,121.48,25657341.8,211130,TQBR
ETLN,2020-03-05,122.0,123.8,120.04,121.9,26443048.6,218420,TQBR
ETLN,2020-03-06,120.86,121.5,117.4,118.36,23179894.8,195420,TQBR
ETLN,2020-03-10,110.0,118.0,106.6,117.5,20188940.6,176490,TQBR
ETLN,2020-03-11,118.34,118.34,114.0,116.0,21075005.2,183480,TQBR
ETLN,2020-03-12,113.6,113.6,102.62,103.12,32540703.6,301050,TQBR
ETLN,2020-03-13,101.54,106.72,99.54,100.48,26692859.4,254225,TQBR
ETLN,2020-03-16,100.6,100.76,96.0,96.96,11410746.42,115578,TQBR
