ticker,tradedate,open,high,low,close,value,volume,boardid
FLOT,2020-10-07 00:00:00,105.0,105.0,91.56,100.5,10558146435.6,107924250,TQBR
FLOT,2020-10-08 00:00:00,100.5,101.0,98.3,100.5,1162828009.0,11659760,TQBR
FLOT,2020-10-09 00:00:00,100.5,103.29,100.13,103.0,3250445612.7,31768490,TQBR
FLOT,2020-10-12 00:00:00,103.48,104.5,103.01,103.55,1338775861.3,12910790,TQBR
FLOT,2020-10-13 00:00:00,103.88,103.92,102.12,103.2,573989042.5,5578480,TQBR
FLOT,2020-10-14 00:00:00,103.39,103.39,102.5,103.0,176895682.5,1722660,TQBR
FLOT,2020-10-15 00:00:00,103.0,103.0,100.06,100.26,408986602.5,4051740,TQBR
FLOT,2020-10-16 00:00:00,100.88,101.93,100.06,100.47,197750764.1,1968440,TQBR
FLOT,2020-10-19 00:00:00,100.65,101.25,100.27,100.4,71596644.5,711900,TQBR
FLOT,2020-10-20 00:00:00,100.4,100.54,100.0,100.07,207298323.9,2069910,TQBR
FLOT,2020-10-21 00:00:00,100.14,100.48,98.4,98.59,275314340.5,2769680,TQBR
FLOT,2020-10-22 00:00:00,98.5,98.5,95.5,96.5,386826580.2,4005500,TQBR
FLOT,2020-10-23 00:00:00,96.5,96.71,95.6,96.31,184301900.5,1920230,TQBR
FLOT,2020-10-26 00:00:00,96.16,99.57,95.51,99.1,230438177.4,2361110,TQBR
FLOT,2020-10-27 00:00:00,99.1,99.53,97.95,98.6,198652381.8,2017230,TQBR
FLOT,2020-10-28 00:00:00,96.7,98.59,95.5,97.3,234371017.8,2414320,TQBR
FLOT,2020-10-29 00:00:00,97.3,98.4,97.0,97.89,64837948.6,662250,TQBR
FLOT,2020-10-30 00:00:00,98.1,98.2,97.0,98.09,42411416.2,434390,TQBR
FLOT,2020-11-02 00:00:00,98.15,98.35,97.0,97.96,68055570.3,698010,TQBR
FLOT,2020-11-03 00:00:00,98.14,98.34,97.25,97.31,70791147.5,724480,TQBR
FLOT,2020-11-05 00:00:00,97.6,98.43,97.5,97.55,93229654.6,954780,TQBR
FLOT,2020-11-06 00:00:00,97.8,97.8,96.56,97.03,77915479.6,803300,TQBR
FLOT,2020-11-09 00:00:00,97.07,97.86,96.65,96.65,142888203.3,1474070,TQBR
FLOT,2020-11-10 00:00:00,96.97,97.0,96.5,96.8,97461284.1,1007000,TQBR
FLOT,2020-11-11 00:00:00,97.0,97.72,96.56,96.67,82247705.1,847030,TQBR
FLOT,2020-11-12 00:00:00,97.05,97.48,96.52,96.57,88193658.4,911950,TQBR
FLOT,2020-11-13 00:00:00,96.52,96.9,96.51,96.59,97124027.9,1004620,TQBR
FLOT,2020-11-16 00:00:00,96.89,98.47,96.66,97.7,211116447.7,2159810,TQBR
FLOT,2020-11-17 00:00:00,98.01,100.87,97.7,97.77,741269221.1,7456310,TQBR
FLOT,2020-11-18 00:00:00,97.77,99.29,95.9,95.98,549111861.9,5666060,TQBR
FLOT,2020-11-19 00:00:00,96.2,97.0,96.0,96.9,117066413.4,1210850,TQBR
FLOT,2020-11-20 00:00:00,97.0,99.0,96.68,97.51,130433674.1,1333230,TQBR
FLOT,2020-11-23 00:00:00,97.55,98.27,97.3,97.52,64715808.7,662600,TQBR
FLOT,2020-11-24 00:00:00,97.52,97.89,97.11,97.31,69530434.8,712780,TQBR
FLOT,2020-11-25 00:00:00,97.3,97.73,97.01,97.45,88428354.3,908280,TQBR
FLOT,2020-11-26 00:00:00,97.45,97.69,97.01,97.41,80395678.4,826740,TQBR
FLOT,2020-11-27 00:00:00,97.41,97.71,97.01,97.19,49826024.5,512520,TQBR
FLOT,2020-11-30 00:00:00,97.47,97.47,96.27,96.29,113371598.6,1170450,TQBR
FLOT,2020-12-01 00:00:00,96.5,97.17,96.41,96.9,97779185.4,1009380,TQBR
FLOT,2020-12-02 00:00:00,96.9,97.0,96.57,96.75,122382530.2,1264290,TQBR
FLOT,2020-12-03 00:00:00,97.0,97.06,96.75,96.95,101873199.6,1050410,TQBR
FLOT,2020-12-04 00:00:00,97.0,97.43,96.76,96.98,73133317.2,754020,TQBR
FLOT,2020-12-07 00:00:00,97.2,97.2,96.1,96.16,150027986.1,1553230,TQBR
FLOT,2020-12-08 00:00:00,96.2,96.79,96.01,96.11,102475557.3,1063620,TQBR
FLOT,2020-12-09 00:00:00,96.68,96.68,96.05,96.1,103129665.2,1072180,TQBR
FLOT,2020-12-10 00:00:00,96.1,96.24,95.77,95.89,107771845.7,1122130,TQBR
FLOT,2020-12-11 00:00:00,95.71,96.04,95.69,95.76,87445312.1,912870,TQBR
FLOT,2020-12-14 00:00:00,95.8,96.1,95.02,95.02,152750167.6,1598660,TQBR
FLOT,2020-12-15 00:00:00,95.55,95.72,94.5,94.85,141922500.5,1494110,TQBR
FLOT,2020-12-16 00:00:00,95.0,95.02,94.31,94.48,93513028.9,986780,TQBR
FLOT,2020-12-17 00:00:00,94.7,94.93,93.26,93.69,168003589.6,1788680,TQBR
FLOT,2020-12-18 00:00:00,94.0,94.0,92.98,93.45,169949133.0,1820280,TQBR
FLOT,2020-12-21 00:00:00,93.6,93.69,92.55,92.57,126581849.6,1361160,TQBR
FLOT,2020-12-22 00:00:00,92.57,93.02,92.05,92.7,182292785.8,1975480,TQBR
FLOT,2020-12-23 00:00:00,93.0,93.18,91.6,92.0,309419667.4,3347940,TQBR
FLOT,2020-12-24 00:00:00,92.08,92.38,90.16,90.9,278876973.4,3058570,TQBR
