ticker,tradedate,open,high,low,close,value,volume,boardid
GAZAP,2014-06-17,387.4,459.0,387.4,459.0,118614.0,270,TQBR
GAZAP,2014-06-19,499.4,499.4,499.4,499.4,4994.0,10,TQBR
GAZAP,2014-06-20,499.3,499.3,499.3,499.3,4993.0,10,TQBR
GAZAP,2014-06-23,400.2,432.0,400.1,432.0,24336.0,60,TQBR
GAZAP,2014-06-24,430.9,430.9,430.9,430.9,4309.0,10,TQBR
GAZAP,2014-06-25,422.2,430.9,422.2,430.9,17062.0,40,TQBR
GAZAP,2014-07-04,433.3,433.3,433.3,433.3,4333.0,10,TQBR
GAZAP,2014-07-15,459.8,459.8,459.8,459.8,4598.0,10,TQBR
GAZAP,2014-07-25,410.0,410.0,410.0,410.0,8200.0,20,TQBR
GAZAP,2014-07-28,400.0,400.0,390.2,390.2,253768.0,650,TQBR
GAZAP,2014-08-01,446.7,446.7,446.7,446.7,4467.0,10,TQBR
GAZAP,2014-08-14,355.6,401.0,355.4,375.0,59521.0,160,TQBR
GAZAP,2014-08-18,351.8,351.8,350.4,350.4,14056.0,40,TQBR
GAZAP,2014-08-20,398.7,398.7,398.7,398.7,3987.0,10,TQBR
GAZAP,2014-08-21,445.0,445.0,444.8,444.8,8898.0,20,TQBR
GAZAP,2014-08-26,360.7,360.7,360.7,360.7,3607.0,10,TQBR
GAZAP,2014-09-01,385.0,385.0,385.0,385.0,7700.0,20,TQBR
GAZAP,2014-09-02,342.8,342.8,342.8,342.8,3428.0,10,TQBR
GAZAP,2014-09-12,376.6,399.0,376.6,399.0,11746.0,30,TQBR
GAZAP,2014-09-16,398.6,400.0,398.5,400.0,403491.0,1010,TQBR
GAZAP,2014-09-19,400.0,400.0,400.0,400.0,64000.0,160,TQBR
GAZAP,2014-09-22,400.0,400.0,400.0,400.0,8000.0,20,TQBR
GAZAP,2014-09-26,400.0,400.0,400.0,400.0,4000.0,10,TQBR
GAZAP,2014-10-06,351.0,400.0,351.0,400.0,43440.0,110,TQBR
GAZAP,2014-10-13,380.0,399.0,380.0,399.0,38950.0,100,TQBR
GAZAP,2014-10-23,352.0,352.0,340.0,340.0,31060.0,90,TQBR
GAZAP,2014-10-27,340.0,340.0,340.0,340.0,3400.0,10,TQBR
GAZAP,2014-10-31,340.0,340.0,280.0,300.0,790690.0,2600,TQBR
GAZAP,2014-11-05,291.0,291.0,290.0,290.0,5810.0,20,TQBR
GAZAP,2014-11-06,268.0,280.0,263.0,280.0,59060.0,220,TQBR
GAZAP,2014-11-07,285.0,285.0,246.0,264.0,369280.0,1460,TQBR
GAZAP,2014-11-10,270.0,270.0,263.0,263.0,29350.0,110,TQBR
GAZAP,2014-11-11,252.0,285.0,250.0,268.0,152530.0,550,TQBR
GAZAP,2014-11-14,289.0,292.0,261.0,261.0,46000.0,170,TQBR
GAZAP,2014-11-17,274.0,274.0,274.0,274.0,27400.0,100,TQBR
GAZAP,2014-11-18,277.0,281.0,277.0,281.0,13910.0,50,TQBR
GAZAP,2014-11-19,287.0,287.0,243.0,272.0,112940.0,440,TQBR
GAZAP,2014-11-20,256.0,256.0,252.0,252.0,12710.0,50,TQBR
GAZAP,2014-11-21,255.0,269.0,255.0,269.0,5240.0,20,TQBR
GAZAP,2014-11-24,279.0,279.0,255.0,255.0,10730.0,40,TQBR
GAZAP,2014-11-25,254.0,279.0,254.0,279.0,8110.0,30,TQBR
GAZAP,2014-11-27,279.0,300.0,279.0,300.0,202390.0,680,TQBR
GAZAP,2014-12-01,272.0,281.0,271.0,281.0,35940.0,130,TQBR
GAZAP,2014-12-04,290.0,290.0,275.0,279.0,88470.0,310,TQBR
GAZAP,2014-12-05,285.0,297.0,276.0,276.0,37440.0,130,TQBR
GAZAP,2014-12-10,270.0,270.0,270.0,270.0,83700.0,310,TQBR
GAZAP,2014-12-15,300.0,300.0,261.0,261.0,35230.0,120,TQBR
GAZAP,2014-12-16,265.0,265.0,230.0,230.0,41810.0,170,TQBR
GAZAP,2014-12-22,275.0,275.0,205.0,205.0,24000.0,100,TQBR
GAZAP,2014-12-25,259.0,259.0,259.0,259.0,2590.0,10,TQBR
GAZAP,2015-01-05,259.0,300.0,259.0,300.0,23580.0,80,TQBR
GAZAP,2015-01-14,264.0,265.0,264.0,265.0,55640.0,210,TQBR
GAZAP,2015-01-19,254.0,264.0,254.0,260.0,44270.0,170,TQBR
GAZAP,2015-01-20,231.0,264.0,231.0,264.0,60090.0,230,TQBR
GAZAP,2015-01-23,265.0,265.0,265.0,265.0,26500.0,100,TQBR
GAZAP,2015-02-02,244.0,244.0,244.0,244.0,2440.0,10,TQBR
GAZAP,2015-02-03,249.0,250.0,249.0,250.0,7490.0,30,TQBR
GAZAP,2015-02-04,250.0,280.0,250.0,250.0,88810.0,330,TQBR
GAZAP,2015-02-06,276.0,276.0,250.0,250.0,10780.0,40,TQBR
GAZAP,2015-02-09,300.0,300.0,251.0,251.0,112260.0,430,TQBR
GAZAP,2015-02-10,255.0,262.0,255.0,255.0,7720.0,30,TQBR
GAZAP,2015-02-11,276.0,292.0,270.0,270.0,90650.0,330,TQBR
GAZAP,2015-02-12,270.0,270.0,270.0,270.0,24300.0,90,TQBR
GAZAP,2015-02-13,270.0,302.0,270.0,280.0,123010.0,430,TQBR
GAZAP,2015-02-16,271.0,271.0,270.0,270.0,32410.0,120,TQBR
GAZAP,2015-02-17,262.0,294.0,260.0,290.0,31870.0,120,TQBR
GAZAP,2015-02-18,291.0,316.0,291.0,301.0,108940.0,360,TQBR
GAZAP,2015-02-24,295.0,300.0,295.0,300.0,11900.0,40,TQBR
GAZAP,2015-02-25,316.0,328.0,300.0,300.0,51820.0,170,TQBR
GAZAP,2015-02-27,300.0,300.0,300.0,300.0,3000.0,10,TQBR
GAZAP,2015-03-02,337.0,339.0,310.0,335.0,128720.0,390,TQBR
GAZAP,2015-03-03,300.0,330.0,300.0,325.0,35500.0,110,TQBR
GAZAP,2015-03-04,323.0,335.0,323.0,330.0,59780.0,180,TQBR
GAZAP,2015-03-05,320.0,320.0,320.0,320.0,9600.0,30,TQBR
GAZAP,2015-03-06,333.0,333.0,305.0,305.0,6380.0,20,TQBR
GAZAP,2015-03-10,305.0,310.0,302.0,302.0,9170.0,30,TQBR
GAZAP,2015-03-11,300.0,300.0,280.0,280.0,43960.0,150,TQBR
GAZAP,2015-03-12,299.0,299.0,290.0,290.0,5890.0,20,TQBR
GAZAP,2015-03-13,285.0,285.0,275.0,275.0,28100.0,100,TQBR
GAZAP,2015-03-16,280.0,280.0,267.0,267.0,13650.0,50,TQBR
GAZAP,2015-03-17,280.0,280.0,279.0,280.0,16790.0,60,TQBR
GAZAP,2015-03-18,280.0,280.0,268.0,276.0,78040.0,290,TQBR
GAZAP,2015-03-20,275.0,275.0,274.0,274.0,8240.0,30,TQBR
GAZAP,2015-03-23,275.0,275.0,274.0,275.0,35740.0,130,TQBR
GAZAP,2015-03-24,275.0,275.0,275.0,275.0,2750.0,10,TQBR
GAZAP,2015-03-25,299.0,300.0,280.0,290.0,174670.0,590,TQBR
GAZAP,2015-03-30,275.0,280.0,270.0,280.0,24940.0,90,TQBR
GAZAP,2015-03-31,285.0,285.0,285.0,285.0,5700.0,20,TQBR
GAZAP,2015-04-01,285.0,290.0,285.0,290.0,22950.0,80,TQBR
GAZAP,2015-04-02,287.0,300.0,287.0,300.0,41740.0,140,TQBR
GAZAP,2015-04-09,300.0,300.0,261.0,280.0,8410.0,30,TQBR
GAZAP,2015-04-20,265.0,265.0,257.0,257.0,5220.0,20,TQBR
GAZAP,2015-04-21,267.0,270.0,267.0,270.0,5370.0,20,TQBR
GAZAP,2015-04-23,264.0,264.0,264.0,264.0,2640.0,10,TQBR
GAZAP,2015-04-30,272.0,297.0,272.0,297.0,16570.0,60,TQBR
GAZAP,2015-05-06,290.0,290.0,280.0,290.0,8600.0,30,TQBR
GAZAP,2015-05-12,290.0,290.0,284.0,284.0,8640.0,30,TQBR
GAZAP,2015-05-13,300.0,300.0,300.0,300.0,3000.0,10,TQBR
GAZAP,2015-05-14,266.0,280.0,266.0,280.0,5460.0,20,TQBR
GAZAP,2015-05-21,270.0,288.0,270.0,288.0,27180.0,100,TQBR
GAZAP,2015-05-28,288.0,288.0,288.0,288.0,2880.0,10,TQBR
GAZAP,2015-06-01,268.0,307.0,268.0,307.0,86970.0,300,TQBR
GAZAP,2015-06-03,295.0,321.0,295.0,321.0,54140.0,180,TQBR
GAZAP,2015-06-16,300.0,301.0,300.0,300.0,1346220.0,4480,TQBR
GAZAP,2015-06-19,320.0,320.0,320.0,320.0,3200.0,10,TQBR
GAZAP,2015-06-24,326.0,326.0,326.0,326.0,3260.0,10,TQBR
GAZAP,2015-07-01,289.0,325.0,289.0,291.0,9050.0,30,TQBR
GAZAP,2015-07-02,320.0,399.0,320.0,399.0,30300.0,90,TQBR
GAZAP,2015-07-07,309.0,374.0,309.0,319.0,22690.0,70,TQBR
GAZAP,2015-07-08,298.0,330.0,298.0,330.0,9280.0,30,TQBR
GAZAP,2015-07-24,339.0,339.0,339.0,339.0,3390.0,10,TQBR
GAZAP,2015-07-27,340.0,340.0,310.0,315.0,35790.0,110,TQBR
