ticker,tradedate,open,high,low,close,value,volume,boardid
GAZP,2014-06-09,144.0,146.2,143.03,144.4,5851238809.2,40347300,TQBR
GAZP,2014-06-10,144.31,144.76,142.67,144.75,5956066807.8,41460990,TQBR
GAZP,2014-06-11,145.2,146.4,143.9,146.4,5725373472.1,39418520,TQBR
GAZP,2014-06-16,144.0,145.27,142.58,145.2,11134531747.3,77165360,TQBR
GAZP,2014-06-17,145.3,146.37,143.72,144.77,6436430233.0,44370530,TQBR
GAZP,2014-06-18,144.79,146.19,144.43,145.0,4832639667.8,33270240,TQBR
GAZP,2014-06-19,146.4,147.69,145.04,145.2,6552395455.3,44670940,TQBR
GAZP,2014-06-20,145.05,145.88,144.28,145.6,4907720591.4,33779020,TQBR
GAZP,2014-06-23,146.2,147.27,145.07,147.17,4963198922.4,33923270,TQBR
GAZP,2014-06-24,147.65,153.42,147.56,153.25,13200142387.4,87546740,TQBR
GAZP,2014-06-25,152.48,154.21,149.01,149.26,9973343107.4,65879300,TQBR
GAZP,2014-06-26,149.63,150.44,147.02,147.44,7863811096.6,53026000,TQBR
GAZP,2014-06-27,148.0,149.88,147.22,149.39,5138975884.3,34563280,TQBR
GAZP,2014-06-30,149.81,150.18,146.58,148.96,5186346628.8,35020610,TQBR
GAZP,2014-07-01,148.51,149.5,146.65,148.97,5787329103.9,39080070,TQBR
GAZP,2014-07-02,149.09,151.95,148.9,151.95,7341929045.5,48839500,TQBR
GAZP,2014-07-03,152.0,153.66,151.41,152.3,7465358592.0,48933580,TQBR
GAZP,2014-07-04,153.0,153.09,148.25,149.13,5775204168.7,38192290,TQBR
GAZP,2014-07-07,149.1,151.4,149.09,150.31,5162092985.1,34302070,TQBR
GAZP,2014-07-08,150.53,153.53,150.52,151.43,7613322488.2,50005770,TQBR
GAZP,2014-07-09,151.11,151.77,149.01,150.4,6635952229.4,44106880,TQBR
GAZP,2014-07-10,150.8,151.52,147.1,148.79,8759399278.7,58690960,TQBR
GAZP,2014-07-11,148.85,149.25,146.91,148.15,5330962084.1,36005010,TQBR
GAZP,2014-07-14,148.42,148.8,146.51,147.5,5667338940.6,38407230,TQBR
GAZP,2014-07-15,147.8,148.37,146.52,146.52,8138996571.9,55159950,TQBR
GAZP,2014-07-16,140.35,143.1,140.1,142.5,7927024503.9,55942320,TQBR
GAZP,2014-07-17,140.23,141.0,138.23,140.0,8583925881.7,61550720,TQBR
