ticker,tradedate,open,high,low,close,value,volume,boardid
GTRK,2017-11-03,135.0,135.0,133.0,133.25,722586.4,5420,TQBR
GTRK,2017-11-07,136.0,136.0,131.5,132.0,13588045.8,103090,TQBR
GTRK,2017-11-08,132.0,133.0,132.0,133.0,922890.0,6990,TQBR
GTRK,2017-11-09,132.01,132.01,131.0,132.0,10170581.2,77050,TQBR
GTRK,2017-11-10,132.0,133.0,132.0,132.0,3338319.8,25290,TQBR
GTRK,2017-11-13,132.01,132.99,130.0,132.99,19279606.1,147800,TQBR
GTRK,2017-11-14,131.01,132.47,131.0,132.47,1323149.8,10100,TQBR
GTRK,2017-11-15,134.0,134.0,127.0,130.0,37843046.3,294460,TQBR
GTRK,2017-11-16,130.0,132.49,130.0,132.49,358824.9,2760,TQBR
GTRK,2017-11-17,132.4,132.5,130.0,130.0,3523812.3,27090,TQBR
GTRK,2017-11-20,131.0,132.0,131.0,132.0,147830.0,1120,TQBR
GTRK,2017-11-21,133.11,133.11,131.11,131.11,3333080.9,25250,TQBR
GTRK,2017-11-22,132.5,132.5,131.0,132.49,4297319.5,32610,TQBR
GTRK,2017-11-23,132.0,135.0,132.0,132.0,3957875.0,29940,TQBR
GTRK,2017-11-24,132.0,133.0,132.0,133.0,26450.0,200,TQBR
GTRK,2017-11-27,134.0,134.0,132.0,132.0,3362442.7,25470,TQBR
GTRK,2017-11-28,132.0,132.0,131.0,131.0,12590802.2,95540,TQBR
GTRK,2017-11-29,132.0,134.0,132.0,132.0,8639480.1,65450,TQBR
GTRK,2017-11-30,132.0,135.0,132.0,132.0,8442781.9,63950,TQBR
GTRK,2017-12-01,132.02,134.0,132.0,132.0,7921348.2,60010,TQBR
GTRK,2017-12-04,132.0,132.0,132.0,132.0,13200.0,100,TQBR
GTRK,2017-12-05,133.0,136.0,133.0,136.0,33400.0,250,TQBR
GTRK,2017-12-07,134.93,134.93,134.92,134.92,2698.5,20,TQBR
GTRK,2017-12-08,133.59,133.59,133.59,133.59,53436.0,400,TQBR
