ticker,tradedate,open,high,low,close,value,volume,boardid
INGR,2020-03-30,725,768,725,768,68890,91,TQBR
INGR,2020-03-31,750,796,740,796,613232,795,TQBR
INGR,2020-04-01,754,768,754,760,62637,82,TQBR
INGR,2020-04-02,760,764,754,754,43871,58,TQBR
INGR,2020-04-03,762,762,750,750,80262,107,TQBR
INGR,2020-04-06,735,787,735,770,85624,111,TQBR
INGR,2020-04-07,780,785,751,771,405872,521,TQBR
INGR,2020-04-08,760,760,760,760,13680,18,TQBR
INGR,2020-04-09,770,770,770,770,41580,54,TQBR
INGR,2020-04-10,754,758,754,755,31684,42,TQBR
INGR,2020-04-13,770,770,762,764,68238,89,TQBR
INGR,2020-04-14,766,770,766,766,37543,49,TQBR
INGR,2020-04-15,776,784,768,768,95542,123,TQBR
INGR,2020-04-16,755,784,755,764,130335,168,TQBR
INGR,2020-04-17,700,765,699,761,39185,52,TQBR
INGR,2020-04-20,786,786,770,770,92375,119,TQBR
INGR,2020-04-21,775,775,763,764,73216,95,TQBR
INGR,2020-04-22,761,787,752,777,66760,88,TQBR
INGR,2020-04-23,770,776,757,776,81017,106,TQBR
INGR,2020-04-24,743,761,730,757,123885,166,TQBR
INGR,2020-04-27,721,775,721,762,37338,49,TQBR
INGR,2020-04-28,750,768,750,768,119923,157,TQBR
INGR,2020-04-29,769,770,756,770,37267,49,TQBR
INGR,2020-04-30,750,770,750,765,19135,25,TQBR
INGR,2020-05-04,743,765,730,761,39433,53,TQBR
INGR,2020-05-05,763,765,763,765,22904,30,TQBR
INGR,2020-05-06,770,1063,752,752,32383568,37443,TQBR
INGR,2020-05-07,765,820,756,769,5951348,7589,TQBR
INGR,2020-05-08,771,777,755,765,808496,1059,TQBR
INGR,2020-05-12,769,807,750,762,2276802,2953,TQBR
INGR,2020-05-13,753,773,750,758,953764,1257,TQBR
INGR,2020-05-14,750,759,735,753,545285,726,TQBR
INGR,2020-05-15,754,763,739,755,970419,1291,TQBR
INGR,2020-05-18,756,795,756,774,462719,599,TQBR
INGR,2020-05-19,765,770,756,767,228355,300,TQBR
INGR,2020-05-20,766,766,745,764,636185,840,TQBR
INGR,2020-05-21,765,790,758,779,1108465,1436,TQBR
INGR,2020-05-22,776,778,770,774,252656,327,TQBR
INGR,2020-05-25,775,830,775,810,1732604,2166,TQBR
INGR,2020-05-26,810,817,800,800,1434468,1774,TQBR
INGR,2020-05-27,799,814,779,791,2184142,2747,TQBR
INGR,2020-05-28,793,811,783,802,568382,711,TQBR
INGR,2020-05-29,794,808,794,800,597981,747,TQBR
INGR,2020-06-01,813,815,800,814,673296,834,TQBR
INGR,2020-06-02,817,827,801,817,498863,616,TQBR
INGR,2020-06-03,817,823,807,815,2119668,2605,TQBR
INGR,2020-06-04,816,835,811,826,608810,738,TQBR
INGR,2020-06-05,822,840,800,810,6444274,7941,TQBR
INGR,2020-06-08,817,1099,805,807,8869488,10845,TQBR
INGR,2020-06-09,815,819,802,809,1399389,1726,TQBR
INGR,2020-06-10,811,829,799,800,3152186,3897,TQBR
INGR,2020-06-11,827,860,810,817,10611836,12872,TQBR
INGR,2020-06-15,827,847,817,820,6399574,7785,TQBR
INGR,2020-06-16,822,850,812,824,19401973,23394,TQBR
INGR,2020-06-17,826,843,820,825,23710521,28667,TQBR
INGR,2020-06-18,763,790,747,750,12972135,17204,TQBR
INGR,2020-06-19,750,755,711,737,4975843,6716,TQBR
INGR,2020-06-22,740,740,723,727,2687590,3684,TQBR
INGR,2020-06-23,764,764,727,734,2615164,3566,TQBR
INGR,2020-06-25,726,728,711,719,2445202,3403,TQBR
INGR,2020-06-26,722,736,714,733,2211824,3045,TQBR
INGR,2020-06-29,719,750,710,749,5160101,6966,TQBR
INGR,2020-06-30,740,756,737,746,7330259,9778,TQBR
INGR,2020-07-02,738,747,735,743,634086,856,TQBR
INGR,2020-07-03,744,749,730,730,810430,1101,TQBR
INGR,2020-07-06,740,763,726,729,1828639,2479,TQBR
INGR,2020-07-07,626,745,626,733,751342,1029,TQBR
INGR,2020-07-08,738,738,728,730,513901,702,TQBR
INGR,2020-07-09,737,738,727,735,1892566,2581,TQBR
INGR,2020-07-10,738,738,721,730,706725,966,TQBR
INGR,2020-07-13,735,735,726,729,588202,806,TQBR
INGR,2020-07-14,734,734,705,721,1188663,1649,TQBR
INGR,2020-07-15,722,727,722,724,425726,588,TQBR
INGR,2020-07-16,725,725,720,725,284336,394,TQBR
INGR,2020-07-17,725,726,719,724,620281,858,TQBR
INGR,2020-07-20,725,730,724,729,438754,604,TQBR
INGR,2020-07-21,730,735,720,734,1564020,2154,TQBR
INGR,2020-07-22,734,737,727,735,755387,1030,TQBR
INGR,2020-07-23,735,737,725,734,959510,1312,TQBR
INGR,2020-07-24,727,735,725,733,1391784,1903,TQBR
INGR,2020-07-27,750,760,732,741,3263823,4396,TQBR
INGR,2020-07-28,735,745,735,742,1538042,2074,TQBR
INGR,2020-07-29,736,743,734,742,3639386,4913,TQBR
INGR,2020-07-30,747,747,736,740,1200351,1624,TQBR
INGR,2020-07-31,746,764,740,750,2009498,2678,TQBR
INGR,2020-08-03,741,755,739,746,1100652,1470,TQBR
INGR,2020-08-04,752,762,741,762,1891430,2515,TQBR
INGR,2020-08-05,760,768,752,767,3006608,3950,TQBR
INGR,2020-08-06,759,771,759,768,1798115,2354,TQBR
INGR,2020-08-07,804,835,789,815,16517879,20156,TQBR
INGR,2020-08-10,840,840,790,800,3175111,3881,TQBR
INGR,2020-08-11,807,807,787,796,3401904,4283,TQBR
INGR,2020-08-12,792,820,791,815,4572748,5684,TQBR
INGR,2020-08-13,821,840,813,818,3673418,4427,TQBR
INGR,2020-08-14,818,822,815,822,448664,548,TQBR
INGR,2020-08-17,816,820,812,812,1007087,1236,TQBR
INGR,2020-08-18,811,824,800,820,2635779,3275,TQBR
INGR,2020-08-19,811,818,808,812,267072,329,TQBR
INGR,2020-08-20,808,813,801,813,341960,424,TQBR
INGR,2020-08-21,805,820,804,806,422101,520,TQBR
INGR,2020-08-24,814,820,806,808,318311,392,TQBR
INGR,2020-08-25,807,820,802,810,205554,253,TQBR
INGR,2020-08-26,807,820,807,810,456698,561,TQBR
INGR,2020-08-27,813,839,810,821,1048355,1280,TQBR
INGR,2020-08-28,822,825,802,807,645369,799,TQBR
INGR,2020-08-31,804,818,804,809,365916,452,TQBR
INGR,2020-09-01,817,817,804,804,88056,109,TQBR
INGR,2020-09-02,810,816,800,800,1426480,1778,TQBR
