ticker,tradedate,open,high,low,close,value,volume,boardid
IRKT,2014-06-09,5.915,5.915,5.843,5.843,18844.3,3200,TQBR
IRKT,2014-06-10,5.86,5.911,5.851,5.851,175824.3,29900,TQBR
IRKT,2014-06-11,5.938,5.943,5.87,5.943,204075.5,34500,TQBR
IRKT,2014-06-16,5.838,5.984,5.73,5.865,252588.9,43200,TQBR
IRKT,2014-06-17,5.86,5.884,5.791,5.884,201523.4,34600,TQBR
IRKT,2014-06-18,5.83,5.942,5.83,5.93,104054.5,17600,TQBR
IRKT,2014-06-19,5.93,5.932,5.815,5.815,134753.4,23000,TQBR
IRKT,2014-06-20,5.899,5.913,5.792,5.792,259700.0,44500,TQBR
IRKT,2014-06-23,5.832,5.851,5.82,5.85,43785.4,7500,TQBR
IRKT,2014-06-24,5.888,5.889,5.84,5.875,150771.6,25700,TQBR
IRKT,2014-06-25,5.89,5.89,5.86,5.871,70978.7,12100,TQBR
IRKT,2014-06-26,5.89,5.89,5.81,5.814,654008.3,112300,TQBR
IRKT,2014-06-27,5.86,5.884,5.851,5.86,11726.4,2000,TQBR
IRKT,2014-06-30,5.874,6.33,5.755,6.32,630076.0,105900,TQBR
IRKT,2014-07-01,5.978,6.06,5.826,6.06,709776.3,119800,TQBR
IRKT,2014-07-02,5.908,6.098,5.851,5.92,503314.9,84700,TQBR
IRKT,2014-07-03,5.928,5.994,5.855,5.912,123366.0,20700,TQBR
IRKT,2014-07-04,5.936,5.994,5.936,5.95,64892.5,10900,TQBR
IRKT,2014-07-07,5.957,6.1,5.957,6.1,662442.3,108900,TQBR
IRKT,2014-07-08,6.1,6.175,6.076,6.076,225774.3,36700,TQBR
IRKT,2014-07-09,6.186,6.191,6.15,6.15,38261.7,6200,TQBR
IRKT,2014-07-10,6.17,6.234,5.611,6.2,850365.5,139700,TQBR
IRKT,2014-07-11,6.054,6.25,6.054,6.176,350800.9,56800,TQBR
IRKT,2014-07-14,6.183,6.184,6.0,6.1,421085.6,69300,TQBR
IRKT,2014-07-15,5.773,5.83,5.723,5.77,876728.1,152100,TQBR
IRKT,2014-07-16,5.797,5.797,5.733,5.776,147994.8,25700,TQBR
IRKT,2014-07-17,5.797,5.797,5.57,5.699,1776186.8,314900,TQBR
IRKT,2014-07-18,5.676,5.696,5.653,5.687,33944.1,6000,TQBR
IRKT,2014-07-21,5.699,5.797,5.5,5.614,424374.8,75800,TQBR
IRKT,2014-07-22,5.574,5.621,5.574,5.62,156760.7,28000,TQBR
