ticker,tradedate,open,high,low,close,value,volume,boardid
JNOSP,2014-06-10,16.006,17.652,16.0,17.652,645713.2,40000,TQBR
JNOSP,2014-06-11,17.6,19.827,17.6,19.827,454302.7,25800,TQBR
JNOSP,2014-06-17,17.251,19.091,17.0,19.091,267907.3,15500,TQBR
JNOSP,2014-06-18,18.882,18.94,18.882,18.94,153083.2,8100,TQBR
JNOSP,2014-06-19,17.6,18.99,17.6,18.99,273541.9,14700,TQBR
JNOSP,2014-06-24,18.0,18.3,18.0,18.3,3289410.0,182700,TQBR
JNOSP,2014-06-25,18.002,19.8,18.0,19.8,220061.7,11800,TQBR
JNOSP,2014-06-27,19.0,19.0,19.0,19.0,380000.0,20000,TQBR
JNOSP,2014-07-04,18.501,18.501,18.5,18.501,83251.5,4500,TQBR
JNOSP,2014-07-09,18.45,18.45,18.45,18.45,59040.0,3200,TQBR
JNOSP,2014-07-14,19.837,19.837,17.602,17.701,51734.6,2900,TQBR
JNOSP,2014-07-15,19.8,19.8,19.8,19.8,39600.0,2000,TQBR
JNOSP,2014-07-16,18.1,18.1,18.1,18.1,905000.0,50000,TQBR
JNOSP,2014-07-17,19.84,19.888,19.84,19.888,37727.4,1900,TQBR
JNOSP,2014-07-18,19.998,19.999,19.0,19.0,9899.5,500,TQBR
JNOSP,2014-07-21,19.001,20.0,19.0,19.999,115499.8,5800,TQBR
JNOSP,2014-07-23,19.05,20.0,19.05,20.0,204020.0,10600,TQBR
JNOSP,2014-07-25,20.38,20.501,20.38,20.5,270567.1,13200,TQBR
JNOSP,2014-07-28,19.502,19.502,19.107,19.107,247615.9,12700,TQBR
JNOSP,2014-07-29,20.999,21.0,19.556,19.556,85955.5,4100,TQBR
JNOSP,2014-07-30,17.555,21.0,17.555,21.0,493131.2,24600,TQBR
JNOSP,2014-07-31,18.502,21.0,18.502,20.01,236949.4,11300,TQBR
JNOSP,2014-08-01,20.5,20.5,20.5,20.5,26650.0,1300,TQBR
JNOSP,2014-08-04,21.199,22.0,20.064,20.501,568634.1,26600,TQBR
JNOSP,2014-08-05,20.501,22.0,20.5,21.297,1942329.0,94100,TQBR
JNOSP,2014-08-06,21.487,22.5,21.487,22.5,287630.4,13200,TQBR
JNOSP,2014-08-07,22.5,22.5,22.5,22.5,11250.0,500,TQBR
JNOSP,2014-08-08,21.502,21.999,21.501,21.999,108750.1,5000,TQBR
JNOSP,2014-08-11,22.0,22.57,20.501,20.501,399764.9,18200,TQBR
JNOSP,2014-08-12,21.105,22.569,21.103,22.569,436379.8,20000,TQBR
JNOSP,2014-08-14,22.569,25.0,22.569,25.0,454865.9,19500,TQBR
JNOSP,2014-08-15,24.014,24.05,24.0,24.05,1416632.7,59000,TQBR
JNOSP,2014-08-18,22.8,26.51,20.072,23.113,305992.8,12300,TQBR
JNOSP,2014-08-19,23.115,25.0,22.11,25.0,336734.1,13500,TQBR
JNOSP,2014-08-20,21.0,29.17,21.0,29.17,269876.2,9300,TQBR
JNOSP,2014-08-21,30.0,30.0,25.127,27.35,126805.29999999997,4500,TQBR
JNOSP,2014-08-22,26.156,28.0,26.156,28.0,30604.399999999998,1100,TQBR
JNOSP,2014-08-25,27.999,28.0,25.13,26.499,1685522.7,65700,TQBR
JNOSP,2014-08-26,25.499,28.0,25.499,27.119,1097810.5999999999,40900,TQBR
JNOSP,2014-08-27,29.999,31.0,29.999,31.0,2084999.3,67600,TQBR
JNOSP,2014-08-28,30.0,32.0,28.0,31.0,2825853.5,97900,TQBR
JNOSP,2014-08-29,31.89,32.5,31.0,32.5,2004384.3,62500,TQBR
JNOSP,2014-09-01,32.5,33.0,30.8,32.94,6917112.5,212200,TQBR
JNOSP,2014-09-02,33.3,33.867,29.0,32.8,9032727.6,287400,TQBR
JNOSP,2014-09-03,30.01,33.87,29.559,31.202,2809692.0,85600,TQBR
JNOSP,2014-09-04,32.898,33.5,31.208,32.251,444881.0,13500,TQBR
JNOSP,2014-09-05,33.49,38.5,32.301,38.5,1126115.8,32700,TQBR
JNOSP,2014-09-08,41.0,41.5,39.0,40.997,395550.1,9700,TQBR
JNOSP,2014-09-09,41.85,41.996,37.15,38.501,197576.7,5200,TQBR
JNOSP,2014-09-10,39.89,42.0,39.89,42.0,431004.8,10400,TQBR
JNOSP,2014-09-11,43.498,43.498,40.0,40.5,545045.5,13600,TQBR
JNOSP,2014-09-12,40.002,40.5,40.0,40.0,2592050.2,64800,TQBR
JNOSP,2014-09-15,37.0,40.0,36.5,40.0,5684598.6,142200,TQBR
JNOSP,2014-09-16,40.0,40.0,40.0,40.0,364000.0,9100,TQBR
JNOSP,2014-09-17,40.0,40.0,38.5,38.5,386950.2,9700,TQBR
JNOSP,2014-09-18,38.502,38.502,38.502,38.502,19251.0,500,TQBR
JNOSP,2014-09-19,38.501,38.501,38.501,38.501,19250.5,500,TQBR
JNOSP,2014-09-22,37.5,38.001,37.5,38.0,763600.1,20100,TQBR
JNOSP,2014-09-23,32.3,32.3,32.3,32.3,16150.0,500,TQBR
JNOSP,2014-09-24,35.001,37.501,35.001,37.501,1105902.1,29700,TQBR
JNOSP,2014-09-25,37.797,37.8,35.0,36.0,1187754.7,32800,TQBR
JNOSP,2014-09-26,35.1,35.75,35.1,35.75,347678.5,9800,TQBR
JNOSP,2014-09-29,34.0,34.997,34.0,34.997,410491.5,11900,TQBR
JNOSP,2014-09-30,33.0,34.001,33.0,34.001,451803.0,13600,TQBR
JNOSP,2014-10-01,34.45,34.5,33.05,33.05,223470.0,6600,TQBR
JNOSP,2014-10-02,33.0,35.5,33.0,35.5,2427915.0,69900,TQBR
JNOSP,2014-10-03,34.5,34.5,34.5,34.5,3450.0,100,TQBR
JNOSP,2014-10-07,34.5,35.0,34.5,35.0,2142980.0,61300,TQBR
JNOSP,2014-10-08,33.2,33.2,33.15,33.15,46415.0,1400,TQBR
JNOSP,2014-10-09,33.85,35.05,33.85,35.0,16581720.0,474200,TQBR
JNOSP,2014-10-10,34.95,35.05,34.95,35.0,2281995.0,65200,TQBR
JNOSP,2014-10-13,31.0,35.05,31.0,35.0,6596500.0,188500,TQBR
JNOSP,2014-10-14,35.0,35.05,35.0,35.0,2621505.0,74900,TQBR
JNOSP,2014-10-15,35.0,35.0,30.4,35.0,1107915.0,31700,TQBR
JNOSP,2014-10-16,35.0,35.05,35.0,35.0,1407005.0,40200,TQBR
JNOSP,2014-10-17,35.2,35.2,35.2,35.2,176000.0,5000,TQBR
JNOSP,2014-10-20,31.0,35.05,31.0,35.0,18707105.0,534500,TQBR
JNOSP,2014-10-22,33.05,36.3,33.05,36.3,6935.0,200,TQBR
JNOSP,2014-10-24,35.0,35.0,35.0,35.0,353500.0,10100,TQBR
JNOSP,2014-10-27,35.0,35.0,35.0,35.0,1743000.0,49800,TQBR
JNOSP,2014-10-28,35.0,35.0,35.0,35.0,210000.0,6000,TQBR
JNOSP,2014-10-29,35.0,35.0,35.0,35.0,3500.0,100,TQBR
JNOSP,2014-10-30,35.0,35.0,35.0,35.0,805000.0,23000,TQBR
JNOSP,2014-11-05,35.0,35.0,35.0,35.0,105000.0,3000,TQBR
JNOSP,2014-11-06,35.0,35.0,35.0,35.0,2387000.0,68200,TQBR
JNOSP,2014-11-10,34.95,35.0,34.95,35.0,1060495.0,30300,TQBR
JNOSP,2014-11-11,35.0,35.0,35.0,35.0,1204000.0,34400,TQBR
JNOSP,2014-11-12,35.0,35.0,35.0,35.0,700000.0,20000,TQBR
JNOSP,2014-11-13,35.0,35.0,35.0,35.0,549500.0,15700,TQBR
JNOSP,2014-11-18,35.0,35.0,35.0,35.0,808500.0,23100,TQBR
JNOSP,2014-11-19,35.05,35.05,35.05,35.05,3505.0,100,TQBR
JNOSP,2014-11-21,35.45,35.5,35.45,35.5,7095.0,200,TQBR
JNOSP,2014-11-24,35.0,36.5,35.0,35.0,2073500.0,59200,TQBR
JNOSP,2014-11-26,35.5,35.5,35.5,35.5,3550.0,100,TQBR
JNOSP,2014-11-28,35.0,35.0,35.0,35.0,7000.0,200,TQBR
JNOSP,2014-12-01,35.0,35.0,35.0,35.0,315000.0,9000,TQBR
JNOSP,2014-12-03,35.0,35.0,35.0,35.0,3500.0,100,TQBR
JNOSP,2014-12-04,35.0,35.0,35.0,35.0,350000.0,10000,TQBR
