ticker,tradedate,open,high,low,close,value,volume,boardid
KAZT,2014-06-18,86.02,86.11,86.01,86.1,68865,800,TQBR
KAZT,2014-06-19,88.9,93.26,88.9,93.26,231582,2500,TQBR
KAZT,2014-06-20,90.0,90.0,83.0,90.0,184500,2100,TQBR
KAZT,2014-06-23,90.0,98.3,83.0,98.3,108130,1200,TQBR
KAZT,2014-06-24,85.0,85.0,85.0,85.0,8500,100,TQBR
KAZT,2014-06-26,92.0,92.0,92.0,92.0,9200,100,TQBR
KAZT,2014-07-03,86.13,86.13,86.13,86.13,8613,100,TQBR
KAZT,2014-07-04,86.86,86.86,86.3,86.3,17316,200,TQBR
KAZT,2014-07-09,86.0,86.0,85.01,86.0,25701,300,TQBR
KAZT,2014-07-11,82.15,91.0,82.15,85.0,137920,1600,TQBR
KAZT,2014-07-14,85.2,87.7,85.2,87.7,138320,1600,TQBR
KAZT,2014-07-16,91.81,96.0,91.81,96.0,479401,5000,TQBR
KAZT,2014-07-18,99.93,99.93,99.93,99.93,9993,100,TQBR
KAZT,2014-07-21,86.1,89.0,86.1,89.0,157590,1800,TQBR
KAZT,2014-07-28,99.0,99.0,99.0,99.0,9900,100,TQBR
KAZT,2014-08-04,86.0,89.3,86.0,89.3,157338,1800,TQBR
KAZT,2014-08-08,81.05,84.02,81.05,84.02,148278,1800,TQBR
KAZT,2014-08-14,82.02,82.02,82.02,82.02,8202,100,TQBR
KAZT,2014-08-21,85.0,89.3,85.0,89.3,122010,1400,TQBR
KAZT,2014-08-28,84.0,87.3,83.0,87.3,169970,2000,TQBR
KAZT,2014-09-02,87.0,92.5,87.0,92.5,1842295,20000,TQBR
KAZT,2014-09-03,87.0,87.0,87.0,87.0,121800,1400,TQBR
KAZT,2014-10-01,99.3,99.3,85.0,85.0,18430,200,TQBR
KAZT,2014-10-06,85.0,85.0,85.0,85.0,8500,100,TQBR
KAZT,2014-10-08,90.0,90.0,82.0,82.0,17200,200,TQBR
KAZT,2014-10-14,91.9,91.9,91.9,91.9,9190,100,TQBR
KAZT,2014-10-23,92.0,95.0,92.0,95.0,185800,2000,TQBR
KAZT,2014-10-24,78.2,90.0,73.0,90.0,388730,4600,TQBR
KAZT,2014-10-27,89.9,90.0,89.9,90.0,269990,3000,TQBR
KAZT,2014-10-28,94.9,95.0,90.0,90.0,184980,2000,TQBR
KAZT,2014-11-05,92.0,94.0,90.0,90.0,99600,1100,TQBR
KAZT,2014-11-06,85.0,85.0,84.0,84.0,161400,1900,TQBR
KAZT,2014-11-07,88.0,93.9,88.0,93.9,90860,1000,TQBR
KAZT,2014-11-10,87.1,87.1,87.1,87.1,8710,100,TQBR
KAZT,2014-11-20,91.0,94.0,91.0,94.0,12711500,138900,TQBR
KAZT,2014-11-27,88.2,88.2,88.2,88.2,1728720,19600,TQBR
KAZT,2014-12-01,90.0,90.0,90.0,90.0,45000,500,TQBR
KAZT,2014-12-02,87.0,90.0,86.0,86.0,627710,7200,TQBR
KAZT,2014-12-03,88.8,88.8,88.8,88.8,8880,100,TQBR
KAZT,2014-12-04,90.0,90.0,90.0,90.0,45000,500,TQBR
KAZT,2014-12-05,90.0,90.0,90.0,90.0,90000,1000,TQBR
KAZT,2014-12-10,90.0,90.0,90.0,90.0,9000,100,TQBR
KAZT,2014-12-15,87.0,87.0,87.0,87.0,435000,5000,TQBR
KAZT,2014-12-17,87.0,90.0,74.0,90.0,13593140,156400,TQBR
KAZT,2014-12-22,87.0,90.0,87.0,90.0,17700,200,TQBR
KAZT,2014-12-25,86.0,87.0,84.0,84.0,4307220,50100,TQBR
KAZT,2014-12-26,85.9,87.0,85.9,87.0,866750,10000,TQBR
KAZT,2014-12-29,79.6,85.0,78.0,85.0,24260,300,TQBR
KAZT,2014-12-30,85.9,85.9,85.9,85.9,17180,200,TQBR
KAZT,2015-01-05,85.9,85.9,85.9,85.9,8590,100,TQBR
KAZT,2015-01-06,85.9,85.9,85.9,85.9,34360,400,TQBR
KAZT,2015-01-16,84.9,84.9,84.9,84.9,101880,1200,TQBR
KAZT,2015-01-19,80.0,80.0,80.0,80.0,8000,100,TQBR
KAZT,2015-01-23,83.9,99.0,83.0,84.9,902860,10500,TQBR
KAZT,2015-01-26,83.9,83.9,82.9,82.9,402120,4800,TQBR
KAZT,2015-01-27,83.9,83.9,81.9,81.9,132680,1600,TQBR
KAZT,2015-01-28,83.0,85.5,80.1,82.5,4508520,53400,TQBR
KAZT,2015-01-30,82.5,82.5,82.5,82.5,49500,600,TQBR
KAZT,2015-02-03,82.6,83.9,82.0,82.0,1207340,14600,TQBR
KAZT,2015-02-04,83.9,83.9,82.9,82.9,16680,200,TQBR
KAZT,2015-02-05,83.5,83.5,80.1,83.5,1210190,15100,TQBR
KAZT,2015-02-06,80.0,84.8,80.0,84.8,9775600,115300,TQBR
KAZT,2015-02-10,82.9,82.9,82.4,82.4,57880,700,TQBR
