ticker,tradedate,open,high,low,close,value,volume,boardid
KCHEP,2014-07-01,0.08376,0.088,0.047,0.05557,257746.1,3820000,TQBR
KCHEP,2014-07-02,0.051,0.051,0.0501,0.0501,3516.1,70000,TQBR
KCHEP,2014-07-03,0.05995,0.06,0.05995,0.06,11998.0,200000,TQBR
KCHEP,2014-07-10,0.06376,0.06376,0.06376,0.06376,3825.6,60000,TQBR
KCHEP,2014-07-11,0.05201,0.05201,0.05151,0.05151,2065.6,40000,TQBR
KCHEP,2014-08-06,0.05215,0.05215,0.05026,0.05205,22358.6,430000,TQBR
KCHEP,2014-08-07,0.0675,0.0675,0.0675,0.0675,6750.0,100000,TQBR
KCHEP,2014-08-08,0.052,0.052,0.052,0.052,520.0,10000,TQBR
KCHEP,2014-08-18,0.0665,0.0665,0.0665,0.0665,665.0,10000,TQBR
KCHEP,2014-08-20,0.06748,0.06748,0.06748,0.06748,674.8,10000,TQBR
KCHEP,2014-09-29,0.04845,0.0685,0.04845,0.0685,15120.0,250000,TQBR
KCHEP,2014-09-30,0.05016,0.05017,0.05016,0.05017,5016.9,100000,TQBR
KCHEP,2014-10-01,0.0695,0.0695,0.0695,0.0695,1390.0,20000,TQBR
KCHEP,2014-10-06,0.0695,0.0695,0.0695,0.0695,6950.0,100000,TQBR
KCHEP,2014-10-15,0.051,0.0573,0.0502,0.0573,4191.0,80000,TQBR
KCHEP,2014-11-26,0.069,0.071,0.069,0.071,4240.0,60000,TQBR
KCHEP,2014-12-01,0.071,0.0954,0.064,0.064,8345.0,120000,TQBR
KCHEP,2014-12-16,0.0502,0.0502,0.0502,0.0502,1004.0,20000,TQBR
KCHEP,2014-12-24,0.0804,0.0805,0.0804,0.0805,4826.0,60000,TQBR
KCHEP,2014-12-25,0.0588,0.0588,0.0585,0.0585,2935.0,50000,TQBR
KCHEP,2015-01-23,0.0786,0.0786,0.0786,0.0786,786.0,10000,TQBR
KCHEP,2015-01-29,0.08,0.08,0.08,0.08,800.0,10000,TQBR
KCHEP,2015-02-04,0.0515,0.0516,0.0515,0.0516,5159.0,100000,TQBR
KCHEP,2015-02-05,0.0591,0.0644,0.0575,0.0644,7151.0,120000,TQBR
KCHEP,2015-02-12,0.072,0.08,0.072,0.0799,11036.0,140000,TQBR
KCHEP,2015-02-17,0.084,0.084,0.084,0.084,8400.0,100000,TQBR
