ticker,tradedate,open,high,low,close,value,volume,boardid
KRKNP,2014-06-11,14112,14200,11000,14200,64512,5,TQBR
KRKNP,2014-06-16,10800,10800,10800,10800,10800,1,TQBR
KRKNP,2014-06-17,14200,14200,12520,14000,757247,56,TQBR
KRKNP,2014-06-25,14000,14000,14000,14000,252000,18,TQBR
KRKNP,2014-07-04,14500,14500,14500,14500,1740000,120,TQBR
KRKNP,2014-07-08,11000,11000,11000,11000,220000,20,TQBR
KRKNP,2014-07-09,11500,12001,11500,11800,1123901,96,TQBR
KRKNP,2014-07-11,10150,10150,10150,10150,324800,32,TQBR
KRKNP,2014-07-17,11000,11000,11000,11000,440000,40,TQBR
KRKNP,2014-07-22,11983,11983,11983,11983,11983,1,TQBR
KRKNP,2014-07-25,9500,9500,9500,9500,38000,4,TQBR
KRKNP,2014-07-28,10500,10500,10500,10500,73500,7,TQBR
KRKNP,2014-07-29,10800,10800,10800,10800,108000,10,TQBR
KRKNP,2014-07-30,11000,11200,11000,11200,199600,18,TQBR
KRKNP,2014-07-31,11060,11196,11060,11196,464792,42,TQBR
KRKNP,2014-08-06,10401,10500,10150,10450,296870,29,TQBR
KRKNP,2014-08-07,10000,10000,10000,10000,10000,1,TQBR
KRKNP,2014-08-08,10900,10900,10798,10800,32498,3,TQBR
KRKNP,2014-08-12,10033,10600,10001,10500,91393,9,TQBR
KRKNP,2014-08-13,10700,11000,10700,11000,120700,11,TQBR
KRKNP,2014-08-18,10106,10150,10106,10106,60724,6,TQBR
KRKNP,2014-08-22,10200,10200,10200,10200,510000,50,TQBR
KRKNP,2014-08-26,10105,10110,10100,10110,40420,4,TQBR
KRKNP,2014-08-27,10799,10799,10799,10799,10799,1,TQBR
KRKNP,2014-09-03,10850,10850,10850,10850,10850,1,TQBR
KRKNP,2014-09-10,10850,11350,10850,11350,153895,14,TQBR
KRKNP,2014-09-11,11300,11300,11300,11300,113000,10,TQBR
KRKNP,2014-09-19,10800,10800,10800,10800,10800,1,TQBR
KRKNP,2014-09-22,10800,10800,9051,9051,272617,26,TQBR
KRKNP,2014-09-23,9100,10290,9100,10290,69466,7,TQBR
KRKNP,2014-09-25,10999,10999,10000,10000,20999,2,TQBR
KRKNP,2014-10-03,9650,9650,9500,9500,114250,12,TQBR
KRKNP,2014-10-06,9800,9800,9800,9800,9800,1,TQBR
KRKNP,2014-10-09,10200,10200,9950,9950,20150,2,TQBR
KRKNP,2014-10-13,9200,9950,9200,9950,19150,2,TQBR
KRKNP,2014-10-16,9900,9900,9900,9900,9900,1,TQBR
KRKNP,2014-10-20,9950,9950,9950,9950,49750,5,TQBR
KRKNP,2014-10-23,9200,9200,9200,9200,9200,1,TQBR
KRKNP,2014-10-27,9150,9200,9100,9100,54850,6,TQBR
KRKNP,2014-10-29,9600,9600,9600,9600,9600,1,TQBR
KRKNP,2014-10-30,9650,9650,9600,9600,38500,4,TQBR
KRKNP,2014-11-05,10300,10300,10300,10300,10300,1,TQBR
KRKNP,2014-11-06,10350,10500,10350,10500,314400,30,TQBR
KRKNP,2014-11-11,10100,10100,10100,10100,90900,9,TQBR
KRKNP,2014-11-13,10850,11000,10850,11000,43750,4,TQBR
KRKNP,2014-11-17,10350,10350,10350,10350,62100,6,TQBR
KRKNP,2014-11-18,10700,10700,10700,10700,107000,10,TQBR
KRKNP,2014-11-20,10800,11000,10800,11000,76550,7,TQBR
KRKNP,2014-11-21,11000,11000,10350,10350,173950,16,TQBR
KRKNP,2014-11-25,11050,11050,11050,11050,176800,16,TQBR
KRKNP,2014-11-27,11050,11050,11050,11050,11050,1,TQBR
KRKNP,2014-12-02,11000,11000,11000,11000,22000,2,TQBR
KRKNP,2014-12-05,10600,10600,10500,10500,31600,3,TQBR
KRKNP,2014-12-08,10050,10050,10000,10000,60050,6,TQBR
KRKNP,2014-12-09,10000,10000,10000,10000,100000,10,TQBR
KRKNP,2014-12-10,10600,10600,9900,9900,258000,25,TQBR
KRKNP,2014-12-12,10600,10600,10600,10600,498200,47,TQBR
KRKNP,2014-12-16,9000,9000,9000,9000,36000,4,TQBR
KRKNP,2014-12-17,9050,9050,7650,7800,66800,8,TQBR
KRKNP,2014-12-18,9500,9900,9200,9200,57950,6,TQBR
KRKNP,2014-12-23,9700,9700,9700,9700,19400,2,TQBR
KRKNP,2015-02-04,11450,11450,10200,10200,246650,22,TQBR
KRKNP,2015-02-09,10600,10800,10600,10650,53500,5,TQBR
KRKNP,2015-02-12,11500,11500,11500,11500,11500,1,TQBR
KRKNP,2015-02-13,11500,12500,11150,12500,1621250,136,TQBR
KRKNP,2015-02-16,13000,13950,13000,13950,143950,11,TQBR
KRKNP,2015-02-20,13500,13500,13500,13500,13500,1,TQBR
KRKNP,2015-02-24,12300,12300,12300,12300,86100,7,TQBR
KRKNP,2015-02-26,13000,13000,13000,13000,13000,1,TQBR
KRKNP,2015-02-27,12950,12950,12950,12950,25900,2,TQBR
KRKNP,2015-03-02,12600,12600,12600,12600,1423800,113,TQBR
KRKNP,2015-03-04,12500,12500,12500,12500,12500,1,TQBR
KRKNP,2015-03-11,12000,12000,12000,12000,36000,3,TQBR
KRKNP,2015-03-13,12250,12250,12250,12250,12250,1,TQBR
KRKNP,2015-03-16,11500,11500,10550,10550,53950,5,TQBR
KRKNP,2015-03-19,11000,11500,10950,11000,55450,5,TQBR
KRKNP,2015-03-23,11500,12000,11400,11400,173150,15,TQBR
KRKNP,2015-03-24,10550,12500,10550,11850,709700,66,TQBR
KRKNP,2015-03-25,12300,12350,12250,12250,98450,8,TQBR
KRKNP,2015-03-27,12200,12250,12200,12250,48900,4,TQBR
KRKNP,2015-03-30,12200,12250,12200,12250,48900,4,TQBR
KRKNP,2015-04-01,12450,12550,12450,12550,75000,6,TQBR
KRKNP,2015-04-06,12450,12500,12450,12500,74950,6,TQBR
KRKNP,2015-04-07,12450,12450,12450,12450,12450,1,TQBR
KRKNP,2015-04-08,12000,12400,12000,12400,436350,36,TQBR
KRKNP,2015-04-09,12000,12600,12000,12600,319750,26,TQBR
KRKNP,2015-04-10,12500,12500,12500,12500,12500,1,TQBR
KRKNP,2015-04-13,12700,12700,12700,12700,12700,1,TQBR
KRKNP,2015-04-14,12300,12600,12300,12600,74700,6,TQBR
KRKNP,2015-04-15,12300,12600,12100,12600,185000,15,TQBR
KRKNP,2015-04-20,12850,12850,12850,12850,12850,1,TQBR
KRKNP,2015-04-21,12900,13400,12900,13400,104600,8,TQBR
KRKNP,2015-04-23,12500,12800,12500,12800,50600,4,TQBR
KRKNP,2015-04-27,12600,12600,12550,12550,2015900,160,TQBR
KRKNP,2015-04-28,12500,12600,12500,12550,238200,19,TQBR
KRKNP,2015-04-29,12600,12600,12500,12500,100550,8,TQBR
KRKNP,2015-04-30,12600,12850,12600,12600,1412700,112,TQBR
KRKNP,2015-05-05,12600,12600,12600,12600,163800,13,TQBR
KRKNP,2015-05-06,13550,13550,12750,13000,219400,17,TQBR
KRKNP,2015-05-07,13450,13500,13450,13500,67450,5,TQBR
KRKNP,2015-05-08,13800,15000,13800,15000,750450,52,TQBR
KRKNP,2015-05-12,14950,15850,14850,15850,464050,31,TQBR
KRKNP,2015-05-13,15800,15800,14600,15000,626200,41,TQBR
KRKNP,2015-05-15,14600,14900,14150,14400,406350,28,TQBR
KRKNP,2015-05-18,14200,14550,14200,14550,201250,14,TQBR
KRKNP,2015-05-20,14000,14400,13950,13950,987150,70,TQBR
KRKNP,2015-05-21,13600,13900,13500,13900,975600,71,TQBR
KRKNP,2015-05-22,13800,13800,13800,13800,13800,1,TQBR
KRKNP,2015-05-26,13550,13550,13500,13550,486400,36,TQBR
KRKNP,2015-05-27,13550,13550,13500,13500,1350050,100,TQBR
KRKNP,2015-06-02,13250,13250,13100,13100,52650,4,TQBR
KRKNP,2015-06-03,13400,13400,13400,13400,26800,2,TQBR
KRKNP,2015-06-04,13300,13300,13300,13300,26600,2,TQBR
KRKNP,2015-06-05,13150,13200,13150,13200,579750,44,TQBR
KRKNP,2015-06-09,13300,13300,13300,13300,133000,10,TQBR
KRKNP,2015-06-10,13500,13500,13500,13500,81000,6,TQBR
KRKNP,2015-06-15,13200,13200,13150,13150,39550,3,TQBR
KRKNP,2015-06-16,13400,13500,13400,13500,80700,6,TQBR
KRKNP,2015-06-17,13400,13400,13400,13400,13400,1,TQBR
KRKNP,2015-06-18,13200,13200,13200,13200,1108800,84,TQBR
KRKNP,2015-06-19,13500,13500,13450,13450,40450,3,TQBR
KRKNP,2015-06-23,13250,13250,13250,13250,265000,20,TQBR
KRKNP,2015-06-24,13350,13900,13350,13600,82100,6,TQBR
KRKNP,2015-06-25,13850,13850,13350,13600,135100,10,TQBR
KRKNP,2015-06-26,13700,13950,13700,13950,124900,9,TQBR
KRKNP,2015-06-29,13900,14000,13900,14000,741200,53,TQBR
KRKNP,2015-06-30,13900,14000,13700,14000,446200,32,TQBR
KRKNP,2015-07-06,14050,14500,14000,14300,1558850,109,TQBR
KRKNP,2015-07-07,12800,13200,12800,13200,246850,19,TQBR
KRKNP,2015-07-09,13000,13000,12900,12900,90850,7,TQBR
KRKNP,2015-07-13,14350,14350,14350,14350,774900,54,TQBR
KRKNP,2015-07-17,14000,14000,14000,14000,672000,48,TQBR
KRKNP,2015-07-20,14600,14600,13900,13950,701100,50,TQBR
KRKNP,2015-07-21,14000,14150,13900,13900,224450,16,TQBR
KRKNP,2015-07-23,13700,13850,13700,13850,495750,36,TQBR
KRKNP,2015-07-27,14000,14000,13700,14000,263600,19,TQBR
KRKNP,2015-07-28,14000,14000,13500,13500,318850,23,TQBR
KRKNP,2015-07-29,14000,14000,14000,14000,224000,16,TQBR
KRKNP,2015-07-30,14000,14000,14000,14000,56000,4,TQBR
KRKNP,2015-07-31,14000,14100,14000,14100,308900,22,TQBR
KRKNP,2015-08-03,14000,14100,14000,14000,393050,28,TQBR
KRKNP,2015-08-04,14000,14100,14000,14000,588800,42,TQBR
KRKNP,2015-08-05,13950,14100,13500,13500,794450,57,TQBR
KRKNP,2015-08-06,14000,14000,13750,13750,345000,25,TQBR
KRKNP,2015-08-07,14650,14700,14650,14700,73350,5,TQBR
KRKNP,2015-08-10,14850,14850,14000,14850,229100,16,TQBR
KRKNP,2015-08-11,14200,14600,14000,14600,1168600,82,TQBR
KRKNP,2015-08-12,14600,14600,14600,14600,14600,1,TQBR
KRKNP,2015-08-13,15000,15000,15000,15000,15000,1,TQBR
