ticker,tradedate,open,high,low,close,value,volume,boardid
KRSB,2014-06-10,2.888,3.49,2.888,2.9,35264,11000,TQBR
KRSB,2014-06-16,2.6,2.6,2.6,2.6,72800,28000,TQBR
KRSB,2014-06-20,2.521,2.521,2.5,2.5,27561,11000,TQBR
KRSB,2014-06-26,2.5,2.5,2.5,2.5,10000,4000,TQBR
KRSB,2014-07-01,2.4,2.4,2.3,2.3,4700,2000,TQBR
KRSB,2014-07-02,2.504,2.504,2.503,2.503,5007,2000,TQBR
KRSB,2014-07-10,2.979,2.979,2.979,2.979,2979,1000,TQBR
KRSB,2014-07-18,2.111,2.111,2.111,2.111,2111,1000,TQBR
KRSB,2014-07-21,2.232,2.232,2.232,2.232,2232,1000,TQBR
KRSB,2014-07-22,2.301,2.301,2.299,2.3,128810,56000,TQBR
KRSB,2014-07-29,2.297,2.297,2.111,2.2,41538,19000,TQBR
KRSB,2014-08-04,2.28,2.3,2.28,2.3,16000,7000,TQBR
KRSB,2014-08-06,2.111,2.111,1.621,1.621,20514,10000,TQBR
KRSB,2014-08-07,2.014,2.014,2.014,2.014,2014,1000,TQBR
KRSB,2014-08-13,2.01,2.01,2.01,2.01,2010,1000,TQBR
KRSB,2014-08-14,2.01,2.01,2.01,2.01,2010,1000,TQBR
KRSB,2014-08-18,2.2,2.285,2.2,2.285,13608,6000,TQBR
KRSB,2014-08-19,2.285,2.285,2.285,2.285,11425,5000,TQBR
KRSB,2014-08-20,2.288,2.3,2.277,2.277,29747,13000,TQBR
KRSB,2014-08-27,2.2,2.2,2.111,2.111,4311,2000,TQBR
KRSB,2014-08-29,2.2,2.2,2.2,2.2,2200,1000,TQBR
KRSB,2014-09-08,2.034,2.217,2.033,2.217,14599,7000,TQBR
KRSB,2014-09-10,2.14,2.14,2.14,2.14,2140,1000,TQBR
KRSB,2014-09-12,2.1,2.1,2.1,2.1,27300,13000,TQBR
KRSB,2014-09-19,2.297,2.297,2.012,2.012,4309,2000,TQBR
KRSB,2014-09-24,2.009,2.009,2.0,2.0,34135,17000,TQBR
KRSB,2014-09-29,2.143,2.143,2.143,2.143,2143,1000,TQBR
KRSB,2014-10-03,2.1,2.1,2.1,2.1,10500,5000,TQBR
KRSB,2014-10-08,2.1,2.1,2.1,2.1,4200,2000,TQBR
KRSB,2014-10-10,2.0,2.0,2.0,2.0,2000,1000,TQBR
KRSB,2014-10-15,1.95,2.0,1.95,2.0,25500,13000,TQBR
KRSB,2014-10-16,1.85,1.85,1.85,1.85,1850,1000,TQBR
KRSB,2014-10-22,1.85,1.85,1.85,1.85,1850,1000,TQBR
KRSB,2014-10-29,1.89,1.9,1.85,1.85,20750,11000,TQBR
KRSB,2014-10-31,1.93,2.0,1.86,1.86,13510,7000,TQBR
KRSB,2014-11-06,1.89,1.89,1.88,1.88,5650,3000,TQBR
KRSB,2014-11-11,1.98,2.0,1.89,1.9,25350,13000,TQBR
KRSB,2014-11-12,2.0,2.46,1.99,2.0,156730,72000,TQBR
KRSB,2014-11-13,2.19,2.2,2.1,2.1,8590,4000,TQBR
KRSB,2014-11-17,2.01,2.01,2.0,2.0,8010,4000,TQBR
KRSB,2014-12-03,2.0,2.0,2.0,2.0,2000,1000,TQBR
KRSB,2014-12-08,1.77,1.8,1.76,1.8,21170,12000,TQBR
KRSB,2014-12-09,1.8,1.8,1.8,1.8,1800,1000,TQBR
KRSB,2014-12-10,1.8,1.8,1.8,1.8,9000,5000,TQBR
KRSB,2014-12-11,1.76,1.76,1.76,1.76,1760,1000,TQBR
KRSB,2014-12-12,1.75,1.8,1.53,1.53,40960,25000,TQBR
KRSB,2014-12-15,1.61,1.7,1.61,1.7,35870,22000,TQBR
KRSB,2014-12-16,1.53,1.7,1.41,1.7,63410,44000,TQBR
KRSB,2014-12-18,1.64,1.64,1.5,1.59,17150,11000,TQBR
KRSB,2014-12-23,1.5,1.7,1.5,1.7,7900,5000,TQBR
