ticker,tradedate,open,high,low,close,value,volume,boardid
LPSB,2014-08-15,1.6,1.6,1.6,1.6,1600,1000,TQBR
LPSB,2014-08-21,1.6,1.6,1.6,1.6,1600,1000,TQBR
LPSB,2014-11-05,1.6,1.6,1.6,1.6,3200,2000,TQBR
LPSB,2014-12-15,3.35,3.35,3.35,3.35,3350,1000,TQBR
LPSB,2015-04-01,3.5,3.5,3.5,3.5,3500,1000,TQBR
LPSB,2015-05-05,2.34,2.34,2.34,2.34,2340,1000,TQBR
LPSB,2015-05-08,3.88,8.96,3.88,8.96,12840,2000,TQBR
LPSB,2015-06-05,3.24,5.95,3.24,5.95,59710,12000,TQBR
LPSB,2015-06-18,4.44,6.81,4.44,6.81,44340,7000,TQBR
LPSB,2015-06-22,7.4,8.76,7.4,8.76,16160,2000,TQBR
LPSB,2015-06-23,9.97,9.97,6.2,9.93,26100,3000,TQBR
LPSB,2015-06-25,5.87,5.87,5.0,5.33,16200,3000,TQBR
LPSB,2015-06-26,5.5,5.5,5.5,5.5,5500,1000,TQBR
LPSB,2015-07-01,5.27,5.27,5.22,5.22,10490,2000,TQBR
LPSB,2015-07-30,5.22,5.22,5.22,5.22,5220,1000,TQBR
LPSB,2015-09-15,5.0,5.22,5.0,5.22,15220,3000,TQBR
LPSB,2015-12-07,5.02,5.02,5.02,5.02,5020,1000,TQBR
LPSB,2016-01-12,4.64,4.76,4.64,4.76,27960,6000,TQBR
LPSB,2016-01-13,4.65,4.65,4.65,4.65,4650,1000,TQBR
LPSB,2016-01-14,4.64,4.64,4.64,4.64,4640,1000,TQBR
LPSB,2016-01-18,3.41,3.82,3.41,3.82,14460,4000,TQBR
LPSB,2016-01-19,3.71,3.71,3.71,3.71,7420,2000,TQBR
LPSB,2016-01-20,3.42,3.42,3.41,3.41,6830,2000,TQBR
LPSB,2016-01-26,3.41,3.41,3.41,3.41,3410,1000,TQBR
LPSB,2016-01-28,3.54,3.7,3.54,3.7,7240,2000,TQBR
LPSB,2016-02-01,3.3,4.78,3.3,4.47,35960,9000,TQBR
LPSB,2016-02-04,5.45,5.45,5.45,5.45,5450,1000,TQBR
LPSB,2016-02-16,4.0,4.0,4.0,4.0,4000,1000,TQBR
LPSB,2016-02-24,3.85,3.85,3.85,3.85,3850,1000,TQBR
LPSB,2016-02-26,3.81,3.81,3.81,3.81,22860,6000,TQBR
LPSB,2016-03-04,3.93,3.93,3.92,3.92,7850,2000,TQBR
LPSB,2016-03-09,4.04,4.05,4.04,4.05,8090,2000,TQBR
LPSB,2016-03-11,4.18,4.18,4.18,4.18,4180,1000,TQBR
LPSB,2016-03-15,4.07,4.07,4.07,4.07,4070,1000,TQBR
LPSB,2016-03-21,4.24,5.41,4.24,5.2,66360,13000,TQBR
LPSB,2016-03-23,4.56,4.84,4.08,4.73,67990,15000,TQBR
LPSB,2016-03-28,4.41,4.41,4.41,4.41,4410,1000,TQBR
LPSB,2016-04-01,4.15,4.15,4.15,4.15,4150,1000,TQBR
LPSB,2016-04-04,4.15,4.15,4.15,4.15,4150,1000,TQBR
LPSB,2016-04-13,4.28,4.28,4.28,4.28,4280,1000,TQBR
LPSB,2016-04-18,4.4,4.4,4.4,4.4,4400,1000,TQBR
LPSB,2016-05-12,4.17,4.17,4.17,4.17,4170,1000,TQBR
