ticker,tradedate,open,high,low,close,value,volume,boardid
LSNG,2014-06-09,3.014,3.05,2.932,2.982,338428.1,113200,TQBR
LSNG,2014-06-10,2.943,3.034,2.943,3.004,386352.1,129200,TQBR
LSNG,2014-06-11,3.028,3.028,2.976,2.991,123800.6,41300,TQBR
LSNG,2014-06-16,2.951,2.975,2.895,2.895,177068.5,60500,TQBR
LSNG,2014-06-17,2.909,2.933,2.8,2.801,1285705.8,447400,TQBR
LSNG,2014-06-18,2.968,2.969,2.77,2.833,947564.6,333000,TQBR
LSNG,2014-06-19,2.834,2.866,2.834,2.84,1385218.2,485400,TQBR
LSNG,2014-06-20,2.83,2.9,2.711,2.8,691741.4,250300,TQBR
LSNG,2014-06-23,2.79,2.827,2.6,2.73,1441151.3,524400,TQBR
LSNG,2014-06-24,2.751,2.886,2.702,2.777,1019612.2,371400,TQBR
LSNG,2014-06-25,2.765,2.878,2.695,2.764,1616025.6,595100,TQBR
LSNG,2014-06-26,2.725,2.859,2.704,2.748,1007737.9,370900,TQBR
LSNG,2014-06-27,2.769,2.769,2.7,2.738,24039.1,8800,TQBR
LSNG,2014-06-30,2.702,2.9,2.7,2.9,666104.9,238400,TQBR
LSNG,2014-07-01,2.8,2.8,2.69,2.69,1316832.4,485100,TQBR
LSNG,2014-07-02,2.7,2.779,2.675,2.751,958146.7,352000,TQBR
LSNG,2014-07-03,2.75,2.777,2.73,2.76,364441.9,132300,TQBR
LSNG,2014-07-04,2.793,2.822,2.777,2.819,496771.5,177200,TQBR
LSNG,2014-07-07,2.839,2.84,2.799,2.8,320718.2,114400,TQBR
LSNG,2014-07-08,2.82,2.82,2.64,2.751,1132431.0,424200,TQBR
LSNG,2014-07-09,2.751,2.763,2.73,2.762,81802.9,29900,TQBR
LSNG,2014-07-10,2.703,2.738,2.603,2.686,456712.0,168600,TQBR
LSNG,2014-07-11,2.667,2.72,2.591,2.67,481271.5,180300,TQBR
LSNG,2014-07-14,2.688,2.688,2.621,2.648,333735.5,126400,TQBR
LSNG,2014-07-15,2.61,2.649,2.6,2.636,222005.5,85100,TQBR
LSNG,2014-07-16,2.685,2.685,2.61,2.64,626019.4,237500,TQBR
LSNG,2014-07-17,2.62,2.839,2.58,2.653,438267.5,165400,TQBR
LSNG,2014-07-18,2.625,2.762,2.625,2.708,248797.1,92200,TQBR
LSNG,2014-07-21,2.694,2.694,2.641,2.668,640776.4,241800,TQBR
LSNG,2014-07-22,2.699,2.699,2.651,2.67,743980.9,279600,TQBR
LSNG,2014-07-23,2.677,2.702,2.503,2.621,1037784.4,393000,TQBR
LSNG,2014-07-24,2.591,2.741,2.591,2.677,722492.0,271700,TQBR
LSNG,2014-07-25,2.692,2.692,2.6,2.64,928320.7,351900,TQBR
LSNG,2014-07-28,2.612,2.66,2.612,2.637,123351.4,46900,TQBR
LSNG,2014-07-29,2.642,2.829,2.642,2.69,1481718.8,550700,TQBR
LSNG,2014-07-30,2.695,2.81,2.531,2.797,501619.4,186300,TQBR
LSNG,2014-07-31,2.7,2.814,2.7,2.748,1449896.9,524400,TQBR
LSNG,2014-08-01,2.659,2.709,2.583,2.64,1403607.0,532700,TQBR
LSNG,2014-08-04,2.836,2.999,2.63,2.65,418171.3,156900,TQBR
LSNG,2014-08-05,2.669,2.98,2.562,2.626,250459.6,95900,TQBR
LSNG,2014-08-06,2.551,2.6,2.551,2.563,123856.7,48300,TQBR
LSNG,2014-08-07,2.59,2.625,2.556,2.582,242551.0,93700,TQBR
LSNG,2014-08-08,2.66,2.66,2.537,2.569,480958.7,186500,TQBR
LSNG,2014-08-11,2.57,2.647,2.57,2.63,87582.59999999998,33300,TQBR
LSNG,2014-08-12,2.645,2.678,2.627,2.627,132239.69999999998,49900,TQBR
LSNG,2014-08-13,2.656,2.825,2.656,2.81,505832.3,186000,TQBR
LSNG,2014-08-14,2.777,2.894,2.712,2.74,149923.30000000002,54900,TQBR
LSNG,2014-08-15,2.729,2.739,2.663,2.739,1908.6999999999998,700,TQBR
LSNG,2014-08-18,2.678,2.719,2.67,2.717,1021164.3999999999,382400,TQBR
LSNG,2014-08-19,2.779,2.779,2.672,2.699,995873.7000000001,371400,TQBR
LSNG,2014-08-20,2.734,2.734,2.694,2.7,1093698.6,402900,TQBR
LSNG,2014-08-21,2.7,2.81,2.7,2.76,1090684.5999999999,393800,TQBR
LSNG,2014-08-22,2.8,2.897,2.702,2.72,1008406.2,370000,TQBR
LSNG,2014-08-25,2.771,2.771,2.66,2.695,2691653.3,1004900,TQBR
LSNG,2014-08-26,2.744,2.744,2.682,2.699,581424.7000000001,215400,TQBR
LSNG,2014-08-27,2.691,2.739,2.662,2.683,587418.8,218300,TQBR
LSNG,2014-08-28,2.7,2.737,2.637,2.637,536537.0,199300,TQBR
LSNG,2014-08-29,2.63,2.8,2.63,2.707,657806.5,245000,TQBR
LSNG,2014-09-01,2.575,2.793,2.575,2.728,727233.3,265500,TQBR
LSNG,2014-09-02,2.69,2.728,2.69,2.727,498587.3,184000,TQBR
LSNG,2014-09-03,2.728,2.8,2.692,2.705,1645348.3,595500,TQBR
LSNG,2014-09-04,2.712,2.738,2.68,2.7,612988.9,227600,TQBR
LSNG,2014-09-05,2.683,2.74,2.68,2.7,833433.2,308500,TQBR
LSNG,2014-09-08,2.652,2.695,2.65,2.65,594067.1,224100,TQBR
LSNG,2014-09-09,2.695,2.71,2.66,2.71,1582554.1,586300,TQBR
LSNG,2014-09-10,2.668,2.7,2.667,2.7,1503539.3,557000,TQBR
LSNG,2014-09-11,2.7,2.725,2.681,2.725,978705.0,362500,TQBR
LSNG,2014-09-12,2.7,2.723,2.667,2.723,388370.7,145000,TQBR
LSNG,2014-09-15,2.676,2.735,2.675,2.735,427718.3,158500,TQBR
LSNG,2014-09-16,2.739,2.74,2.67,2.689,918600.9,338600,TQBR
LSNG,2014-09-17,2.608,2.698,2.608,2.621,360395.9,136100,TQBR
LSNG,2014-09-18,2.687,2.688,2.65,2.67,328281.2,123000,TQBR
LSNG,2014-09-19,2.65,2.676,2.65,2.67,340136.3,128300,TQBR
LSNG,2014-09-22,2.689,2.69,2.626,2.675,321184.1,121200,TQBR
LSNG,2014-09-23,2.616,2.616,2.561,2.609,345366.1,132700,TQBR
LSNG,2014-09-24,2.6,2.633,2.569,2.633,218662.3,84500,TQBR
LSNG,2014-09-25,2.592,2.644,2.59,2.63,406271.0,154800,TQBR
LSNG,2014-09-26,2.65,2.65,2.585,2.647,317967.9,121400,TQBR
LSNG,2014-09-29,2.586,2.653,2.518,2.518,558188.0,218500,TQBR
LSNG,2014-09-30,2.577,2.577,2.38,2.433,950910.7,390400,TQBR
LSNG,2014-10-01,2.45,2.635,2.35,2.395,815735.0,339400,TQBR
LSNG,2014-10-02,2.375,2.45,2.335,2.355,647100.5,273100,TQBR
LSNG,2014-10-03,2.41,2.41,2.36,2.405,608522.5,253300,TQBR
LSNG,2014-10-06,2.45,2.48,2.36,2.4,619427.0,254900,TQBR
LSNG,2014-10-07,2.4,2.4,2.335,2.375,662441.0,282500,TQBR
LSNG,2014-10-08,2.355,2.38,2.305,2.33,815421.5,346200,TQBR
LSNG,2014-10-09,2.31,2.33,2.28,2.305,628027.0,273200,TQBR
LSNG,2014-10-10,2.32,2.325,2.1,2.24,493401.0,217700,TQBR
LSNG,2014-10-13,2.3,2.49,2.25,2.345,5377339.0,2213100,TQBR
LSNG,2014-10-14,2.34,2.37,2.3,2.33,2648316.5,1127000,TQBR
LSNG,2014-10-15,2.34,2.37,2.27,2.35,740468.0,319000,TQBR
