ticker,tradedate,open,high,low,close,value,volume,boardid
LSRG,2011-02-15,1130.0,1155.4,1115.05,1144.0,61535440.57,53632,TQBR
LSRG,2011-02-16,1158.3,1165.0,1142.5,1158.5,21961675.32,18979,TQBR
LSRG,2011-02-17,1160.0,1216.99,1147.0,1201.99,51727279.26,43691,TQBR
LSRG,2011-02-18,1225.0,1248.0,1200.05,1210.0,28945464.66,23661,TQBR
LSRG,2011-02-21,1201.02,1230.0,1201.02,1230.0,28887454.99,23647,TQBR
LSRG,2011-02-22,1227.0,1227.0,1145.15,1191.93,15407082.18,12933,TQBR
LSRG,2011-02-24,1090.5,1181.0,1090.5,1155.0,25563023.4,22270,TQBR
LSRG,2011-02-25,1146.0,1189.0,1146.0,1188.9,8199475.54,6952,TQBR
LSRG,2011-02-28,1181.01,1228.0,1180.3,1225.93,15554854.9,12765,TQBR
LSRG,2011-03-01,1227.0,1233.3,1195.0,1199.9,13081241.3,10778,TQBR
LSRG,2011-03-02,1203.8,1213.0,1183.7,1210.0,6948413.7,5768,TQBR
LSRG,2011-03-03,1197.2,1233.3,1170.0,1215.3,17338814.9,14245,TQBR
LSRG,2011-03-04,1204.9,1227.4,1204.9,1215.9,7833302.3,6444,TQBR
LSRG,2011-03-05,1210.8,1225.5,1208.4,1210.1,4140020.7,3407,TQBR
LSRG,2011-03-09,1219.9,1226.9,1174.0,1210.0,6685225.0,5517,TQBR
LSRG,2011-03-10,1200.1,1204.8,1152.2,1180.0,63336061.4,53847,TQBR
LSRG,2011-03-11,1195.0,1209.0,1156.9,1170.0,59652809.3,50800,TQBR
LSRG,2011-03-14,1168.9,1187.9,1130.3,1160.0,11440479.6,9792,TQBR
LSRG,2011-03-15,1158.0,1159.9,1070.0,1091.2,36619046.8,33338,TQBR
LSRG,2011-03-16,1100.0,1120.0,1073.8,1090.0,15623387.2,14282,TQBR
LSRG,2011-03-17,1055.3,1120.1,1055.3,1091.1,9072780.5,8210,TQBR
LSRG,2011-03-18,1110.0,1110.0,1090.1,1095.0,5418971.8,4924,TQBR
LSRG,2011-03-21,1095.0,1113.0,1092.7,1100.0,19326180.8,17552,TQBR
LSRG,2011-03-22,1109.9,1109.9,1085.0,1100.0,6556611.7,5996,TQBR
LSRG,2011-03-23,1100.0,1131.2,1093.1,1100.0,28219205.5,25618,TQBR
LSRG,2011-03-24,1100.0,1130.0,1095.0,1129.0,59194711.9,53220,TQBR
LSRG,2011-03-25,1127.0,1157.9,1120.0,1150.1,30409188.6,26662,TQBR
LSRG,2011-03-28,1149.9,1157.6,1101.0,1149.9,27539673.0,24188,TQBR
LSRG,2011-03-29,1154.9,1154.9,1135.0,1149.0,26819656.0,23463,TQBR
LSRG,2011-03-30,1158.0,1178.0,1150.4,1176.8,8615369.0,7420,TQBR
LSRG,2011-03-31,1190.0,1190.0,1163.1,1175.0,7917900.9,6726,TQBR
LSRG,2011-04-01,1189.7,1197.0,1174.9,1190.0,19319366.4,16249,TQBR
LSRG,2011-04-04,1200.7,1200.7,1180.0,1191.0,21309831.2,18017,TQBR
LSRG,2011-04-05,1191.0,1194.2,1177.7,1180.0,25641547.5,21634,TQBR
LSRG,2011-04-06,1183.6,1193.0,1160.0,1182.0,19079255.5,16170,TQBR
LSRG,2011-04-07,1189.7,1189.7,1160.0,1171.0,13702960.0,11702,TQBR
LSRG,2011-04-08,1179.9,1188.8,1159.1,1167.6,5758110.6,4935,TQBR
LSRG,2011-04-11,1167.8,1180.6,1140.0,1159.3,11752187.5,10181,TQBR
