ticker,tradedate,open,high,low,close,value,volume,boardid
MAGN,2014-06-09,6.84,6.989,6.674,6.835,102050790.1,15012800,TQBR
MAGN,2014-06-10,6.843,6.857,6.72,6.762,35418846.6,5229600,TQBR
MAGN,2014-06-11,6.796,6.843,6.731,6.77,20848875.4,3083500,TQBR
MAGN,2014-06-16,6.755,6.979,6.671,6.848,176221207.1,25659900,TQBR
MAGN,2014-06-17,6.519,6.955,6.519,6.857,59537238.8,8682700,TQBR
MAGN,2014-06-18,6.857,6.917,6.774,6.8,31774542.7,4635900,TQBR
MAGN,2014-06-19,6.888,6.888,6.718,6.773,38327097.1,5620700,TQBR
MAGN,2014-06-20,6.786,6.786,6.658,6.728,44695955.0,6668400,TQBR
MAGN,2014-06-23,6.733,6.888,6.594,6.601,55573830.4,8332500,TQBR
MAGN,2014-06-24,6.601,6.699,6.59,6.699,38323051.5,5763000,TQBR
MAGN,2014-06-25,6.671,6.671,6.545,6.56,37290740.6,5652900,TQBR
MAGN,2014-06-26,6.58,6.63,6.521,6.628,28862244.1,4385500,TQBR
MAGN,2014-06-27,6.65,6.72,6.63,6.67,23215404.4,3482000,TQBR
MAGN,2014-06-30,6.7,6.799,6.649,6.693,42977875.8,6417200,TQBR
MAGN,2014-07-01,6.684,6.765,6.665,6.679,46940373.9,6979500,TQBR
MAGN,2014-07-02,6.696,6.815,6.69,6.798,58623568.2,8693100,TQBR
MAGN,2014-07-03,6.799,6.849,6.765,6.814,50798628.6,7467100,TQBR
MAGN,2014-07-04,6.819,6.92,6.666,6.699,44194404.4,6507900,TQBR
MAGN,2014-07-07,6.73,6.85,6.7,6.775,48767847.1,7188500,TQBR
MAGN,2014-07-08,6.8,6.869,6.711,6.763,48040009.7,7066800,TQBR
MAGN,2014-07-09,6.787,6.843,6.712,6.816,57637043.5,8494600,TQBR
MAGN,2014-07-10,6.82,6.912,6.718,6.744,104435113.0,15308400,TQBR
MAGN,2014-07-11,6.8,6.89,6.68,6.693,57200278.4,8470700,TQBR
MAGN,2014-07-14,6.745,6.747,6.602,6.646,32437325.0,4869300,TQBR
MAGN,2014-07-15,6.668,6.811,6.601,6.8,40084394.8,5986300,TQBR
MAGN,2014-07-16,6.77,6.97,6.757,6.92,82378301.9,12022000,TQBR
MAGN,2014-07-17,6.915,6.949,6.778,6.887,128271580.1,18684300,TQBR
MAGN,2014-07-18,6.78,6.89,6.745,6.82,79405473.9,11664200,TQBR
MAGN,2014-07-21,6.825,6.839,6.502,6.502,104001117.3,15658100,TQBR
MAGN,2014-07-22,6.494,6.598,6.474,6.556,72677983.8,11102200,TQBR
MAGN,2014-07-23,6.578,6.622,6.451,6.463,67829740.5,10391000,TQBR
MAGN,2014-07-24,6.447,6.718,6.381,6.681,109252301.7,16763400,TQBR
MAGN,2014-07-25,6.653,6.699,6.568,6.63,68117194.8,10266100,TQBR
MAGN,2014-07-28,6.592,6.679,6.474,6.49,60489583.2,9248700,TQBR
MAGN,2014-07-29,6.509,6.641,6.494,6.595,65350774.3,9951000,TQBR
MAGN,2014-07-30,6.574,6.739,6.475,6.681,91281179.8,13650100,TQBR
MAGN,2014-07-31,6.681,6.939,6.68,6.78,105208128.7,15488700,TQBR
MAGN,2014-08-01,6.701,6.849,6.691,6.757,71050586.6,10550100,TQBR
MAGN,2014-08-04,6.841,6.882,6.777,6.78,63685698.8,9355600,TQBR
MAGN,2014-08-05,6.804,6.848,6.719,6.758,38191777.1,5648300,TQBR
MAGN,2014-08-06,6.704,6.748,6.45,6.46,98873229.1,15066000,TQBR
MAGN,2014-08-07,6.28,6.53,6.215,6.38,110750104.4,17314800,TQBR
MAGN,2014-08-08,6.384,6.691,6.36,6.627,149792943.0,23039200,TQBR
MAGN,2014-08-11,6.728,6.849,6.728,6.784,68911279.69999996,10196200,TQBR
MAGN,2014-08-12,6.8,6.814,6.692,6.747,33854406.8,5027300,TQBR
MAGN,2014-08-13,6.775,6.85,6.719,6.794,61255624.79999997,9044300,TQBR
MAGN,2014-08-14,6.795,6.839,6.703,6.79,73946587.1,10884300,TQBR
MAGN,2014-08-15,6.79,6.848,6.757,6.833,50562014.70000003,7436100,TQBR
MAGN,2014-08-18,6.84,6.84,6.75,6.8,33342651.10000001,4908600,TQBR
MAGN,2014-08-19,6.778,6.899,6.778,6.884,94653650.49999994,13839800,TQBR
MAGN,2014-08-20,6.897,7.422,6.868,7.395,328525263.6,45683600,TQBR
MAGN,2014-08-21,7.469,7.61,7.385,7.425,238650119.20000005,31789700,TQBR
MAGN,2014-08-22,7.431,7.49,7.205,7.35,126348467.40000007,17236400,TQBR
MAGN,2014-08-25,7.375,7.56,7.375,7.545,55286288.700000025,7385000,TQBR
MAGN,2014-08-26,7.56,7.592,7.366,7.393,91380468.7,12251600,TQBR
MAGN,2014-08-27,7.38,7.526,7.369,7.439,44209627.8,5924600,TQBR
MAGN,2014-08-28,7.449,7.489,7.28,7.334,151597850.3,20475300,TQBR
MAGN,2014-08-29,7.284,7.42,7.284,7.347,53716222.4,7285500,TQBR
MAGN,2014-09-01,7.46,7.46,7.154,7.178,76980371.2,10521500,TQBR
MAGN,2014-09-02,7.183,7.297,7.101,7.264,43669900.4,6060100,TQBR
MAGN,2014-09-03,7.264,7.485,7.264,7.459,99047961.7,13355800,TQBR
MAGN,2014-09-04,7.48,7.533,7.351,7.506,88542016.4,11915800,TQBR
MAGN,2014-09-05,7.3,7.555,7.3,7.478,60892093.8,8115100,TQBR
MAGN,2014-09-08,7.51,7.511,7.415,7.464,41963902.4,5632500,TQBR
MAGN,2014-09-09,7.446,7.579,7.444,7.498,56626461.7,7540200,TQBR
MAGN,2014-09-10,7.44,7.487,7.4,7.428,33036274.5,4435800,TQBR
MAGN,2014-09-11,7.4,7.491,7.292,7.353,66632656.0,9027700,TQBR
MAGN,2014-09-12,7.349,7.625,7.283,7.576,141660054.0,18916400,TQBR
MAGN,2014-09-15,7.576,7.7,7.53,7.683,106877558.3,14015400,TQBR
MAGN,2014-09-16,7.681,7.845,7.67,7.8,102953848.0,13261600,TQBR
MAGN,2014-09-17,7.808,7.844,7.615,7.789,127304479.0,16509600,TQBR
MAGN,2014-09-18,7.802,7.86,7.71,7.73,75356674.8,9677500,TQBR
MAGN,2014-09-19,7.75,7.879,7.625,7.879,92755938.8,12009500,TQBR
