ticker,tradedate,open,high,low,close,value,volume,boardid
MBNK,2024-04-26,2700.0,2750.0,2600.0,2624.0,4554616272.0,1716856,TQBR
MBNK,2024-04-27,2630.0,2639.0,2599.5,2604.0,1131936346.0,433601,TQBR
MBNK,2024-04-29,2609.0,2645.0,2604.0,2620.0,331155374.0,126043,TQBR
MBNK,2024-04-30,2630.0,2631.0,2605.0,2608.0,180406175.0,69064,TQBR
MBNK,2024-05-02,2609.5,2614.5,2560.0,2569.0,523548040.5,203191,TQBR
MBNK,2024-05-03,2575.0,2583.5,2520.0,2557.0,285744826.0,111929,TQBR
MBNK,2024-05-06,2557.0,2559.5,2500.5,2504.0,441394982.5,175696,TQBR
MBNK,2024-05-07,2516.5,2598.0,2504.5,2597.5,729807608.5,284911,TQBR
MBNK,2024-05-08,2613.5,2619.0,2595.0,2605.0,449974711.5,172806,TQBR
MBNK,2024-05-10,2614.5,2635.0,2574.0,2599.0,200318615.5,76860,TQBR
MBNK,2024-05-13,2602.0,2619.0,2560.0,2570.5,255683131.5,99094,TQBR
MBNK,2024-05-14,2574.0,2582.0,2550.0,2563.0,154589653.0,60361,TQBR
MBNK,2024-05-15,2563.0,2597.5,2560.0,2565.5,214585666.0,83224,TQBR
MBNK,2024-05-16,2570.0,2581.5,2515.0,2519.5,338398092.0,133346,TQBR
MBNK,2024-05-17,2527.5,2536.5,2506.5,2520.5,429282240.5,170433,TQBR
MBNK,2024-05-20,2520.5,2530.0,2503.0,2513.0,174358529.5,69368,TQBR
MBNK,2024-05-21,2513.0,2527.5,2499.5,2511.0,506792666.0,202104,TQBR
MBNK,2024-05-22,2511.0,2537.0,2500.0,2508.5,170695687.0,67942,TQBR
MBNK,2024-05-23,2515.0,2524.0,2500.0,2502.0,221892000.0,88496,TQBR
MBNK,2024-05-24,2518.5,2518.5,2499.5,2501.0,544151448.0,217583,TQBR
MBNK,2024-05-27,2500.0,2508.0,2384.0,2505.0,570057627.5,230345,TQBR
MBNK,2024-05-28,2506.0,2526.0,2487.5,2500.0,158560801.0,63300,TQBR
MBNK,2024-05-29,2500.0,2505.0,2452.0,2501.0,157814860.5,63503,TQBR
MBNK,2024-05-30,2504.5,2508.5,2478.0,2500.0,138729948.5,55581,TQBR
MBNK,2024-05-31,2495.0,2495.0,2400.0,2401.0,302320578.0,123423,TQBR
MBNK,2024-06-03,2401.0,2423.5,2251.0,2308.0,312440093.0,135164,TQBR
MBNK,2024-06-04,2320.0,2392.5,2300.5,2375.5,127537366.0,54521,TQBR
MBNK,2024-06-05,2391.0,2429.5,2344.0,2351.0,103717632.0,43469,TQBR
MBNK,2024-06-06,2351.0,2356.5,2310.0,2321.0,36544673.0,15689,TQBR
MBNK,2024-06-07,2337.0,2387.0,2322.5,2360.5,116812446.0,49537,TQBR
MBNK,2024-06-10,2361.5,2387.0,2306.0,2315.0,62948642.5,26871,TQBR
MBNK,2024-06-11,2318.0,2326.5,2260.5,2288.0,74892870.0,32788,TQBR
MBNK,2024-06-13,2199.0,2306.5,2071.0,2285.0,167540570.5,74866,TQBR
MBNK,2024-06-14,2285.0,2304.5,2265.5,2277.5,29351040.0,12877,TQBR
MBNK,2024-06-17,2277.0,2286.0,2220.0,2234.5,45160437.5,20037,TQBR
MBNK,2024-06-18,2239.0,2240.0,2170.0,2197.0,62306053.0,28345,TQBR
MBNK,2024-06-19,2197.0,2202.5,2076.0,2099.0,110894327.5,52193,TQBR
MBNK,2024-06-20,2100.5,2170.0,2030.0,2152.5,212382214.0,101646,TQBR
MBNK,2024-06-21,2149.0,2194.5,2104.5,2145.0,62148332.0,28929,TQBR
MBNK,2024-06-24,2128.5,2184.0,2107.0,2146.0,60862674.0,28537,TQBR
MBNK,2024-06-25,2145.0,2220.0,2135.0,2190.0,54318332.5,24940,TQBR
MBNK,2024-06-26,2196.5,2240.0,2150.0,2183.5,86310751.0,39132,TQBR
MBNK,2024-06-27,2190.0,2215.0,2155.5,2190.0,44697989.5,20490,TQBR
MBNK,2024-06-28,2187.5,2224.5,2182.0,2208.5,42737201.5,19405,TQBR
MBNK,2024-07-01,2207.5,2229.0,2183.0,2183.0,46269337.0,21061,TQBR
MBNK,2024-07-02,2171.5,2186.0,2168.0,2173.0,29205028.5,13429,TQBR
MBNK,2024-07-03,2173.0,2181.5,2085.0,2110.0,239919410.5,113716,TQBR
MBNK,2024-07-04,2099.0,2102.0,2050.0,2074.5,84418301.0,40824,TQBR
MBNK,2024-07-05,2068.5,2070.0,2035.0,2040.0,63873815.0,31254,TQBR
MBNK,2024-07-08,2040.0,2055.0,2004.0,2004.0,72785008.5,35976,TQBR
MBNK,2024-07-09,2002.0,2012.0,1867.0,1885.5,210671011.5,108716,TQBR
MBNK,2024-07-10,1885.5,1916.5,1725.0,1750.0,268485736.5,148602,TQBR
MBNK,2024-07-11,1760.0,1900.0,1730.5,1836.0,137693327.5,75407,TQBR
MBNK,2024-07-12,1837.0,1873.0,1801.0,1862.0,97999710.5,53344,TQBR
MBNK,2024-07-15,1872.5,1889.0,1810.0,1819.0,104498032.5,56722,TQBR
MBNK,2024-07-16,1827.5,1836.5,1757.0,1804.0,89999616.0,50314,TQBR
MBNK,2024-07-17,1810.0,1823.0,1777.0,1802.0,90009274.0,49833,TQBR
MBNK,2024-07-18,1785.0,1809.0,1778.0,1796.0,101233509.5,56399,TQBR
MBNK,2024-07-19,1810.0,1931.0,1810.0,1910.5,300529568.0,162347,TQBR
MBNK,2024-07-22,1920.0,1959.0,1893.0,1915.5,196554878.0,102352,TQBR
MBNK,2024-07-23,1916.0,1928.0,1860.5,1919.0,76483142.0,40414,TQBR
