ticker,tradedate,open,high,low,close,value,volume,boardid
MGNT,2011-01-12,4082.53,4400.0,4082.53,4365.0,65748835.42,15491,TQBR
MGNT,2011-01-13,4365.0,4495.99,4300.01,4330.0,68255908.79,15702,TQBR
MGNT,2011-01-14,4307.76,4420.0,4249.99,4343.0,52341460.15,12096,TQBR
MGNT,2011-01-17,4380.0,4395.0,4203.31,4270.01,169007071.64,39043,TQBR
MGNT,2011-01-18,4299.8,4350.0,4250.06,4290.0,34337198.23,8012,TQBR
MGNT,2011-01-19,4408.36,4408.36,4188.46,4229.72,42863223.04,10101,TQBR
MGNT,2011-01-20,4200.0,4245.34,4150.03,4179.92,51643934.67,12322,TQBR
MGNT,2011-01-21,4150.0,4222.0,4122.16,4149.0,76741987.2,18503,TQBR
MGNT,2011-01-24,4150.12,4150.12,4030.2,4079.93,53221086.81,13012,TQBR
MGNT,2011-01-25,4080.01,4300.0,3995.0,4049.55,158976492.58,39097,TQBR
MGNT,2011-01-26,4090.92,4299.0,4055.14,4100.0,195893472.36,47586,TQBR
MGNT,2011-01-27,4115.0,4115.0,4018.0,4053.89,33460397.15,8265,TQBR
MGNT,2011-01-28,4055.0,4055.0,3865.0,3940.0,70978805.31,18004,TQBR
MGNT,2011-01-31,3899.5,3998.0,3810.0,3902.01,55494558.42,14163,TQBR
MGNT,2011-02-01,3902.01,3983.0,3861.02,3950.0,39275031.8,10057,TQBR
MGNT,2011-02-02,3967.52,4080.68,3950.0,4049.0,130317266.52,32611,TQBR
MGNT,2011-02-03,4060.0,4139.89,3893.12,3909.99,90488060.75,22906,TQBR
MGNT,2011-02-04,3939.0,3939.0,3854.19,3860.0,37176019.27,9594,TQBR
MGNT,2011-02-07,3860.0,3884.99,3760.0,3785.0,44801759.24,11775,TQBR
MGNT,2011-02-08,3785.0,3824.0,3755.0,3777.0,79956955.98,21090,TQBR
MGNT,2011-02-09,3789.99,3870.0,3732.0,3769.9,56008308.53,14867,TQBR
MGNT,2011-02-10,3822.5,3822.5,3691.0,3709.96,34621926.09,9295,TQBR
MGNT,2011-02-11,3736.19,3736.19,3660.0,3720.0,56641752.75,15299,TQBR
MGNT,2011-02-14,3737.5,3796.0,3724.99,3796.0,40840277.91,10889,TQBR
MGNT,2011-02-15,3799.8,3840.19,3730.0,3763.85,35244295.62,9353,TQBR
MGNT,2011-02-16,3800.75,3800.75,3725.36,3790.0,12969992.73,3457,TQBR
MGNT,2011-02-17,3790.03,3849.99,3788.0,3800.0,36212155.27,9507,TQBR
MGNT,2011-02-18,3822.0,3832.49,3751.51,3820.0,18858956.85,4948,TQBR
MGNT,2011-02-21,3820.0,3830.0,3780.15,3783.09,14009403.8,3679,TQBR
MGNT,2011-02-22,3790.0,3800.0,3696.0,3744.0,26199013.41,7023,TQBR
MGNT,2011-02-24,3720.01,3740.0,3570.0,3600.0,59312804.18,16480,TQBR
MGNT,2011-02-25,3695.99,3718.76,3570.05,3695.0,51425795.8,14177,TQBR
MGNT,2011-02-28,3710.0,3810.0,3695.01,3789.99,37342097.74,9872,TQBR
MGNT,2011-03-01,3824.9,3825.0,3764.6,3780.0,16875223.2,4443,TQBR
MGNT,2011-03-02,3787.5,3787.5,3730.0,3760.0,24676160.8,6579,TQBR
MGNT,2011-03-03,3740.5,3875.0,3740.5,3851.0,64904782.5,16885,TQBR
MGNT,2011-03-04,3861.1,3920.0,3800.0,3832.6,60504056.2,15648,TQBR
MGNT,2011-03-05,3824.0,3890.0,3809.0,3877.2,37951350.9,9829,TQBR
MGNT,2011-03-09,3943.9,3943.9,3874.6,3910.0,59752386.5,15266,TQBR
MGNT,2011-03-10,3907.5,3920.0,3815.0,3815.0,33059302.9,8503,TQBR
MGNT,2011-03-11,3838.7,3842.5,3700.0,3785.9,40502814.2,10714,TQBR
MGNT,2011-03-14,3770.0,3838.3,3716.1,3800.0,61074961.5,16046,TQBR
MGNT,2011-03-15,3770.0,3800.3,3670.1,3720.0,88208060.2,23594,TQBR
MGNT,2011-03-16,3720.1,3812.9,3645.0,3645.0,94335922.8,25590,TQBR
MGNT,2011-03-17,3552.2,3721.2,3552.2,3669.8,46842019.5,12791,TQBR
MGNT,2011-03-18,3684.7,3830.0,3624.0,3770.1,81849977.9,22112,TQBR
MGNT,2011-03-21,3800.0,3889.6,3750.1,3874.0,79468135.1,20803,TQBR
MGNT,2011-03-22,3898.9,3915.0,3805.1,3899.9,39322508.5,10178,TQBR
MGNT,2011-03-23,3901.0,3987.0,3870.0,3974.0,47436394.7,12039,TQBR
MGNT,2011-03-24,3987.6,4047.0,3956.4,3980.0,108835053.6,27174,TQBR
MGNT,2011-03-25,3980.2,4020.0,3900.0,3998.9,74684654.9,18769,TQBR
MGNT,2011-03-28,3999.5,4088.9,3960.2,3990.5,28755069.5,7190,TQBR
MGNT,2011-03-29,4000.0,4000.9,3874.0,3925.2,46633273.8,11806,TQBR
MGNT,2011-03-30,3930.0,3999.0,3900.1,3984.8,39822316.8,10012,TQBR
MGNT,2011-03-31,3992.5,3992.5,3930.0,3983.4,86169909.0,21666,TQBR
MGNT,2011-04-01,3999.1,4047.0,3913.0,3983.8,67937927.3,17033,TQBR
MGNT,2011-04-04,3983.9,3983.9,3906.0,3951.0,44711482.5,11336,TQBR
MGNT,2011-04-05,3940.0,3975.0,3865.0,3889.9,49292246.8,12623,TQBR
MGNT,2011-04-06,3889.9,3890.1,3848.1,3872.0,67479214.5,17408,TQBR
MGNT,2011-04-07,3887.5,3887.5,3820.0,3841.0,33960629.8,8834,TQBR
MGNT,2011-04-08,3850.0,3850.9,3800.2,3821.5,34696607.9,9079,TQBR
MGNT,2011-04-11,3844.9,3845.0,3817.0,3838.4,47073310.2,12287,TQBR
MGNT,2011-04-12,3830.4,3870.0,3793.0,3843.0,69166499.7,18021,TQBR
MGNT,2011-04-13,3804.8,3877.0,3800.1,3809.2,61777929.7,16060,TQBR
MGNT,2011-04-14,3809.2,3857.7,3750.8,3770.5,34114244.5,8933,TQBR
MGNT,2011-04-15,3750.2,3786.4,3735.0,3764.5,95259226.8,25345,TQBR
MGNT,2011-04-18,3776.3,3839.5,3631.7,3789.6,98603263.8,26514,TQBR
MGNT,2011-04-19,3798.0,3805.3,3650.0,3672.0,132993182.3,36069,TQBR
MGNT,2011-04-20,3680.0,3690.0,3584.0,3600.0,145221025.8,39881,TQBR
MGNT,2011-04-21,3660.0,3660.0,3572.0,3615.2,49015273.0,13608,TQBR
MGNT,2011-04-22,3615.0,3723.0,3615.0,3720.0,27831294.9,7544,TQBR
MGNT,2011-04-25,3748.5,3899.7,3723.0,3753.0,67531855.9,17702,TQBR
MGNT,2011-04-26,3774.4,3774.4,3650.0,3700.0,47711341.3,12925,TQBR
MGNT,2011-04-27,3709.8,3720.0,3598.8,3613.7,30982555.7,8508,TQBR
MGNT,2011-04-28,3639.5,3698.4,3600.2,3686.2,30240182.0,8286,TQBR
MGNT,2011-04-29,3668.0,3669.8,3590.2,3646.6,19119511.0,5262,TQBR
MGNT,2011-05-03,3642.1,3680.1,3555.7,3570.1,44446215.7,12370,TQBR
MGNT,2011-05-04,3550.8,3584.9,3501.3,3554.9,117060904.1,33037,TQBR
MGNT,2011-05-05,3554.8,3600.0,3507.7,3541.8,45944438.5,12982,TQBR
MGNT,2011-05-06,3526.4,3720.0,3451.6,3710.0,117223554.0,32545,TQBR
MGNT,2011-05-10,3700.5,3800.0,3658.0,3710.0,65001566.2,17540,TQBR
MGNT,2011-05-11,3729.9,3888.9,3668.2,3761.1,90498466.3,23617,TQBR
MGNT,2011-05-12,3763.2,3868.0,3642.9,3696.0,103189717.9,27582,TQBR
MGNT,2011-05-13,3710.0,3710.0,3603.5,3660.0,31765664.0,8688,TQBR
MGNT,2011-05-16,3650.0,3721.1,3601.0,3663.1,21207677.7,5776,TQBR
MGNT,2011-05-17,3677.8,3730.0,3628.3,3661.0,44550017.1,12086,TQBR
MGNT,2011-05-18,3685.4,3721.0,3610.2,3696.5,67414200.9,18385,TQBR
MGNT,2011-05-19,3695.0,3753.5,3635.0,3722.8,77656809.9,20911,TQBR
MGNT,2011-05-20,3723.0,3768.0,3666.5,3709.3,69986388.1,18806,TQBR
MGNT,2011-05-23,3709.3,3730.6,3615.9,3649.9,37563618.6,10276,TQBR
MGNT,2011-05-24,3650.6,3689.1,3610.0,3650.0,64196898.3,17600,TQBR
MGNT,2011-05-25,3643.6,3770.0,3610.0,3740.3,59219882.1,15948,TQBR
MGNT,2011-05-26,3745.5,3895.0,3713.0,3870.0,296662986.6,77359,TQBR
MGNT,2011-05-27,3889.8,3900.0,3845.0,3860.0,135129252.1,34934,TQBR
MGNT,2011-05-30,3874.4,3888.0,3841.6,3880.0,22105640.2,5706,TQBR
MGNT,2011-05-31,3847.9,3940.0,3847.9,3930.0,38976375.7,9937,TQBR
MGNT,2011-06-01,3928.8,3979.0,3882.6,3900.0,117140525.8,29979,TQBR
MGNT,2011-06-02,3861.0,3940.0,3800.7,3908.0,99574136.4,25516,TQBR
MGNT,2011-06-03,3907.9,3999.9,3831.3,3840.3,101406940.2,25894,TQBR
MGNT,2011-06-06,3840.0,3850.0,3751.2,3809.9,41893005.8,11029,TQBR
MGNT,2011-06-07,3804.8,3819.9,3751.5,3796.7,36583772.4,9645,TQBR
MGNT,2011-06-08,3767.9,3834.7,3767.2,3796.6,26220255.3,6914,TQBR
