ticker,tradedate,open,high,low,close,value,volume,boardid
MISB,2014-06-17,1.752,2.5,1.752,2.5,6007,3000,TQBR
MISB,2014-08-21,3.0,3.0,1.521,1.521,4521,2000,TQBR
MISB,2014-08-22,2.5,2.6,2.5,2.6,23300,9000,TQBR
MISB,2014-08-25,2.63,2.65,2.63,2.65,18510,7000,TQBR
MISB,2014-10-01,1.63,2.05,1.62,2.05,16440,9000,TQBR
MISB,2014-10-02,2.35,2.45,2.35,2.45,4800,2000,TQBR
MISB,2014-10-17,1.61,2.0,1.6,2.0,14810,8000,TQBR
MISB,2014-11-03,2.5,2.5,2.5,2.5,2500,1000,TQBR
MISB,2014-11-13,2.5,2.5,2.5,2.5,2500,1000,TQBR
MISB,2014-12-16,2.5,2.5,2.5,2.5,5000,2000,TQBR
MISB,2015-01-13,1.62,2.0,1.62,2.0,14470,8000,TQBR
MISB,2015-01-15,2.0,2.0,2.0,2.0,2000,1000,TQBR
MISB,2015-02-06,1.64,1.64,1.64,1.64,4920,3000,TQBR
MISB,2015-02-09,2.3,2.5,2.3,2.5,12280,5000,TQBR
MISB,2015-02-17,2.5,2.5,2.5,2.5,5000,2000,TQBR
MISB,2015-02-18,2.49,2.5,2.49,2.5,42340,17000,TQBR
MISB,2015-03-26,2.41,2.41,2.41,2.41,31330,13000,TQBR
MISB,2015-04-02,2.45,2.45,2.45,2.45,9800,4000,TQBR
MISB,2015-04-06,2.4,2.5,2.4,2.45,53650,22000,TQBR
MISB,2015-04-14,2.5,2.5,2.5,2.5,32500,13000,TQBR
MISB,2015-04-15,2.7,2.99,2.7,2.99,58930,20000,TQBR
MISB,2015-04-17,2.99,2.99,2.99,2.99,5980,2000,TQBR
MISB,2015-04-30,2.5,2.5,2.5,2.5,2500,1000,TQBR
MISB,2015-05-27,1.6,2.0,1.6,2.0,5200,3000,TQBR
MISB,2015-05-28,2.44,2.44,2.44,2.44,2440,1000,TQBR
MISB,2015-06-05,2.2,2.2,2.2,2.2,2200,1000,TQBR
MISB,2015-06-15,2.99,2.99,2.99,2.99,2990,1000,TQBR
MISB,2015-06-19,2.3,2.3,2.3,2.3,2300,1000,TQBR
MISB,2015-08-28,2.01,2.01,2.0,2.0,10010,5000,TQBR
MISB,2015-09-03,2.5,2.5,2.5,2.5,2500,1000,TQBR
MISB,2015-09-16,2.99,2.99,2.99,2.99,2990,1000,TQBR
MISB,2015-09-28,2.99,2.99,2.99,2.99,2990,1000,TQBR
MISB,2015-10-05,3.11,3.11,3.11,3.11,3110,1000,TQBR
MISB,2015-10-14,3.2,3.5,3.2,3.5,10030,3000,TQBR
MISB,2015-10-16,3.51,3.51,3.51,3.51,3510,1000,TQBR
MISB,2015-10-22,3.5,3.5,3.5,3.5,3500,1000,TQBR
MISB,2015-11-02,3.51,3.51,3.51,3.51,3510,1000,TQBR
MISB,2015-11-25,3.51,3.51,3.5,3.5,7010,2000,TQBR
MISB,2015-12-04,3.6,3.6,3.6,3.6,3600,1000,TQBR
MISB,2015-12-15,3.51,3.51,3.51,3.51,3510,1000,TQBR
MISB,2015-12-16,3.56,3.56,3.56,3.56,3560,1000,TQBR
MISB,2015-12-17,3.65,3.65,3.65,3.65,18250,5000,TQBR
MISB,2015-12-24,3.65,3.65,3.65,3.65,36500,10000,TQBR
MISB,2016-01-21,3.7,3.7,3.7,3.7,3700,1000,TQBR
MISB,2016-01-22,3.74,3.74,3.74,3.74,3740,1000,TQBR
MISB,2016-02-10,4.0,4.0,4.0,4.0,4000,1000,TQBR
MISB,2016-02-12,4.02,4.02,4.02,4.02,4020,1000,TQBR
MISB,2016-02-18,4.07,4.07,4.07,4.07,4070,1000,TQBR
MISB,2016-02-25,4.05,4.05,4.05,4.05,4050,1000,TQBR
