ticker,tradedate,open,high,low,close,value,volume,boardid
MOEX,2013-04-04,48.07,48.65,47.42,48.43,8767126.7,181760,TQBR
MOEX,2013-04-05,48.43,48.61,47.5,48.5,5964565.5,123940,TQBR
MOEX,2013-04-08,48.67,48.88,47.5,47.52,5280065.5,110530,TQBR
MOEX,2013-04-09,48.23,48.23,47.4,47.4,9993069.9,209980,TQBR
MOEX,2013-04-10,48.0,48.0,46.75,46.87,20036515.1,424170,TQBR
MOEX,2013-04-11,47.22,47.6,45.64,45.75,28089836.3,602140,TQBR
MOEX,2013-04-12,45.7,45.97,45.0,45.45,21387199.6,469350,TQBR
MOEX,2013-04-15,45.5,46.2,45.42,45.66,63690274.9,1393630,TQBR
MOEX,2013-04-16,45.77,45.77,42.57,43.39,25882480.0,578480,TQBR
MOEX,2013-04-17,43.88,44.48,43.11,43.3,44988028.2,1034050,TQBR
MOEX,2013-04-18,43.5,43.5,42.58,43.03,38394047.2,888600,TQBR
MOEX,2013-04-19,43.18,43.57,43.0,43.38,57742789.8,1334260,TQBR
MOEX,2013-04-22,43.99,44.05,43.5,43.55,20627981.9,472550,TQBR
MOEX,2013-04-23,43.71,44.08,43.63,44.0,36691286.4,835730,TQBR
MOEX,2013-04-24,44.02,44.5,44.02,44.46,20252100.1,456310,TQBR
MOEX,2013-04-25,44.42,44.63,44.01,44.2,24679393.6,556250,TQBR
MOEX,2013-04-26,44.5,44.95,44.2,44.69,36636867.5,822010,TQBR
MOEX,2013-04-29,44.91,45.01,44.4,44.57,8347145.4,187190,TQBR
MOEX,2013-04-30,44.91,45.01,44.3,44.41,14392044.3,323540,TQBR
MOEX,2013-05-02,44.55,44.55,43.75,44.37,7540379.2,169640,TQBR
MOEX,2013-05-03,44.4,45.75,44.22,44.98,7737227.1,173510,TQBR
MOEX,2013-05-06,45.29,47.83,45.29,46.16,31690916.3,686090,TQBR
MOEX,2013-05-07,46.15,49.9,46.15,47.5,22466661.3,477510,TQBR
MOEX,2013-05-08,47.35,49.0,47.01,48.76,33359186.1,690540,TQBR
MOEX,2013-05-10,48.56,49.33,48.54,48.6,36164629.7,738840,TQBR
MOEX,2013-05-13,49.27,49.99,48.63,49.0,13868535.5,283630,TQBR
MOEX,2013-05-14,48.97,50.13,48.68,49.08,29150740.9,595500,TQBR
MOEX,2013-05-15,50.0,50.14,49.62,49.85,53649563.2,1074800,TQBR
MOEX,2013-05-16,49.99,50.1,49.9,50.1,10846768.3,216910,TQBR
MOEX,2013-05-17,50.1,50.29,50.0,50.09,6528013.7,130340,TQBR
MOEX,2013-05-20,49.99,51.2,49.99,51.0,27812676.9,551120,TQBR
MOEX,2013-05-21,50.13,51.5,45.25,51.34,44656256.6,877350,TQBR
MOEX,2013-05-22,51.35,55.06,51.35,54.45,101175126.4,1902320,TQBR
MOEX,2013-05-23,54.35,54.43,53.5,53.76,28685592.7,534080,TQBR
MOEX,2013-05-24,53.83,53.93,52.51,52.51,26907408.5,503360,TQBR
MOEX,2013-05-27,53.29,53.4,52.81,53.2,19151687.4,360070,TQBR
MOEX,2013-05-28,53.24,53.97,53.21,53.79,13737485.9,256510,TQBR
MOEX,2013-05-29,53.38,53.72,52.8,53.52,34098010.3,637050,TQBR
MOEX,2013-05-30,53.24,53.59,53.05,53.5,44014534.9,827150,TQBR
MOEX,2013-05-31,53.68,55.0,53.37,53.37,9544776.6,177920,TQBR
MOEX,2013-06-03,53.46,53.61,52.64,52.68,36745756.7,691160,TQBR
MOEX,2013-06-04,52.87,53.12,52.45,52.62,43483965.4,822880,TQBR
MOEX,2013-06-05,52.53,52.76,52.5,52.5,15743519.9,299610,TQBR
MOEX,2013-06-06,52.5,54.78,52.5,53.25,94104036.5,1753200,TQBR
MOEX,2013-06-07,53.18,53.8,53.08,53.53,16751975.7,313380,TQBR
MOEX,2013-06-10,53.69,53.71,53.46,53.5,17773056.5,331830,TQBR
