ticker,tradedate,open,high,low,close,value,volume,boardid
MRKC,2012-10-22,0.603,0.63,0.603,0.625,2320689.4,3730000,TQBR
MRKC,2012-10-23,0.6295,0.644,0.605,0.634,6503399.7,10343000,TQBR
MRKC,2012-10-24,0.6248,0.641,0.6115,0.6198,2562776.4,4132000,TQBR
MRKC,2012-10-25,0.6086,0.617,0.6051,0.6111,279857.8,458000,TQBR
MRKC,2012-10-26,0.6871,0.6871,0.578,0.609,2280818.8,3862000,TQBR
MRKC,2012-10-29,0.6052,0.62,0.5873,0.6196,1603334.8,2682000,TQBR
MRKC,2012-10-30,0.612,0.62,0.6034,0.617,2177574.9,3576000,TQBR
MRKC,2012-10-31,0.6081,0.6119,0.595,0.595,4475608.4,7449000,TQBR
MRKC,2012-11-01,0.5406,0.607,0.5406,0.597,1335258.4,2237000,TQBR
MRKC,2012-11-02,0.5414,0.599,0.5414,0.59,641702.6,1082000,TQBR
MRKC,2012-11-06,0.667,0.667,0.59,0.5949,3436456.2,5737000,TQBR
MRKC,2012-11-07,0.6722,0.6722,0.585,0.59,800634.2,1357000,TQBR
MRKC,2012-11-08,0.6661,0.6661,0.5685,0.569,1098666.5,1912000,TQBR
MRKC,2012-11-09,0.5147,0.5818,0.5147,0.567,759431.3,1339000,TQBR
MRKC,2012-11-12,0.4945,0.5748,0.4945,0.568,945739.4,1664000,TQBR
MRKC,2012-11-13,0.5148,0.57,0.5148,0.5504,1541726.4,2759000,TQBR
MRKC,2012-11-14,0.4787,0.5726,0.4787,0.5704,1494166.7,2707000,TQBR
MRKC,2012-11-15,0.5139,0.5771,0.5139,0.5771,1419630.1,2516000,TQBR
MRKC,2012-11-16,0.6044,0.6044,0.5704,0.5729,1273015.6,2206000,TQBR
MRKC,2012-11-19,0.5771,0.5907,0.5682,0.5797,746236.0,1306000,TQBR
MRKC,2012-11-20,0.5041,0.5839,0.5041,0.5816,222780.0,388000,TQBR
MRKC,2012-11-21,0.5151,0.5988,0.5081,0.5751,2860924.3,5002000,TQBR
MRKC,2012-11-22,0.5,0.5793,0.5,0.5709,1644737.5,2876000,TQBR
MRKC,2012-11-23,0.6455,0.6455,0.5653,0.5746,1206333.4,2111000,TQBR
MRKC,2012-11-26,0.5006,0.5796,0.5006,0.5599,3501620.3,6145000,TQBR
MRKC,2012-11-27,0.6129,0.6129,0.5557,0.5611,4625324.3,8205000,TQBR
MRKC,2012-11-28,0.6336,0.6336,0.53,0.5436,2267413.1,4154000,TQBR
MRKC,2012-11-29,0.4739,0.5544,0.4739,0.535,2417598.0,4448000,TQBR
MRKC,2012-11-30,0.6045,0.6045,0.5151,0.529,8342891.3,15940000,TQBR
MRKC,2012-12-03,0.4777,0.5398,0.4777,0.5376,2183817.4,4106000,TQBR
MRKC,2012-12-04,0.4666,0.5397,0.4666,0.5327,597258.9,1127000,TQBR
MRKC,2012-12-05,0.6008,0.6008,0.5205,0.5309,14966752.7,27973000,TQBR
MRKC,2012-12-06,0.5981,0.5981,0.5199,0.5202,4465947.9,8492000,TQBR
MRKC,2012-12-07,0.4447,0.529,0.4447,0.521,3460885.2,6646000,TQBR
MRKC,2012-12-10,0.4736,0.5278,0.4736,0.5278,1333552.9,2553000,TQBR
MRKC,2012-12-11,0.4606,0.5298,0.4606,0.516,8135877.6,15570000,TQBR
MRKC,2012-12-12,0.5837,0.5837,0.5151,0.5187,29698276.8,56408000,TQBR
MRKC,2012-12-13,0.5681,0.5681,0.5184,0.5353,57818293.0,110532000,TQBR
MRKC,2012-12-14,0.4656,0.54,0.4656,0.5358,1522385.8,2847000,TQBR
MRKC,2012-12-17,0.4698,0.5387,0.4698,0.5349,3021214.5,5654000,TQBR
MRKC,2012-12-18,0.466,0.604,0.466,0.6037,40141777.6,72054000,TQBR
MRKC,2012-12-19,0.6037,0.63,0.595,0.6019,22060825.1,35579000,TQBR
MRKC,2012-12-20,0.6023,0.62,0.595,0.62,5633623.2,9158000,TQBR
MRKC,2012-12-21,0.6166,0.62,0.603,0.62,25633132.6,41629000,TQBR
MRKC,2012-12-24,0.62,0.6201,0.6117,0.6198,15321902.3,24970000,TQBR
MRKC,2012-12-25,0.6166,0.6166,0.5813,0.595,32357083.8,54152000,TQBR
MRKC,2012-12-26,0.5902,0.5925,0.5851,0.5885,401502.2,683000,TQBR
MRKC,2012-12-27,0.5127,0.5951,0.5127,0.5852,300989.8,508000,TQBR
