ticker,tradedate,open,high,low,close,value,volume,boardid
MRKU,2014-06-09,0.05652,0.05806,0.05652,0.058,31306.0,540000,TQBR
MRKU,2014-06-10,0.05801,0.0584,0.0565,0.057,337108.6,5910000,TQBR
MRKU,2014-06-11,0.0565,0.05701,0.0565,0.05701,18110.6,320000,TQBR
MRKU,2014-06-16,0.05671,0.05701,0.05651,0.05685,664741.5,11670000,TQBR
MRKU,2014-06-17,0.05651,0.05655,0.05502,0.056,93079.6,1660000,TQBR
MRKU,2014-06-19,0.05895,0.05925,0.058,0.058,185331.2,3150000,TQBR
MRKU,2014-06-20,0.058,0.058,0.0566,0.05788,11359.3,200000,TQBR
MRKU,2014-06-23,0.05702,0.05703,0.0565,0.0565,46660.4,820000,TQBR
MRKU,2014-06-24,0.05619,0.0585,0.04903,0.0566,239352.7,4220000,TQBR
MRKU,2014-06-25,0.0578,0.0578,0.05598,0.057,13681.2,240000,TQBR
MRKU,2014-06-27,0.05762,0.06009,0.05752,0.0594,194249.1,3320000,TQBR
MRKU,2014-06-30,0.05561,0.05633,0.05561,0.05633,10129.7,180000,TQBR
MRKU,2014-07-01,0.05797,0.05797,0.05636,0.05698,162970.0,2870000,TQBR
MRKU,2014-07-02,0.05586,0.05685,0.05554,0.05685,91361.1,1630000,TQBR
MRKU,2014-07-03,0.05665,0.0567,0.05555,0.0567,94451.8,1670000,TQBR
MRKU,2014-07-04,0.05749,0.06079,0.0567,0.05702,313422.5,5410000,TQBR
MRKU,2014-07-07,0.05996,0.05996,0.05731,0.05886,14033.5,240000,TQBR
MRKU,2014-07-08,0.05945,0.05945,0.05945,0.05945,1783.5,30000,TQBR
MRKU,2014-07-09,0.05895,0.06104,0.05849,0.0606,864071.1,14290000,TQBR
MRKU,2014-07-10,0.05907,0.05907,0.05717,0.05819,43689.7,750000,TQBR
MRKU,2014-07-11,0.05849,0.059,0.0575,0.05803,323670.0,5610000,TQBR
MRKU,2014-07-14,0.05719,0.05925,0.057,0.057,160468.0,2800000,TQBR
MRKU,2014-07-15,0.0589,0.05927,0.0571,0.05853,7899136.3,133980000,TQBR
MRKU,2014-07-16,0.05874,0.06098,0.05874,0.05962,239668.1,4020000,TQBR
MRKU,2014-07-17,0.05723,0.059,0.05723,0.059,215629.0,3670000,TQBR
MRKU,2014-07-18,0.05874,0.05905,0.05646,0.05905,7865413.5,133450000,TQBR
MRKU,2014-07-21,0.05832,0.05832,0.05832,0.05832,4082.4,70000,TQBR
MRKU,2014-07-22,0.05648,0.05774,0.05648,0.05774,1142.2,20000,TQBR
MRKU,2014-07-23,0.05885,0.05885,0.05885,0.05885,1765.5,30000,TQBR
MRKU,2014-07-24,0.05705,0.06027,0.05702,0.06027,20049.7,340000,TQBR
MRKU,2014-07-25,0.05786,0.05946,0.05636,0.05946,10413.8,180000,TQBR
MRKU,2014-07-28,0.05819,0.05898,0.0534,0.0565,153699.1,2650000,TQBR
MRKU,2014-07-29,0.05701,0.058,0.05558,0.058,238257.6,4200000,TQBR
MRKU,2014-07-30,0.05254,0.0589,0.05254,0.0589,56388.5,980000,TQBR
MRKU,2014-07-31,0.05794,0.05844,0.05794,0.05844,159705.4,2750000,TQBR
MRKU,2014-08-01,0.058,0.058,0.05665,0.057,162005.3,2830000,TQBR
MRKU,2014-08-04,0.05714,0.05714,0.05714,0.05714,571.4,10000,TQBR
MRKU,2014-08-05,0.05709,0.05907,0.05445,0.05651,231371.8,4080000,TQBR
MRKU,2014-08-06,0.0565,0.05689,0.0565,0.05657,81932.4,1450000,TQBR
MRKU,2014-08-07,0.05693,0.05734,0.05656,0.05708,54009.5,950000,TQBR
MRKU,2014-08-08,0.05727,0.05889,0.0563,0.05889,13225.1,230000,TQBR
MRKU,2014-08-11,0.05683,0.06039,0.05671,0.06036,143793.69999999998,2420000,TQBR
MRKU,2014-08-12,0.05999,0.06089,0.05999,0.06001,372025.10000000003,6170000,TQBR
MRKU,2014-08-13,0.06,0.06399,0.06,0.06107,82215.6,1340000,TQBR
MRKU,2014-08-14,0.06174,0.064,0.06139,0.062,463026.80000000005,7350000,TQBR
MRKU,2014-08-15,0.06117,0.06117,0.06117,0.06117,611.7,10000,TQBR
MRKU,2014-08-18,0.06093,0.06093,0.06093,0.06093,609.3,10000,TQBR
MRKU,2014-08-19,0.05982,0.05999,0.0596,0.05998,12588.899999999998,210000,TQBR
MRKU,2014-08-20,0.05999,0.05999,0.05799,0.058,152338.0,2600000,TQBR
MRKU,2014-08-21,0.05759,0.05999,0.057,0.05999,1230654.1,21380000,TQBR
MRKU,2014-08-22,0.05988,0.0599,0.05988,0.0599,1796.8,30000,TQBR
MRKU,2014-08-25,0.05872,0.05997,0.0584,0.05997,38818.3,660000,TQBR
MRKU,2014-08-27,0.061,0.061,0.061,0.061,3050.0,50000,TQBR
MRKU,2014-08-28,0.05901,0.05901,0.059,0.059,1180.1,20000,TQBR
MRKU,2014-08-29,0.06,0.06,0.05859,0.05859,2366.8,40000,TQBR
MRKU,2014-09-01,0.05855,0.06041,0.05855,0.05952,52137.1,870000,TQBR
MRKU,2014-09-02,0.06051,0.062,0.057,0.062,309246.2,5180000,TQBR
MRKU,2014-09-03,0.05987,0.06264,0.05987,0.06264,19233.8,310000,TQBR
MRKU,2014-09-04,0.0633,0.0641,0.0607,0.06072,71823.2,1160000,TQBR
MRKU,2014-09-05,0.06369,0.0637,0.06369,0.0637,3184.9,50000,TQBR
MRKU,2014-09-08,0.06299,0.0637,0.05721,0.059,173072.6,2890000,TQBR
MRKU,2014-09-09,0.0597,0.0605,0.0597,0.0605,26000.4,430000,TQBR
MRKU,2014-09-10,0.06104,0.06367,0.059,0.06158,219769.8,3650000,TQBR
MRKU,2014-09-11,0.06206,0.0675,0.06206,0.06275,347451.3,5410000,TQBR
MRKU,2014-09-12,0.06302,0.06302,0.06207,0.06207,98508.2,1570000,TQBR
MRKU,2014-09-15,0.0624,0.063,0.06101,0.06101,751572.2,11940000,TQBR
MRKU,2014-09-16,0.06025,0.06156,0.05882,0.06154,37776.9,620000,TQBR
MRKU,2014-09-17,0.05939,0.06056,0.05857,0.05992,63852.9,1080000,TQBR
MRKU,2014-09-18,0.05992,0.06069,0.05943,0.06069,87407.7,1470000,TQBR
MRKU,2014-09-19,0.06473,0.06473,0.05999,0.06047,11531.3,190000,TQBR
MRKU,2014-09-22,0.06046,0.06094,0.05903,0.05903,27741.9,460000,TQBR
MRKU,2014-09-23,0.06046,0.06046,0.05891,0.0595,12558.5,210000,TQBR
MRKU,2014-09-24,0.05671,0.06097,0.05671,0.06097,7751.2,130000,TQBR
MRKU,2014-09-25,0.06205,0.06219,0.05979,0.06219,6650.9,110000,TQBR
MRKU,2014-09-26,0.0596,0.06007,0.05732,0.05839,103343.3,1770000,TQBR
MRKU,2014-09-29,0.05926,0.06036,0.05719,0.05848,361976.7,6150000,TQBR
MRKU,2014-09-30,0.06282,0.06282,0.05602,0.05801,139240.0,2420000,TQBR
MRKU,2014-10-01,0.0623,0.0623,0.056,0.0568,122278.0,2160000,TQBR
MRKU,2014-10-02,0.0561,0.0565,0.0554,0.0565,96769.0,1720000,TQBR
MRKU,2014-10-03,0.0567,0.0579,0.0567,0.0579,9178.0,160000,TQBR
MRKU,2014-10-06,0.0584,0.0586,0.0578,0.0578,4675.0,80000,TQBR
MRKU,2014-10-08,0.0574,0.0574,0.0573,0.0573,5160.0,90000,TQBR
MRKU,2014-10-09,0.0573,0.0573,0.0563,0.0563,2274.0,40000,TQBR
MRKU,2014-10-10,0.0563,0.0569,0.0563,0.0569,1132.0,20000,TQBR
MRKU,2014-10-13,0.0575,0.0586,0.0575,0.058,5794.0,100000,TQBR
MRKU,2014-10-14,0.057,0.0576,0.0565,0.057,232817.0,4080000,TQBR
MRKU,2014-10-15,0.0566,0.0566,0.0551,0.0564,173238.0,3110000,TQBR
MRKU,2014-10-16,0.0567,0.0575,0.056,0.0565,595178.0,10540000,TQBR
MRKU,2014-10-17,0.0571,0.0573,0.056,0.057,251158.0,4420000,TQBR
MRKU,2014-10-20,0.057,0.057,0.056,0.0567,144042.0,2560000,TQBR
MRKU,2014-10-21,0.0566,0.0572,0.056,0.0565,468641.0,8290000,TQBR
MRKU,2014-10-22,0.0567,0.0574,0.0561,0.0565,167322.0,2960000,TQBR
MRKU,2014-10-23,0.0562,0.0565,0.056,0.0565,68349.0,1220000,TQBR
MRKU,2014-10-24,0.0567,0.057,0.0557,0.0567,156282.0,2780000,TQBR
MRKU,2014-10-27,0.0568,0.0573,0.0566,0.0573,145559.0,2550000,TQBR
MRKU,2014-10-28,0.0576,0.0576,0.0569,0.0569,1145.0,20000,TQBR
MRKU,2014-10-29,0.0566,0.0568,0.056,0.0568,125615.0,2240000,TQBR
MRKU,2014-10-30,0.056,0.06,0.056,0.0578,910515.0,15950000,TQBR
MRKU,2014-10-31,0.0593,0.0623,0.0582,0.0608,184993.0,3050000,TQBR
MRKU,2014-11-03,0.0603,0.0606,0.06,0.0606,24027.0,400000,TQBR
MRKU,2014-11-05,0.0601,0.0601,0.0584,0.0599,756671.0,12810000,TQBR
MRKU,2014-11-06,0.0594,0.0599,0.059,0.0591,161396.0,2710000,TQBR
MRKU,2014-11-07,0.0592,0.0594,0.0573,0.0573,32356.0,550000,TQBR
MRKU,2014-11-10,0.0579,0.0589,0.0579,0.0585,672012.0,11430000,TQBR
MRKU,2014-11-11,0.0593,0.0599,0.0583,0.0583,30858.0,520000,TQBR
MRKU,2014-11-12,0.0585,0.0587,0.058,0.0582,47086.0,810000,TQBR
MRKU,2014-11-13,0.0585,0.0594,0.0585,0.0594,896010.0,15230000,TQBR
MRKU,2014-11-14,0.0596,0.0605,0.0567,0.0605,661647.0,11250000,TQBR
MRKU,2014-11-17,0.0601,0.0601,0.0599,0.0599,9596.0,160000,TQBR
MRKU,2014-11-18,0.0598,0.0598,0.0594,0.0594,2981.0,50000,TQBR
MRKU,2014-11-19,0.0585,0.0591,0.0582,0.0584,12589778.0,215210000,TQBR
MRKU,2014-11-20,0.0585,0.0599,0.0585,0.0594,35171.0,590000,TQBR
MRKU,2014-11-21,0.0594,0.0628,0.0594,0.06,122309.0,2010000,TQBR
MRKU,2014-11-24,0.0618,0.0618,0.0611,0.0611,1229.0,20000,TQBR
MRKU,2014-11-25,0.0606,0.0607,0.0606,0.0606,18186.0,300000,TQBR
MRKU,2014-11-26,0.0603,0.063,0.0602,0.0609,159145.0,2570000,TQBR
MRKU,2014-11-27,0.061,0.0618,0.0609,0.0613,146982.0,2390000,TQBR
MRKU,2014-11-28,0.061,0.0614,0.0592,0.0594,166989.0,2780000,TQBR
MRKU,2014-12-01,0.06,0.0608,0.0593,0.0593,464239.0,7700000,TQBR
MRKU,2014-12-02,0.0593,0.06,0.0589,0.06,207879.0,3490000,TQBR
MRKU,2014-12-03,0.06,0.0607,0.06,0.0602,134584.0,2230000,TQBR
MRKU,2014-12-04,0.0606,0.0607,0.06,0.0607,147729.0,2450000,TQBR
MRKU,2014-12-05,0.06,0.0614,0.0595,0.0595,167740.0,2750000,TQBR
MRKU,2014-12-08,0.0588,0.0592,0.0586,0.0589,113014.0,1920000,TQBR
MRKU,2014-12-09,0.0545,0.0586,0.0541,0.0579,210327.0,3710000,TQBR
MRKU,2014-12-10,0.0575,0.0588,0.0566,0.0569,72505.0,1260000,TQBR
MRKU,2014-12-11,0.06,0.06,0.0565,0.0575,75628.0,1310000,TQBR
MRKU,2014-12-12,0.0568,0.0576,0.0556,0.0576,110023.0,1930000,TQBR
MRKU,2014-12-15,0.0572,0.0586,0.0552,0.0581,234829.0,4060000,TQBR
MRKU,2014-12-16,0.0556,0.0582,0.047,0.055,338545.0,6510000,TQBR
MRKU,2014-12-17,0.0529,0.0578,0.0528,0.0578,80581.0,1440000,TQBR
MRKU,2014-12-18,0.0594,0.0613,0.0565,0.0585,167107.0,2800000,TQBR
MRKU,2014-12-19,0.0596,0.0617,0.0586,0.0586,51500.0,850000,TQBR
MRKU,2014-12-22,0.0611,0.0634,0.0597,0.0625,119339.0,1930000,TQBR
MRKU,2014-12-23,0.0612,0.0629,0.0604,0.0608,186219.0,3010000,TQBR
MRKU,2014-12-24,0.0609,0.061,0.0605,0.0605,108517.0,1780000,TQBR
MRKU,2014-12-25,0.0597,0.0605,0.0597,0.0604,40855.0,680000,TQBR
MRKU,2014-12-26,0.0599,0.0599,0.0594,0.0595,16097.0,270000,TQBR
MRKU,2014-12-29,0.059,0.0625,0.059,0.06,212195.0,3420000,TQBR
MRKU,2014-12-30,0.06,0.0611,0.06,0.0611,23092.0,380000,TQBR
MRKU,2015-01-05,0.0601,0.0612,0.0599,0.0607,27024.0,450000,TQBR
MRKU,2015-01-06,0.0609,0.061,0.0609,0.061,1828.0,30000,TQBR
MRKU,2015-01-08,0.0615,0.0635,0.0615,0.0626,5620.0,90000,TQBR
