ticker,tradedate,open,high,low,close,value,volume,boardid
MSNG,2003-09-11,2.075,2.09,2.028,2.045,427848526.4,208186800,TQBR
MSNG,2003-09-12,2.047,2.075,2.044,2.059,161225557.6,78174200,TQBR
MSNG,2003-09-15,2.069,2.085,2.036,2.053,198757678.4,96498830,TQBR
MSNG,2003-09-16,2.059,2.064,2.016,2.038,125098908.4,61412840,TQBR
MSNG,2003-09-17,2.04,2.071,2.031,2.054,174541578.9,85026400,TQBR
MSNG,2003-09-18,2.054,2.085,2.028,2.064,220491879.6,106966500,TQBR
MSNG,2003-09-19,2.085,2.085,2.019,2.025,151373034.4,74204300,TQBR
MSNG,2003-09-22,2.028,2.032,1.94,1.941,181028092.4,91445400,TQBR
MSNG,2003-09-23,1.944,2.07,1.944,2.069,277214700.3,137645700,TQBR
MSNG,2003-09-24,2.07,2.08,2.044,2.048,203326443.1,98784100,TQBR
MSNG,2003-09-25,2.045,2.053,2.006,2.014,107231059.0,52884900,TQBR
MSNG,2003-09-26,2.057,2.057,2.008,2.03,153715797.1,75710570,TQBR
MSNG,2003-09-29,2.042,2.093,2.023,2.07,201375857.4,97320700,TQBR
MSNG,2003-09-30,2.079,2.093,2.05,2.071,160775659.0,77648900,TQBR
MSNG,2003-10-01,2.067,2.129,2.067,2.12,400078008.3,190112300,TQBR
MSNG,2003-10-02,2.126,2.165,2.115,2.125,340191789.2,158804200,TQBR
MSNG,2003-10-03,2.12,2.145,2.083,2.13,452044510.1,213956400,TQBR
MSNG,2003-10-06,2.135,2.189,2.116,2.186,750918099.9,347072500,TQBR
MSNG,2003-10-07,2.189,2.28,2.18,2.206,986908869.1,442157002,TQBR
MSNG,2003-10-08,2.21,2.37,2.112,2.36,1093163461.1,490408700,TQBR
MSNG,2003-10-09,2.39,2.39,2.244,2.311,785308814.5,337626500,TQBR
MSNG,2003-10-10,2.318,2.353,2.254,2.33,415406248.0,179373600,TQBR
MSNG,2003-10-13,2.335,2.397,2.325,2.373,424902597.6,179073640,TQBR
MSNG,2003-10-14,2.392,2.427,2.342,2.343,698093327.6,291992300,TQBR
MSNG,2003-10-15,2.355,2.382,2.31,2.331,235741680.0,100614400,TQBR
MSNG,2003-10-16,2.34,2.38,2.325,2.372,224183143.8,94880300,TQBR
MSNG,2003-10-17,2.38,2.385,2.335,2.361,238860690.1,101199400,TQBR
MSNG,2003-10-20,2.361,2.465,2.355,2.409,635562927.5,262171700,TQBR
MSNG,2003-10-21,2.41,2.428,2.26,2.284,429842316.5,183983300,TQBR
MSNG,2003-10-22,2.28,2.29,2.155,2.172,504992107.5,227861100,TQBR
MSNG,2003-10-23,2.151,2.209,2.13,2.17,178824855.9,82110400,TQBR
MSNG,2003-10-24,2.185,2.226,2.175,2.209,126801129.6,57627600,TQBR
MSNG,2003-10-27,2.05,2.095,1.82,2.09,471989656.5,241851000,TQBR
MSNG,2003-10-28,2.085,2.18,2.031,2.125,357103896.2,167764200,TQBR
MSNG,2003-10-29,2.13,2.14,2.027,2.132,360789688.0,172153200,TQBR
MSNG,2003-10-30,2.13,2.139,1.933,1.933,340568506.12,167225106,TQBR
MSNG,2003-10-31,1.983,2.053,1.96,2.034,202841421.1,100975700,TQBR
MSNG,2003-11-03,2.069,2.167,2.062,2.16,243314319.9,115103900,TQBR
MSNG,2003-11-04,2.16,2.179,2.107,2.13,183109413.7,85506500,TQBR
MSNG,2003-11-05,2.13,2.13,2.045,2.058,158913494.6,76699600,TQBR
MSNG,2003-11-06,2.069,2.087,2.04,2.074,92248928.5,44656300,TQBR
MSNG,2003-11-10,2.085,2.124,2.076,2.089,126315952.7,60105400,TQBR
MSNG,2003-11-11,2.05,2.098,2.011,2.02,131602871.6,64503300,TQBR
