ticker,tradedate,open,high,low,close,value,volume,boardid
MSTT,2014-06-09,109.52,113.69,109.0,110.48,18874584.1,168720,TQBR
MSTT,2014-06-10,111.69,112.47,108.84,109.63,13131128.4,119030,TQBR
MSTT,2014-06-11,110.95,111.22,108.63,108.94,11391334.6,103730,TQBR
MSTT,2014-06-16,108.71,110.98,107.01,109.58,14697499.9,133970,TQBR
MSTT,2014-06-17,109.08,109.71,108.0,108.01,994325.2,9160,TQBR
MSTT,2014-06-18,108.91,109.74,108.69,108.8,662515.2,6090,TQBR
MSTT,2014-06-19,108.2,109.5,108.04,108.11,3719509.6,34210,TQBR
MSTT,2014-06-20,108.36,108.44,105.0,106.99,5280081.0,49430,TQBR
MSTT,2014-06-23,106.97,106.97,105.75,106.51,2951571.3,27760,TQBR
MSTT,2014-06-24,107.1,107.99,105.87,107.01,6033811.7,56180,TQBR
MSTT,2014-06-25,106.9,107.73,106.3,106.7,3117418.0,29170,TQBR
MSTT,2014-06-26,106.8,107.39,106.5,106.61,2481837.8,23200,TQBR
MSTT,2014-06-27,106.63,108.96,106.62,108.0,4195158.1,38690,TQBR
MSTT,2014-06-30,108.0,109.38,107.7,109.38,5057608.0,46640,TQBR
MSTT,2014-07-01,108.6,109.95,107.55,108.0,7229124.7,66500,TQBR
MSTT,2014-07-02,108.99,109.16,106.99,108.0,4921808.4,45490,TQBR
MSTT,2014-07-03,107.01,112.94,107.0,110.32,18220057.5,162940,TQBR
MSTT,2014-07-04,110.35,114.49,110.1,113.21,13641997.9,120960,TQBR
MSTT,2014-07-07,112.92,115.0,112.91,115.0,7024928.9,61200,TQBR
MSTT,2014-07-08,115.01,116.0,114.49,115.3,22685256.6,197190,TQBR
MSTT,2014-07-09,114.74,116.4,114.71,116.19,7308646.9,62990,TQBR
MSTT,2014-07-10,116.6,118.67,112.0,114.43,13224898.0,114440,TQBR
MSTT,2014-07-11,114.49,116.42,112.54,114.47,6980492.4,60940,TQBR
MSTT,2014-07-14,114.59,114.7,111.51,113.0,12362508.0,108910,TQBR
MSTT,2014-07-15,103.95,110.98,103.95,106.5,8269442.1,76220,TQBR
MSTT,2014-07-16,107.38,107.5,105.55,106.77,1107375.5,10400,TQBR
MSTT,2014-07-17,105.7,109.5,102.57,105.5,6235009.7,58400,TQBR
MSTT,2014-07-18,105.08,105.08,101.01,103.15,20035242.3,196890,TQBR
MSTT,2014-07-21,102.99,104.99,101.21,101.25,6256434.3,60460,TQBR
MSTT,2014-07-22,101.96,104.49,101.96,102.99,6242366.7,60180,TQBR
MSTT,2014-07-23,101.51,103.55,98.14,102.42,7243590.3,72350,TQBR
MSTT,2014-07-24,102.91,107.0,102.36,103.74,5718563.1,54720,TQBR
MSTT,2014-07-25,102.63,103.48,100.53,100.55,554396.7,5450,TQBR
MSTT,2014-07-28,101.31,101.31,97.1,97.1,1019578.6,10340,TQBR
MSTT,2014-07-29,96.0,97.85,95.76,96.99,15109860.6,156260,TQBR
MSTT,2014-07-30,96.9,99.5,96.69,97.31,6826319.1,69530,TQBR
MSTT,2014-07-31,98.43,98.46,97.04,97.27,515558.0,5280,TQBR
MSTT,2014-08-01,97.05,97.9,93.82,95.0,1432336.0,15070,TQBR
MSTT,2014-08-04,95.9,96.7,93.66,94.8,1622467.4,17080,TQBR
MSTT,2014-08-05,94.64,95.4,93.01,93.02,4157843.4,44190,TQBR
MSTT,2014-08-06,93.97,93.97,90.96,90.96,12806960.6,139540,TQBR
MSTT,2014-08-07,90.9,90.9,87.47,89.91,3463597.9,38820,TQBR
MSTT,2014-08-08,90.6,93.37,89.5,91.06,12180054.7,131820,TQBR
MSTT,2014-08-11,93.68,93.68,91.91,92.89,2011662.9999999998,21670,TQBR
MSTT,2014-08-12,93.9,93.98,91.91,92.78,1355586.5999999999,14630,TQBR
MSTT,2014-08-13,92.0,93.0,90.8,91.26,4048774.9000000013,44040,TQBR
MSTT,2014-08-14,90.22,91.79,90.22,91.0,2248613.9000000004,24680,TQBR
MSTT,2014-08-15,90.66,92.48,90.38,92.0,2346194.0999999996,25550,TQBR
MSTT,2014-08-18,92.59,92.59,90.82,91.83,2933531.9000000004,32060,TQBR
MSTT,2014-08-19,91.86,94.89,90.85,94.89,31010718.000000004,335460,TQBR
MSTT,2014-08-20,94.78,95.95,94.36,95.3,3267151.3999999994,34220,TQBR
MSTT,2014-08-21,96.26,97.78,93.37,93.4,6392653.999999999,66810,TQBR
MSTT,2014-08-22,93.03,94.45,92.65,92.76,5127007.500000001,54790,TQBR
MSTT,2014-08-25,93.48,95.51,93.47,94.43,41953310.29999999,441780,TQBR
MSTT,2014-08-26,94.71,94.71,92.6,92.63,2702360.2000000007,28760,TQBR
MSTT,2014-08-27,94.75,94.75,92.8,92.99,6880956.9,73970,TQBR
MSTT,2014-08-28,93.79,93.79,88.88,88.96,9650117.5,106120,TQBR
MSTT,2014-08-29,89.43,89.44,85.71,86.0,15473131.8,177750,TQBR
MSTT,2014-09-01,88.52,88.84,85.25,85.48,6902677.7,79960,TQBR
MSTT,2014-09-02,85.96,85.96,83.53,84.2,4958332.4,58820,TQBR
MSTT,2014-09-03,84.3,85.9,83.87,85.22,46636801.9,546810,TQBR
MSTT,2014-09-04,85.41,85.6,84.05,84.11,12267589.4,145310,TQBR
MSTT,2014-09-05,84.0,84.87,83.98,84.21,6576375.2,77980,TQBR
MSTT,2014-09-08,84.75,85.01,83.7,83.99,4990922.9,59300,TQBR
MSTT,2014-09-09,84.12,84.69,83.8,84.2,7661233.7,91210,TQBR
MSTT,2014-09-10,83.99,84.99,83.7,84.4,7421354.0,88150,TQBR
MSTT,2014-09-11,84.36,86.55,84.19,85.31,15004717.7,175430,TQBR
MSTT,2014-09-12,85.25,85.33,84.25,84.7,7922199.2,93430,TQBR
MSTT,2014-09-15,84.8,84.98,83.5,83.99,7923677.4,94410,TQBR
MSTT,2014-09-16,84.39,84.79,84.0,84.1,4197670.4,49850,TQBR
MSTT,2014-09-17,84.49,85.01,82.97,83.0,9980514.7,119050,TQBR
MSTT,2014-09-18,83.64,84.01,82.77,83.7,3242024.4,38860,TQBR
MSTT,2014-09-19,83.65,84.44,82.3,82.94,3312780.2,39740,TQBR
MSTT,2014-09-22,83.43,83.98,82.61,83.0,1929132.4,23240,TQBR
MSTT,2014-09-23,81.79,84.4,81.79,84.38,5445011.5,65090,TQBR
MSTT,2014-09-24,84.15,87.8,84.15,86.5,12749132.5,148210,TQBR
MSTT,2014-09-25,86.5,90.44,86.5,88.58,18189645.5,205970,TQBR
MSTT,2014-09-26,88.01,88.68,87.63,88.65,6969648.3,78810,TQBR
MSTT,2014-09-29,89.0,92.98,88.0,89.17,15171569.0,167450,TQBR
MSTT,2014-09-30,89.04,90.7,88.0,89.92,4426814.6,49550,TQBR
MSTT,2014-10-01,89.8,90.6,88.5,89.4,6282082.0,70670,TQBR
MSTT,2014-10-02,88.2,89.9,87.1,88.0,4757139.0,53810,TQBR
MSTT,2014-10-03,88.3,88.5,87.5,88.3,4526295.0,51440,TQBR
MSTT,2014-10-06,88.8,89.8,86.1,86.5,4252023.0,48850,TQBR
MSTT,2014-10-07,86.5,87.0,86.4,86.7,2969299.0,34270,TQBR
MSTT,2014-10-08,86.6,86.9,84.5,84.8,2315783.0,27010,TQBR
MSTT,2014-10-09,84.8,86.7,83.6,84.8,7676378.0,90870,TQBR
MSTT,2014-10-10,83.2,84.7,82.9,83.3,1732722.0,20670,TQBR
MSTT,2014-10-13,83.2,83.9,81.5,83.6,7451070.0,90160,TQBR
MSTT,2014-10-14,83.3,84.5,82.5,84.1,10046725.0,120640,TQBR
MSTT,2014-10-15,84.2,84.2,81.8,81.9,4718243.0,56460,TQBR
MSTT,2014-10-16,82.2,83.0,82.1,82.8,5048146.0,61180,TQBR
MSTT,2014-10-17,82.8,84.2,82.8,84.2,10074822.0,121190,TQBR
MSTT,2014-10-20,84.1,85.4,83.6,84.2,556434.0,6590,TQBR
MSTT,2014-10-21,84.0,84.6,82.3,83.4,1856946.0,22290,TQBR
MSTT,2014-10-22,86.4,86.4,83.5,84.5,4769603.0,56030,TQBR
MSTT,2014-10-23,84.5,84.8,83.2,83.5,2079700.0,24830,TQBR
MSTT,2014-10-24,83.3,85.2,82.0,85.0,3518455.0,42080,TQBR
MSTT,2014-10-27,85.0,86.8,84.6,85.2,4768439.0,55860,TQBR
MSTT,2014-10-28,86.0,86.0,83.6,83.8,4830134.0,57030,TQBR
MSTT,2014-10-29,83.5,84.4,82.9,84.2,5751785.0,68770,TQBR
MSTT,2014-10-30,84.1,87.4,83.8,87.4,4114479.0,47830,TQBR
MSTT,2014-10-31,87.2,87.7,85.9,87.5,3738339.0,42950,TQBR
MSTT,2014-11-03,86.7,87.5,86.0,86.3,1563721.0,18040,TQBR
MSTT,2014-11-05,85.3,87.1,85.1,87.0,5342395.0,61870,TQBR
MSTT,2014-11-06,87.2,88.3,86.4,88.1,3574212.0,40870,TQBR
MSTT,2014-11-07,87.4,88.2,86.5,86.8,2462372.0,28300,TQBR
MSTT,2014-11-10,86.9,87.0,85.7,86.3,1832186.0,21240,TQBR
