ticker,tradedate,open,high,low,close,value,volume,boardid
PIKK,2011-09-07,110.0,110.0,108.37,109.31,55022903.9,504400,TQBR
PIKK,2011-09-08,109.66,110.29,107.0,108.4,48700836.2,448640,TQBR
PIKK,2011-09-09,107.96,108.69,105.61,106.49,32523619.7,303470,TQBR
PIKK,2011-09-12,105.0,106.15,100.07,101.13,66974222.4,652440,TQBR
PIKK,2011-09-13,101.73,104.39,99.3,101.51,32900591.3,322130,TQBR
PIKK,2011-09-14,100.97,103.8,100.0,100.33,59322621.7,582360,TQBR
PIKK,2011-09-15,100.65,102.25,100.0,100.19,43258556.0,427920,TQBR
PIKK,2011-09-16,100.5,101.4,96.5,98.15,67762044.6,691290,TQBR
PIKK,2011-09-19,97.53,101.24,95.6,100.11,89605477.7,906870,TQBR
PIKK,2011-09-20,100.0,101.99,99.01,100.8,49865244.0,495300,TQBR
PIKK,2011-09-21,100.5,101.76,98.5,100.81,41701867.8,415620,TQBR
PIKK,2011-09-22,98.95,103.49,90.26,103.04,298602295.9,3007300,TQBR
PIKK,2011-09-23,100.0,100.84,92.0,97.21,456347990.1,4693990,TQBR
PIKK,2011-09-26,96.77,98.5,91.95,96.5,128861354.0,1349180,TQBR
PIKK,2011-09-27,97.19,99.0,96.77,97.56,74354426.2,761120,TQBR
PIKK,2011-09-28,96.51,97.99,96.21,97.5,49286644.3,506740,TQBR
PIKK,2011-09-29,95.8,101.87,95.2,100.69,96884821.0,970190,TQBR
PIKK,2011-09-30,100.2,103.5,96.51,103.01,318938423.4,3131880,TQBR
PIKK,2011-10-03,100.4,100.6,96.0,97.49,125738563.6,1275900,TQBR
PIKK,2011-10-04,95.99,97.89,83.01,89.0,169555812.4,1860270,TQBR
PIKK,2011-10-05,90.88,92.67,87.0,89.34,78131972.0,880000,TQBR
PIKK,2011-10-06,91.08,92.39,88.48,88.99,68759505.1,760820,TQBR
PIKK,2011-10-07,92.95,95.0,89.98,92.45,117515565.8,1282980,TQBR
PIKK,2011-10-10,92.5,93.47,88.89,91.2,48327058.2,528750,TQBR
PIKK,2011-10-11,91.5,92.49,86.55,88.51,66554822.1,753400,TQBR
PIKK,2011-10-12,88.53,89.9,87.14,88.27,42952178.5,482730,TQBR
PIKK,2011-10-13,88.5,88.88,87.22,87.64,41711070.6,474030,TQBR
PIKK,2011-10-14,87.05,89.45,86.97,87.6,60702440.8,688030,TQBR
PIKK,2011-10-17,88.8,89.87,86.61,86.78,44830665.4,508480,TQBR
PIKK,2011-10-18,86.6,87.5,85.01,86.6,31667785.3,368490,TQBR
PIKK,2011-10-19,87.21,88.26,85.59,86.58,22049972.4,253710,TQBR
PIKK,2011-10-20,86.02,86.65,85.2,85.9,24192309.3,281920,TQBR
PIKK,2011-10-21,86.13,88.86,85.61,87.55,24142825.8,275350,TQBR
PIKK,2011-10-24,88.52,89.49,86.82,87.88,62553070.4,709870,TQBR
PIKK,2011-10-25,88.68,88.68,86.01,86.69,22847061.7,260720,TQBR
PIKK,2011-10-26,85.61,88.47,85.61,88.11,22669724.3,258390,TQBR
PIKK,2011-10-27,88.56,94.99,88.56,92.3,154678295.6,1660560,TQBR
PIKK,2011-10-28,93.44,93.8,90.0,91.23,59825281.3,651210,TQBR
PIKK,2011-10-31,87.92,94.75,87.92,90.9,57086917.5,617290,TQBR
PIKK,2011-11-01,90.0,91.25,86.14,86.8,48912343.0,554660,TQBR
PIKK,2011-11-02,87.87,87.87,84.62,87.0,62715912.2,725280,TQBR
PIKK,2011-11-03,86.58,87.75,83.66,86.1,53140562.0,621950,TQBR
PIKK,2011-11-07,86.86,87.74,85.37,86.21,28092409.8,325140,TQBR
PIKK,2011-11-08,90.36,90.36,86.01,86.96,25402424.2,293020,TQBR
PIKK,2011-11-09,87.05,87.42,83.88,83.88,36284374.2,425230,TQBR
PIKK,2011-11-10,83.0,84.7,80.17,84.7,62152494.5,757430,TQBR
PIKK,2011-11-11,84.92,84.92,82.82,83.6,11983285.5,143650,TQBR
PIKK,2011-11-14,83.88,85.14,82.61,83.02,38419589.2,457460,TQBR
PIKK,2011-11-15,82.45,84.5,80.77,84.12,48455661.3,587980,TQBR
PIKK,2011-11-16,83.51,84.0,82.04,83.36,25367996.8,305860,TQBR
PIKK,2011-11-17,88.01,88.01,81.76,83.2,16246630.5,196510,TQBR
PIKK,2011-11-18,81.65,83.15,81.24,82.7,32109910.8,390380,TQBR
PIKK,2011-11-21,82.13,82.7,79.05,80.5,44448766.2,546080,TQBR
PIKK,2011-11-22,80.31,84.35,80.0,84.35,37304089.3,459150,TQBR
PIKK,2011-11-23,81.98,82.9,81.81,82.0,9214149.5,111730,TQBR
PIKK,2011-11-24,92.0,92.0,81.06,81.71,12621139.9,152790,TQBR
PIKK,2011-11-25,81.27,81.85,78.2,80.78,38083001.3,477880,TQBR
PIKK,2011-11-28,81.02,83.21,81.01,83.21,18747398.6,228860,TQBR
PIKK,2011-11-29,83.31,83.31,79.98,79.98,8095179.3,98950,TQBR
PIKK,2011-11-30,81.17,82.5,80.4,82.25,23442767.7,287000,TQBR
PIKK,2011-12-01,82.75,83.25,81.55,81.61,33983193.3,412780,TQBR
PIKK,2011-12-02,82.47,82.89,81.06,81.96,28821408.3,352670,TQBR
PIKK,2011-12-05,81.96,82.46,81.5,82.0,16437256.8,200270,TQBR
PIKK,2011-12-06,81.9,81.9,79.0,79.04,38767384.5,484630,TQBR
PIKK,2011-12-07,79.04,79.9,77.18,77.18,24185762.2,307740,TQBR
PIKK,2011-12-08,77.83,78.64,76.0,76.7,40866699.7,528900,TQBR
PIKK,2011-12-09,74.72,76.01,72.07,75.7,57187574.1,776130,TQBR
PIKK,2011-12-12,75.7,77.47,72.99,73.51,30928411.0,410460,TQBR
PIKK,2011-12-13,81.6,81.6,68.95,73.23,44427535.3,619160,TQBR
PIKK,2011-12-14,72.39,72.67,70.97,72.05,22544752.3,313620,TQBR
PIKK,2011-12-15,71.93,73.47,71.3,73.0,23378181.2,322230,TQBR
PIKK,2011-12-16,73.11,76.91,72.6,76.91,30770036.5,412280,TQBR
PIKK,2011-12-19,75.66,75.9,73.83,74.0,14643983.3,195470,TQBR
PIKK,2011-12-20,73.6,74.23,72.04,73.99,33753719.9,459650,TQBR
PIKK,2011-12-21,75.79,75.88,74.69,74.85,20013477.8,266440,TQBR
PIKK,2011-12-22,74.1,77.5,74.05,76.49,33141824.6,439570,TQBR
PIKK,2011-12-23,72.01,77.45,72.01,76.11,16720711.5,218100,TQBR
PIKK,2011-12-26,76.86,77.17,75.86,76.24,6599959.9,86480,TQBR
PIKK,2011-12-27,76.24,76.99,73.65,74.8,13905600.8,185620,TQBR
PIKK,2011-12-28,74.32,81.0,74.32,78.5,58868080.6,749750,TQBR
PIKK,2011-12-29,78.19,79.89,76.7,79.02,25903506.0,333770,TQBR
PIKK,2011-12-30,79.1,80.7,77.0,77.4,46508148.5,587700,TQBR
PIKK,2012-01-03,77.63,79.16,77.37,77.49,9634955.3,123560,TQBR
PIKK,2012-01-04,77.5,78.5,76.5,77.0,7423423.0,96120,TQBR
PIKK,2012-01-05,77.39,77.6,75.51,75.52,8200113.7,107670,TQBR
PIKK,2012-01-06,75.63,76.6,74.51,74.71,17668160.5,235310,TQBR
PIKK,2012-01-09,72.25,75.07,72.25,73.71,11232458.1,151750,TQBR
PIKK,2012-01-10,74.12,76.0,74.01,75.0,20247544.1,270000,TQBR
PIKK,2012-01-11,75.0,75.35,74.22,74.41,9729623.8,130440,TQBR
