ticker,tradedate,open,high,low,close,value,volume,boardid
PRFN,2014-06-11,0.2,0.2,0.2,0.2,8000.0,40000,TQBR
PRFN,2014-06-18,0.2,0.2,0.2,0.2,10000.0,50000,TQBR
PRFN,2014-06-19,0.1901,0.2399,0.19,0.2399,6511.1,34000,TQBR
PRFN,2014-06-26,0.2,0.2,0.2,0.2,10000.0,50000,TQBR
PRFN,2014-06-30,0.205,0.219,0.205,0.219,2581.0,12000,TQBR
PRFN,2014-07-10,0.215,0.215,0.215,0.215,6235.0,29000,TQBR
PRFN,2014-07-11,0.2,0.2049,0.1912,0.2,32426.1,162000,TQBR
PRFN,2014-07-16,0.203,0.2344,0.203,0.234,35930.5,161000,TQBR
PRFN,2014-07-22,0.222,0.228,0.222,0.228,3150.0,14000,TQBR
PRFN,2014-07-30,0.19,0.224,0.188,0.224,2120.0,11000,TQBR
PRFN,2014-08-15,0.219,0.219,0.219,0.219,5475.0,25000,TQBR
PRFN,2014-08-25,0.2,0.2,0.2,0.2,200.0,1000,TQBR
PRFN,2014-08-27,0.2005,0.22,0.2005,0.22,640.5,3000,TQBR
PRFN,2014-09-03,0.221,0.225,0.22,0.22,2666.0,12000,TQBR
PRFN,2014-09-10,0.2249,0.2259,0.2249,0.2259,3161.6,14000,TQBR
PRFN,2014-09-11,0.2,0.22,0.198,0.22,1218.0,6000,TQBR
PRFN,2014-09-12,0.225,0.228,0.225,0.228,1359.0,6000,TQBR
PRFN,2014-09-18,0.228,0.228,0.228,0.228,456.0,2000,TQBR
PRFN,2014-10-01,0.194,0.194,0.194,0.194,388.0,2000,TQBR
PRFN,2014-10-09,0.229,0.238,0.2,0.2,15370.0,73000,TQBR
PRFN,2014-10-15,0.238,0.241,0.238,0.241,2154.0,9000,TQBR
PRFN,2014-10-16,0.199,0.199,0.196,0.196,990.0,5000,TQBR
PRFN,2014-10-21,0.201,0.201,0.201,0.201,201.0,1000,TQBR
PRFN,2014-10-27,0.198,0.198,0.192,0.192,6438.0,33000,TQBR
PRFN,2014-10-28,0.196,0.211,0.196,0.211,799.0,4000,TQBR
PRFN,2014-10-30,0.201,0.209,0.201,0.209,410.0,2000,TQBR
PRFN,2014-10-31,0.21,0.21,0.21,0.21,210.0,1000,TQBR
PRFN,2014-11-05,0.196,0.21,0.196,0.21,1596.0,8000,TQBR
PRFN,2014-11-07,0.196,0.197,0.194,0.197,35434.0,180000,TQBR
PRFN,2014-11-10,0.196,0.196,0.19,0.19,9557.0,50000,TQBR
PRFN,2014-11-18,0.2,0.2,0.2,0.2,1600.0,8000,TQBR
PRFN,2014-11-19,0.19,0.19,0.19,0.19,190.0,1000,TQBR
PRFN,2014-11-21,0.2,0.2,0.2,0.2,200.0,1000,TQBR
PRFN,2014-11-26,0.201,0.215,0.186,0.186,11994.0,60000,TQBR
PRFN,2014-11-28,0.2,0.2,0.2,0.2,200.0,1000,TQBR
PRFN,2014-12-02,0.186,0.186,0.186,0.186,186.0,1000,TQBR
PRFN,2014-12-05,0.2,0.201,0.2,0.201,601.0,3000,TQBR
PRFN,2014-12-16,0.191,0.191,0.191,0.191,382.0,2000,TQBR
PRFN,2014-12-18,0.199,0.199,0.199,0.199,398.0,2000,TQBR
PRFN,2014-12-24,0.201,0.26,0.201,0.255,27504.0,127000,TQBR
PRFN,2014-12-25,0.22,0.22,0.22,0.22,1100.0,5000,TQBR
PRFN,2014-12-26,0.24,0.26,0.24,0.26,2790.0,11000,TQBR
PRFN,2015-01-09,0.21,0.24,0.21,0.238,1363.0,6000,TQBR
PRFN,2015-01-13,0.208,0.208,0.208,0.208,208.0,1000,TQBR
PRFN,2015-01-15,0.211,0.211,0.211,0.211,211.0,1000,TQBR
PRFN,2015-01-20,0.22,0.22,0.22,0.22,220.0,1000,TQBR
PRFN,2015-01-21,0.225,0.225,0.225,0.225,450.0,2000,TQBR
PRFN,2015-01-23,0.23,0.23,0.23,0.23,230.0,1000,TQBR
PRFN,2015-01-26,0.24,0.24,0.239,0.239,479.0,2000,TQBR
PRFN,2015-01-29,0.238,0.321,0.238,0.321,54059.0,212000,TQBR
PRFN,2015-01-30,0.339,0.339,0.221,0.27,15613.0,60000,TQBR
PRFN,2015-02-03,0.23,0.24,0.23,0.23,13815.0,60000,TQBR
PRFN,2015-02-10,0.221,0.274,0.21,0.274,1605.0,7000,TQBR
PRFN,2015-02-12,0.21,0.23,0.21,0.23,440.0,2000,TQBR
PRFN,2015-02-13,0.25,0.25,0.25,0.25,500.0,2000,TQBR
PRFN,2015-02-16,0.299,0.349,0.289,0.303,20710.0,69000,TQBR
PRFN,2015-02-17,0.341,0.42,0.258,0.35,15015.0,46000,TQBR
PRFN,2015-02-18,0.315,0.385,0.315,0.384,3043.0,9000,TQBR
PRFN,2015-02-19,0.335,0.369,0.3,0.369,3653.0,11000,TQBR
PRFN,2015-02-20,0.388,0.388,0.388,0.388,388.0,1000,TQBR
PRFN,2015-02-24,0.383,0.383,0.379,0.379,762.0,2000,TQBR
PRFN,2015-02-26,0.31,0.334,0.263,0.334,8369.0,28000,TQBR
PRFN,2015-02-27,0.3,0.326,0.3,0.326,26542.0,87000,TQBR
PRFN,2015-03-03,0.325,0.325,0.325,0.325,325.0,1000,TQBR
PRFN,2015-03-10,0.281,0.323,0.28,0.323,5084.0,18000,TQBR
PRFN,2015-03-11,0.28,0.285,0.28,0.285,1408.0,5000,TQBR
PRFN,2015-03-12,0.295,0.33,0.28,0.28,22360.0,78000,TQBR
PRFN,2015-03-13,0.28,0.28,0.26,0.26,6540.0,25000,TQBR
PRFN,2015-03-23,0.268,0.268,0.268,0.268,536.0,2000,TQBR
PRFN,2015-03-24,0.268,0.268,0.268,0.268,2680.0,10000,TQBR
PRFN,2015-03-25,0.28,0.28,0.28,0.28,560.0,2000,TQBR
PRFN,2015-03-30,0.275,0.28,0.275,0.28,5875.0,21000,TQBR
