ticker,tradedate,open,high,low,close,value,volume,boardid
QIWI,2014-06-06,1559.2,1574.2,1450.5,1574.1,112064.8,73,TQBR
QIWI,2014-06-09,1460.5,1645.0,1460.5,1600.0,475603.3,298,TQBR
QIWI,2014-06-10,1612.5,1635.0,1475.9,1529.8,215783.2,136,TQBR
QIWI,2014-06-11,1565.0,1565.0,1475.0,1530.0,505755.0,336,TQBR
QIWI,2014-06-16,1523.0,1533.0,1500.0,1500.0,852249.4,560,TQBR
QIWI,2014-06-17,1439.9,1470.0,1439.9,1444.9,1027410.9,713,TQBR
QIWI,2014-06-18,1410.0,1439.9,1380.1,1395.0,1360003.7,968,TQBR
QIWI,2014-06-19,1390.0,1395.0,1375.7,1380.0,145442.9,105,TQBR
QIWI,2014-06-20,1370.0,1443.0,1370.0,1382.5,1762469.7,1258,TQBR
QIWI,2014-06-23,1385.0,1390.0,1344.0,1345.0,1085650.1,795,TQBR
QIWI,2014-06-24,1335.0,1376.5,1330.0,1359.9,466143.6,344,TQBR
QIWI,2014-06-25,1370.0,1380.0,1370.0,1380.0,303685.9,221,TQBR
QIWI,2014-06-26,1374.9,1377.0,1361.0,1377.0,239761.3,175,TQBR
QIWI,2014-06-27,1389.9,1390.0,1370.0,1386.6,40161.2,29,TQBR
QIWI,2014-06-30,1397.9,1397.9,1345.3,1370.0,1457734.1,1064,TQBR
QIWI,2014-07-01,1399.4,1400.0,1375.2,1375.2,89071.7,64,TQBR
QIWI,2014-07-02,1375.2,1394.6,1370.9,1393.9,11064.7,8,TQBR
QIWI,2014-07-03,1372.1,1399.9,1371.1,1375.0,94219.7,68,TQBR
QIWI,2014-07-04,1410.0,1445.0,1380.6,1439.4,1397854.4,984,TQBR
QIWI,2014-07-07,1425.2,1450.0,1423.2,1430.0,132685.8,93,TQBR
QIWI,2014-07-08,1403.0,1443.9,1370.0,1380.0,358164.1,255,TQBR
QIWI,2014-07-09,1359.9,1378.0,1350.5,1364.6,602580.5,443,TQBR
QIWI,2014-07-10,1391.8,1397.0,1360.0,1383.0,280537.0,203,TQBR
