ticker,tradedate,open,high,low,close,value,volume,boardid
RDRB,2014-12-11,166.0,166.0,166.0,166.0,10790000,65000,TQBR
RDRB,2015-07-22,154.0,154.0,154.0,154.0,9856000,64000,TQBR
RDRB,2015-12-15,164.0,164.0,164.0,164.0,9999080,60970,TQBR
RDRB,2016-04-13,160.0,160.0,156.0,156.0,157980,1000,TQBR
RDRB,2016-04-20,160.0,160.0,157.0,157.0,322210,2030,TQBR
RDRB,2019-12-12,250.0,270.0,250.0,270.0,2612350,10040,TQBR
RDRB,2019-12-13,275.0,375.0,275.0,375.0,7202050,19890,TQBR
RDRB,2019-12-16,410.0,520.0,410.0,520.0,935000,1860,TQBR
RDRB,2019-12-17,570.0,570.0,570.0,570.0,456000,800,TQBR
RDRB,2019-12-18,625.0,625.0,440.0,500.0,4938450,9140,TQBR
RDRB,2019-12-19,505.0,545.0,450.0,475.0,2233650,4560,TQBR
RDRB,2019-12-20,450.0,490.0,335.0,415.0,4700950,11610,TQBR
RDRB,2019-12-23,435.0,435.0,350.0,365.0,1730500,4640,TQBR
RDRB,2019-12-24,365.0,400.0,340.0,400.0,3148300,8220,TQBR
RDRB,2019-12-25,430.0,435.0,380.0,390.0,1764900,4360,TQBR
RDRB,2019-12-26,400.0,425.0,370.0,380.0,1284900,3180,TQBR
RDRB,2019-12-27,400.0,520.0,400.0,460.0,6748250,14320,TQBR
RDRB,2019-12-30,465.0,495.0,410.0,415.0,5304300,12000,TQBR
RDRB,2020-01-03,430.0,440.0,405.0,425.0,1500850,3570,TQBR
RDRB,2020-01-06,420.0,465.0,370.0,390.0,3676400,8940,TQBR
RDRB,2020-01-08,395.0,410.0,385.0,395.0,1123700,2830,TQBR
RDRB,2020-01-09,395.0,400.0,385.0,395.0,432500,1100,TQBR
RDRB,2020-01-10,395.0,400.0,390.0,395.0,291100,740,TQBR
RDRB,2020-01-13,395.0,395.0,380.0,385.0,433250,1120,TQBR
RDRB,2020-01-14,385.0,390.0,380.0,380.0,282750,740,TQBR
RDRB,2020-01-15,380.0,395.0,375.0,380.0,764000,2000,TQBR
RDRB,2020-01-16,375.0,385.0,375.0,380.0,296300,780,TQBR
RDRB,2020-01-17,380.0,380.0,370.0,375.0,556050,1480,TQBR
RDRB,2020-01-20,380.0,385.0,365.0,375.0,1202650,3240,TQBR
RDRB,2020-01-21,365.0,375.0,360.0,370.0,555750,1510,TQBR
RDRB,2020-01-22,360.0,370.0,345.0,350.0,1276300,3610,TQBR
RDRB,2020-01-23,350.0,350.0,330.0,335.0,459250,1350,TQBR
RDRB,2020-01-24,340.0,350.0,305.0,335.0,1134550,3400,TQBR
RDRB,2020-01-27,330.0,340.0,320.0,325.0,339500,1030,TQBR
RDRB,2020-01-28,325.0,345.0,320.0,340.0,415150,1260,TQBR
RDRB,2020-01-29,335.0,385.0,335.0,345.0,3001300,8350,TQBR
RDRB,2020-01-30,345.0,360.0,340.0,350.0,807100,2310,TQBR
RDRB,2020-01-31,350.0,355.0,330.0,340.0,540350,1580,TQBR
RDRB,2020-02-03,340.0,345.0,330.0,340.0,266100,790,TQBR
RDRB,2020-02-04,330.0,340.0,325.0,340.0,209800,630,TQBR
RDRB,2020-02-05,335.0,355.0,335.0,350.0,723500,2100,TQBR
RDRB,2020-02-06,345.0,355.0,335.0,340.0,302050,880,TQBR
RDRB,2020-02-07,345.0,350.0,330.0,340.0,348100,1030,TQBR
RDRB,2020-02-10,340.0,340.0,325.0,330.0,230050,690,TQBR
RDRB,2020-02-11,330.0,375.0,330.0,340.0,3432600,9770,TQBR
RDRB,2020-02-12,340.0,355.0,325.0,345.0,1578150,4670,TQBR
RDRB,2020-02-13,345.0,360.0,330.0,350.0,797300,2320,TQBR
RDRB,2020-02-14,350.0,355.0,345.0,355.0,266200,760,TQBR
RDRB,2020-02-17,345.0,355.0,340.0,345.0,323700,940,TQBR
RDRB,2020-02-18,340.0,350.0,335.0,340.0,544000,1610,TQBR
RDRB,2020-02-19,340.0,345.0,335.0,340.0,208250,620,TQBR
RDRB,2020-02-20,340.0,350.0,335.0,340.0,224750,660,TQBR
RDRB,2020-02-21,340.0,340.0,335.0,340.0,70750,210,TQBR
RDRB,2020-02-25,340.0,350.0,335.0,340.0,291500,860,TQBR
RDRB,2020-02-26,335.0,345.0,330.0,335.0,141250,420,TQBR
RDRB,2020-02-27,340.0,340.0,320.0,330.0,317850,970,TQBR
RDRB,2020-02-28,240.0,325.0,240.0,315.0,330200,1100,TQBR
RDRB,2020-03-02,315.0,325.0,295.0,310.0,234050,760,TQBR
RDRB,2020-03-03,315.0,315.0,300.0,305.0,273400,900,TQBR
RDRB,2020-03-04,305.0,305.0,295.0,300.0,65850,220,TQBR
RDRB,2020-03-05,305.0,315.0,225.0,310.0,559300,2020,TQBR
RDRB,2020-03-06,300.0,300.0,280.0,280.0,967350,3450,TQBR
RDRB,2020-03-10,260.0,265.0,250.0,265.0,212400,820,TQBR
RDRB,2020-03-11,270.0,270.0,255.0,260.0,117300,450,TQBR
RDRB,2020-03-12,255.0,255.0,230.0,230.0,91050,380,TQBR
RDRB,2020-03-13,230.0,240.0,225.0,240.0,71850,310,TQBR
RDRB,2020-03-16,235.0,235.0,185.0,225.0,225700,1030,TQBR
