ticker,tradedate,open,high,low,close,value,volume,boardid
RENI,2021-10-21 00:00:00,125.0,149.56,116.15,118.0,581308641.4,4863470,TQBR
RENI,2021-10-22 00:00:00,118.49,118.8,111.9,115.0,344303186.9,2982260,TQBR
RENI,2021-10-25 00:00:00,114.99,118.03,112.04,116.0,207447085.1,1776080,TQBR
RENI,2021-10-26 00:00:00,115.96,117.55,111.81,113.0,203233672.2,1787510,TQBR
RENI,2021-10-27 00:00:00,114.88,114.88,108.8,112.96,134743167.3,1206110,TQBR
RENI,2021-10-28 00:00:00,110.6,112.7,109.15,110.0,93097555.5,842130,TQBR
RENI,2021-10-29 00:00:00,110.8,117.0,109.0,112.0,91887987.9,812270,TQBR
RENI,2021-11-01 00:00:00,114.99,116.42,110.0,114.0,47891110.8,418830,TQBR
RENI,2021-11-02 00:00:00,113.98,117.48,112.05,112.5,98432967.6,861540,TQBR
RENI,2021-11-03 00:00:00,112.9,115.0,111.5,113.0,39313374.1,349540,TQBR
RENI,2021-11-05 00:00:00,113.68,116.88,111.6,115.0,100554683.4,882120,TQBR
RENI,2021-11-08 00:00:00,118.78,118.78,113.1,113.15,72043403.4,631830,TQBR
RENI,2021-11-09 00:00:00,113.04,115.0,111.8,112.0,98064253.9,869720,TQBR
RENI,2021-11-10 00:00:00,112.97,113.44,109.01,113.0,132742610.5,1199120,TQBR
RENI,2021-11-11 00:00:00,113.0,115.0,111.54,115.0,60133705.6,529340,TQBR
RENI,2021-11-12 00:00:00,114.61,115.99,110.55,115.0,103266115.4,912870,TQBR
RENI,2021-11-15 00:00:00,115.0,116.0,112.33,116.0,110791889.9,963950,TQBR
RENI,2021-11-16 00:00:00,116.0,116.65,113.65,116.0,101015435.7,876910,TQBR
RENI,2021-11-17 00:00:00,114.02,116.0,113.43,116.0,144277157.2,1259900,TQBR
RENI,2021-11-18 00:00:00,116.2,116.2,113.8,114.17,78119052.2,680600,TQBR
RENI,2021-11-19 00:00:00,114.42,119.0,113.4,119.0,521152498.9,4463790,TQBR
RENI,2021-11-22 00:00:00,119.4,120.64,112.07,113.51,62208454.5,545560,TQBR
RENI,2021-11-23 00:00:00,113.6,114.74,111.69,114.32,68534958.3,606550,TQBR
RENI,2021-11-24 00:00:00,114.32,116.82,111.5,111.5,24803290.2,217340,TQBR
RENI,2021-11-25 00:00:00,113.22,114.43,111.5,113.35,38624654.3,341140,TQBR
RENI,2021-11-26 00:00:00,112.75,115.76,101.7,106.2,126213006.3,1167950,TQBR
RENI,2021-11-29 00:00:00,107.01,111.99,106.02,109.96,62585384.7,571080,TQBR
RENI,2021-11-30 00:00:00,109.85,115.0,106.01,112.12,150048363.3,1333160,TQBR
RENI,2021-12-01 00:00:00,114.34,116.55,112.03,113.0,63832452.3,555590,TQBR
RENI,2021-12-02 00:00:00,114.56,115.4,112.02,112.02,25357293.0,222660,TQBR
RENI,2021-12-03 00:00:00,112.52,118.94,112.52,113.11,38768348.3,336700,TQBR
RENI,2021-12-06 00:00:00,114.2,115.55,111.12,112.01,20625298.8,181560,TQBR
RENI,2021-12-07 00:00:00,112.48,114.88,111.0,114.2,21419814.0,190010,TQBR
RENI,2021-12-08 00:00:00,113.8,113.97,110.5,110.5,11275746.7,100580,TQBR
RENI,2021-12-09 00:00:00,111.11,112.4,110.04,111.3,21723150.5,196150,TQBR
RENI,2021-12-10 00:00:00,112.0,112.0,110.11,112.0,15742515.2,141920,TQBR
RENI,2021-12-13 00:00:00,111.96,111.96,106.21,107.01,15909810.0,144020,TQBR
RENI,2021-12-14 00:00:00,104.86,110.4,102.0,109.59,58370461.5,549390,TQBR
RENI,2021-12-15 00:00:00,109.6,111.0,106.0,106.1,21153563.7,195930,TQBR
RENI,2021-12-16 00:00:00,108.3,108.3,105.31,105.8,32843526.3,307980,TQBR
RENI,2021-12-17 00:00:00,104.66,108.04,103.8,103.86,36976390.2,352960,TQBR
RENI,2021-12-20 00:00:00,102.6,106.75,100.04,101.97,28406923.7,274940,TQBR
RENI,2021-12-21 00:00:00,102.78,103.44,98.62,101.47,34772000.2,343060,TQBR
RENI,2021-12-22 00:00:00,100.98,106.07,98.8,101.9,39521329.0,390350,TQBR
RENI,2021-12-23 00:00:00,101.45,102.91,95.8,98.03,22132423.9,225550,TQBR
RENI,2021-12-24 00:00:00,99.91,99.91,96.9,98.0,45556606.5,468210,TQBR
RENI,2021-12-27 00:00:00,97.99,100.0,96.22,98.26,43198014.6,439790,TQBR
RENI,2021-12-28 00:00:00,96.95,98.49,96.25,96.25,42554786.9,439660,TQBR
RENI,2021-12-29 00:00:00,95.39,98.2,95.05,96.92,17141500.7,176670,TQBR
RENI,2021-12-30 00:00:00,96.65,101.01,96.15,101.0,49294907.6,504030,TQBR
RENI,2022-01-03 00:00:00,102.19,102.21,98.81,98.81,8606062.9,85630,TQBR
RENI,2022-01-04 00:00:00,98.92,100.51,97.6,98.0,10988537.9,111810,TQBR
RENI,2022-01-05 00:00:00,96.9,99.5,96.9,96.95,6549958.3,67350,TQBR
RENI,2022-01-06 00:00:00,94.21,97.22,94.03,94.03,10495342.0,110710,TQBR
RENI,2022-01-10 00:00:00,93.6,95.39,92.54,93.01,13609952.7,145370,TQBR
RENI,2022-01-11 00:00:00,93.43,94.21,90.18,94.0,15687815.2,169620,TQBR
RENI,2022-01-12 00:00:00,93.5,95.49,93.0,93.0,52887032.2,559870,TQBR
RENI,2022-01-13 00:00:00,92.68,94.8,90.54,91.2,15707553.9,168760,TQBR
RENI,2022-01-14 00:00:00,91.27,94.5,87.0,89.22,21028102.9,232580,TQBR
RENI,2022-01-17 00:00:00,93.0,94.0,81.9,82.75,84138900.7,981500,TQBR
RENI,2022-01-18 00:00:00,81.55,83.4,72.08,76.0,63574431.5,815710,TQBR
RENI,2022-01-19 00:00:00,75.99,78.45,71.2,73.53,71708183.5,966130,TQBR
RENI,2022-01-20 00:00:00,75.11,75.87,73.52,75.02,75280457.8,1006790,TQBR
RENI,2022-01-21 00:00:00,72.06,74.98,70.5,70.5,45937536.2,641560,TQBR
RENI,2022-01-24 00:00:00,70.5,74.48,62.34,66.03,39479812.9,589410,TQBR
RENI,2022-01-25 00:00:00,66.06,69.4,62.93,65.38,22482518.4,334330,TQBR
RENI,2022-01-26 00:00:00,66.08,71.0,63.4,65.23,45167061.1,680790,TQBR
RENI,2022-01-27 00:00:00,66.52,67.95,63.55,67.95,22337616.1,339470,TQBR
RENI,2022-01-28 00:00:00,68.86,68.86,64.05,66.0,16046099.3,241130,TQBR
RENI,2022-01-31 00:00:00,68.01,73.2,68.0,69.5,42067458.0,594000,TQBR
RENI,2022-02-01 00:00:00,71.12,73.8,67.0,67.56,32361947.6,462060,TQBR
RENI,2022-02-02 00:00:00,68.2,70.96,67.11,67.68,39276375.7,574810,TQBR
RENI,2022-02-03 00:00:00,69.0,69.68,67.0,67.44,11269047.3,166780,TQBR
RENI,2022-02-04 00:00:00,67.65,68.5,66.58,67.23,13036443.9,191870,TQBR
RENI,2022-02-07 00:00:00,68.18,69.95,66.85,68.34,4390799.2,64550,TQBR
RENI,2022-02-08 00:00:00,68.65,69.41,67.0,67.62,20556195.0,302140,TQBR
RENI,2022-02-09 00:00:00,67.92,70.62,67.1,70.62,37672976.7,552930,TQBR
RENI,2022-02-10 00:00:00,70.62,71.0,67.18,68.0,17490838.3,257220,TQBR
RENI,2022-02-11 00:00:00,68.0,68.0,65.66,65.91,10566125.8,159120,TQBR
RENI,2022-02-14 00:00:00,66.0,66.91,63.04,64.0,17957434.1,277910,TQBR
RENI,2022-02-15 00:00:00,64.64,64.75,61.43,62.55,74013965.4,1183030,TQBR
RENI,2022-02-16 00:00:00,62.99,64.55,61.95,62.2,12416290.2,196770,TQBR
RENI,2022-02-17 00:00:00,62.7,63.15,59.13,60.19,23361592.9,385420,TQBR
RENI,2022-02-18 00:00:00,60.5,62.2,58.12,60.0,11349457.1,186150,TQBR
RENI,2022-02-21 00:00:00,60.06,62.87,49.07,50.0,35766735.7,628190,TQBR
RENI,2022-02-22 00:00:00,50.0,52.0,40.1,50.01,28627537.6,586330,TQBR
RENI,2022-02-24 00:00:00,45.51,45.51,25.0,42.03,19434906.1,552140,TQBR
RENI,2022-02-25 00:00:00,40.0,49.94,35.99,43.81,4190353.4,95060,TQBR
RENI,2022-03-28 00:00:00,43.0,43.0,34.0,36.74,7693058.3,201770,TQBR
RENI,2022-03-29 00:00:00,36.74,43.8,36.0,37.31,8777969.8,230520,TQBR
RENI,2022-03-30 00:00:00,37.32,48.0,37.32,43.13,8661816.2,198180,TQBR
RENI,2022-03-31 00:00:00,46.04,65.9,46.04,54.37,112505266.1,1997070,TQBR
RENI,2022-04-01 00:00:00,57.0,57.48,49.0,52.36,24168047.1,450470,TQBR
RENI,2022-04-04 00:00:00,47.12,55.6,47.1,50.74,14333753.9,280920,TQBR
RENI,2022-04-05 00:00:00,50.33,52.0,48.0,48.98,6470171.5,129050,TQBR
RENI,2022-04-06 00:00:00,48.83,48.97,44.08,46.62,3630105.9,76670,TQBR
RENI,2022-04-07 00:00:00,46.6,47.01,44.83,45.72,4977645.4,108630,TQBR
RENI,2022-04-08 00:00:00,47.0,47.2,43.13,45.23,5873075.0,128730,TQBR
RENI,2022-04-11 00:00:00,45.24,53.0,44.26,45.2,15244585.0,319110,TQBR
RENI,2022-04-12 00:00:00,47.19,47.19,42.02,44.71,3243365.4,74100,TQBR
RENI,2022-04-13 00:00:00,45.0,47.26,42.21,44.01,8963687.3,200960,TQBR
RENI,2022-04-14 00:00:00,46.0,46.0,43.01,43.07,4045396.1,91000,TQBR
RENI,2022-04-15 00:00:00,43.07,43.87,41.69,42.46,4044423.3,94680,TQBR
RENI,2022-04-18 00:00:00,42.9,42.9,41.04,41.06,3250127.6,78270,TQBR
RENI,2022-04-19 00:00:00,41.5,42.18,40.09,40.77,2493781.3,60950,TQBR
RENI,2022-04-20 00:00:00,41.12,42.98,40.09,41.0,2112321.9,51140,TQBR
RENI,2022-04-21 00:00:00,41.5,46.0,40.5,40.51,9861408.100000007,232570,TQBR
RENI,2022-04-22 00:00:00,40.51,42.57,40.0,40.33,2722869.3,66940,TQBR
RENI,2022-04-25 00:00:00,40.13,41.51,39.5,39.6,3610111.8,90090,TQBR
RENI,2022-04-26 00:00:00,39.52,41.78,39.0,40.26,5119347.5,127530,TQBR
RENI,2022-04-27 00:00:00,40.99,41.8,40.1,40.99,3225368.2,79060,TQBR
RENI,2022-04-28 00:00:00,40.5,45.74,40.5,41.0,8872402.0,205610,TQBR
RENI,2022-04-29 00:00:00,40.95,41.92,40.62,41.48,1156428.4,27990,TQBR
RENI,2022-05-04 00:00:00,42.78,42.78,39.8,39.82,3729621.7,92230,TQBR
RENI,2022-05-05 00:00:00,39.6,40.48,39.5,40.39,2819688.3,70270,TQBR
RENI,2022-05-06 00:00:00,40.68,42.25,39.66,40.34,10667391.3,262800,TQBR
RENI,2022-05-11 00:00:00,40.09,41.58,39.66,40.03,2556901.7,63260,TQBR
RENI,2022-05-12 00:00:00,40.02,40.3,38.4,39.18,2159599.5,55110,TQBR
RENI,2022-05-13 00:00:00,38.71,41.68,37.01,41.18,7275364.1,184240,TQBR
RENI,2022-05-16 00:00:00,41.18,41.77,40.11,40.66,6413296.4,157280,TQBR
