ticker,tradedate,open,high,low,close,value,volume,boardid
ROSN,2014-06-09,238.08,241.79,237.02,240.36,1527091805.5,6373420,TQBR
ROSN,2014-06-10,246.48,246.48,239.65,242.8,1218261292.1,5042580,TQBR
ROSN,2014-06-11,242.41,249.66,242.12,249.66,3186089308.7,12959310,TQBR
ROSN,2014-06-16,249.01,254.87,245.67,253.3,4816128648.3,19174760,TQBR
ROSN,2014-06-17,253.25,257.3,250.1,251.59,1894839765.8,7504200,TQBR
ROSN,2014-06-18,251.52,252.58,249.23,250.87,1981627195.7,7890720,TQBR
ROSN,2014-06-19,253.0,254.23,249.24,249.89,2252794986.9,8963490,TQBR
ROSN,2014-06-20,250.65,251.84,248.07,250.11,1737154909.4,6944910,TQBR
ROSN,2014-06-23,250.28,253.3,250.0,252.3,1241818037.0,4943100,TQBR
ROSN,2014-06-24,253.05,258.3,252.7,257.81,1760223249.2,6899670,TQBR
ROSN,2014-06-25,256.36,257.69,248.74,250.0,1704498342.3,6756610,TQBR
ROSN,2014-06-26,251.25,252.44,248.5,249.24,1160369058.2,4648100,TQBR
ROSN,2014-06-27,249.9,251.24,247.11,249.49,1187030794.5,4764260,TQBR
ROSN,2014-06-30,249.67,250.11,246.35,249.3,938639221.5,3782240,TQBR
ROSN,2014-07-01,248.95,250.35,247.17,250.16,599576905.2,2410840,TQBR
ROSN,2014-07-02,250.52,255.29,249.72,255.19,1527793285.7,6029760,TQBR
ROSN,2014-07-03,255.1,258.55,255.1,257.7,1294388349.6,5029670,TQBR
ROSN,2014-07-04,256.85,259.0,253.9,253.9,1397605050.8,5432990,TQBR
ROSN,2014-07-07,244.0,248.99,241.12,248.99,1541986718.8,6265420,TQBR
ROSN,2014-07-08,248.9,254.5,248.64,249.99,1764645429.1,7000330,TQBR
ROSN,2014-07-09,249.0,249.9,245.32,247.95,1109364353.1,4485820,TQBR
ROSN,2014-07-10,248.1,249.72,242.2,244.95,1857826822.0,7532330,TQBR
ROSN,2014-07-11,245.9,246.65,242.61,246.01,1004927065.3,4108780,TQBR
ROSN,2014-07-14,246.48,247.88,241.57,242.0,809120218.5,3311240,TQBR
ROSN,2014-07-15,242.58,244.44,240.5,241.92,1298680043.4,5356490,TQBR
ROSN,2014-07-16,241.9,245.3,240.73,244.18,995579072.6,4088830,TQBR
ROSN,2014-07-17,237.0,237.0,229.02,233.7,2495410144.9,10709070,TQBR
ROSN,2014-07-18,229.02,232.18,229.02,231.75,1815764154.5,7864560,TQBR
ROSN,2014-07-21,220.83,231.48,220.83,225.91,1249456508.4,5478310,TQBR
ROSN,2014-07-22,227.76,229.5,226.23,226.76,1675418130.4,7344200,TQBR
ROSN,2014-07-23,229.52,229.52,220.11,221.8,1398268651.1,6242370,TQBR
ROSN,2014-07-24,222.0,222.45,220.21,222.45,1261622953.6,5698180,TQBR
ROSN,2014-07-25,222.38,223.99,219.65,220.84,1813901490.5,8196760,TQBR
ROSN,2014-07-28,220.61,220.97,214.39,218.21,1915989078.9,8812750,TQBR
ROSN,2014-07-29,218.7,221.44,217.06,220.3,1497060665.6,6805200,TQBR
ROSN,2014-07-30,218.95,226.87,217.01,224.0,2109895425.8,9399760,TQBR
ROSN,2014-07-31,224.99,226.72,222.12,223.0,1264003550.8,5640440,TQBR
ROSN,2014-08-01,222.09,224.0,219.42,221.79,1275230536.4,5781690,TQBR
ROSN,2014-08-04,221.33,223.38,219.0,219.9,861924552.7,3908940,TQBR
ROSN,2014-08-05,221.01,221.78,219.08,220.0,792490929.6,3604190,TQBR
ROSN,2014-08-06,219.9,223.76,218.55,219.55,1258899024.2,5711540,TQBR
