ticker,tradedate,open,high,low,close,value,volume,boardid
RTKM,2003-10-01 00:00:00,52.35,53.73,52.23,53.5,298529480.59,5607201,TQBR
RTKM,2003-10-02 00:00:00,53.71,54.22,53.53,54.19,398266327.36,7390439,TQBR
RTKM,2003-10-03 00:00:00,54.24,54.49,52.98,53.14,397714343.07,7372483,TQBR
RTKM,2003-10-06 00:00:00,53.31,53.56,52.41,53.23,238401215.7,4500522,TQBR
RTKM,2003-10-07 00:00:00,53.3,53.9,52.8,53.14,276377399.1,5176370,TQBR
RTKM,2003-10-08 00:00:00,53.42,55.41,51.59,55.35,1089467533.71,20310431,TQBR
RTKM,2003-10-09 00:00:00,55.55,57.64,55.23,56.48,1485834851.93,26297553,TQBR
RTKM,2003-10-10 00:00:00,56.35,56.65,55.55,55.91,451603196.42,8050452,TQBR
RTKM,2003-10-13 00:00:00,56.0,57.27,56.0,57.05,469916986.93,8273399,TQBR
RTKM,2003-10-14 00:00:00,57.2,59.18,57.01,58.05,1404066719.75,24112439,TQBR
RTKM,2003-10-15 00:00:00,58.13,58.88,57.47,58.6,814775789.4,14012359,TQBR
RTKM,2003-10-16 00:00:00,58.62,61.3,58.62,61.29,1311961379.84,21831995,TQBR
RTKM,2003-10-17 00:00:00,61.5,64.74,61.5,64.6,1784579900.76,28181104,TQBR
RTKM,2003-10-20 00:00:00,64.49,67.59,64.0,64.55,1483266041.73,22439645,TQBR
RTKM,2003-10-21 00:00:00,64.7,65.5,59.6,60.98,1320823997.36,21162407,TQBR
RTKM,2003-10-22 00:00:00,60.1,61.2,58.58,58.92,929168675.89,15557259,TQBR
RTKM,2003-10-23 00:00:00,58.6,60.75,58.3,60.16,693972931.37,11611783,TQBR
RTKM,2003-10-24 00:00:00,60.2,61.79,60.2,61.75,628400389.94,10274845,TQBR
RTKM,2003-10-27 00:00:00,56.5,57.0,51.41,55.1,1645518737.38,30754252,TQBR
RTKM,2003-10-28 00:00:00,56.0,57.38,55.11,56.3,1277285395.27,22599555,TQBR
RTKM,2003-10-29 00:00:00,56.45,56.97,54.0,55.75,939342060.32,16967597,TQBR
RTKM,2003-10-30 00:00:00,55.69,55.8,50.21,50.51,845661374.25,15769891,TQBR
RTKM,2003-10-31 00:00:00,52.23,54.7,52.23,54.44,683521327.8,12787258,TQBR
RTKM,2003-11-03 00:00:00,55.6,60.4,55.6,60.2,685889093.38,11977603,TQBR
RTKM,2003-11-04 00:00:00,60.5,60.83,58.7,59.4,676751443.92,11348278,TQBR
RTKM,2003-11-05 00:00:00,59.5,59.8,58.06,58.6,453950467.53,7707057,TQBR
RTKM,2003-11-06 00:00:00,58.81,59.4,57.81,58.9,437772037.61,7485951,TQBR
RTKM,2003-11-10 00:00:00,59.33,60.66,58.91,60.63,585529422.35,9804973,TQBR
RTKM,2003-11-11 00:00:00,60.5,60.62,58.41,59.19,568985723.4,9581300,TQBR
RTKM,2003-11-12 00:00:00,59.0,59.3,55.3,56.55,723921504.91,12768987,TQBR
RTKM,2003-11-13 00:00:00,57.55,58.4,56.71,57.2,463442934.38,8049072,TQBR
RTKM,2003-11-14 00:00:00,57.2,57.47,56.7,56.9,212192750.6,3718542,TQBR
RTKM,2003-11-17 00:00:00,56.7,56.7,54.72,54.75,321789696.86,5803176,TQBR
RTKM,2003-11-18 00:00:00,54.7,55.25,52.51,52.71,435297478.2,8106295,TQBR
RTKM,2003-11-19 00:00:00,52.7,53.4,51.21,52.34,612748684.69,11712198,TQBR
RTKM,2003-11-20 00:00:00,53.28,54.79,52.6,54.77,564924550.79,10510094,TQBR
RTKM,2003-11-21 00:00:00,54.76,55.33,54.3,54.62,511976521.62,9319230,TQBR
RTKM,2003-11-24 00:00:00,55.05,55.73,54.28,55.32,377983461.38,6857132,TQBR
RTKM,2003-11-25 00:00:00,55.58,56.69,54.75,56.2,287934631.19,5180675,TQBR
RTKM,2003-11-26 00:00:00,56.3,58.0,55.8,57.32,676057156.96,11867420,TQBR
RTKM,2003-11-27 00:00:00,57.5,57.89,56.65,57.71,238065954.02,4158376,TQBR
RTKM,2003-11-28 00:00:00,57.75,58.37,55.3,56.78,562971514.96,9868430,TQBR
RTKM,2003-12-01 00:00:00,57.38,57.38,55.74,57.15,219443294.82,3874283,TQBR
RTKM,2003-12-02 00:00:00,57.5,59.72,57.4,59.59,745157052.38,12662217,TQBR
RTKM,2003-12-03 00:00:00,59.72,60.69,59.05,60.0,569573832.84,9481477,TQBR
RTKM,2003-12-04 00:00:00,59.99,60.45,58.85,59.06,296538473.01,4976379,TQBR
RTKM,2003-12-05 00:00:00,58.7,59.17,57.99,58.35,376258858.52,6427647,TQBR
RTKM,2003-12-08 00:00:00,58.0,59.5,57.0,59.0,376837819.98,6391302,TQBR
RTKM,2003-12-09 00:00:00,59.11,60.15,58.0,59.4,650926545.64,10951705,TQBR
RTKM,2003-12-10 00:00:00,59.4,61.59,59.01,60.79,965569394.32,15889579,TQBR
RTKM,2003-12-11 00:00:00,60.8,61.95,59.9,61.3,672916098.01,10995455,TQBR
RTKM,2003-12-15 00:00:00,61.9,63.1,61.51,62.72,532679489.84,8520262,TQBR
RTKM,2003-12-16 00:00:00,62.2,62.9,60.81,60.97,450805866.78,7270465,TQBR
RTKM,2003-12-17 00:00:00,60.5,61.07,60.02,60.71,335565100.54,5535297,TQBR
RTKM,2003-12-18 00:00:00,60.92,62.2,60.61,62.2,506225760.98,8214519,TQBR
RTKM,2003-12-19 00:00:00,62.5,63.2,61.89,62.0,569133331.42,9092654,TQBR
RTKM,2003-12-22 00:00:00,62.0,62.24,61.5,61.85,301072091.51,4857109,TQBR
RTKM,2003-12-23 00:00:00,61.8,62.15,60.35,60.5,576627926.81,9428987,TQBR
RTKM,2003-12-24 00:00:00,60.49,60.95,59.65,59.99,353731336.57,5878061,TQBR
RTKM,2003-12-25 00:00:00,60.0,60.08,59.21,59.8,205953575.57,3454002,TQBR
