ticker,tradedate,open,high,low,close,value,volume,boardid
SBERP,2007-07-20,77.4,78.3,75.52,77.24,611045859.1,7929611,TQBR
SBERP,2007-07-23,76.5,79.0,76.21,78.59,907918466.72,11669074,TQBR
SBERP,2007-07-24,78.65,81.46,77.9,77.91,2335162390.12,29291673,TQBR
SBERP,2007-07-25,77.1,80.21,77.02,79.9,1326198318.44,16831671,TQBR
SBERP,2007-07-26,80.0,80.49,75.5,75.71,1143647656.93,14628604,TQBR
SBERP,2007-07-27,74.28,75.98,73.4,75.39,1063634477.2,14255587,TQBR
SBERP,2007-07-30,75.34,76.76,74.53,75.23,562343128.81,7426850,TQBR
SBERP,2007-07-31,76.03,78.3,76.0,78.2,995424065.21,12887467,TQBR
SBERP,2007-08-01,76.0,76.5,74.53,75.6,1340066381.96,17796405,TQBR
SBERP,2007-08-02,76.41,76.99,75.43,76.1,582553152.92,7657755,TQBR
SBERP,2007-08-03,76.4,76.65,75.68,75.74,369232020.83,4859518,TQBR
SBERP,2007-08-06,74.5,74.73,73.6,73.87,461538434.01,6229656,TQBR
SBERP,2007-08-07,74.8,75.6,74.44,75.01,425991551.62,5675668,TQBR
SBERP,2007-08-08,75.7,76.6,75.49,76.49,432763934.9,5674174,TQBR
SBERP,2007-08-09,77.0,77.2,73.4,73.88,811654756.5,10802082,TQBR
SBERP,2007-08-10,72.0,72.5,70.18,71.17,913081431.81,12781838,TQBR
SBERP,2007-08-13,72.0,72.65,71.35,72.45,416558033.49,5771139,TQBR
SBERP,2007-08-14,72.04,72.3,71.37,71.86,272183773.42,3789732,TQBR
SBERP,2007-08-15,70.51,70.78,69.39,69.4,485702025.48,6942163,TQBR
SBERP,2007-08-16,67.95,68.29,65.98,67.27,777673365.0,11611287,TQBR
SBERP,2007-08-17,66.65,70.85,64.96,69.84,1388971301.38,20544018,TQBR
SBERP,2007-08-20,70.98,71.0,68.56,68.96,805843004.75,11505064,TQBR
SBERP,2007-08-21,68.91,69.79,66.0,67.35,749822883.29,11119565,TQBR
SBERP,2007-08-22,67.43,68.6,66.65,68.57,525914431.64,7740283,TQBR
SBERP,2007-08-23,69.27,70.14,68.41,69.03,721454016.27,10385912,TQBR
SBERP,2007-08-24,68.51,69.35,67.7,69.01,558670395.28,8130159,TQBR
