ticker,tradedate,open,high,low,close,value,volume,boardid
SLEN,2017-02-06,50.0,50.0,50.0,50.0,15000.0,300,TQBR
SLEN,2017-02-07,30.0,30.0,17.991,17.991,1949257.6,106100,TQBR
SLEN,2017-02-08,10.805,14.0,10.789,10.789,621915.8,57500,TQBR
SLEN,2017-02-09,9.71,10.45,6.51,7.95,2024500.6,240500,TQBR
SLEN,2017-02-10,7.31,8.0,7.027,7.579,552492.8,74800,TQBR
SLEN,2017-02-13,7.742,7.742,6.8,6.85,623431.7,89500,TQBR
SLEN,2017-02-14,6.55,6.935,6.179,6.25,518199.1,81800,TQBR
SLEN,2017-02-15,6.47,6.47,6.15,6.313,474538.5,75000,TQBR
SLEN,2017-02-16,6.369,6.585,6.002,6.3,1062574.2,167700,TQBR
SLEN,2017-02-17,6.4,6.89,6.111,6.151,315183.7,49700,TQBR
SLEN,2017-02-20,6.153,6.245,5.873,6.041,121287.8,20200,TQBR
SLEN,2017-02-21,5.947,6.06,5.872,5.959,70246.6,11900,TQBR
SLEN,2017-02-22,5.937,5.959,5.551,5.678,26430.8,4600,TQBR
SLEN,2017-02-24,5.86,5.898,5.523,5.889,13430.5,2300,TQBR
SLEN,2017-02-27,5.898,5.9,5.83,5.896,7063.1,1200,TQBR
SLEN,2017-02-28,5.5,6.0,5.151,5.693,34727.6,6100,TQBR
SLEN,2017-03-01,5.507,5.697,5.307,5.695,51741.4,9100,TQBR
SLEN,2017-03-02,5.698,5.709,5.69,5.709,72389.4,12700,TQBR
SLEN,2017-03-03,5.697,6.9,5.697,5.815,601772.7,102000,TQBR
SLEN,2017-03-06,5.799,5.839,5.799,5.807,58668.8,10100,TQBR
SLEN,2017-03-07,5.799,5.799,5.337,5.798,64525.3,11400,TQBR
SLEN,2017-03-09,5.798,5.799,5.274,5.686,56803.1,10600,TQBR
SLEN,2017-03-10,5.687,5.687,5.687,5.687,1137.4,200,TQBR
SLEN,2017-03-13,5.77,5.77,5.76,5.76,5187.7,900,TQBR
SLEN,2017-03-14,5.7,5.749,5.7,5.748,12048.0,2100,TQBR
SLEN,2017-03-16,5.798,5.798,5.316,5.633,16579.2,3000,TQBR
SLEN,2017-03-17,5.539,5.539,5.424,5.499,46222.9,8400,TQBR
SLEN,2017-03-21,5.729,5.747,5.479,5.73,16553.6,3000,TQBR
SLEN,2017-03-22,5.498,5.628,5.39,5.628,15803.0,2900,TQBR
SLEN,2017-03-23,5.501,5.501,5.4,5.4,5461.9,1000,TQBR
SLEN,2017-03-24,5.459,5.459,5.36,5.458,10847.0,2000,TQBR
SLEN,2017-03-27,5.371,5.371,4.921,4.921,82902.9,16400,TQBR
SLEN,2017-03-28,5.02,5.02,4.53,4.63,76106.6,16100,TQBR
SLEN,2017-03-29,4.69,4.74,4.69,4.74,943.0,200,TQBR
SLEN,2017-03-30,4.79,6.632,4.74,6.632,2228695.6,363800,TQBR
SLEN,2017-03-31,6.925,7.948,6.3,7.94,6806568.7,930200,TQBR
SLEN,2017-04-03,7.2,7.55,6.152,7.499,3185601.6,455600,TQBR
SLEN,2017-04-04,7.799,7.8,6.5,6.65,733617.8,107900,TQBR
