ticker,tradedate,open,high,low,close,value,volume,boardid
T,2019-10-28 00:00:00,1186.0,1212.0,1186.0,1206.0,245462320.4,204766,TQBR
T,2019-10-29 00:00:00,1202.0,1226.0,1200.2,1219.8,82888163.2,68382,TQBR
T,2019-10-30 00:00:00,1225.0,1227.0,1212.8,1217.0,44656578.0,36691,TQBR
T,2019-10-31 00:00:00,1221.4,1223.8,1210.2,1216.0,23469279.2,19326,TQBR
T,2019-11-01 00:00:00,1218.4,1219.0,1212.6,1214.0,20215418.4,16625,TQBR
T,2019-11-05 00:00:00,1217.8,1220.0,1197.4,1198.0,73869925.4,61347,TQBR
T,2019-11-06 00:00:00,1209.8,1214.0,1190.0,1208.6,26181538.0,21717,TQBR
T,2019-11-07 00:00:00,1220.0,1225.8,1201.2,1225.8,46531750.0,38222,TQBR
T,2019-11-08 00:00:00,1226.2,1251.2,1216.0,1222.8,24803493.0,20250,TQBR
T,2019-11-11 00:00:00,1229.8,1230.0,1216.2,1222.0,8679139.2,7094,TQBR
T,2019-11-12 00:00:00,1228.0,1242.0,1223.4,1235.6,33690928.2,27393,TQBR
T,2019-11-13 00:00:00,1248.6,1248.6,1231.6,1239.4,41660630.2,33644,TQBR
T,2019-11-14 00:00:00,1248.6,1276.4,1235.2,1261.2,106614107.0,84600,TQBR
T,2019-11-15 00:00:00,1276.0,1312.4,1249.2,1250.0,42369663.2,33713,TQBR
T,2019-11-18 00:00:00,1274.8,1275.8,1250.2,1255.0,55223550.4,43925,TQBR
T,2019-11-19 00:00:00,1274.0,1274.0,1235.6,1241.0,160804778.4,128523,TQBR
T,2019-11-20 00:00:00,1250.0,1252.0,1215.0,1215.8,154871162.0,126020,TQBR
T,2019-11-21 00:00:00,1219.8,1221.4,1206.0,1210.8,77120138.4,63452,TQBR
T,2019-11-22 00:00:00,1219.4,1219.6,1196.4,1202.0,96602649.2,80217,TQBR
T,2019-11-25 00:00:00,1209.2,1220.2,1200.8,1206.0,62798726.0,52066,TQBR
T,2019-11-26 00:00:00,1207.2,1212.0,1197.0,1199.4,154526592.0,128226,TQBR
T,2019-11-27 00:00:00,1208.0,1208.2,1199.8,1203.0,85051236.6,70640,TQBR
T,2019-11-28 00:00:00,1207.6,1207.6,1191.0,1194.2,140420088.4,117215,TQBR
T,2019-11-29 00:00:00,1204.6,1205.0,1174.6,1185.8,104009952.6,87847,TQBR
T,2019-12-02 00:00:00,1177.0,1199.6,1174.8,1176.4,73634677.0,62359,TQBR
T,2019-12-03 00:00:00,1161.0,1179.8,1130.0,1133.0,146725827.4,127204,TQBR
T,2019-12-04 00:00:00,1135.0,1140.0,1126.6,1140.0,38587988.4,34008,TQBR
T,2019-12-05 00:00:00,1144.6,1174.2,1137.2,1167.8,83154006.4,72013,TQBR
