ticker,tradedate,open,high,low,close,value,volume,boardid
TORSP,2014-06-10,0.2598,0.26,0.255,0.255,624571,2420000,TQBR
TORSP,2014-06-11,0.2501,0.262,0.25,0.257,986945,3840000,TQBR
TORSP,2014-06-16,0.2582,0.26,0.2522,0.26,155281,600000,TQBR
TORSP,2014-06-17,0.2648,0.2648,0.26,0.26,31248,120000,TQBR
TORSP,2014-06-18,0.2598,0.2598,0.2598,0.2598,5196,20000,TQBR
TORSP,2014-06-19,0.2523,0.2599,0.2523,0.2599,5122,20000,TQBR
TORSP,2014-06-20,0.2555,0.27,0.2555,0.26,913696,3540000,TQBR
TORSP,2014-06-23,0.2602,0.2602,0.2599,0.26,299008,1150000,TQBR
TORSP,2014-06-25,0.2699,0.277,0.2699,0.275,108978,400000,TQBR
TORSP,2014-06-26,0.2603,0.2603,0.2599,0.26,416004,1600000,TQBR
TORSP,2014-06-30,0.265,0.265,0.2563,0.2563,20775,80000,TQBR
TORSP,2014-07-01,0.2564,0.2599,0.255,0.2596,74357,290000,TQBR
TORSP,2014-07-02,0.2501,0.2588,0.2499,0.25,770682,3080000,TQBR
TORSP,2014-07-03,0.2551,0.2551,0.2357,0.244,191502,780000,TQBR
TORSP,2014-07-04,0.2352,0.2401,0.228,0.2321,1696288,7250000,TQBR
TORSP,2014-07-07,0.2397,0.2397,0.2397,0.2397,2397,10000,TQBR
TORSP,2014-07-08,0.2397,0.2397,0.2397,0.2397,4794,20000,TQBR
TORSP,2014-07-11,0.2365,0.2388,0.2317,0.2388,37506,160000,TQBR
TORSP,2014-07-14,0.2345,0.2345,0.2345,0.2345,23450,100000,TQBR
TORSP,2014-07-15,0.2355,0.2355,0.235,0.235,49355,210000,TQBR
TORSP,2014-07-16,0.2636,0.2638,0.2636,0.2638,10548,40000,TQBR
TORSP,2014-07-17,0.2596,0.2596,0.25,0.25,1032596,4130000,TQBR
TORSP,2014-07-18,0.2495,0.2495,0.242,0.242,101820,420000,TQBR
TORSP,2014-07-22,0.248,0.25,0.247,0.248,19880,80000,TQBR
TORSP,2014-07-23,0.2488,0.2488,0.2488,0.2488,4976,20000,TQBR
TORSP,2014-07-28,0.25,0.25,0.25,0.25,22500,90000,TQBR
