ticker,tradedate,open,high,low,close,value,volume,boardid
YKEN,2005-01-11,0.965,1.006,0.96,0.988,2281082.7,2317300,TQBR
YKEN,2005-01-12,0.981,1.005,0.976,0.982,1669244.0,1690900,TQBR
YKEN,2005-01-13,0.994,0.996,0.972,0.98,1281173.8,1302200,TQBR
YKEN,2005-01-14,0.99,0.99,0.972,0.984,324425.0,331200,TQBR
YKEN,2005-01-17,0.976,0.996,0.961,0.961,1543523.3,1571300,TQBR
YKEN,2005-01-18,0.968,0.98,0.937,0.965,3228000.1,3338200,TQBR
YKEN,2005-01-19,0.961,0.969,0.94,0.955,3021822.2,3157400,TQBR
YKEN,2005-01-20,0.96,0.963,0.95,0.951,1182495.9,1236300,TQBR
YKEN,2005-01-21,0.959,0.966,0.953,0.959,502534.0,523200,TQBR
YKEN,2005-01-24,0.962,0.975,0.954,0.97,1549559.5,1610200,TQBR
YKEN,2005-01-25,0.978,0.987,0.966,0.981,3190099.9,3277600,TQBR
YKEN,2005-01-26,0.983,0.983,0.959,0.969,1286907.7,1327900,TQBR
YKEN,2005-01-27,0.974,0.977,0.959,0.976,1392179.1,1435500,TQBR
YKEN,2005-01-28,0.99,0.994,0.965,0.988,3665021.7,3732900,TQBR
YKEN,2005-01-31,1.0,1.015,0.98,0.992,5586621.0,5578200,TQBR
YKEN,2005-02-01,0.99,1.01,0.99,1.0,2214551.8,2213792,TQBR
YKEN,2005-02-02,1.0,1.015,0.998,1.008,5518405.1,5482700,TQBR
YKEN,2005-02-03,1.018,1.044,1.0,1.037,8520143.6,8318700,TQBR
YKEN,2005-02-04,1.045,1.045,1.018,1.033,9164243.6,8880000,TQBR
YKEN,2005-02-07,1.033,1.039,1.005,1.013,7290195.7,7122300,TQBR
YKEN,2005-02-08,1.003,1.01,0.995,1.008,3113476.6,3101200,TQBR
YKEN,2005-02-09,1.014,1.022,1.0,1.007,1828058.0,1809800,TQBR
YKEN,2005-02-10,1.006,1.018,0.983,1.017,4210151.1,4216500,TQBR
YKEN,2005-02-11,1.007,1.025,0.996,1.007,1353680.5,1340800,TQBR
YKEN,2005-02-14,1.01,1.01,0.991,0.991,902309.7,904600,TQBR
YKEN,2005-02-15,0.991,0.998,0.984,0.994,524622.4,531100,TQBR
YKEN,2005-02-16,1.0,1.001,0.986,0.987,1502500.5,1514200,TQBR
YKEN,2005-02-17,0.99,0.999,0.988,0.995,664380.8,668900,TQBR
YKEN,2005-02-18,0.99,0.998,0.981,0.987,1208913.6,1221000,TQBR
YKEN,2005-02-21,0.995,0.998,0.984,0.986,1492714.9,1507000,TQBR
YKEN,2005-02-22,0.99,0.998,0.972,0.981,1291673.6,1313300,TQBR
YKEN,2005-02-24,0.975,0.994,0.97,0.992,1586196.7,1621000,TQBR
YKEN,2005-02-25,0.994,1.0,0.98,0.993,3701417.1,3744400,TQBR
YKEN,2005-02-28,0.993,1.007,0.986,1.005,4404690.7,4402600,TQBR
YKEN,2005-03-01,1.005,1.025,1.0,1.015,5843272.5,5767500,TQBR
YKEN,2005-03-02,1.024,1.167,1.011,1.1,42214211.0,37865000,TQBR
YKEN,2005-03-03,1.11,1.14,1.067,1.079,8635353.5,7883300,TQBR
YKEN,2005-03-04,1.08,1.109,1.067,1.09,8554098.7,7891300,TQBR
YKEN,2005-03-05,1.095,1.125,1.07,1.091,6843632.9,6234000,TQBR
YKEN,2005-03-09,1.11,1.11,1.069,1.08,3575240.5,3293000,TQBR
YKEN,2005-03-10,1.093,1.093,1.045,1.051,3206051.7,3025200,TQBR
YKEN,2005-03-11,1.022,1.068,1.022,1.062,1752407.0,1665400,TQBR
YKEN,2005-03-14,1.064,1.079,1.035,1.053,2332159.6,2207900,TQBR
YKEN,2005-03-15,1.007,1.05,1.007,1.039,823385.3,798800,TQBR
YKEN,2005-03-16,1.025,1.039,0.961,0.97,3181151.8,3197000,TQBR
YKEN,2005-03-17,0.98,0.984,0.966,0.973,1395625.0,1431600,TQBR
YKEN,2005-03-18,0.975,0.987,0.961,0.966,3133676.3,3221200,TQBR
YKEN,2005-03-21,0.962,0.971,0.915,0.917,3649126.6,3886600,TQBR
YKEN,2005-03-22,0.921,0.958,0.92,0.95,1786020.7,1898400,TQBR
YKEN,2005-03-23,0.94,0.954,0.917,0.944,1929285.4,2075700,TQBR
YKEN,2005-03-24,0.953,1.02,0.945,1.009,6914844.6,6973100,TQBR
YKEN,2005-03-25,1.02,1.048,0.991,1.01,4030150.8,3964900,TQBR
YKEN,2005-03-28,1.01,1.015,0.99,0.999,1953984.1,1957000,TQBR
YKEN,2005-03-29,1.007,1.007,0.972,0.993,2549952.7,2570800,TQBR
YKEN,2005-03-30,0.995,0.996,0.96,0.969,2632035.5,2717700,TQBR
YKEN,2005-03-31,0.966,0.993,0.96,0.987,2187340.3,2237100,TQBR
YKEN,2005-04-01,0.988,0.998,0.977,0.997,1020852.9,1033700,TQBR
YKEN,2005-04-04,0.984,1.01,0.981,0.99,2282341.4,2303900,TQBR
YKEN,2005-04-05,0.986,0.992,0.97,0.984,1610154.2,1638900,TQBR
YKEN,2005-04-06,0.994,1.005,0.978,1.004,7139017.4,7193600,TQBR
YKEN,2005-04-07,1.01,1.01,0.99,1.008,2831176.0,2835800,TQBR
YKEN,2005-04-08,1.011,1.011,0.992,0.999,924091.4,925600,TQBR
YKEN,2005-04-11,0.995,0.999,0.964,0.987,1976642.8,2021700,TQBR
YKEN,2005-04-12,0.988,0.99,0.972,0.987,1082124.4,1101700,TQBR
YKEN,2005-04-13,0.987,0.99,0.966,0.97,2079907.5,2125100,TQBR
YKEN,2005-04-14,0.975,0.984,0.957,0.976,2806861.7,2906500,TQBR
YKEN,2005-04-15,0.962,0.969,0.947,0.957,1864278.8,1952600,TQBR
YKEN,2005-04-18,0.939,0.948,0.908,0.915,3261819.9,3552100,TQBR
YKEN,2005-04-19,0.926,0.932,0.92,0.927,874181.0,943600,TQBR
YKEN,2005-04-20,0.928,0.94,0.92,0.927,1140559.9,1228858,TQBR
YKEN,2005-04-21,0.93,0.934,0.908,0.923,384095.5,418800,TQBR
