ticker,tradedate,open,high,low,close,value,volume,boardid
ZVEZ,2014-07-17,0.4,0.4,0.4,0.4,4000,10000,TQBR
ZVEZ,2014-07-18,0.44,0.44,0.44,0.44,4400,10000,TQBR
ZVEZ,2014-09-02,0.5004,0.5004,0.5004,0.5004,5004,10000,TQBR
ZVEZ,2014-09-17,0.5,0.5,0.5,0.5,5000,10000,TQBR
ZVEZ,2014-10-07,0.44,0.44,0.44,0.44,4400,10000,TQBR
ZVEZ,2014-10-13,0.281,0.281,0.281,0.281,2810,10000,TQBR
ZVEZ,2014-10-20,0.281,0.281,0.281,0.281,2810,10000,TQBR
ZVEZ,2014-10-29,0.393,0.393,0.393,0.393,3930,10000,TQBR
ZVEZ,2014-10-30,0.4,0.4,0.4,0.4,4000,10000,TQBR
ZVEZ,2014-11-07,0.48,0.48,0.48,0.48,4800,10000,TQBR
ZVEZ,2014-11-12,0.434,0.434,0.434,0.434,4340,10000,TQBR
ZVEZ,2014-11-17,0.434,0.434,0.434,0.434,4340,10000,TQBR
ZVEZ,2014-12-05,0.306,0.395,0.303,0.395,13090,40000,TQBR
ZVEZ,2014-12-08,0.395,0.395,0.395,0.395,3950,10000,TQBR
ZVEZ,2014-12-09,0.489,0.489,0.489,0.489,4890,10000,TQBR
ZVEZ,2014-12-16,0.3,0.3,0.3,0.3,3000,10000,TQBR
ZVEZ,2015-01-08,0.459,0.459,0.459,0.459,4590,10000,TQBR
ZVEZ,2015-01-19,0.45,0.45,0.45,0.45,4500,10000,TQBR
ZVEZ,2015-01-29,0.62,0.62,0.422,0.422,29270,60000,TQBR
ZVEZ,2015-02-02,0.57,0.57,0.41,0.41,27500,60000,TQBR
ZVEZ,2015-02-11,0.303,0.446,0.303,0.446,11950,30000,TQBR
ZVEZ,2015-02-13,0.448,0.448,0.448,0.448,4480,10000,TQBR
ZVEZ,2015-02-16,0.306,0.439,0.306,0.439,10510,30000,TQBR
ZVEZ,2015-02-17,0.35,0.436,0.35,0.436,7860,20000,TQBR
ZVEZ,2015-02-18,0.434,0.434,0.337,0.337,7710,20000,TQBR
ZVEZ,2015-02-19,0.4,0.4,0.4,0.4,12000,30000,TQBR
ZVEZ,2015-02-24,0.4,0.444,0.4,0.444,29760,70000,TQBR
ZVEZ,2015-02-25,0.512,0.513,0.512,0.513,20490,40000,TQBR
ZVEZ,2015-03-04,0.505,0.505,0.5,0.5,10050,20000,TQBR
ZVEZ,2015-04-01,0.502,0.687,0.502,0.687,40890,70000,TQBR
ZVEZ,2015-04-02,0.879,0.879,0.82,0.82,42360,50000,TQBR
ZVEZ,2015-04-06,0.8,0.8,0.402,0.538,59160,90000,TQBR
ZVEZ,2015-04-07,0.611,0.752,0.611,0.749,70790,100000,TQBR
ZVEZ,2015-04-08,0.6,0.622,0.6,0.622,12220,20000,TQBR
ZVEZ,2015-04-09,0.505,0.69,0.376,0.69,20210,40000,TQBR
ZVEZ,2015-04-13,0.698,0.698,0.409,0.5,20970,40000,TQBR
ZVEZ,2015-04-15,0.574,0.699,0.574,0.699,32500,50000,TQBR
ZVEZ,2015-04-16,0.965,0.965,0.7,0.7,110500,120000,TQBR
ZVEZ,2015-04-17,0.531,0.59,0.525,0.586,88030,160000,TQBR
ZVEZ,2015-04-20,0.686,0.686,0.686,0.686,6860,10000,TQBR
ZVEZ,2015-04-27,0.6,0.6,0.6,0.6,12000,20000,TQBR
ZVEZ,2015-05-05,0.7,0.7,0.653,0.658,47240,70000,TQBR
ZVEZ,2015-05-06,0.62,0.62,0.6,0.6,24290,40000,TQBR
ZVEZ,2015-05-13,0.6,0.6,0.6,0.6,6000,10000,TQBR
ZVEZ,2015-05-14,0.58,0.58,0.58,0.58,5800,10000,TQBR
ZVEZ,2015-05-22,0.57,0.579,0.57,0.57,17190,30000,TQBR
ZVEZ,2015-05-26,0.578,0.578,0.578,0.578,5780,10000,TQBR
ZVEZ,2015-06-02,0.55,0.55,0.55,0.55,5500,10000,TQBR
ZVEZ,2015-06-17,0.443,0.443,0.443,0.443,4430,10000,TQBR
ZVEZ,2015-06-24,0.405,0.439,0.405,0.439,8440,20000,TQBR
ZVEZ,2015-07-08,0.578,0.696,0.578,0.696,32980,50000,TQBR
ZVEZ,2015-07-09,0.737,0.893,0.737,0.815,47070,60000,TQBR
ZVEZ,2015-07-10,0.857,0.857,0.815,0.815,16720,20000,TQBR
ZVEZ,2015-07-13,0.832,0.988,0.832,0.91,54500,60000,TQBR
ZVEZ,2015-07-14,0.918,1.078,0.918,1.078,29840,30000,TQBR
ZVEZ,2015-07-16,1.015,1.015,1.015,1.015,10150,10000,TQBR
ZVEZ,2015-07-17,1.057,1.059,1.057,1.059,21160,20000,TQBR
ZVEZ,2015-07-20,1.099,1.099,1.099,1.099,10990,10000,TQBR
ZVEZ,2015-07-21,1.1,1.1,1.1,1.1,11000,10000,TQBR
ZVEZ,2015-07-22,1.109,1.11,1.109,1.11,44390,40000,TQBR
ZVEZ,2015-08-04,1.1,1.1,1.1,1.1,55000,50000,TQBR
ZVEZ,2015-08-11,1.1,1.1,1.1,1.1,44000,40000,TQBR
ZVEZ,2015-08-21,0.669,0.669,0.669,0.669,6690,10000,TQBR
ZVEZ,2015-08-24,0.937,0.938,0.937,0.938,56270,60000,TQBR
ZVEZ,2015-08-28,1.1,1.1,1.1,1.1,44000,40000,TQBR
ZVEZ,2015-09-04,1.2,1.2,1.2,1.2,12000,10000,TQBR
ZVEZ,2015-09-08,1.3,1.55,1.3,1.395,132350,90000,TQBR
ZVEZ,2015-09-09,1.48,1.951,1.48,1.559,1062620,580000,TQBR
ZVEZ,2015-09-10,1.744,1.797,1.744,1.744,70300,40000,TQBR
ZVEZ,2015-09-11,1.705,2.395,1.705,2.3,684610,320000,TQBR
ZVEZ,2015-09-14,2.985,2.995,2.805,2.805,232780,80000,TQBR
ZVEZ,2015-09-15,2.937,3.39,2.855,2.855,91820,30000,TQBR
ZVEZ,2015-09-16,2.125,2.795,2.125,2.795,49200,20000,TQBR
ZVEZ,2015-09-17,2.5,2.5,2.101,2.3,397340,170000,TQBR
ZVEZ,2015-09-18,2.499,2.5,2.499,2.5,74990,30000,TQBR
ZVEZ,2015-09-21,2.5,2.5,2.5,2.5,50000,20000,TQBR
ZVEZ,2015-09-22,2.5,2.5,2.5,2.5,225000,90000,TQBR
ZVEZ,2015-09-24,2.499,2.499,2.499,2.499,24990,10000,TQBR
ZVEZ,2015-10-09,2.2,2.2,1.699,1.699,432560,250000,TQBR
ZVEZ,2015-10-12,1.101,1.987,1.1,1.719,93460,60000,TQBR
ZVEZ,2015-10-15,1.776,1.776,1.776,1.776,35520,20000,TQBR
ZVEZ,2015-10-16,1.9,1.9,1.9,1.9,19000,10000,TQBR
ZVEZ,2015-11-05,1.55,1.55,1.5,1.5,150500,100000,TQBR
ZVEZ,2015-11-10,1.8,1.85,1.22,1.4,161900,110000,TQBR
ZVEZ,2015-11-11,1.55,1.55,1.55,1.55,15500,10000,TQBR
