secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MDIAMD,2022-09-29,1000.0,1000.0,1000.0,1000.0,,,,
MDIAMD,2022-10-12,995.31,995.31,995.31,995.31,,,,
MDIAMD,2022-10-19,987.63,987.63,987.63,987.63,,,,
MDIAMD,2022-10-26,981.65,981.65,981.65,981.65,,,,
MDIAMD,2022-11-02,978.38,978.38,978.38,978.38,,,,
MDIAMD,2022-11-09,975.78,975.78,975.78,975.78,,,,
MDIAMD,2022-11-16,973.72,973.72,973.72,973.72,,,,
MDIAMD,2022-11-23,963.73,963.73,963.73,963.73,,,,
MDIAMD,2022-11-30,959.67,959.67,959.67,959.67,,,,
MDIAMD,2022-12-07,958.42,958.42,958.42,958.42,,,,
MDIAMD,2022-12-14,959.74,959.74,959.74,959.74,,,,
MDIAMD,2022-12-21,959.54,959.54,959.54,959.54,,,,
MDIAMD,2022-12-28,957.03,957.03,957.03,957.03,,,,
MDIAMD,2023-01-04,956.17,956.17,956.17,956.17,,,,
MDIAMD,2023-01-18,955.79,955.79,955.79,955.79,,,,
MDIAMD,2023-01-25,955.89,955.89,955.89,955.89,,,,
MDIAMD,2023-02-01,955.19,955.19,955.19,955.19,,,,
MDIAMD,2023-02-08,953.97,953.97,953.97,953.97,,,,
MDIAMD,2023-02-15,954.97,954.97,954.97,954.97,,,,
MDIAMD,2023-02-22,955.78,955.78,955.78,955.78,,,,
MDIAMD,2023-03-01,956.93,956.93,956.93,956.93,,,,
MDIAMD,2023-03-15,959.66,959.66,959.66,959.66,,,,
MDIAMD,2023-03-22,959.79,959.79,959.79,959.79,,,,
MDIAMD,2023-03-29,956.38,956.38,956.38,956.38,,,,
MDIAMD,2023-04-05,954.09,954.09,954.09,954.09,,,,
MDIAMD,2023-04-12,952.24,952.24,952.24,952.24,,,,
MDIAMD,2023-04-19,950.75,950.75,950.75,950.75,,,,
MDIAMD,2023-04-26,947.46,947.46,947.46,947.46,,,,
MDIAMD,2023-05-03,948.46,948.46,948.46,948.46,,,,
MDIAMD,2023-05-10,939.15,939.15,939.15,939.15,,,,
MDIAMD,2023-05-17,937.18,937.18,937.18,937.18,,,,
MDIAMD,2023-05-24,931.08,931.08,931.08,931.08,,,,
MDIAMD,2023-05-31,929.11,929.11,929.11,929.11,,,,
MDIAMD,2023-06-07,929.07,929.07,929.07,929.07,,,,
MDIAMD,2023-06-14,927.74,927.74,927.74,927.74,,,,
MDIAMD,2023-06-21,921.56,921.56,921.56,921.56,,,,
MDIAMD,2023-06-28,912.25,912.25,912.25,912.25,,,,
MDIAMD,2023-07-05,910.15,910.15,910.15,910.15,,,,
MDIAMD,2023-07-12,901.83,901.83,901.83,901.83,,,,
MDIAMD,2023-07-19,897.68,897.68,897.68,897.68,,,,
MDIAMD,2023-07-26,887.89,887.89,887.89,887.89,,,,
MDIAMD,2023-08-02,882.84,882.84,882.84,882.84,,,,
MDIAMD,2023-08-09,876.41,876.41,876.41,876.41,,,,
MDIAMD,2023-08-16,872.64,872.64,872.64,872.64,,,,
MDIAMD,2023-08-23,869.52,869.52,869.52,869.52,,,,
MDIAMD,2023-08-30,859.2,859.2,859.2,859.2,,,,
MDIAMD,2023-09-06,847.31,847.31,847.31,847.31,,,,
MDIAMD,2023-09-13,839.02,839.02,839.02,839.02,,,,
MDIAMD,2023-09-20,833.01,833.01,833.01,833.01,,,,
MDIAMD,2023-09-27,824.82,824.82,824.82,824.82,,,,
MDIAMD,2023-10-04,817.58,817.58,817.58,817.58,,,,
MDIAMD,2023-10-11,810.94,810.94,810.94,810.94,,,,
MDIAMD,2023-10-18,804.87,804.87,804.87,804.87,,,,
MDIAMD,2023-10-25,801.95,801.95,801.95,801.95,,,,
MDIAMD,2023-11-01,799.85,799.85,799.85,799.85,,,,
MDIAMD,2023-11-08,800.34,800.34,800.34,800.34,,,,
MDIAMD,2023-11-15,804.17,804.17,804.17,804.17,,,,
MDIAMD,2023-11-22,806.07,806.07,806.07,806.07,,,,
MDIAMD,2023-11-29,803.38,803.38,803.38,803.38,,,,
MDIAMD,2023-12-06,805.72,805.72,805.72,805.72,,,,
MDIAMD,2023-12-13,805.74,805.74,805.74,805.74,,,,
MDIAMD,2023-12-20,807.76,807.76,807.76,807.76,,,,
MDIAMD,2023-12-27,809.96,809.96,809.96,809.96,0.0,0.0,0.0,2414.48
MDIAMD,2024-01-03,809.96,809.96,809.96,809.96,0.0,0.0,0.0,2414.48
MDIAMD,2024-01-10,807.68,807.68,807.68,807.68,0.0,0.0,0.0,2407.692
MDIAMD,2024-01-17,808.75,808.75,808.75,808.75,0.0,0.0,0.0,2410.8717
MDIAMD,2024-01-24,810.44,810.44,810.44,810.44,0.0,0.0,0.0,2415.932
MDIAMD,2024-01-31,816.1,816.1,816.1,816.1,0.0,0.0,0.0,2432.8033
MDIAMD,2024-02-07,815.15,815.15,815.15,815.15,0.0,0.0,0.0,2429.9663
MDIAMD,2024-02-14,816.66,816.66,816.66,816.66,0.0,0.0,0.0,2434.4684
MDIAMD,2024-02-21,814.03,814.03,814.03,814.03,0.0,0.0,0.0,2426.613
MDIAMD,2024-02-28,811.38,811.38,811.38,811.38,0.0,0.0,0.0,2418.7091
MDIAMD,2024-03-06,808.64,808.64,808.64,808.64,0.0,0.0,0.0,2410.5623
MDIAMD,2024-03-13,808.0,808.0,808.0,808.0,0.0,0.0,0.0,2408.6373
MDIAMD,2024-03-20,804.6,804.6,804.6,804.6,0.0,0.0,0.0,2398.5268
MDIAMD,2024-03-27,800.08,800.08,800.08,800.08,0.0,0.0,0.0,2385.0476
MDIAMD,2024-04-03,796.23,796.23,796.23,796.23,0.0,0.0,0.0,2373.5552
MDIAMD,2024-04-10,791.79,791.79,791.79,791.79,0.0,0.0,0.0,2360.3145
MDIAMD,2024-04-17,784.38,784.38,784.38,784.38,0.0,0.0,0.0,2338.2416
MDIAMD,2024-04-24,780.23,780.23,780.23,780.23,0.0,0.0,0.0,2325.8521
MDIAMD,2024-05-02,774.85,780.23,780.23,774.85,0.0,0.0,0.0,2309.8202
MDIAMD,2024-05-08,769.7,769.7,769.7,769.7,0.0,0.0,0.0,2294.4856
MDIAMD,2024-05-15,768.18,768.18,768.18,768.18,0.0,0.0,0.0,2289.9499
MDIAMD,2024-05-22,762.15,762.15,762.15,762.15,0.0,0.0,0.0,2271.9719
MDIAMD,2024-05-29,758.51,758.51,758.51,758.51,0.0,0.0,0.0,2261.12
MDIAMD,2024-06-05,752.22,752.22,752.22,752.22,0.0,0.0,0.0,2242.35
MDIAMD,2024-06-13,748.01,748.01,748.01,748.01,0.0,0.0,0.0,2229.82
MDIAMD,2024-06-19,744.49,744.49,744.49,744.49,0.0,0.0,0.0,2219.33
MDIAMD,2024-06-26,736.63,736.63,736.63,736.63,0.0,0.0,0.0,2195.89
MDIAMD,2024-07-03,732.59,732.59,732.59,732.59,0.0,0.0,0.0,2183.86
MDIAMD,2024-07-10,725.75,725.75,725.75,725.75,0.0,0.0,0.0,2163.46
MDIAMD,2024-07-17,710.29,710.29,710.29,710.29,0.0,0.0,0.0,2117.3668
MDIAMD,2024-07-24,706.55,706.55,706.55,706.55,0.0,0.0,0.0,2106.2208
MDIAMD,2024-07-31,702.11,702.11,702.11,702.11,0.0,0.0,0.0,2093.0042
MDIAMD,2024-08-07,694.18,694.18,694.18,694.18,0.0,0.0,0.0,2069.3543
MDIAMD,2024-08-14,694.27,694.27,694.27,694.27,0.0,0.0,0.0,2069.6282
MDIAMD,2024-08-21,692.53,692.53,692.53,692.53,0.0,0.0,0.0,2064.4369
MDIAMD,2024-08-28,690.71,690.71,690.71,690.71,0.0,0.0,0.0,2058.9996
MDIAMD,2024-09-04,681.52,681.52,681.52,681.52,0.0,0.0,0.0,2031.6228
MDIAMD,2024-09-11,673.41,673.41,673.41,673.41,0.0,0.0,0.0,2007.4303
MDIAMD,2024-09-18,677.6,677.6,677.6,677.6,0.0,0.0,0.0,2019.9288
MDIAMD,2024-09-25,674.51,674.51,674.51,674.51,0.0,0.0,0.0,2010.7008
MDIAMD,2024-10-02,668.7,668.7,668.7,668.7,0.0,0.0,0.0,1993.3963
MDIAMD,2024-10-09,666.49,666.49,666.49,666.49,0.0,0.0,0.0,1986.8063
MDIAMD,2024-10-16,665.01,665.01,665.01,665.01,0.0,0.0,0.0,1982.3902
MDIAMD,2024-10-23,665.85,665.85,665.85,665.85,0.0,0.0,0.0,1984.8999
MDIAMD,2024-10-30,667.18,667.18,667.18,667.18,0.0,0.0,0.0,1988.8579
MDIAMD,2024-11-06,668.41,668.41,668.41,668.41,0.0,0.0,0.0,1992.5156
MDIAMD,2024-11-13,670.28,670.28,670.28,670.28,0.0,0.0,0.0,1998.0962
MDIAMD,2024-11-20,672.38,672.38,672.38,672.38,0.0,0.0,0.0,2004.36
MDIAMD,2024-11-27,674.35,674.35,674.35,674.35,0.0,0.0,0.0,2010.2289
MDIAMD,2024-12-04,675.54,675.54,675.54,675.54,0.0,0.0,0.0,2013.7729
MDIAMD,2024-12-11,677.74,677.74,677.74,677.74,0.0,0.0,0.0,2020.3539
MDIAMD,2024-12-18,679.29,679.29,679.29,679.29,0.0,0.0,0.0,2024.9653
MDIAMD,2024-12-25,681.05,681.05,681.05,681.05,0.0,0.0,0.0,2030.198
MDIAMD,2025-01-10,679.93,679.93,679.93,679.93,0.0,0.0,0.0,2026.8631
MDIAMD,2025-01-15,675.72,675.72,675.72,675.72,0.0,0.0,0.0,2014.3251
MDIAMD,2025-01-22,675.89,675.89,675.89,675.89,0.0,0.0,0.0,2014.82
MDIAMD,2025-01-29,674.29,674.29,674.29,674.29,0.0,0.0,0.0,2010.0526
MDIAMD,2025-02-05,674.53,674.53,674.53,674.53,0.0,0.0,0.0,2010.7878
MDIAMD,2025-02-12,675.16,674.53,675.16,674.53,0.0,0.0,0.0,2012.66
MDIAMD,2025-02-19,672.82,672.82,672.82,672.82,0.0,0.0,0.0,2005.6735
MDIAMD,2025-02-26,674.07,674.07,674.07,674.07,0.0,0.0,0.0,2009.4012
MDIAMD,2025-03-05,676.77,676.77,676.77,676.77,0.0,0.0,0.0,2017.4436
MDIAMD,2025-03-12,679.94,679.94,679.94,679.94,0.0,0.0,0.0,2026.9054
MDIAMD,2025-03-19,683.99,683.99,683.99,683.99,0.0,0.0,0.0,2038.98
MDIAMD,2025-03-26,684.97,684.97,684.97,684.97,0.0,0.0,0.0,2041.9005
MDIAMD,2025-04-02,688.37,688.37,688.37,688.37,0.0,0.0,0.0,2052.0336
