secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MDIAMD2,2022-09-29,1000.0,1000.0,1000.0,1000.0,,,,
MDIAMD2,2022-10-12,999.43,999.43,999.43,999.43,,,,
MDIAMD2,2022-10-19,994.54,994.54,994.54,994.54,,,,
MDIAMD2,2022-10-26,995.73,995.73,995.73,995.73,,,,
MDIAMD2,2022-11-02,997.78,997.78,997.78,997.78,,,,
MDIAMD2,2022-11-09,996.72,996.72,996.72,996.72,,,,
MDIAMD2,2022-11-16,993.7,993.7,993.7,993.7,,,,
MDIAMD2,2022-11-23,985.06,985.06,985.06,985.06,,,,
MDIAMD2,2022-11-30,981.57,981.57,981.57,981.57,,,,
MDIAMD2,2022-12-07,983.1,983.1,983.1,983.1,,,,
MDIAMD2,2022-12-14,983.83,983.83,983.83,983.83,,,,
MDIAMD2,2022-12-21,982.9,982.9,982.9,982.9,,,,
MDIAMD2,2022-12-28,979.1,979.1,979.1,979.1,,,,
MDIAMD2,2023-01-04,977.91,977.91,977.91,977.91,,,,
MDIAMD2,2023-01-18,977.56,977.56,977.56,977.56,,,,
MDIAMD2,2023-01-25,977.61,977.61,977.61,977.61,,,,
MDIAMD2,2023-02-01,977.02,977.02,977.02,977.02,,,,
MDIAMD2,2023-02-08,975.38,975.38,975.38,975.38,,,,
MDIAMD2,2023-02-15,975.11,975.11,975.11,975.11,,,,
MDIAMD2,2023-02-22,973.84,973.84,973.84,973.84,,,,
MDIAMD2,2023-03-01,971.29,971.29,971.29,971.29,,,,
MDIAMD2,2023-03-15,974.4,974.4,974.4,974.4,,,,
MDIAMD2,2023-03-22,972.28,972.28,972.28,972.28,,,,
MDIAMD2,2023-03-29,972.7,972.7,972.7,972.7,,,,
MDIAMD2,2023-04-05,970.86,970.86,970.86,970.86,,,,
MDIAMD2,2023-04-12,969.06,969.06,969.06,969.06,,,,
MDIAMD2,2023-04-19,966.47,966.47,966.47,966.47,,,,
MDIAMD2,2023-04-26,966.34,966.34,966.34,966.34,,,,
MDIAMD2,2023-05-03,967.46,967.46,967.46,967.46,,,,
MDIAMD2,2023-05-10,971.01,971.01,971.01,971.01,,,,
MDIAMD2,2023-05-17,969.67,969.67,969.67,969.67,,,,
MDIAMD2,2023-05-24,963.85,963.85,963.85,963.85,,,,
MDIAMD2,2023-05-31,958.86,958.86,958.86,958.86,,,,
MDIAMD2,2023-06-07,961.54,961.54,961.54,961.54,,,,
MDIAMD2,2023-06-14,962.05,962.05,962.05,962.05,,,,
MDIAMD2,2023-06-21,961.85,961.85,961.85,961.85,,,,
MDIAMD2,2023-06-28,958.66,958.66,958.66,958.66,,,,
MDIAMD2,2023-07-05,957.35,957.35,957.35,957.35,,,,
MDIAMD2,2023-07-12,955.51,955.51,955.51,955.51,,,,
MDIAMD2,2023-07-19,956.88,956.88,956.88,956.88,,,,
MDIAMD2,2023-07-26,956.17,956.17,956.17,956.17,,,,
MDIAMD2,2023-08-02,947.67,947.67,947.67,947.67,,,,
MDIAMD2,2023-08-09,947.91,947.91,947.91,947.91,,,,
MDIAMD2,2023-08-16,948.09,948.09,948.09,948.09,,,,
MDIAMD2,2023-08-23,944.49,944.49,944.49,944.49,,,,
MDIAMD2,2023-08-30,945.64,945.64,945.64,945.64,,,,
MDIAMD2,2023-09-06,941.57,941.57,941.57,941.57,,,,
MDIAMD2,2023-09-13,941.58,941.58,941.58,941.58,,,,
MDIAMD2,2023-09-20,935.42,935.42,935.42,935.42,,,,
MDIAMD2,2023-09-27,933.09,933.09,933.09,933.09,,,,
MDIAMD2,2023-10-04,927.72,927.72,927.72,927.72,,,,
MDIAMD2,2023-10-11,930.89,930.89,930.89,930.89,,,,
MDIAMD2,2023-10-18,928.62,928.62,928.62,928.62,,,,
MDIAMD2,2023-10-25,925.66,925.66,925.66,925.66,,,,
MDIAMD2,2023-11-01,928.05,928.05,928.05,928.05,,,,
MDIAMD2,2023-11-08,929.88,929.88,929.88,929.88,,,,
MDIAMD2,2023-11-15,928.91,928.91,928.91,928.91,,,,
MDIAMD2,2023-11-22,928.29,928.29,928.29,928.29,,,,
MDIAMD2,2023-11-29,927.86,927.86,927.86,927.86,,,,
MDIAMD2,2023-12-06,924.13,924.13,924.13,924.13,,,,
