secid,tradedate,open,close,low,high,capitalization
MDIAMR,2022-09-29,1000.0,1000.0,1000.0,1000.0,
MDIAMR,2022-10-12,1042.98,1042.98,1042.98,1042.98,
MDIAMR,2022-10-19,1072.87,1072.87,1072.87,1072.87,
MDIAMR,2022-10-26,1032.94,1032.94,1032.94,1032.94,
MDIAMR,2022-11-02,1027.11,1027.11,1027.11,1027.11,
MDIAMR,2022-11-09,1028.7,1028.7,1028.7,1028.7,
MDIAMR,2022-11-16,1020.29,1020.29,1020.29,1020.29,
MDIAMR,2022-11-23,995.74,995.74,995.74,995.74,
MDIAMR,2022-11-30,991.5,991.5,991.5,991.5,
MDIAMR,2022-12-07,1002.7,1002.7,1002.7,1002.7,
MDIAMR,2022-12-14,1027.47,1027.47,1027.47,1027.47,
MDIAMR,2022-12-21,1055.64,1055.64,1055.64,1055.64,
MDIAMR,2022-12-28,1181.08,1181.08,1181.08,1181.08,
MDIAMR,2023-01-04,1177.51,1177.51,1177.51,1177.51,
MDIAMR,2023-01-18,1108.36,1108.36,1108.36,1108.36,
MDIAMR,2023-01-25,1125.96,1125.96,1125.96,1125.96,
MDIAMR,2023-02-01,1129.71,1129.71,1129.71,1129.71,
MDIAMR,2023-02-08,1143.19,1143.19,1143.19,1143.19,
MDIAMR,2023-02-15,1191.02,1191.02,1191.02,1191.02,
MDIAMR,2023-02-22,1222.59,1222.59,1222.59,1222.59,
MDIAMR,2023-03-01,1223.16,1223.16,1223.16,1223.16,
MDIAMR,2023-03-15,1246.25,1246.25,1246.25,1246.25,
MDIAMR,2023-03-22,1254.74,1254.74,1254.74,1254.74,
MDIAMR,2023-03-29,1248.62,1248.62,1248.62,1248.62,
MDIAMR,2023-04-05,1258.34,1258.34,1258.34,1258.34,
MDIAMR,2023-04-12,1314.31,1314.31,1314.31,1314.31,
MDIAMR,2023-04-19,1328.59,1328.59,1328.59,1328.59,
MDIAMR,2023-04-26,1323.07,1323.07,1323.07,1323.07,
MDIAMR,2023-05-03,1323.51,1323.51,1323.51,1323.51,
MDIAMR,2023-05-10,1263.19,1263.19,1263.19,1263.19,
MDIAMR,2023-05-17,1216.77,1216.77,1216.77,1216.77,
MDIAMR,2023-05-24,1275.0,1275.0,1275.0,1275.0,
MDIAMR,2023-05-31,1271.46,1271.46,1271.46,1271.46,
MDIAMR,2023-06-07,1287.01,1287.01,1287.01,1287.01,
MDIAMR,2023-06-14,1303.06,1303.06,1303.06,1303.06,
MDIAMR,2023-06-21,1323.83,1323.83,1323.83,1323.83,
MDIAMR,2023-06-28,1304.94,1304.94,1304.94,1304.94,
MDIAMR,2023-07-05,1355.3,1355.3,1355.3,1355.3,
MDIAMR,2023-07-12,1428.31,1428.31,1428.31,1428.31,
MDIAMR,2023-07-19,1384.97,1384.97,1384.97,1384.97,
MDIAMR,2023-07-26,1380.18,1380.18,1380.18,1380.18,
MDIAMR,2023-08-02,1359.77,1359.77,1359.77,1359.77,
MDIAMR,2023-08-09,1406.2,1406.2,1406.2,1406.2,
MDIAMR,2023-08-16,1452.4,1452.4,1452.4,1452.4,
MDIAMR,2023-08-23,1394.65,1394.65,1394.65,1394.65,
MDIAMR,2023-08-30,1387.73,1387.73,1387.73,1387.73,
MDIAMR,2023-09-06,1396.55,1396.55,1396.55,1396.55,
MDIAMR,2023-09-13,1409.61,1409.61,1409.61,1409.61,
