secid,tradedate,open,close,low,high,capitalization
MECHTR,2013-12-30,,6468.1,,,
MECHTR,2014-01-06,,6384.8,,,
MECHTR,2014-01-08,,6351.68,,,
MECHTR,2014-01-09,,6355.11,,,
MECHTR,2014-01-10,,6384.19,,,
MECHTR,2014-01-13,,6410.49,,,
MECHTR,2014-01-14,,6404.37,,,
MECHTR,2014-01-15,,6605.23,,,
MECHTR,2014-01-16,,6616.65,,,
MECHTR,2014-01-17,,6637.42,,,
MECHTR,2014-01-20,,6693.01,,,
MECHTR,2014-01-21,,6750.95,,,
MECHTR,2014-01-22,,6750.51,,,
MECHTR,2014-01-23,,6765.73,,,
MECHTR,2014-01-24,,6769.66,,,
MECHTR,2014-01-27,,6627.66,,,
MECHTR,2014-01-28,,6620.3,,,
MECHTR,2014-01-29,,6483.89,,,
MECHTR,2014-01-30,,6661.2,,,
MECHTR,2014-01-31,,6673.67,,,
MECHTR,2014-02-03,,6668.26,,,
MECHTR,2014-02-04,,6680.9,,,
MECHTR,2014-02-05,,6719.13,,,
MECHTR,2014-02-06,,6788.77,,,
MECHTR,2014-02-07,,6836.26,,,
MECHTR,2014-02-10,,6869.73,,,
MECHTR,2014-02-11,,6710.72,,,
MECHTR,2014-02-12,,6834.39,,,
MECHTR,2014-02-13,,6851.55,,,
MECHTR,2014-02-14,,6860.4,,,
MECHTR,2014-02-17,,6766.11,,,
MECHTR,2014-02-18,,6758.54,,,
MECHTR,2014-02-19,,6701.29,,,
MECHTR,2014-02-20,,6959.41,,,
MECHTR,2014-02-21,,7013.83,,,
MECHTR,2014-02-24,,6863.04,,,
MECHTR,2014-02-25,,6839.46,,,
MECHTR,2014-02-26,,6799.43,,,
MECHTR,2014-02-27,,6681.96,,,
MECHTR,2014-02-28,,6724.68,,,
MECHTR,2014-03-03,,6202.51,,,
MECHTR,2014-03-04,,6520.91,,,
MECHTR,2014-03-05,,6624.83,,,
MECHTR,2014-03-06,,6580.9,,,
MECHTR,2014-03-07,,6593.77,,,
MECHTR,2014-03-11,,6556.27,,,
MECHTR,2014-03-12,,6344.24,,,
MECHTR,2014-03-13,,6266.28,,,
MECHTR,2014-03-14,,6220.78,,,
MECHTR,2014-03-17,,6357.98,,,
MECHTR,2014-03-18,,6515.64,,,
MECHTR,2014-03-19,,6475.72,,,
MECHTR,2014-03-20,,6516.98,,,
MECHTR,2014-03-21,,6443.71,,,
MECHTR,2014-03-24,,6426.84,,,
MECHTR,2014-03-25,,6435.97,,,
MECHTR,2014-03-26,,6475.17,,,
MECHTR,2014-03-27,,6470.16,,,
MECHTR,2014-03-28,,6503.08,,,
MECHTR,2014-03-31,,6565.68,,,
MECHTR,2014-04-01,,6522.79,,,
MECHTR,2014-04-02,,6523.02,,,
MECHTR,2014-04-03,,6439.4,,,
MECHTR,2014-04-04,,6396.31,,,
MECHTR,2014-04-07,,6317.42,,,
MECHTR,2014-04-08,,6416.41,,,
MECHTR,2014-04-09,,6459.76,,,
MECHTR,2014-04-10,,6758.25,,,
MECHTR,2014-04-11,,6660.72,,,
MECHTR,2014-04-14,,6618.37,,,
MECHTR,2014-04-15,,6517.48,,,
MECHTR,2014-04-16,,6531.6,,,
MECHTR,2014-04-17,,6555.58,,,
MECHTR,2014-04-18,,6705.61,,,
MECHTR,2014-04-21,,6554.69,,,
MECHTR,2014-04-22,,6639.46,,,
MECHTR,2014-04-23,,6633.1,,,
MECHTR,2014-04-24,,6547.6,,,
MECHTR,2014-04-25,,6546.49,,,
MECHTR,2014-04-28,,6665.08,,,
MECHTR,2014-04-29,,6752.88,,,
MECHTR,2014-04-30,,6828.58,,,
MECHTR,2014-05-02,,6777.77,,,
MECHTR,2014-05-05,,6759.53,,,
MECHTR,2014-05-06,,6804.68,,,
MECHTR,2014-05-07,,6821.47,,,
MECHTR,2014-05-08,,6852.47,,,
MECHTR,2014-05-12,,6863.32,,,
MECHTR,2014-05-13,,6780.67,,,
MECHTR,2014-05-14,,6625.34,,,
MECHTR,2014-05-15,,6635.91,,,
MECHTR,2014-05-16,,6600.18,,,
MECHTR,2014-05-19,,6677.36,,,
MECHTR,2014-05-20,,6655.69,,,
MECHTR,2014-05-21,,6684.17,,,
MECHTR,2014-05-22,,6776.28,,,
MECHTR,2014-05-23,,6802.7,,,
MECHTR,2014-05-26,,6684.19,,,
MECHTR,2014-05-27,,6620.93,,,
MECHTR,2014-05-28,,6626.22,,,
MECHTR,2014-05-29,,6700.47,,,
MECHTR,2014-05-30,,6676.45,,,
MECHTR,2014-06-02,,6889.31,,,
MECHTR,2014-06-03,,6863.97,,,
MECHTR,2014-06-04,,6834.86,,,
MECHTR,2014-06-05,,6773.21,,,
MECHTR,2014-06-06,,6775.98,,,
MECHTR,2014-06-09,,6712.78,,,
MECHTR,2014-06-10,,6728.48,,,
MECHTR,2014-06-11,,6698.19,,,
MECHTR,2014-06-16,,6740.52,,,
MECHTR,2014-06-17,,6687.45,,,
MECHTR,2014-06-18,,6688.7,,,
MECHTR,2014-06-19,,6733.85,,,
MECHTR,2014-06-20,,6726.38,,,
MECHTR,2014-06-23,,6708.07,,,
MECHTR,2014-06-24,,6774.78,,,
MECHTR,2014-06-25,,6822.78,,,
MECHTR,2014-06-26,,6816.53,,,
MECHTR,2014-06-27,,6880.82,,,
MECHTR,2014-06-30,,6930.76,,,
MECHTR,2014-07-01,,7002.67,,,
MECHTR,2014-07-02,,7001.12,,,
MECHTR,2014-07-03,,7007.35,,,
MECHTR,2014-07-04,,6963.69,,,
MECHTR,2014-07-07,,7070.81,,,
MECHTR,2014-07-08,,7105.25,,,
MECHTR,2014-07-09,,7069.17,,,
MECHTR,2014-07-10,,6970.12,,,
MECHTR,2014-07-11,,6923.65,,,
MECHTR,2014-07-14,,6852.24,,,
MECHTR,2014-07-15,,6845.09,,,
MECHTR,2014-07-16,,6946.11,,,
MECHTR,2014-07-17,,6840.55,,,
MECHTR,2014-07-18,,6785.42,,,
