secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MECNTR,2013-12-30,6245.95,,,,,,,
MECNTR,2014-01-06,6172.25,,,,,,,
MECNTR,2014-01-08,6191.77,,,,,,,
MECNTR,2014-01-09,6173.77,,,,,,,
MECNTR,2014-01-10,6098.66,,,,,,,
MECNTR,2014-01-13,6065.58,,,,,,,
MECNTR,2014-01-14,6104.32,,,,,,,
MECNTR,2014-01-15,6131.71,,,,,,,
MECNTR,2014-01-16,6124.24,,,,,,,
MECNTR,2014-01-17,6080.85,,,,,,,
MECNTR,2014-01-20,6049.55,,,,,,,
MECNTR,2014-01-21,5975.04,,,,,,,
MECNTR,2014-01-22,5906.72,,,,,,,
MECNTR,2014-01-23,5878.35,,,,,,,
MECNTR,2014-01-24,5875.69,,,,,,,
MECNTR,2014-01-27,5845.43,,,,,,,
MECNTR,2014-01-28,5635.02,,,,,,,
MECNTR,2014-01-29,5632.04,,,,,,,
MECNTR,2014-01-30,5631.32,,,,,,,
MECNTR,2014-01-31,5644.79,,,,,,,
MECNTR,2014-02-03,5592.67,,,,,,,
MECNTR,2014-02-04,5579.83,,,,,,,
MECNTR,2014-02-05,5658.56,,,,,,,
MECNTR,2014-02-06,5660.88,,,,,,,
MECNTR,2014-02-07,5685.84,,,,,,,
MECNTR,2014-02-10,5731.35,,,,,,,
MECNTR,2014-02-11,5713.82,,,,,,,
MECNTR,2014-02-12,5672.1,,,,,,,
MECNTR,2014-02-13,5633.56,,,,,,,
MECNTR,2014-02-14,5649.97,,,,,,,
MECNTR,2014-02-17,5761.42,,,,,,,
MECNTR,2014-02-18,5715.76,,,,,,,
MECNTR,2014-02-19,5721.54,,,,,,,
MECNTR,2014-02-20,5623.98,,,,,,,
MECNTR,2014-02-21,5653.7,,,,,,,
MECNTR,2014-02-24,5660.17,,,,,,,
MECNTR,2014-02-25,5622.22,,,,,,,
MECNTR,2014-02-26,5642.68,,,,,,,
MECNTR,2014-02-27,5536.23,,,,,,,
MECNTR,2014-02-28,5537.98,,,,,,,
MECNTR,2014-03-03,4837.31,,,,,,,
MECNTR,2014-03-04,5076.38,,,,,,,
MECNTR,2014-03-05,5139.74,,,,,,,
MECNTR,2014-03-06,5068.12,,,,,,,
MECNTR,2014-03-07,5088.78,,,,,,,
MECNTR,2014-03-11,5011.0,,,,,,,
MECNTR,2014-03-12,4949.09,,,,,,,
MECNTR,2014-03-13,4846.45,,,,,,,
MECNTR,2014-03-14,4596.48,,,,,,,
MECNTR,2014-03-17,4848.65,,,,,,,
MECNTR,2014-03-18,5039.73,,,,,,,
MECNTR,2014-03-19,5092.89,,,,,,,
MECNTR,2014-03-20,5078.58,,,,,,,
MECNTR,2014-03-21,5065.44,,,,,,,
MECNTR,2014-03-24,5134.2,,,,,,,
MECNTR,2014-03-25,5182.89,,,,,,,
MECNTR,2014-03-26,5256.28,,,,,,,
MECNTR,2014-03-27,5280.98,,,,,,,
MECNTR,2014-03-28,5291.47,,,,,,,
MECNTR,2014-03-31,5354.84,,,,,,,
MECNTR,2014-04-01,5358.02,,,,,,,
MECNTR,2014-04-02,5431.78,,,,,,,
MECNTR,2014-04-03,5418.88,,,,,,,
MECNTR,2014-04-04,5470.87,,,,,,,
MECNTR,2014-04-07,5350.06,,,,,,,
MECNTR,2014-04-08,5391.48,,,,,,,
MECNTR,2014-04-09,5538.24,,,,,,,
MECNTR,2014-04-10,5750.11,,,,,,,
MECNTR,2014-04-11,5719.36,,,,,,,
MECNTR,2014-04-14,5536.84,,,,,,,
MECNTR,2014-04-15,5382.57,,,,,,,
MECNTR,2014-04-16,5503.98,,,,,,,
MECNTR,2014-04-17,5550.85,,,,,,,
MECNTR,2014-04-18,5636.3,,,,,,,
MECNTR,2014-04-21,5728.21,,,,,,,
MECNTR,2014-04-22,5614.3,,,,,,,
MECNTR,2014-04-23,5553.11,,,,,,,
MECNTR,2014-04-24,5409.12,,,,,,,
MECNTR,2014-04-25,5235.83,,,,,,,
MECNTR,2014-04-28,5314.38,,,,,,,
MECNTR,2014-04-29,5361.2,,,,,,,
MECNTR,2014-04-30,5377.98,,,,,,,
MECNTR,2014-05-02,5363.6,,,,,,,
MECNTR,2014-05-05,5354.65,,,,,,,
MECNTR,2014-05-06,5403.08,,,,,,,
MECNTR,2014-05-07,5534.86,,,,,,,
MECNTR,2014-05-08,5467.17,,,,,,,
MECNTR,2014-05-12,5506.63,,,,,,,
MECNTR,2014-05-13,5559.68,,,,,,,
MECNTR,2014-05-14,5558.39,,,,,,,
MECNTR,2014-05-15,5530.52,,,,,,,
MECNTR,2014-05-16,5612.02,,,,,,,
MECNTR,2014-05-19,5696.72,,,,,,,
MECNTR,2014-05-20,5692.89,,,,,,,
MECNTR,2014-05-21,5726.45,,,,,,,
MECNTR,2014-05-22,5718.84,,,,,,,
MECNTR,2014-05-23,5719.47,,,,,,,
MECNTR,2014-05-26,5749.1,,,,,,,
MECNTR,2014-05-27,5691.2,,,,,,,
MECNTR,2014-05-28,5703.59,,,,,,,
MECNTR,2014-05-29,5836.24,,,,,,,
MECNTR,2014-05-30,5833.88,,,,,,,
MECNTR,2014-06-02,5977.66,,,,,,,
MECNTR,2014-06-03,5937.31,,,,,,,
MECNTR,2014-06-04,5903.74,,,,,,,
MECNTR,2014-06-05,5899.01,,,,,,,
MECNTR,2014-06-06,5966.21,,,,,,,
MECNTR,2014-06-09,5913.29,,,,,,,
MECNTR,2014-06-10,6025.06,,,,,,,
MECNTR,2014-06-11,6005.35,,,,,,,
MECNTR,2014-06-16,6174.48,,,,,,,
MECNTR,2014-06-17,6133.06,,,,,,,
MECNTR,2014-06-18,6181.67,,,,,,,
MECNTR,2014-06-19,6193.71,,,,,,,
MECNTR,2014-06-20,6116.18,,,,,,,
MECNTR,2014-06-23,6062.99,,,,,,,
MECNTR,2014-06-24,6179.42,,,,,,,
MECNTR,2014-06-25,6129.77,,,,,,,
MECNTR,2014-06-26,6139.56,,,,,,,
MECNTR,2014-06-27,6166.29,,,,,,,
MECNTR,2014-06-30,6177.62,,,,,,,
MECNTR,2014-07-01,6216.98,,,,,,,
MECNTR,2014-07-02,6271.56,,,,,,,
MECNTR,2014-07-03,6324.41,,,,,,,
MECNTR,2014-07-04,6266.99,,,,,,,
MECNTR,2014-07-07,6379.23,,,,,,,
MECNTR,2014-07-08,6390.79,,,,,,,
MECNTR,2014-07-09,6393.76,,,,,,,
MECNTR,2014-07-10,6302.29,,,,,,,
MECNTR,2014-07-11,6319.91,,,,,,,
MECNTR,2014-07-14,6325.49,,,,,,,
MECNTR,2014-07-15,6333.92,,,,,,,
MECNTR,2014-07-16,6379.17,,,,,,,
MECNTR,2014-07-17,6289.82,,,,,,,
MECNTR,2014-07-18,6214.28,,,,,,,
MECNTR,2014-07-21,6103.08,,,,,,,
MECNTR,2014-07-22,6158.13,,,,,,,
MECNTR,2014-07-23,6266.41,,,,,,,
MECNTR,2014-07-24,6298.6,,,,,,,
MECNTR,2014-07-25,6161.73,,,,,,,
MECNTR,2014-07-28,6096.08,,,,,,,
MECNTR,2014-07-29,6124.07,,,,,,,
MECNTR,2014-07-30,6155.45,,,,,,,
MECNTR,2014-07-31,6074.32,,,,,,,
MECNTR,2014-08-01,6028.44,,,,,,,
MECNTR,2014-08-04,6091.39,,,,,,,
MECNTR,2014-08-05,6029.8,,,,,,,
MECNTR,2014-08-06,5984.25,,,,,,,
MECNTR,2014-08-07,5831.2,,,,,,,
MECNTR,2014-08-08,6017.95,,,,,,,
MECNTR,2014-08-11,6067.47,,,,,,,
MECNTR,2014-08-12,5972.26,,,,,,,
MECNTR,2014-08-13,6094.4,,,,,,,
MECNTR,2014-08-14,6108.61,,,,,,,
MECNTR,2014-08-15,6130.1,,,,,,,
MECNTR,2014-08-18,6106.71,,,,,,,
MECNTR,2014-08-19,6121.14,,,,,,,
MECNTR,2014-08-20,6101.91,,,,,,,
MECNTR,2014-08-21,6117.72,,,,,,,
MECNTR,2014-08-22,6100.14,,,,,,,
MECNTR,2014-08-25,6073.3,,,,,,,
MECNTR,2014-08-26,6076.76,,,,,,,
MECNTR,2014-08-27,6039.88,,,,,,,
MECNTR,2014-08-28,5994.49,,,,,,,
MECNTR,2014-08-29,5966.5,,,,,,,
MECNTR,2014-09-01,5899.57,,,,,,,
MECNTR,2014-09-02,5901.57,,,,,,,
MECNTR,2014-09-03,6062.41,,,,,,,
MECNTR,2014-09-04,6040.11,,,,,,,
MECNTR,2014-09-05,6091.63,,,,,,,
MECNTR,2014-09-08,6030.56,,,,,,,
MECNTR,2014-09-09,6026.88,,,,,,,
MECNTR,2014-09-10,6021.43,,,,,,,
MECNTR,2014-09-11,6010.89,,,,,,,
MECNTR,2014-09-12,6060.15,,,,,,,
MECNTR,2014-09-15,6046.04,,,,,,,
