secid,tradedate,open,close,low,high,capitalization
MEFNTR,2013-12-30,,5362.37,,,
MEFNTR,2014-01-06,,5234.32,,,
MEFNTR,2014-01-08,,5273.12,,,
MEFNTR,2014-01-09,,5305.7,,,
MEFNTR,2014-01-10,,5335.12,,,
MEFNTR,2014-01-13,,5359.4,,,
MEFNTR,2014-01-14,,5309.68,,,
MEFNTR,2014-01-15,,5316.92,,,
MEFNTR,2014-01-16,,5320.08,,,
MEFNTR,2014-01-17,,5342.87,,,
MEFNTR,2014-01-20,,5321.87,,,
MEFNTR,2014-01-21,,5326.44,,,
MEFNTR,2014-01-22,,5263.12,,,
MEFNTR,2014-01-23,,5198.38,,,
MEFNTR,2014-01-24,,5365.28,,,
MEFNTR,2014-01-27,,5016.29,,,
MEFNTR,2014-01-28,,5024.78,,,
MEFNTR,2014-01-29,,5020.1,,,
MEFNTR,2014-01-30,,4997.39,,,
MEFNTR,2014-01-31,,4993.34,,,
MEFNTR,2014-02-03,,5008.68,,,
MEFNTR,2014-02-04,,4985.52,,,
MEFNTR,2014-02-05,,5068.06,,,
MEFNTR,2014-02-06,,5124.04,,,
MEFNTR,2014-02-07,,5135.8,,,
MEFNTR,2014-02-10,,5095.06,,,
MEFNTR,2014-02-11,,5112.23,,,
MEFNTR,2014-02-12,,5146.73,,,
MEFNTR,2014-02-13,,5082.55,,,
MEFNTR,2014-02-14,,5139.9,,,
MEFNTR,2014-02-17,,5156.85,,,
MEFNTR,2014-02-18,,5116.81,,,
MEFNTR,2014-02-19,,5019.2,,,
MEFNTR,2014-02-20,,4943.56,,,
MEFNTR,2014-02-21,,5023.44,,,
MEFNTR,2014-02-24,,5034.59,,,
MEFNTR,2014-02-25,,4983.49,,,
MEFNTR,2014-02-26,,4950.39,,,
MEFNTR,2014-02-27,,4873.07,,,
MEFNTR,2014-02-28,,4875.03,,,
MEFNTR,2014-03-03,,4194.72,,,
MEFNTR,2014-03-04,,4366.76,,,
MEFNTR,2014-03-05,,4380.54,,,
MEFNTR,2014-03-06,,4302.08,,,
MEFNTR,2014-03-07,,4231.4,,,
MEFNTR,2014-03-11,,4098.58,,,
MEFNTR,2014-03-12,,3922.18,,,
MEFNTR,2014-03-13,,3762.66,,,
MEFNTR,2014-03-14,,3744.91,,,
MEFNTR,2014-03-17,,3933.34,,,
MEFNTR,2014-03-18,,4223.8,,,
MEFNTR,2014-03-19,,4169.03,,,
MEFNTR,2014-03-20,,4201.6,,,
MEFNTR,2014-03-21,,4113.17,,,
MEFNTR,2014-03-24,,4147.8,,,
MEFNTR,2014-03-25,,4276.52,,,
MEFNTR,2014-03-26,,4362.29,,,
MEFNTR,2014-03-27,,4277.64,,,
MEFNTR,2014-03-28,,4352.52,,,
MEFNTR,2014-03-31,,4428.99,,,
MEFNTR,2014-04-01,,4467.28,,,
MEFNTR,2014-04-02,,4464.57,,,
MEFNTR,2014-04-03,,4455.39,,,
