secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MEMMTR,2013-12-30,2264.99,,,,,,,
MEMMTR,2014-01-06,2198.83,,,,,,,
MEMMTR,2014-01-08,2183.63,,,,,,,
MEMMTR,2014-01-09,2184.66,,,,,,,
MEMMTR,2014-01-10,2201.69,,,,,,,
MEMMTR,2014-01-13,2228.7,,,,,,,
MEMMTR,2014-01-14,2212.0,,,,,,,
MEMMTR,2014-01-15,2202.39,,,,,,,
MEMMTR,2014-01-16,2207.08,,,,,,,
MEMMTR,2014-01-17,2231.2,,,,,,,
MEMMTR,2014-01-20,2265.32,,,,,,,
MEMMTR,2014-01-21,2303.56,,,,,,,
MEMMTR,2014-01-22,2306.58,,,,,,,
MEMMTR,2014-01-23,2312.4,,,,,,,
MEMMTR,2014-01-24,2330.53,,,,,,,
MEMMTR,2014-01-27,2319.69,,,,,,,
MEMMTR,2014-01-28,2312.71,,,,,,,
MEMMTR,2014-01-29,2288.31,,,,,,,
MEMMTR,2014-01-30,2287.06,,,,,,,
MEMMTR,2014-01-31,2264.71,,,,,,,
MEMMTR,2014-02-03,2240.82,,,,,,,
MEMMTR,2014-02-04,2226.97,,,,,,,
MEMMTR,2014-02-05,2286.59,,,,,,,
MEMMTR,2014-02-06,2303.48,,,,,,,
MEMMTR,2014-02-07,2318.72,,,,,,,
MEMMTR,2014-02-10,2320.41,,,,,,,
MEMMTR,2014-02-11,2329.11,,,,,,,
MEMMTR,2014-02-12,2359.95,,,,,,,
MEMMTR,2014-02-13,2331.35,,,,,,,
MEMMTR,2014-02-14,2379.17,,,,,,,
MEMMTR,2014-02-17,2416.83,,,,,,,
MEMMTR,2014-02-18,2402.33,,,,,,,
MEMMTR,2014-02-19,2372.64,,,,,,,
MEMMTR,2014-02-20,2356.79,,,,,,,
MEMMTR,2014-02-21,2382.33,,,,,,,
MEMMTR,2014-02-24,2386.36,,,,,,,
MEMMTR,2014-02-25,2365.9,,,,,,,
MEMMTR,2014-02-26,2366.12,,,,,,,
MEMMTR,2014-02-27,2350.49,,,,,,,
MEMMTR,2014-02-28,2355.62,,,,,,,
MEMMTR,2014-03-03,2121.28,,,,,,,
MEMMTR,2014-03-04,2186.77,,,,,,,
MEMMTR,2014-03-05,2191.61,,,,,,,
MEMMTR,2014-03-06,2217.36,,,,,,,
MEMMTR,2014-03-07,2213.59,,,,,,,
MEMMTR,2014-03-11,2161.15,,,,,,,
MEMMTR,2014-03-12,2086.73,,,,,,,
MEMMTR,2014-03-13,2046.23,,,,,,,
MEMMTR,2014-03-14,1984.57,,,,,,,
MEMMTR,2014-03-17,2080.02,,,,,,,
MEMMTR,2014-03-18,2147.79,,,,,,,
MEMMTR,2014-03-19,2125.93,,,,,,,
MEMMTR,2014-03-20,2112.97,,,,,,,
MEMMTR,2014-03-21,2122.14,,,,,,,
MEMMTR,2014-03-24,2127.71,,,,,,,
MEMMTR,2014-03-25,2129.43,,,,,,,
MEMMTR,2014-03-26,2142.73,,,,,,,
MEMMTR,2014-03-27,2129.88,,,,,,,
MEMMTR,2014-03-28,2149.4,,,,,,,
MEMMTR,2014-03-31,2185.02,,,,,,,
MEMMTR,2014-04-01,2212.46,,,,,,,
MEMMTR,2014-04-02,2215.62,,,,,,,
MEMMTR,2014-04-03,2193.2,,,,,,,
MEMMTR,2014-04-04,2231.42,,,,,,,
MEMMTR,2014-04-07,2196.42,,,,,,,
MEMMTR,2014-04-08,2223.58,,,,,,,
MEMMTR,2014-04-09,2247.71,,,,,,,
MEMMTR,2014-04-10,2305.02,,,,,,,
MEMMTR,2014-04-11,2311.24,,,,,,,
MEMMTR,2014-04-14,2273.8,,,,,,,
MEMMTR,2014-04-15,2230.37,,,,,,,
MEMMTR,2014-04-16,2256.2,,,,,,,
MEMMTR,2014-04-17,2254.88,,,,,,,
MEMMTR,2014-04-18,2279.43,,,,,,,
MEMMTR,2014-04-21,2262.21,,,,,,,
MEMMTR,2014-04-22,2255.9,,,,,,,
MEMMTR,2014-04-23,2254.27,,,,,,,
MEMMTR,2014-04-24,2211.25,,,,,,,
MEMMTR,2014-04-25,2191.74,,,,,,,
MEMMTR,2014-04-28,2214.81,,,,,,,
MEMMTR,2014-04-29,2205.53,,,,,,,
MEMMTR,2014-04-30,2194.52,,,,,,,
MEMMTR,2014-05-02,2187.5,,,,,,,
MEMMTR,2014-05-05,2181.77,,,,,,,
MEMMTR,2014-05-06,2212.74,,,,,,,
MEMMTR,2014-05-07,2292.7,,,,,,,
MEMMTR,2014-05-08,2315.35,,,,,,,
MEMMTR,2014-05-12,2334.46,,,,,,,
