secid,tradedate,open,close,low,high,capitalization
MEOGTR,2013-12-30,,3491.14,,,
MEOGTR,2014-01-06,,3402.53,,,
MEOGTR,2014-01-08,,3382.57,,,
MEOGTR,2014-01-09,,3397.3,,,
MEOGTR,2014-01-10,,3413.57,,,
MEOGTR,2014-01-13,,3434.46,,,
MEOGTR,2014-01-14,,3425.47,,,
MEOGTR,2014-01-15,,3451.44,,,
MEOGTR,2014-01-16,,3425.17,,,
MEOGTR,2014-01-17,,3447.27,,,
MEOGTR,2014-01-20,,3471.8,,,
MEOGTR,2014-01-21,,3500.02,,,
MEOGTR,2014-01-22,,3496.11,,,
MEOGTR,2014-01-23,,3506.95,,,
MEOGTR,2014-01-24,,3496.45,,,
MEOGTR,2014-01-27,,3490.2,,,
MEOGTR,2014-01-28,,3446.77,,,
MEOGTR,2014-01-29,,3437.41,,,
MEOGTR,2014-01-30,,3457.2,,,
MEOGTR,2014-01-31,,3422.94,,,
MEOGTR,2014-02-03,,3369.71,,,
MEOGTR,2014-02-04,,3369.38,,,
MEOGTR,2014-02-05,,3395.17,,,
MEOGTR,2014-02-06,,3424.6,,,
MEOGTR,2014-02-07,,3457.61,,,
MEOGTR,2014-02-10,,3471.37,,,
MEOGTR,2014-02-11,,3491.52,,,
MEOGTR,2014-02-12,,3525.97,,,
MEOGTR,2014-02-13,,3492.11,,,
MEOGTR,2014-02-14,,3530.11,,,
MEOGTR,2014-02-17,,3546.67,,,
MEOGTR,2014-02-18,,3545.12,,,
MEOGTR,2014-02-19,,3518.55,,,
MEOGTR,2014-02-20,,3510.83,,,
MEOGTR,2014-02-21,,3519.2,,,
MEOGTR,2014-02-24,,3525.55,,,
MEOGTR,2014-02-25,,3510.93,,,
MEOGTR,2014-02-26,,3513.76,,,
MEOGTR,2014-02-27,,3474.11,,,
MEOGTR,2014-02-28,,3458.02,,,
MEOGTR,2014-03-03,,3178.27,,,
MEOGTR,2014-03-04,,3309.01,,,
MEOGTR,2014-03-05,,3296.94,,,
MEOGTR,2014-03-06,,3262.55,,,
MEOGTR,2014-03-07,,3277.18,,,
MEOGTR,2014-03-11,,3216.48,,,
MEOGTR,2014-03-12,,3161.8,,,
MEOGTR,2014-03-13,,3116.27,,,
MEOGTR,2014-03-14,,3066.65,,,
MEOGTR,2014-03-17,,3141.8,,,
MEOGTR,2014-03-18,,3228.73,,,
MEOGTR,2014-03-19,,3192.81,,,
MEOGTR,2014-03-20,,3205.15,,,
MEOGTR,2014-03-21,,3167.35,,,
MEOGTR,2014-03-24,,3120.9,,,
MEOGTR,2014-03-25,,3175.1,,,
MEOGTR,2014-03-26,,3244.28,,,
MEOGTR,2014-03-27,,3209.41,,,
MEOGTR,2014-03-28,,3224.6,,,
MEOGTR,2014-03-31,,3280.62,,,
MEOGTR,2014-04-01,,3285.2,,,
MEOGTR,2014-04-02,,3277.65,,,
MEOGTR,2014-04-03,,3266.16,,,
MEOGTR,2014-04-04,,3305.57,,,
MEOGTR,2014-04-07,,3246.9,,,
MEOGTR,2014-04-08,,3265.48,,,
MEOGTR,2014-04-09,,3271.09,,,
MEOGTR,2014-04-10,,3320.48,,,
MEOGTR,2014-04-11,,3296.98,,,
MEOGTR,2014-04-14,,3273.04,,,
MEOGTR,2014-04-15,,3204.09,,,
MEOGTR,2014-04-16,,3225.36,,,
MEOGTR,2014-04-17,,3232.87,,,
MEOGTR,2014-04-18,,3300.29,,,
MEOGTR,2014-04-21,,3276.98,,,
MEOGTR,2014-04-22,,3262.46,,,
MEOGTR,2014-04-23,,3250.28,,,
MEOGTR,2014-04-24,,3202.25,,,
MEOGTR,2014-04-25,,3171.32,,,
MEOGTR,2014-04-28,,3207.87,,,
MEOGTR,2014-04-29,,3232.09,,,
MEOGTR,2014-04-30,,3222.5,,,
MEOGTR,2014-05-02,,3215.99,,,
MEOGTR,2014-05-05,,3201.49,,,
MEOGTR,2014-05-06,,3243.73,,,
MEOGTR,2014-05-07,,3339.16,,,
MEOGTR,2014-05-08,,3329.31,,,
MEOGTR,2014-05-12,,3339.3,,,
MEOGTR,2014-05-13,,3343.87,,,
MEOGTR,2014-05-14,,3361.99,,,
MEOGTR,2014-05-15,,3341.64,,,
MEOGTR,2014-05-16,,3371.62,,,
MEOGTR,2014-05-19,,3415.74,,,
MEOGTR,2014-05-20,,3444.06,,,
MEOGTR,2014-05-21,,3487.56,,,
MEOGTR,2014-05-22,,3465.02,,,
MEOGTR,2014-05-23,,3467.88,,,
MEOGTR,2014-05-26,,3486.38,,,
MEOGTR,2014-05-27,,3390.07,,,
MEOGTR,2014-05-28,,3387.66,,,
MEOGTR,2014-05-29,,3428.52,,,
MEOGTR,2014-05-30,,3368.62,,,
MEOGTR,2014-06-02,,3457.57,,,
MEOGTR,2014-06-03,,3469.25,,,
MEOGTR,2014-06-04,,3465.15,,,
MEOGTR,2014-06-05,,3470.01,,,
MEOGTR,2014-06-06,,3516.62,,,
MEOGTR,2014-06-09,,3524.1,,,
MEOGTR,2014-06-10,,3543.92,,,
MEOGTR,2014-06-11,,3580.84,,,
MEOGTR,2014-06-16,,3615.59,,,
MEOGTR,2014-06-17,,3616.1,,,
MEOGTR,2014-06-18,,3647.81,,,
MEOGTR,2014-06-19,,3620.62,,,
MEOGTR,2014-06-20,,3619.59,,,
MEOGTR,2014-06-23,,3630.42,,,
MEOGTR,2014-06-24,,3711.73,,,
MEOGTR,2014-06-25,,3612.82,,,
MEOGTR,2014-06-26,,3588.16,,,
MEOGTR,2014-06-27,,3601.81,,,
MEOGTR,2014-06-30,,3601.85,,,
MEOGTR,2014-07-01,,3607.11,,,
MEOGTR,2014-07-02,,3685.77,,,
MEOGTR,2014-07-03,,3672.86,,,
MEOGTR,2014-07-04,,3621.54,,,
MEOGTR,2014-07-07,,3690.29,,,
MEOGTR,2014-07-08,,3701.87,,,
MEOGTR,2014-07-09,,3680.87,,,
MEOGTR,2014-07-10,,3641.84,,,
MEOGTR,2014-07-11,,3652.26,,,
