secid,tradedate,open,close,low,high,capitalization
MERETR,2020-03-20,5000.0,5000.0,5000.0,5000.0,
MERETR,2020-03-23,5020.25,5020.25,5020.25,5020.25,
MERETR,2020-03-24,5353.3,5353.3,5353.3,5353.3,
MERETR,2020-03-25,5411.59,5411.59,5411.59,5411.59,
MERETR,2020-03-26,5409.45,5409.45,5409.45,5409.45,
MERETR,2020-03-27,5343.62,5343.62,5343.62,5343.62,
MERETR,2020-03-30,5298.52,5298.52,5298.52,5298.52,
MERETR,2020-03-31,5440.21,5440.21,5440.21,5440.21,
MERETR,2020-04-01,5403.08,5403.08,5403.08,5403.08,
MERETR,2020-04-02,5452.67,5452.67,5452.67,5452.67,
MERETR,2020-04-03,5412.64,5412.64,5412.64,5412.64,
MERETR,2020-04-06,5404.8,5404.8,5404.8,5404.8,
MERETR,2020-04-07,5330.76,5330.76,5330.76,5330.76,
MERETR,2020-04-08,5364.17,5364.17,5364.17,5364.17,
MERETR,2020-04-09,5319.66,5319.66,5319.66,5319.66,
MERETR,2020-04-10,5316.21,5316.21,5316.21,5316.21,
MERETR,2020-04-13,5231.3,5231.3,5231.3,5231.3,
MERETR,2020-04-14,5243.38,5243.38,5243.38,5243.38,
MERETR,2020-04-15,5055.0,5055.0,5055.0,5055.0,
MERETR,2020-04-16,5103.24,5103.24,5103.24,5103.24,
MERETR,2020-04-17,5069.5,5069.5,5069.5,5069.5,
MERETR,2020-04-20,5093.72,5093.72,5093.72,5093.72,
MERETR,2020-04-21,4986.85,4986.85,4986.85,4986.85,
MERETR,2020-04-22,5057.78,5057.78,5057.78,5057.78,
MERETR,2020-04-23,5078.33,5078.33,5078.33,5078.33,
MERETR,2020-04-24,5053.58,5053.58,5053.58,5053.58,
MERETR,2020-04-27,5074.18,5074.18,5074.18,5074.18,
MERETR,2020-04-28,5161.3,5161.3,5161.3,5161.3,
MERETR,2020-04-29,5185.98,5185.98,5185.98,5185.98,
MERETR,2020-04-30,5198.21,5198.21,5198.21,5198.21,
MERETR,2020-05-04,5195.48,5195.48,5195.48,5195.48,
MERETR,2020-05-05,5199.6,5199.6,5199.6,5199.6,
MERETR,2020-05-06,5174.1,5174.1,5174.1,5174.1,
MERETR,2020-05-07,5164.72,5164.72,5164.72,5164.72,
MERETR,2020-05-08,5164.53,5164.53,5164.53,5164.53,
MERETR,2020-05-12,5088.83,5088.83,5088.83,5088.83,
MERETR,2020-05-13,5043.55,5043.55,5043.55,5043.55,
MERETR,2020-05-14,4956.87,4956.87,4956.87,4956.87,
MERETR,2020-05-15,4988.52,4988.52,4988.52,4988.52,
MERETR,2020-05-18,5079.12,5079.12,5079.12,5079.12,
MERETR,2020-05-19,5101.57,5101.57,5101.57,5101.57,
MERETR,2020-05-20,5064.99,5064.99,5064.99,5064.99,
MERETR,2020-05-21,5078.58,5078.58,5078.58,5078.58,
MERETR,2020-05-22,5082.14,5082.14,5082.14,5082.14,
MERETR,2020-05-25,5136.93,5136.93,5136.93,5136.93,
MERETR,2020-05-26,5141.29,5141.29,5141.29,5141.29,
MERETR,2020-05-27,5141.66,5141.66,5141.66,5141.66,
MERETR,2020-05-28,5217.04,5217.04,5217.04,5217.04,
MERETR,2020-05-29,5200.24,5200.24,5200.24,5200.24,
MERETR,2020-06-01,5157.43,5157.43,5157.43,5157.43,
MERETR,2020-06-02,5186.03,5186.03,5186.03,5186.03,
MERETR,2020-06-03,5342.07,5342.07,5342.07,5342.07,
MERETR,2020-06-04,5353.67,5353.67,5353.67,5353.67,
MERETR,2020-06-05,5447.16,5447.16,5447.16,5447.16,
MERETR,2020-06-08,5550.76,5550.76,5550.76,5550.76,
MERETR,2020-06-09,5490.22,5490.22,5490.22,5490.22,
MERETR,2020-06-10,5565.69,5565.69,5565.69,5565.69,
MERETR,2020-06-11,5535.63,5535.63,5535.63,5535.63,
MERETR,2020-06-15,5539.03,5539.03,5539.03,5539.03,
MERETR,2020-06-16,5691.53,5691.53,5691.53,5691.53,
MERETR,2020-06-17,5680.29,5680.29,5680.29,5680.29,
MERETR,2020-06-18,5653.62,5653.62,5653.62,5653.62,
MERETR,2020-06-19,5805.37,5805.37,5805.37,5805.37,
MERETR,2020-06-22,5812.96,5812.96,5812.96,5812.96,
MERETR,2020-06-23,5917.25,5917.25,5917.25,5917.25,
MERETR,2020-06-25,5856.83,5856.83,5856.83,5856.83,
MERETR,2020-06-26,5897.33,5897.33,5897.33,5897.33,
MERETR,2020-06-29,5941.02,5941.02,5941.02,5941.02,
MERETR,2020-06-30,5896.57,5896.57,5896.57,5896.57,
MERETR,2020-07-02,6022.74,6022.74,6022.74,6022.74,
MERETR,2020-07-03,6001.96,6001.96,6001.96,6001.96,
MERETR,2020-07-06,6028.13,6028.13,6028.13,6028.13,
MERETR,2020-07-07,5964.25,5964.25,5964.25,5964.25,
MERETR,2020-07-08,5950.03,5950.03,5950.03,5950.03,
MERETR,2020-07-09,5863.95,5863.95,5863.95,5863.95,
MERETR,2020-07-10,5836.0,5836.0,5836.0,5836.0,
MERETR,2020-07-13,5764.3,5764.3,5764.3,5764.3,
MERETR,2020-07-14,5915.39,5915.39,5915.39,5915.39,
MERETR,2020-07-15,5950.82,5950.82,5950.82,5950.82,
MERETR,2020-07-16,6055.31,6055.31,6055.31,6055.31,
MERETR,2020-07-17,6077.64,6077.64,6077.64,6077.64,
MERETR,2020-07-20,6158.49,6158.49,6158.49,6158.49,
MERETR,2020-07-21,6324.23,6324.23,6324.23,6324.23,
MERETR,2020-07-22,6335.59,6335.59,6335.59,6335.59,
MERETR,2020-07-23,6252.7,6252.7,6252.7,6252.7,
MERETR,2020-07-24,6308.75,6308.75,6308.75,6308.75,
MERETR,2020-07-27,6403.69,6403.69,6403.69,6403.69,
MERETR,2020-07-28,6531.34,6531.34,6531.34,6531.34,
MERETR,2020-07-29,6673.61,6673.61,6673.61,6673.61,
MERETR,2020-07-30,6565.03,6565.03,6565.03,6565.03,
MERETR,2020-07-31,6539.01,6539.01,6539.01,6539.01,
MERETR,2020-08-03,6651.87,6651.87,6651.87,6651.87,
MERETR,2020-08-04,6742.46,6742.46,6742.46,6742.46,
MERETR,2020-08-05,6727.59,6727.59,6727.59,6727.59,
MERETR,2020-08-06,6723.65,6723.65,6723.65,6723.65,
MERETR,2020-08-07,6691.56,6691.56,6691.56,6691.56,
MERETR,2020-08-10,6679.88,6679.88,6679.88,6679.88,
MERETR,2020-08-11,6681.78,6681.78,6681.78,6681.78,
MERETR,2020-08-12,6726.36,6726.36,6726.36,6726.36,
MERETR,2020-08-13,6747.03,6747.03,6747.03,6747.03,
MERETR,2020-08-14,6789.48,6789.48,6789.48,6789.48,
MERETR,2020-08-17,6746.09,6746.09,6746.09,6746.09,
MERETR,2020-08-18,6760.41,6760.41,6760.41,6760.41,
MERETR,2020-08-19,6741.61,6741.61,6741.61,6741.61,
MERETR,2020-08-20,6692.91,6692.91,6692.91,6692.91,
MERETR,2020-08-21,6754.65,6754.65,6754.65,6754.65,
MERETR,2020-08-24,6731.2,6731.2,6731.2,6731.2,
MERETR,2020-08-25,6788.58,6788.58,6788.58,6788.58,
MERETR,2020-08-26,6819.86,6819.86,6819.86,6819.86,
MERETR,2020-08-27,6833.85,6833.85,6833.85,6833.85,
MERETR,2020-08-28,6813.85,6813.85,6813.85,6813.85,
MERETR,2020-08-31,6865.35,6865.35,6865.35,6865.35,
MERETR,2020-09-01,7014.5,7014.5,7014.5,7014.5,
MERETR,2020-09-02,7078.31,7078.31,7078.31,7078.31,
MERETR,2020-09-03,7113.04,7113.04,7113.04,7113.04,
MERETR,2020-09-04,7092.6,7092.6,7092.6,7092.6,
MERETR,2020-09-07,7243.83,7243.83,7243.83,7243.83,
MERETR,2020-09-08,7310.21,7310.21,7310.21,7310.21,
MERETR,2020-09-09,7355.61,7355.61,7355.61,7355.61,
MERETR,2020-09-10,7407.54,7407.54,7407.54,7407.54,
MERETR,2020-09-11,7399.29,7399.29,7399.29,7399.29,
MERETR,2020-09-14,7462.6,7462.6,7462.6,7462.6,
MERETR,2020-09-15,7543.67,7543.67,7543.67,7543.67,
MERETR,2020-09-16,7569.02,7569.02,7569.02,7569.02,
MERETR,2020-09-17,7488.32,7488.32,7488.32,7488.32,
MERETR,2020-09-18,7585.54,7585.54,7585.54,7585.54,
MERETR,2020-09-21,7412.87,7412.87,7412.87,7412.87,
MERETR,2020-09-22,7495.67,7495.67,7495.67,7495.67,
MERETR,2020-09-23,7553.99,7553.99,7553.99,7553.99,
MERETR,2020-09-24,7568.57,7568.57,7568.57,7568.57,
MERETR,2020-09-25,7529.33,7529.33,7529.33,7529.33,
MERETR,2020-09-28,7626.88,7626.88,7626.88,7626.88,
MERETR,2020-09-29,7654.92,7654.92,7654.92,7654.92,
MERETR,2020-09-30,7568.81,7568.81,7568.81,7568.81,
MERETR,2020-10-01,7603.29,7603.29,7603.29,7603.29,
MERETR,2020-10-02,7621.27,7621.27,7621.27,7621.27,
MERETR,2020-10-05,7661.23,7661.23,7661.23,7661.23,
MERETR,2020-10-06,7667.88,7667.88,7667.88,7667.88,
MERETR,2020-10-07,7661.34,7661.34,7661.34,7661.34,
MERETR,2020-10-08,7656.16,7656.16,7656.16,7656.16,
MERETR,2020-10-09,7601.18,7601.18,7601.18,7601.18,
MERETR,2020-10-12,7707.29,7707.29,7707.29,7707.29,
MERETR,2020-10-13,7694.45,7694.45,7694.45,7694.45,
MERETR,2020-10-14,7834.09,7834.09,7834.09,7834.09,
MERETR,2020-10-15,7859.07,7859.07,7859.07,7859.07,
MERETR,2020-10-16,7894.33,7894.33,7894.33,7894.33,
MERETR,2020-10-19,7932.95,7932.95,7932.95,7932.95,
MERETR,2020-10-20,8132.47,8132.47,8132.47,8132.47,
MERETR,2020-10-21,8062.04,8062.04,8062.04,8062.04,
MERETR,2020-10-22,8156.34,8156.34,8156.34,8156.34,
MERETR,2020-10-23,8180.29,8180.29,8180.29,8180.29,
MERETR,2020-10-26,7939.44,7939.44,7939.44,7939.44,
MERETR,2020-10-27,7898.66,7898.66,7898.66,7898.66,
MERETR,2020-10-28,7736.52,7736.52,7736.52,7736.52,
MERETR,2020-10-29,7791.19,7791.19,7791.19,7791.19,
MERETR,2020-10-30,7817.15,7817.15,7817.15,7817.15,
MERETR,2020-11-02,7721.6,7721.6,7721.6,7721.6,
MERETR,2020-11-03,7765.25,7765.25,7765.25,7765.25,
MERETR,2020-11-05,7967.16,7967.16,7967.16,7967.16,
MERETR,2020-11-06,8064.81,8064.81,8064.81,8064.81,
MERETR,2020-11-09,8139.0,8139.0,8139.0,8139.0,
MERETR,2020-11-10,8159.54,8159.54,8159.54,8159.54,
MERETR,2020-11-11,8140.27,8140.27,8140.27,8140.27,
MERETR,2020-11-12,8128.24,8128.24,8128.24,8128.24,
MERETR,2020-11-13,8128.7,8128.7,8128.7,8128.7,
MERETR,2020-11-16,8151.57,8151.57,8151.57,8151.57,
MERETR,2020-11-17,8181.4,8181.4,8181.4,8181.4,
MERETR,2020-11-18,8244.51,8244.51,8244.51,8244.51,
MERETR,2020-11-19,8250.12,8250.12,8250.12,8250.12,
MERETR,2020-11-20,8202.06,8202.06,8202.06,8202.06,
MERETR,2020-11-23,8083.61,8083.61,8083.61,8083.61,
MERETR,2020-11-24,8117.61,8117.61,8117.61,8117.61,
MERETR,2020-11-25,8110.52,8110.52,8110.52,8110.52,
MERETR,2020-11-26,8109.7,8109.7,8109.7,8109.7,
MERETR,2020-11-27,8118.97,8118.97,8118.97,8118.97,
MERETR,2020-11-30,8092.19,8092.19,8092.19,8092.19,
MERETR,2020-12-01,8075.21,8075.21,8075.21,8075.21,
MERETR,2020-12-02,8068.15,8068.15,8068.15,8068.15,
MERETR,2020-12-03,8080.1,8080.1,8080.1,8080.1,
MERETR,2020-12-04,8005.72,8005.72,8005.72,8005.72,
MERETR,2020-12-07,7991.05,7991.05,7991.05,7991.05,
MERETR,2020-12-08,7949.99,7949.99,7949.99,7949.99,
MERETR,2020-12-09,7870.34,7870.34,7870.34,7870.34,
MERETR,2020-12-10,7903.12,7903.12,7903.12,7903.12,
MERETR,2020-12-11,7862.5,7862.5,7862.5,7862.5,
MERETR,2020-12-14,7901.18,7901.18,7901.18,7901.18,
MERETR,2020-12-15,7955.46,7955.46,7955.46,7955.46,
MERETR,2020-12-16,7960.61,7960.61,7960.61,7960.61,
