secid,tradedate,open,close,low,high,capitalization
METLTR,2013-12-30,,2402.69,,,
METLTR,2014-01-06,,2324.39,,,
METLTR,2014-01-08,,2319.51,,,
METLTR,2014-01-09,,2303.37,,,
METLTR,2014-01-10,,2323.17,,,
METLTR,2014-01-13,,2327.04,,,
METLTR,2014-01-14,,2316.78,,,
METLTR,2014-01-15,,2335.01,,,
METLTR,2014-01-16,,2301.89,,,
METLTR,2014-01-17,,2304.71,,,
METLTR,2014-01-20,,2311.39,,,
METLTR,2014-01-21,,2321.49,,,
METLTR,2014-01-22,,2293.75,,,
METLTR,2014-01-23,,2287.82,,,
METLTR,2014-01-24,,2278.69,,,
METLTR,2014-01-27,,2246.23,,,
METLTR,2014-01-28,,2249.06,,,
METLTR,2014-01-29,,2221.56,,,
METLTR,2014-01-30,,2207.87,,,
METLTR,2014-01-31,,2189.24,,,
METLTR,2014-02-03,,2194.54,,,
METLTR,2014-02-04,,2232.49,,,
METLTR,2014-02-05,,2239.96,,,
METLTR,2014-02-06,,2246.59,,,
METLTR,2014-02-07,,2274.35,,,
METLTR,2014-02-10,,2276.91,,,
METLTR,2014-02-11,,2287.42,,,
METLTR,2014-02-12,,2291.67,,,
METLTR,2014-02-13,,2242.15,,,
METLTR,2014-02-14,,2258.21,,,
METLTR,2014-02-17,,2273.95,,,
METLTR,2014-02-18,,2259.01,,,
METLTR,2014-02-19,,2208.03,,,
METLTR,2014-02-20,,2177.99,,,
METLTR,2014-02-21,,2199.08,,,
METLTR,2014-02-24,,2190.98,,,
METLTR,2014-02-25,,2168.89,,,
METLTR,2014-02-26,,2132.77,,,
METLTR,2014-02-27,,2094.78,,,
METLTR,2014-02-28,,2097.48,,,
METLTR,2014-03-03,,1828.35,,,
METLTR,2014-03-04,,1935.64,,,
METLTR,2014-03-05,,1941.59,,,
METLTR,2014-03-06,,1948.9,,,
METLTR,2014-03-07,,1917.08,,,
METLTR,2014-03-11,,1872.74,,,
METLTR,2014-03-12,,1791.62,,,
METLTR,2014-03-13,,1769.78,,,
METLTR,2014-03-14,,1757.53,,,
METLTR,2014-03-17,,1849.63,,,
METLTR,2014-03-18,,1936.6,,,
METLTR,2014-03-19,,1911.27,,,
METLTR,2014-03-20,,1911.6,,,
METLTR,2014-03-21,,1890.37,,,
METLTR,2014-03-24,,1910.45,,,
METLTR,2014-03-25,,1950.15,,,
METLTR,2014-03-26,,1985.49,,,
METLTR,2014-03-27,,1949.71,,,
METLTR,2014-03-28,,1995.96,,,
METLTR,2014-03-31,,1981.0,,,
METLTR,2014-04-01,,1974.87,,,
METLTR,2014-04-02,,1989.19,,,
METLTR,2014-04-03,,1975.55,,,
METLTR,2014-04-04,,1972.5,,,
METLTR,2014-04-07,,1905.12,,,
METLTR,2014-04-08,,1885.27,,,
METLTR,2014-04-09,,1864.76,,,
METLTR,2014-04-10,,1888.22,,,
METLTR,2014-04-11,,1878.35,,,
METLTR,2014-04-14,,1847.54,,,
METLTR,2014-04-15,,1797.36,,,
METLTR,2014-04-16,,1817.09,,,
METLTR,2014-04-17,,1848.83,,,
METLTR,2014-04-18,,1909.2,,,
METLTR,2014-04-21,,1881.98,,,
METLTR,2014-04-22,,1887.77,,,
METLTR,2014-04-23,,1881.4,,,
METLTR,2014-04-24,,1841.76,,,
METLTR,2014-04-25,,1818.3,,,
METLTR,2014-04-28,,1842.7,,,
METLTR,2014-04-29,,1860.91,,,
METLTR,2014-04-30,,1870.06,,,
METLTR,2014-05-02,,1865.48,,,
METLTR,2014-05-05,,1860.12,,,
METLTR,2014-05-06,,1875.95,,,
METLTR,2014-05-07,,1938.45,,,
METLTR,2014-05-08,,1947.96,,,
METLTR,2014-05-12,,1929.72,,,
METLTR,2014-05-13,,1948.42,,,
METLTR,2014-05-14,,1943.46,,,
METLTR,2014-05-15,,1931.17,,,
METLTR,2014-05-16,,1938.26,,,
METLTR,2014-05-19,,1970.51,,,
METLTR,2014-05-20,,1993.52,,,
METLTR,2014-05-21,,2022.98,,,
METLTR,2014-05-22,,2008.29,,,
METLTR,2014-05-23,,2036.38,,,
METLTR,2014-05-26,,2047.26,,,
METLTR,2014-05-27,,1992.2,,,
METLTR,2014-05-28,,2021.25,,,
METLTR,2014-05-29,,2061.42,,,
METLTR,2014-05-30,,2042.99,,,
METLTR,2014-06-02,,2093.16,,,
METLTR,2014-06-03,,2100.36,,,
METLTR,2014-06-04,,2112.4,,,
METLTR,2014-06-05,,2130.3,,,
METLTR,2014-06-06,,2171.92,,,
METLTR,2014-06-09,,2170.64,,,
METLTR,2014-06-10,,2162.15,,,
METLTR,2014-06-11,,2174.43,,,
METLTR,2014-06-16,,2185.68,,,
METLTR,2014-06-17,,2154.1,,,
METLTR,2014-06-18,,2167.5,,,
METLTR,2014-06-19,,2196.1,,,
METLTR,2014-06-20,,2207.45,,,
METLTR,2014-06-23,,2186.09,,,
METLTR,2014-06-24,,2250.39,,,
METLTR,2014-06-25,,2178.83,,,
METLTR,2014-06-26,,2156.26,,,
METLTR,2014-06-27,,2183.8,,,
METLTR,2014-06-30,,2175.83,,,
METLTR,2014-07-01,,2206.93,,,
METLTR,2014-07-02,,2257.16,,,
METLTR,2014-07-03,,2303.51,,,
METLTR,2014-07-04,,2264.89,,,
METLTR,2014-07-07,,2310.25,,,
