secid,tradedate,close,open,high,low,value,duration,yield,capitalization
METNTR,2013-12-30,1375.42,,,,,,,
METNTR,2014-01-06,1368.28,,,,,,,
METNTR,2014-01-08,1379.32,,,,,,,
METNTR,2014-01-09,1365.26,,,,,,,
METNTR,2014-01-10,1368.73,,,,,,,
METNTR,2014-01-13,1420.68,,,,,,,
METNTR,2014-01-14,1386.17,,,,,,,
METNTR,2014-01-15,1373.8,,,,,,,
METNTR,2014-01-16,1373.28,,,,,,,
METNTR,2014-01-17,1375.29,,,,,,,
METNTR,2014-01-20,1384.76,,,,,,,
METNTR,2014-01-21,1338.92,,,,,,,
METNTR,2014-01-22,1308.75,,,,,,,
METNTR,2014-01-23,1315.8,,,,,,,
METNTR,2014-01-24,1304.62,,,,,,,
METNTR,2014-01-27,1338.94,,,,,,,
METNTR,2014-01-28,1342.94,,,,,,,
METNTR,2014-01-29,1334.89,,,,,,,
METNTR,2014-01-30,1338.4,,,,,,,
METNTR,2014-01-31,1354.6,,,,,,,
METNTR,2014-02-03,1315.96,,,,,,,
METNTR,2014-02-04,1279.87,,,,,,,
METNTR,2014-02-05,1267.85,,,,,,,
METNTR,2014-02-06,1304.28,,,,,,,
METNTR,2014-02-07,1320.76,,,,,,,
METNTR,2014-02-10,1316.94,,,,,,,
METNTR,2014-02-11,1336.87,,,,,,,
METNTR,2014-02-12,1354.7,,,,,,,
METNTR,2014-02-13,1325.27,,,,,,,
METNTR,2014-02-14,1326.92,,,,,,,
METNTR,2014-02-17,1327.63,,,,,,,
METNTR,2014-02-18,1320.14,,,,,,,
METNTR,2014-02-19,1298.36,,,,,,,
METNTR,2014-02-20,1298.13,,,,,,,
METNTR,2014-02-21,1304.98,,,,,,,
METNTR,2014-02-24,1291.76,,,,,,,
METNTR,2014-02-25,1306.97,,,,,,,
METNTR,2014-02-26,1301.24,,,,,,,
METNTR,2014-02-27,1251.7,,,,,,,
METNTR,2014-02-28,1217.75,,,,,,,
METNTR,2014-03-03,1032.71,,,,,,,
METNTR,2014-03-04,1056.5,,,,,,,
METNTR,2014-03-05,1071.6,,,,,,,
METNTR,2014-03-06,1073.81,,,,,,,
METNTR,2014-03-07,1065.01,,,,,,,
METNTR,2014-03-11,1033.92,,,,,,,
METNTR,2014-03-12,1006.18,,,,,,,
METNTR,2014-03-13,947.41,,,,,,,
METNTR,2014-03-14,861.38,,,,,,,
METNTR,2014-03-17,866.31,,,,,,,
METNTR,2014-03-18,914.81,,,,,,,
METNTR,2014-03-19,961.87,,,,,,,
METNTR,2014-03-20,988.23,,,,,,,
METNTR,2014-03-21,973.49,,,,,,,
METNTR,2014-03-24,956.35,,,,,,,
METNTR,2014-03-25,973.66,,,,,,,
METNTR,2014-03-26,986.52,,,,,,,
METNTR,2014-03-27,978.47,,,,,,,
METNTR,2014-03-28,984.94,,,,,,,
METNTR,2014-03-31,998.33,,,,,,,
METNTR,2014-04-01,999.36,,,,,,,
METNTR,2014-04-02,994.78,,,,,,,
METNTR,2014-04-03,996.16,,,,,,,
METNTR,2014-04-04,1000.38,,,,,,,
METNTR,2014-04-07,968.75,,,,,,,
METNTR,2014-04-08,969.54,,,,,,,
METNTR,2014-04-09,977.03,,,,,,,
METNTR,2014-04-10,975.29,,,,,,,
METNTR,2014-04-11,968.54,,,,,,,
METNTR,2014-04-14,961.16,,,,,,,
METNTR,2014-04-15,927.92,,,,,,,
METNTR,2014-04-16,953.44,,,,,,,
METNTR,2014-04-17,963.62,,,,,,,
METNTR,2014-04-18,988.28,,,,,,,
METNTR,2014-04-21,988.53,,,,,,,
METNTR,2014-04-22,968.48,,,,,,,
METNTR,2014-04-23,967.34,,,,,,,
METNTR,2014-04-24,944.37,,,,,,,
METNTR,2014-04-25,937.11,,,,,,,
METNTR,2014-04-28,950.18,,,,,,,
METNTR,2014-04-29,957.63,,,,,,,
METNTR,2014-04-30,954.9,,,,,,,
METNTR,2014-05-02,947.79,,,,,,,
METNTR,2014-05-05,943.52,,,,,,,
METNTR,2014-05-06,946.07,,,,,,,
METNTR,2014-05-07,964.37,,,,,,,
METNTR,2014-05-08,958.03,,,,,,,
METNTR,2014-05-12,956.16,,,,,,,
METNTR,2014-05-13,968.82,,,,,,,
METNTR,2014-05-14,969.76,,,,,,,
METNTR,2014-05-15,955.68,,,,,,,
METNTR,2014-05-16,956.83,,,,,,,
METNTR,2014-05-19,961.77,,,,,,,
METNTR,2014-05-20,961.71,,,,,,,
METNTR,2014-05-21,968.65,,,,,,,
METNTR,2014-05-22,959.21,,,,,,,
METNTR,2014-05-23,964.42,,,,,,,
METNTR,2014-05-26,968.73,,,,,,,
METNTR,2014-05-27,960.41,,,,,,,
METNTR,2014-05-28,967.92,,,,,,,
METNTR,2014-05-29,984.92,,,,,,,
METNTR,2014-05-30,981.59,,,,,,,
METNTR,2014-06-02,1004.12,,,,,,,
METNTR,2014-06-03,1011.76,,,,,,,
METNTR,2014-06-04,999.12,,,,,,,
METNTR,2014-06-05,998.15,,,,,,,
METNTR,2014-06-06,1002.97,,,,,,,
METNTR,2014-06-09,1019.23,,,,,,,
METNTR,2014-06-10,1017.42,,,,,,,
METNTR,2014-06-11,1016.51,,,,,,,
METNTR,2014-06-16,1007.97,,,,,,,
METNTR,2014-06-17,994.69,,,,,,,
METNTR,2014-06-18,992.23,,,,,,,
METNTR,2014-06-19,992.08,,,,,,,
METNTR,2014-06-20,978.22,,,,,,,
METNTR,2014-06-23,991.77,,,,,,,
METNTR,2014-06-24,1015.05,,,,,,,
METNTR,2014-06-25,994.5,,,,,,,
METNTR,2014-06-26,992.11,,,,,,,
METNTR,2014-06-27,983.24,,,,,,,
METNTR,2014-06-30,992.05,,,,,,,
METNTR,2014-07-01,994.0,,,,,,,
METNTR,2014-07-02,1002.33,,,,,,,
METNTR,2014-07-03,1003.23,,,,,,,
METNTR,2014-07-04,1003.1,,,,,,,
METNTR,2014-07-07,1039.99,,,,,,,
METNTR,2014-07-08,1053.09,,,,,,,
METNTR,2014-07-09,1059.32,,,,,,,
METNTR,2014-07-10,1045.03,,,,,,,
METNTR,2014-07-11,1044.95,,,,,,,
METNTR,2014-07-14,1049.67,,,,,,,
METNTR,2014-07-15,1044.68,,,,,,,
METNTR,2014-07-16,1045.92,,,,,,,
METNTR,2014-07-17,1024.3,,,,,,,
METNTR,2014-07-18,992.07,,,,,,,
METNTR,2014-07-21,962.9,,,,,,,
METNTR,2014-07-22,981.33,,,,,,,
METNTR,2014-07-23,980.6,,,,,,,
METNTR,2014-07-24,977.73,,,,,,,
METNTR,2014-07-25,960.58,,,,,,,
METNTR,2014-07-28,937.81,,,,,,,
METNTR,2014-07-29,937.93,,,,,,,
METNTR,2014-07-30,937.01,,,,,,,
METNTR,2014-07-31,943.74,,,,,,,
METNTR,2014-08-01,930.14,,,,,,,
METNTR,2014-08-04,934.32,,,,,,,
METNTR,2014-08-05,899.82,,,,,,,
METNTR,2014-08-06,874.74,,,,,,,
METNTR,2014-08-07,866.77,,,,,,,
METNTR,2014-08-08,872.78,,,,,,,
METNTR,2014-08-11,889.28,,,,,,,
METNTR,2014-08-12,877.97,,,,,,,
METNTR,2014-08-13,889.32,,,,,,,
METNTR,2014-08-14,908.64,,,,,,,
METNTR,2014-08-15,914.48,,,,,,,
METNTR,2014-08-18,921.65,,,,,,,
METNTR,2014-08-19,927.7,,,,,,,
METNTR,2014-08-20,924.15,,,,,,,
METNTR,2014-08-21,929.99,,,,,,,
METNTR,2014-08-22,918.55,,,,,,,
METNTR,2014-08-25,922.9,,,,,,,
METNTR,2014-08-26,906.8,,,,,,,
METNTR,2014-08-27,909.12,,,,,,,
METNTR,2014-08-28,887.37,,,,,,,
METNTR,2014-08-29,886.42,,,,,,,
METNTR,2014-09-01,890.01,,,,,,,
METNTR,2014-09-02,886.06,,,,,,,
METNTR,2014-09-03,900.03,,,,,,,
METNTR,2014-09-04,894.34,,,,,,,
METNTR,2014-09-05,898.07,,,,,,,
METNTR,2014-09-08,886.9,,,,,,,
METNTR,2014-09-09,888.62,,,,,,,
METNTR,2014-09-10,886.47,,,,,,,
METNTR,2014-09-11,871.09,,,,,,,
METNTR,2014-09-12,880.88,,,,,,,
METNTR,2014-09-15,875.47,,,,,,,
METNTR,2014-09-16,881.42,,,,,,,
METNTR,2014-09-17,871.57,,,,,,,
METNTR,2014-09-18,865.89,,,,,,,
METNTR,2014-09-19,866.03,,,,,,,
METNTR,2014-09-22,855.2,,,,,,,
METNTR,2014-09-23,857.62,,,,,,,
METNTR,2014-09-24,849.56,,,,,,,
METNTR,2014-09-25,839.28,,,,,,,
METNTR,2014-09-26,825.8,,,,,,,
METNTR,2014-09-29,820.35,,,,,,,
METNTR,2014-09-30,812.32,,,,,,,
METNTR,2014-10-01,812.52,,,,,,,
METNTR,2014-10-02,810.51,,,,,,,
METNTR,2014-10-03,807.07,,,,,,,
METNTR,2014-10-06,805.79,,,,,,,
METNTR,2014-10-07,805.45,,,,,,,
METNTR,2014-10-08,796.44,,,,,,,
METNTR,2014-10-09,787.71,,,,,,,
