secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MIPOTR,2021-11-11,1000.0,1000.0,1000.0,1000.0,,,,
MIPOTR,2021-11-12,1009.08,1009.08,1009.08,1009.08,,,,
MIPOTR,2021-11-15,1006.15,1006.15,1006.15,1006.15,,,,
MIPOTR,2021-11-16,1001.96,1001.96,1001.96,1001.96,,,,
MIPOTR,2021-11-17,1000.23,1000.23,1000.23,1000.23,,,,
MIPOTR,2021-11-18,993.41,993.41,993.41,993.41,,,,
MIPOTR,2021-11-19,988.15,988.15,988.15,988.15,,,,
MIPOTR,2021-11-22,974.45,974.45,974.45,974.45,,,,
MIPOTR,2021-11-23,976.58,976.58,976.58,976.58,,,,
MIPOTR,2021-11-24,982.32,982.32,982.32,982.32,,,,
MIPOTR,2021-11-25,991.7,991.7,991.7,991.7,,,,
MIPOTR,2021-11-26,970.89,970.89,970.89,970.89,,,,
MIPOTR,2021-11-29,997.19,997.19,997.19,997.19,,,,
MIPOTR,2021-11-30,988.1,988.1,988.1,988.1,,,,
MIPOTR,2021-12-01,993.6,993.6,993.6,993.6,,,,
MIPOTR,2021-12-02,1005.15,1005.15,1005.15,1005.15,,,,
MIPOTR,2021-12-03,1001.08,1001.08,1001.08,1001.08,,,,
MIPOTR,2021-12-06,995.44,995.44,995.44,995.44,,,,
MIPOTR,2021-12-07,999.38,999.38,999.38,999.38,,,,
MIPOTR,2021-12-08,989.99,989.99,989.99,989.99,,,,
MIPOTR,2021-12-09,985.98,985.98,985.98,985.98,,,,
MIPOTR,2021-12-10,971.14,971.14,971.14,971.14,,,,
MIPOTR,2021-12-13,946.99,946.99,946.99,946.99,,,,
MIPOTR,2021-12-14,942.56,942.56,942.56,942.56,,,,
MIPOTR,2021-12-15,935.86,935.86,935.86,935.86,,,,
MIPOTR,2021-12-16,950.15,950.15,950.15,950.15,,,,
MIPOTR,2021-12-17,938.2,938.2,938.2,938.2,,,,
MIPOTR,2021-12-20,936.26,936.26,936.26,936.26,,,,
MIPOTR,2021-12-21,930.86,930.86,930.86,930.86,,,,
MIPOTR,2021-12-22,931.58,931.58,931.58,931.58,,,,
MIPOTR,2021-12-23,929.88,929.88,929.88,929.88,,,,
MIPOTR,2021-12-24,930.18,930.18,930.18,930.18,,,,
MIPOTR,2021-12-27,924.22,924.22,924.22,924.22,,,,
MIPOTR,2021-12-28,930.96,930.96,930.96,930.96,,,,
MIPOTR,2021-12-29,939.84,939.84,939.84,939.84,,,,
MIPOTR,2021-12-30,941.5,941.5,941.5,941.5,,,,
MIPOTR,2022-01-03,944.74,944.74,944.74,944.74,,,,
MIPOTR,2022-01-04,943.76,943.76,943.76,943.76,,,,
MIPOTR,2022-01-05,933.01,933.01,933.01,933.01,,,,
MIPOTR,2022-01-06,918.31,918.31,918.31,918.31,,,,
MIPOTR,2022-01-07,917.79,917.79,917.79,917.79,,,,
MIPOTR,2022-01-10,892.56,892.56,892.56,892.56,,,,
MIPOTR,2022-01-11,892.16,892.16,892.16,892.16,,,,
MIPOTR,2022-01-12,895.62,895.62,895.62,895.62,,,,
MIPOTR,2022-01-13,878.11,878.11,878.11,878.11,,,,
MIPOTR,2022-01-14,859.69,859.69,859.69,859.69,,,,
MIPOTR,2022-01-17,840.47,840.47,840.47,840.47,,,,
MIPOTR,2022-01-18,811.21,811.21,811.21,811.21,,,,
MIPOTR,2022-01-19,803.55,803.55,803.55,803.55,,,,
MIPOTR,2022-01-20,805.22,805.22,805.22,805.22,,,,
MIPOTR,2022-01-21,780.02,780.02,780.02,780.02,,,,
MIPOTR,2022-01-24,726.62,726.62,726.62,726.62,,,,
MIPOTR,2022-01-25,736.22,736.22,736.22,736.22,,,,
MIPOTR,2022-01-26,741.24,741.24,741.24,741.24,,,,
MIPOTR,2022-01-27,751.49,751.49,751.49,751.49,,,,
MIPOTR,2022-01-28,763.65,763.65,763.65,763.65,,,,
MIPOTR,2022-01-31,781.87,781.87,781.87,781.87,,,,
MIPOTR,2022-02-01,789.2,789.2,789.2,789.2,,,,
MIPOTR,2022-02-02,794.7,794.7,794.7,794.7,,,,
MIPOTR,2022-02-03,785.9,785.9,785.9,785.9,,,,
MIPOTR,2022-02-04,792.4,792.4,792.4,792.4,,,,
MIPOTR,2022-02-07,795.41,795.41,795.41,795.41,,,,
MIPOTR,2022-02-08,803.87,803.87,803.87,803.87,,,,
MIPOTR,2022-02-09,819.17,819.17,819.17,819.17,,,,
MIPOTR,2022-02-10,818.46,818.46,818.46,818.46,,,,
MIPOTR,2022-02-11,804.43,804.43,804.43,804.43,,,,
MIPOTR,2022-02-14,786.58,786.58,786.58,786.58,,,,
MIPOTR,2022-02-15,795.05,795.05,795.05,795.05,,,,
MIPOTR,2022-02-16,795.31,795.31,795.31,795.31,,,,
MIPOTR,2022-02-17,774.47,774.47,774.47,774.47,,,,
MIPOTR,2022-02-18,763.27,763.27,763.27,763.27,,,,
MIPOTR,2022-02-21,701.17,701.17,701.17,701.17,,,,
MIPOTR,2022-02-22,682.99,682.99,682.99,682.99,,,,
MIPOTR,2022-02-23,683.05,683.05,683.05,683.05,,,,
MIPOTR,2022-02-24,489.08,489.08,489.08,489.08,,,,
MIPOTR,2022-02-25,530.63,530.63,530.63,530.63,,,,
MIPOTR,2022-02-28,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-01,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-02,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-03,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-04,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-09,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-10,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-11,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-14,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-15,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-16,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-17,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-18,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-21,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-22,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-23,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-24,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-25,529.21,529.21,529.21,529.21,,,,
MIPOTR,2022-03-28,527.21,527.21,527.21,527.21,,,,
MIPOTR,2022-03-29,579.24,579.24,579.24,579.24,,,,
MIPOTR,2022-03-30,612.75,612.75,612.75,612.75,,,,
MIPOTR,2022-03-31,685.27,685.27,685.27,685.27,,,,
MIPOTR,2022-04-01,706.46,706.46,706.46,706.46,,,,
MIPOTR,2022-04-04,710.42,710.42,710.42,710.42,,,,
MIPOTR,2022-04-05,675.97,675.97,675.97,675.97,,,,
MIPOTR,2022-04-06,657.93,657.93,657.93,657.93,,,,
MIPOTR,2022-04-07,647.04,647.04,647.04,647.04,,,,
MIPOTR,2022-04-08,642.85,642.85,642.85,642.85,,,,
MIPOTR,2022-04-11,638.73,638.73,638.73,638.73,,,,
MIPOTR,2022-04-12,616.55,616.55,616.55,616.55,,,,
