secid,tradedate,open,close,low,high,capitalization
MOEXBMI,2011-12-30,1000.0,1000.0,1000.0,1000.0,
MOEXBMI,2012-01-03,1007.4,1029.51,1007.4,1029.8,
MOEXBMI,2012-01-04,1029.06,1031.01,1024.44,1034.93,
MOEXBMI,2012-01-05,1030.91,1023.54,1021.38,1038.48,
MOEXBMI,2012-01-06,1024.39,1027.33,1020.51,1036.06,
MOEXBMI,2012-01-09,1024.84,1031.93,1021.4,1031.93,
MOEXBMI,2012-01-10,1036.06,1051.77,1035.86,1053.29,
MOEXBMI,2012-01-11,1048.11,1044.58,1039.62,1053.71,
MOEXBMI,2012-01-12,1047.34,1043.21,1039.2,1057.1,
MOEXBMI,2012-01-13,1044.48,1041.23,1039.36,1052.48,
MOEXBMI,2012-01-16,1032.91,1043.49,1030.79,1044.83,
MOEXBMI,2012-01-17,1051.95,1058.71,1051.68,1064.62,
MOEXBMI,2012-01-18,1058.25,1064.06,1051.69,1064.06,
MOEXBMI,2012-01-19,1069.9,1071.73,1062.52,1073.05,
MOEXBMI,2012-01-20,1073.89,1062.92,1060.45,1073.89,
MOEXBMI,2012-01-23,1060.84,1069.36,1054.26,1069.44,
MOEXBMI,2012-01-24,1065.54,1062.59,1057.12,1067.71,
MOEXBMI,2012-01-25,1068.84,1069.77,1065.33,1074.86,
MOEXBMI,2012-01-26,1078.7,1080.09,1072.89,1082.89,
MOEXBMI,2012-01-27,1074.8,1074.96,1071.99,1081.96,
MOEXBMI,2012-01-30,1071.02,1066.67,1064.44,1075.69,
MOEXBMI,2012-01-31,1072.38,1079.5,1072.3,1081.99,
MOEXBMI,2012-02-01,1076.49,1096.44,1073.5,1097.59,
MOEXBMI,2012-02-02,1100.99,1098.54,1092.38,1102.69,
MOEXBMI,2012-02-03,1096.96,1114.49,1095.47,1114.49,
MOEXBMI,2012-02-06,1115.56,1113.49,1110.16,1118.44,
MOEXBMI,2012-02-07,1114.63,1104.82,1102.94,1119.66,
MOEXBMI,2012-02-08,1113.38,1110.34,1107.89,1120.12,
MOEXBMI,2012-02-09,1110.88,1101.96,1095.66,1117.55,
MOEXBMI,2012-02-10,1096.56,1090.73,1088.89,1099.19,
MOEXBMI,2012-02-13,1099.7,1114.29,1099.08,1115.22,
MOEXBMI,2012-02-14,1110.65,1116.31,1110.65,1124.33,
MOEXBMI,2012-02-15,1124.53,1128.19,1121.81,1129.89,
MOEXBMI,2012-02-16,1116.62,1122.19,1110.97,1122.26,
MOEXBMI,2012-02-17,1131.86,1120.73,1115.64,1131.86,
MOEXBMI,2012-02-20,1128.85,1128.34,1126.7,1132.46,
MOEXBMI,2012-02-21,1128.17,1115.36,1112.97,1128.17,
MOEXBMI,2012-02-22,1118.0,1100.84,1099.73,1122.89,
MOEXBMI,2012-02-24,1108.9,1138.91,1106.17,1139.3,
MOEXBMI,2012-02-27,1137.77,1137.17,1132.92,1147.26,
MOEXBMI,2012-02-28,1143.7,1124.42,1122.31,1144.3,
MOEXBMI,2012-02-29,1129.92,1140.58,1129.0,1141.54,
MOEXBMI,2012-03-01,1132.86,1139.07,1127.37,1139.99,
MOEXBMI,2012-03-02,1144.52,1147.49,1134.21,1148.25,
MOEXBMI,2012-03-05,1149.98,1160.27,1148.71,1162.04,
MOEXBMI,2012-03-06,1152.54,1116.77,1115.94,1154.76,
MOEXBMI,2012-03-07,1112.53,1123.82,1110.17,1125.4,
MOEXBMI,2012-03-11,1139.85,1146.56,1139.58,1148.07,
MOEXBMI,2012-03-12,1140.32,1145.78,1137.01,1155.91,
MOEXBMI,2012-03-13,1151.93,1151.21,1147.41,1155.0,
MOEXBMI,2012-03-14,1161.36,1164.59,1156.74,1166.49,
MOEXBMI,2012-03-15,1160.8,1161.73,1156.34,1169.59,
MOEXBMI,2012-03-16,1159.92,1154.27,1149.27,1162.79,
MOEXBMI,2012-03-19,1158.71,1134.05,1129.5,1161.13,
MOEXBMI,2012-03-20,1135.5,1115.2,1113.7,1139.05,
MOEXBMI,2012-03-21,1117.48,1110.48,1104.4,1124.01,
MOEXBMI,2012-03-22,1109.56,1094.8,1092.17,1116.7,
MOEXBMI,2012-03-23,1098.82,1102.08,1087.41,1102.41,
MOEXBMI,2012-03-26,1106.71,1118.71,1102.77,1120.94,
MOEXBMI,2012-03-27,1123.88,1111.02,1108.08,1124.89,
MOEXBMI,2012-03-28,1106.88,1088.66,1087.6,1110.41,
MOEXBMI,2012-03-29,1085.66,1070.43,1065.79,1089.33,
MOEXBMI,2012-03-30,1082.97,1087.25,1081.54,1096.07,
MOEXBMI,2012-04-02,1093.66,1089.87,1080.93,1100.2,
MOEXBMI,2012-04-03,1096.33,1108.86,1094.4,1112.78,
MOEXBMI,2012-04-04,1098.49,1083.36,1079.66,1105.48,
MOEXBMI,2012-04-05,1088.11,1091.36,1071.58,1092.53,
MOEXBMI,2012-04-06,1093.45,1073.22,1071.15,1094.11,
MOEXBMI,2012-04-09,1071.98,1081.84,1059.78,1081.84,
MOEXBMI,2012-04-10,1077.74,1073.31,1073.25,1087.35,
MOEXBMI,2012-04-11,1067.85,1078.14,1066.62,1086.92,
MOEXBMI,2012-04-12,1081.28,1075.14,1066.93,1082.41,
MOEXBMI,2012-04-13,1076.2,1076.65,1073.06,1085.24,
MOEXBMI,2012-04-16,1072.15,1059.76,1058.78,1076.68,
MOEXBMI,2012-04-17,1060.18,1055.28,1049.81,1062.39,
MOEXBMI,2012-04-18,1063.56,1053.3,1051.13,1063.72,
MOEXBMI,2012-04-19,1054.42,1070.67,1054.41,1075.97,
MOEXBMI,2012-04-20,1065.94,1075.67,1063.23,1076.48,
MOEXBMI,2012-04-23,1070.85,1051.29,1047.87,1072.11,
MOEXBMI,2012-04-24,1052.92,1042.14,1035.09,1053.08,
