TRADEDATE,OPEN,CLOSE,LOW,HIGH,CAPITALIZATION,SECID
2017-12-29,1000.0,1000.0,1000.0,1000.0,,MRBCTR
2018-01-03,1022.19,1022.19,1022.19,1022.19,,MRBCTR
2018-01-04,1045.1,1045.1,1045.1,1045.1,,MRBCTR
2018-01-05,1051.28,1051.28,1051.28,1051.28,,MRBCTR
2018-01-09,1059.89,1059.89,1059.89,1059.89,,MRBCTR
2018-01-10,1063.13,1063.13,1063.13,1063.13,,MRBCTR
2018-01-11,1070.1,1070.1,1070.1,1070.1,,MRBCTR
2018-01-12,1078.51,1078.51,1078.51,1078.51,,MRBCTR
2018-01-15,1077.97,1077.97,1077.97,1077.97,,MRBCTR
2018-01-16,1074.49,1074.49,1074.49,1074.49,,MRBCTR
2018-01-17,1084.6,1084.6,1084.6,1084.6,,MRBCTR
2018-01-18,1093.85,1093.85,1093.85,1093.85,,MRBCTR
2018-01-19,1087.68,1087.68,1087.68,1087.68,,MRBCTR
2018-01-22,1098.87,1098.87,1098.87,1098.87,,MRBCTR
2018-01-23,1093.91,1093.91,1093.91,1093.91,,MRBCTR
2018-01-24,1099.88,1099.88,1099.88,1099.88,,MRBCTR
2018-01-25,1107.75,1107.75,1107.75,1107.75,,MRBCTR
2018-01-26,1094.24,1094.24,1094.24,1094.24,,MRBCTR
2018-01-29,1086.93,1086.93,1086.93,1086.93,,MRBCTR
2018-01-30,1086.1,1086.1,1086.1,1086.1,,MRBCTR
2018-01-31,1091.84,1091.84,1091.84,1091.84,,MRBCTR
2018-02-01,1098.51,1098.51,1098.51,1098.51,,MRBCTR
2018-02-02,1088.26,1088.26,1088.26,1088.26,,MRBCTR
2018-02-05,1084.26,1084.26,1084.26,1084.26,,MRBCTR
2018-02-06,1065.84,1065.84,1065.84,1065.84,,MRBCTR
2018-02-07,1074.64,1074.64,1074.64,1074.64,,MRBCTR
2018-02-08,1060.62,1060.62,1060.62,1060.62,,MRBCTR
2018-02-09,1046.06,1046.06,1046.06,1046.06,,MRBCTR
2018-02-12,1055.33,1055.33,1055.33,1055.33,,MRBCTR
2018-02-13,1070.59,1070.59,1070.59,1070.59,,MRBCTR
2018-02-14,1074.24,1074.24,1074.24,1074.24,,MRBCTR
2018-02-15,1077.92,1077.92,1077.92,1077.92,,MRBCTR
2018-02-16,1068.57,1068.57,1068.57,1068.57,,MRBCTR
2018-02-19,1067.68,1067.68,1067.68,1067.68,,MRBCTR
2018-02-20,1075.16,1075.16,1075.16,1075.16,,MRBCTR
2018-02-21,1102.11,1102.11,1102.11,1102.11,,MRBCTR
2018-02-22,1112.37,1112.37,1112.37,1112.37,,MRBCTR
2018-02-26,1121.44,1121.44,1121.44,1121.44,,MRBCTR
2018-02-27,1115.86,1115.86,1115.86,1115.86,,MRBCTR
2018-02-28,1090.39,1090.39,1090.39,1090.39,,MRBCTR
