secid,tradedate,open,close,low,high,capitalization
MREFTR,2023-12-22,1000.0,1000.0,1000.0,1000.0,
MREFTR,2023-12-25,998.49,998.49,998.49,998.49,
MREFTR,2023-12-26,1002.57,1002.57,1002.57,1002.57,
MREFTR,2023-12-27,1005.52,1005.52,1005.52,1005.52,
MREFTR,2023-12-28,1014.27,1014.27,1014.27,1014.27,
MREFTR,2023-12-29,1007.36,1007.36,1007.36,1007.36,
MREFTR,2024-01-03,1007.83,1007.83,1007.83,1007.83,
MREFTR,2024-01-04,1009.97,1009.97,1009.97,1009.97,
MREFTR,2024-01-05,1018.4,1018.4,1018.4,1018.4,
MREFTR,2024-01-08,1018.89,1018.89,1018.89,1018.89,
MREFTR,2024-01-09,1016.13,1016.13,1016.13,1016.13,
MREFTR,2024-01-10,1014.37,1014.37,1014.37,1014.37,
MREFTR,2024-01-11,1021.55,1021.55,1021.55,1021.55,
MREFTR,2024-01-12,1019.92,1019.92,1019.92,1019.92,
MREFTR,2024-01-15,1023.3,1023.3,1023.3,1023.3,
MREFTR,2024-01-16,1021.54,1021.54,1021.54,1021.54,
MREFTR,2024-01-17,1015.9,1015.9,1015.9,1015.9,
MREFTR,2024-01-18,1017.56,1017.56,1017.56,1017.56,
MREFTR,2024-01-19,1018.84,1018.84,1018.84,1018.84,
MREFTR,2024-01-22,1016.31,1016.31,1016.31,1016.31,
MREFTR,2024-01-23,1033.64,1033.64,1033.64,1033.64,
MREFTR,2024-01-24,1022.12,1022.12,1022.12,1022.12,
MREFTR,2024-01-25,1023.25,1023.25,1023.25,1023.25,
MREFTR,2024-01-26,1021.78,1021.78,1021.78,1021.78,
MREFTR,2024-01-29,1016.19,1016.19,1016.19,1016.19,
MREFTR,2024-01-30,1017.11,1017.11,1017.11,1017.11,
MREFTR,2024-01-31,1021.05,1021.05,1021.05,1021.05,
MREFTR,2024-02-01,1016.42,1016.42,1016.42,1016.42,
MREFTR,2024-02-02,1018.35,1018.35,1018.35,1018.35,
MREFTR,2024-02-05,1023.1,1023.1,1023.1,1023.1,
MREFTR,2024-02-06,1024.06,1024.06,1024.06,1024.06,
MREFTR,2024-02-07,1026.5,1026.5,1026.5,1026.5,
MREFTR,2024-02-08,1021.16,1021.16,1021.16,1021.16,
MREFTR,2024-02-09,1019.1,1019.1,1019.1,1019.1,
MREFTR,2024-02-12,1018.22,1018.22,1018.22,1018.22,
MREFTR,2024-02-13,1022.32,1022.32,1022.32,1022.32,
MREFTR,2024-02-14,1022.94,1022.94,1022.94,1022.94,
MREFTR,2024-02-15,1019.42,1019.42,1019.42,1019.42,
