secid,tradedate,open,close,low,high,capitalization
RGBI,2012-03-05,131.93,131.88,131.87,131.99,0.0
RGBI,2012-03-06,131.87,131.77,131.77,131.88,0.0
RGBI,2012-03-07,131.76,131.64,131.63,131.77,0.0
RGBI,2012-03-11,131.57,131.71,131.57,131.71,0.0
RGBI,2012-03-12,131.75,131.82,131.69,131.83,0.0
RGBI,2012-03-13,131.9,132.01,131.82,132.01,0.0
RGBI,2012-03-14,131.97,132.2,131.97,132.2,0.0
RGBI,2012-03-15,132.05,132.18,131.81,132.24,0.0
RGBI,2012-03-16,132.28,132.26,132.14,132.28,0.0
RGBI,2012-03-19,132.21,132.06,131.81,132.21,0.0
RGBI,2012-03-20,132.26,132.0,131.99,132.41,0.0
RGBI,2012-03-21,132.03,131.95,131.94,132.28,0.0
RGBI,2012-03-22,132.01,131.88,131.88,132.17,0.0
RGBI,2012-03-23,131.9,131.85,131.84,131.95,0.0
RGBI,2012-03-26,131.88,131.92,131.83,131.92,0.0
RGBI,2012-03-27,131.98,131.94,131.91,131.98,0.0
RGBI,2012-03-28,132.11,131.98,131.8,132.11,0.0
RGBI,2012-03-29,132.09,132.08,131.94,132.1,0.0
RGBI,2012-03-30,132.09,132.03,132.03,132.46,0.0
RGBI,2012-04-02,132.03,132.07,131.9,132.07,0.0
RGBI,2012-04-03,132.14,132.07,132.02,132.17,0.0
RGBI,2012-04-04,131.96,131.91,131.85,133.47,0.0
RGBI,2012-04-05,131.95,131.9,131.9,132.03,0.0
RGBI,2012-04-06,131.79,131.8,131.79,131.9,0.0
RGBI,2012-04-09,131.71,131.57,131.57,131.73,0.0
RGBI,2012-04-10,131.57,131.35,131.35,131.57,0.0
RGBI,2012-04-11,131.43,131.29,131.22,131.43,0.0
RGBI,2012-04-12,131.41,131.33,131.33,131.52,0.0
RGBI,2012-04-13,131.25,131.28,131.25,131.36,0.0
RGBI,2012-04-16,131.33,131.22,131.22,131.46,0.0
RGBI,2012-04-17,131.24,131.36,131.24,131.36,0.0
RGBI,2012-04-18,131.33,131.52,131.33,131.52,0.0
RGBI,2012-04-19,131.46,131.4,131.39,131.46,0.0
RGBI,2012-04-20,131.38,131.57,131.32,131.57,0.0
RGBI,2012-04-23,131.3,131.44,131.3,131.59,0.0
RGBI,2012-04-24,131.44,131.31,131.27,131.44,0.0
RGBI,2012-04-25,131.34,131.41,131.33,131.46,0.0
RGBI,2012-04-26,131.41,131.47,131.4,131.5,0.0
RGBI,2012-04-27,131.48,131.44,131.39,131.53,0.0
RGBI,2012-04-28,131.55,131.59,131.55,131.71,0.0
RGBI,2012-05-02,131.56,131.53,131.47,131.56,0.0
RGBI,2012-05-03,131.56,131.57,131.49,131.58,0.0
RGBI,2012-05-04,131.59,131.53,131.52,131.63,0.0
RGBI,2012-05-05,131.54,131.33,131.32,131.54,0.0
RGBI,2012-05-07,131.42,131.42,131.42,131.42,0.0
RGBI,2012-05-08,131.42,131.42,131.42,131.42,0.0
RGBI,2012-05-10,131.35,131.2,131.2,131.35,0.0
RGBI,2012-05-11,131.3,131.02,131.0,131.3,0.0
RGBI,2012-05-12,131.16,131.14,131.12,131.32,0.0
RGBI,2012-05-14,131.1,130.47,130.47,131.1,0.0
RGBI,2012-05-15,130.69,130.35,130.35,130.75,0.0
RGBI,2012-05-16,130.62,129.69,129.68,130.62,0.0
RGBI,2012-05-17,129.64,129.17,129.17,130.08,0.0
RGBI,2012-05-18,129.66,128.85,128.78,129.86,0.0
RGBI,2012-05-21,128.86,129.02,128.86,129.13,0.0
RGBI,2012-05-22,129.11,129.3,128.95,129.3,0.0
RGBI,2012-05-23,129.73,128.73,128.73,129.84,0.0
RGBI,2012-05-24,128.74,128.51,128.42,128.79,0.0
RGBI,2012-05-25,128.53,128.61,128.53,128.7,0.0
RGBI,2012-05-28,129.21,128.62,128.52,129.21,0.0
RGBI,2012-05-29,128.83,128.69,128.62,128.84,0.0
RGBI,2012-05-30,128.8,128.61,128.61,129.0,0.0
RGBI,2012-05-31,128.79,128.22,128.15,128.88,0.0
RGBI,2012-06-01,128.1,127.39,127.36,128.1,0.0
RGBI,2012-06-04,127.65,127.78,127.61,127.8,0.0
RGBI,2012-06-05,127.98,127.95,127.83,128.32,0.0
RGBI,2012-06-06,127.81,128.71,127.81,128.72,0.0
RGBI,2012-06-07,128.47,129.1,128.15,129.1,0.0
RGBI,2012-06-08,128.73,128.63,128.61,129.2,0.0
RGBI,2012-06-09,128.82,128.9,128.82,128.91,0.0
RGBI,2012-06-13,128.84,128.52,128.52,129.01,0.0
RGBI,2012-06-14,128.48,128.43,128.43,128.74,0.0
RGBI,2012-06-15,128.4,128.87,128.4,128.9,0.0
RGBI,2012-06-18,128.91,128.88,128.87,129.33,0.0
RGBI,2012-06-19,128.81,128.68,128.67,128.84,0.0
RGBI,2012-06-20,128.81,128.61,128.59,128.98,0.0
RGBI,2012-06-21,128.72,128.44,128.34,128.79,0.0
RGBI,2012-06-22,128.42,128.39,128.39,128.61,0.0
RGBI,2012-06-25,128.52,128.37,128.35,128.6,0.0
RGBI,2012-06-26,128.48,128.29,128.26,128.48,0.0
RGBI,2012-06-27,128.32,128.39,128.29,128.43,0.0
RGBI,2012-06-28,128.51,128.32,128.17,128.51,0.0
RGBI,2012-06-29,128.35,128.81,128.35,128.81,0.0
RGBI,2012-07-02,128.76,129.59,128.76,129.59,0.0
RGBI,2012-07-03,129.61,130.0,127.89,130.0,0.0
RGBI,2012-07-04,129.81,130.36,129.38,130.36,0.0
RGBI,2012-07-05,130.2,130.33,129.96,130.37,0.0
RGBI,2012-07-06,129.97,130.16,129.92,130.25,0.0
RGBI,2012-07-09,130.11,130.15,130.07,130.29,0.0
RGBI,2012-07-10,129.92,130.15,129.88,130.15,0.0
RGBI,2012-07-11,130.08,130.17,130.04,130.18,0.0
RGBI,2012-07-12,130.14,130.48,129.98,130.49,0.0
RGBI,2012-07-13,130.36,130.93,129.87,130.93,0.0
RGBI,2012-07-16,130.94,131.64,129.92,131.64,0.0
RGBI,2012-07-17,131.59,131.99,131.09,131.99,0.0
RGBI,2012-07-18,131.82,132.06,131.62,132.08,0.0
RGBI,2012-07-19,132.06,131.78,131.78,132.22,0.0
RGBI,2012-07-20,132.11,131.58,131.17,132.11,0.0
RGBI,2012-07-23,131.6,130.64,130.64,131.63,0.0
RGBI,2012-07-24,130.74,130.64,130.6,130.93,0.0
RGBI,2012-07-25,130.62,130.5,130.19,130.62,0.0
RGBI,2012-07-26,130.65,130.94,130.32,130.94,0.0
RGBI,2012-07-27,131.12,131.24,130.91,131.24,0.0
RGBI,2012-07-30,131.37,131.4,131.2,131.43,0.0
RGBI,2012-07-31,131.33,131.41,131.26,131.47,0.0
RGBI,2012-08-01,131.44,131.57,131.31,131.57,0.0
RGBI,2012-08-02,131.58,131.5,131.44,131.58,0.0
RGBI,2012-08-03,131.44,131.59,131.44,131.59,0.0
RGBI,2012-08-06,131.57,131.95,131.38,131.95,0.0
RGBI,2012-08-07,131.96,132.15,131.84,132.19,0.0
RGBI,2012-08-08,132.14,132.04,131.84,132.14,0.0
RGBI,2012-08-09,132.05,131.99,131.99,132.11,0.0
RGBI,2012-08-10,132.0,131.71,131.67,132.04,0.0
RGBI,2012-08-13,131.67,131.68,131.45,131.7,0.0
RGBI,2012-08-14,131.69,131.86,131.69,131.86,0.0
RGBI,2012-08-15,131.94,131.69,131.69,131.95,0.0
RGBI,2012-08-16,131.7,131.76,131.68,131.76,0.0
RGBI,2012-08-17,131.86,131.77,131.76,131.91,0.0
RGBI,2012-08-20,131.74,131.73,131.71,131.75,0.0
RGBI,2012-08-21,131.74,131.88,131.71,131.88,0.0
RGBI,2012-08-22,131.95,131.89,131.85,132.0,0.0
