secid,tradedate,open,close,low,high,capitalization
RGBITR,2012-03-05,282.18,282.09,282.06,282.31,
RGBITR,2012-03-06,282.12,281.92,281.92,282.16,
RGBITR,2012-03-07,281.95,281.69,281.69,281.98,
RGBITR,2012-03-11,281.76,282.05,281.76,282.05,
RGBITR,2012-03-12,282.2,282.33,282.06,282.35,
RGBITR,2012-03-13,282.56,282.78,282.39,282.78,
RGBITR,2012-03-14,282.76,283.23,282.76,283.23,
RGBITR,2012-03-15,282.96,283.25,282.46,283.36,
RGBITR,2012-03-16,283.51,283.48,283.22,283.53,
RGBITR,2012-03-19,283.53,283.23,282.69,283.53,
RGBITR,2012-03-20,283.7,283.15,283.13,284.03,
RGBITR,2012-03-21,283.27,283.1,283.09,283.8,
RGBITR,2012-03-22,283.29,283.01,283.01,283.63,
RGBITR,2012-03-23,283.12,283.0,282.97,283.2,
RGBITR,2012-03-26,283.24,283.31,283.12,283.31,
RGBITR,2012-03-27,283.48,283.41,283.35,283.5,
RGBITR,2012-03-28,283.82,283.55,283.16,283.82,
RGBITR,2012-03-29,283.85,283.81,283.51,283.86,
RGBITR,2012-03-30,283.89,283.77,283.77,284.67,
RGBITR,2012-04-02,283.94,284.03,283.66,284.03,
RGBITR,2012-04-03,284.25,284.09,283.98,284.31,
RGBITR,2012-04-04,283.91,283.81,283.69,287.11,
RGBITR,2012-04-05,283.96,283.85,283.85,284.12,
RGBITR,2012-04-06,283.67,283.69,283.67,283.91,
RGBITR,2012-04-09,283.66,283.37,283.37,283.7,
RGBITR,2012-04-10,283.44,282.97,282.97,283.44,
RGBITR,2012-04-11,283.19,282.89,282.74,283.19,
RGBITR,2012-04-12,283.21,283.02,283.02,283.42,
RGBITR,2012-04-13,282.91,282.96,282.91,283.14,
RGBITR,2012-04-16,283.24,283.0,283.0,283.5,
RGBITR,2012-04-17,283.09,283.36,283.09,283.36,
RGBITR,2012-04-18,283.36,283.75,283.36,283.77,
RGBITR,2012-04-19,283.68,283.55,283.53,283.68,
RGBITR,2012-04-20,283.57,283.97,283.44,283.97,
RGBITR,2012-04-23,283.57,283.86,283.57,284.19,
RGBITR,2012-04-24,283.92,283.64,283.56,283.92,
RGBITR,2012-04-25,283.75,283.9,283.74,284.01,
RGBITR,2012-04-26,283.95,284.09,283.94,284.14,
RGBITR,2012-04-27,284.17,284.07,283.98,284.28,
