secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RTSI,1995-09-01,100.0,100.0,100.0,100.0,2710988.0,,,0.0
RTSI,1995-09-04,99.799,99.799,99.799,99.799,1000395.0,,,0.0
RTSI,1995-09-05,100.417,100.417,100.417,100.417,1669902.0,,,0.0
RTSI,1995-09-06,99.741,99.741,99.741,99.741,927829.0,,,0.0
RTSI,1995-09-07,101.301,101.301,101.301,101.301,2153945.0,,,0.0
RTSI,1995-09-08,101.3,101.3,101.3,101.3,1318431.0,,,0.0
RTSI,1995-09-11,100.84,100.84,100.84,100.84,1314240.0,,,0.0
RTSI,1995-09-12,100.24,100.24,100.24,100.24,655028.0,,,0.0
RTSI,1995-09-13,99.159,99.159,99.159,99.159,1080588.0,,,0.0
RTSI,1995-09-14,98.795,98.795,98.795,98.795,874165.0,,,0.0
RTSI,1995-09-15,99.301,99.301,99.301,99.301,2080067.0,,,0.0
RTSI,1995-09-18,99.84,99.84,99.84,99.84,2520420.0,,,0.0
RTSI,1995-09-19,99.536,99.536,99.536,99.536,1416736.0,,,0.0
RTSI,1995-09-20,99.188,99.188,99.188,99.188,2923830.0,,,0.0
RTSI,1995-09-21,96.273,96.273,96.273,96.273,3189220.0,,,0.0
RTSI,1995-09-22,94.025,94.025,94.025,94.025,1853898.0,,,0.0
RTSI,1995-09-25,91.162,91.162,91.162,91.162,1421425.0,,,0.0
RTSI,1995-09-26,87.977,87.977,87.977,87.977,1538270.0,,,0.0
RTSI,1995-09-27,88.174,88.174,88.174,88.174,694400.0,,,0.0
RTSI,1995-09-28,89.071,89.071,89.071,89.071,1386490.0,,,0.0
RTSI,1995-09-29,86.088,86.088,86.088,86.088,1322225.0,,,0.0
RTSI,1995-10-02,83.003,83.003,83.003,83.003,904300.0,,,0.0
RTSI,1995-10-03,78.391,78.391,78.391,78.391,3720242.0,,,0.0
RTSI,1995-10-04,72.056,72.056,72.056,72.056,3093490.0,,,0.0
RTSI,1995-10-05,75.033,75.033,75.033,75.033,2289349.0,,,0.0
RTSI,1995-10-06,74.16,74.16,74.16,74.16,1608250.0,,,0.0
RTSI,1995-10-09,77.266,77.266,77.266,77.266,1295757.0,,,0.0
RTSI,1995-10-10,76.417,76.417,76.417,76.417,685032.0,,,0.0
RTSI,1995-10-11,75.802,75.802,75.802,75.802,2193235.0,,,0.0
RTSI,1995-10-12,76.475,76.475,76.475,76.475,950280.0,,,0.0
RTSI,1995-10-13,77.476,77.476,77.476,77.476,2767658.0,,,0.0
RTSI,1995-10-16,78.097,78.097,78.097,78.097,2146785.0,,,0.0
RTSI,1995-10-17,78.656,78.656,78.656,78.656,2206960.0,,,0.0
RTSI,1995-10-18,78.998,78.998,78.998,78.998,1140691.0,,,0.0
RTSI,1995-10-19,79.257,79.257,79.257,79.257,2276760.0,,,0.0
RTSI,1995-10-20,79.35,79.35,79.35,79.35,1474534.0,,,0.0
RTSI,1995-10-23,79.162,79.162,79.162,79.162,1798790.0,,,0.0
RTSI,1995-10-24,79.082,79.082,79.082,79.082,891957.0,,,0.0
RTSI,1995-10-25,79.141,79.141,79.141,79.141,3924456.0,,,0.0
RTSI,1995-10-26,78.111,78.111,78.111,78.111,3980378.0,,,0.0
RTSI,1995-10-27,75.858,75.858,75.858,75.858,2909718.0,,,0.0
RTSI,1995-10-30,74.878,74.878,74.878,74.878,119869.0,,,0.0
RTSI,1995-10-31,73.555,73.555,73.555,73.555,824107.0,,,0.0
RTSI,1995-11-01,72.702,72.702,72.702,72.702,2497522.0,,,0.0
RTSI,1995-11-02,68.091,68.091,68.091,68.091,3047914.0,,,0.0
RTSI,1995-11-03,69.977,69.977,69.977,69.977,880955.0,,,0.0
RTSI,1995-11-04,70.528,70.528,70.528,70.528,306800.0,,,0.0
RTSI,1995-11-08,71.265,71.265,71.265,71.265,595352.0,,,0.0
RTSI,1995-11-09,71.761,71.761,71.761,71.761,3401134.0,,,0.0
RTSI,1995-11-10,71.537,71.537,71.537,71.537,1352044.0,,,0.0
RTSI,1995-11-13,72.177,72.177,72.177,72.177,1165832.0,,,0.0
RTSI,1995-11-14,71.868,71.868,71.868,71.868,954890.0,,,0.0
RTSI,1995-11-15,71.518,71.518,71.518,71.518,971770.0,,,0.0
RTSI,1995-11-16,70.983,70.983,70.983,70.983,1324489.0,,,0.0
RTSI,1995-11-17,71.284,71.284,71.284,71.284,2384499.0,,,0.0
RTSI,1995-11-20,72.589,72.589,72.589,72.589,1598679.0,,,0.0
RTSI,1995-11-21,72.193,72.193,72.193,72.193,2982016.0,,,0.0
RTSI,1995-11-22,73.754,73.754,73.754,73.754,2304533.0,,,0.0
RTSI,1995-11-23,73.689,73.689,73.689,73.689,1513721.0,,,0.0
RTSI,1995-11-24,72.564,72.564,72.564,72.564,1545925.0,,,0.0
RTSI,1995-11-27,72.354,72.354,72.354,72.354,1798267.0,,,0.0
RTSI,1995-11-28,72.417,72.417,72.417,72.417,5125338.0,,,0.0
RTSI,1995-11-29,71.121,71.121,71.121,71.121,2793700.0,,,0.0
RTSI,1995-11-30,70.473,70.473,70.473,70.473,5053750.0,,,0.0
RTSI,1995-12-01,70.954,70.954,70.954,70.954,1530413.0,,,0.0
RTSI,1995-12-04,71.902,71.902,71.902,71.902,3277014.0,,,0.0
RTSI,1995-12-05,73.905,73.905,73.905,73.905,3188395.0,,,0.0
RTSI,1995-12-06,74.857,74.857,74.857,74.857,3450375.0,,,0.0
RTSI,1995-12-07,76.144,76.144,76.144,76.144,3902390.0,,,0.0
RTSI,1995-12-08,76.454,76.454,76.454,76.454,3084900.0,,,0.0
RTSI,1995-12-09,76.365,76.365,76.365,76.365,563897.0,,,0.0
RTSI,1995-12-13,78.041,78.041,78.041,78.041,2567041.0,,,0.0
RTSI,1995-12-14,82.041,82.041,82.041,82.041,8145000.0,,,0.0
RTSI,1995-12-15,82.038,82.038,82.038,82.038,2951465.0,,,0.0
RTSI,1995-12-18,81.035,81.035,81.035,81.035,3480566.0,,,0.0
